Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,294,4,0
Aromatisse FW+Psh/M,323,19,0
Sealeo PS+S/BS,214,25,0
Sylveon FW+Psh/SB,365,13,0
Cetitan PS+ISp/SP,311,13,0
Sealeo (Shadow) PS+S/BS,190,13,0
Florges FW+CW/DV,377,25,0
Walrein (Shadow) W+ISp/Eq,220,19,0
Snorlax L+BS/SP,310,34,0
Lopunny LK+SB/FiP,431,5,0
Lunatone Psy+RS/WBI,638,37,28
Solrock Psy+RS/WBF,638,37,28
Snorlax (Shadow) L+BS/SP,411,34,0
Graveler (Alolan) VS+SE/RB,469,31,0
Garganacl MS+RB/RT,584,11,17
Munchlax Tk+BS/Bd,371,40,0
Dusclops H+FiP/ShP,333,25,0
Gourgeist (Large) I+SB/SeB,262,3,0
Gourgeist (Average) I+SB/SeB,278,3,0
Primarina W+HC/DV,303,19,0
Walrein W+ISp/Eq,246,31,0
Slurpuff FW+Ft/EB,341,13,0
Dusclops (Shadow) H+FiP/ShP,333,25,0
Bibarel RO+S/HF,234,22,0
Gigalith LO+SP/MeB,594,19,19
Gourgeist (Small) I+SB/SeB,299,3,0
Gourgeist (Super) I+SB/SeB,248,3,0
Graveler (Alolan) (Shadow) VS+SE/RB,460,13,0
Golem (Alolan) VS+WC/RB,465,31,0
Golem (Alolan) (Shadow) VS+WC/RB,452,13,0
Barbaracle FC+CrC/SE,395,40,0
Whimsicott FW+SeB/M,254,7,0
Bibarel (Shadow) RO+S/HF,348,22,0
Shiinotic A+SeB/M,308,31,0
Maushold MS+Sw/Cr,404,28,0
Decidueye Lf+FP/SSh,147,11,0
Froslass (Shadow) H+Av/SB,712,49,43
Dachsbun FF+PsF/PR,579,0,16
Gigalith (Shadow) LO+MeB/SP,886,16,78
Cofagrigus SC+SB/Re,366,37,0
Dedenne TS+D/PR,334,7,0
Kabuto MS+AJ/RT,494,3,0
Dewgong IS+IW/DR,242,31,0
Glalie RO+Av/SB,371,22,0
Grafaiai MSl+PF/SlB,317,22,0
Dhelmise SC+PW/BrS,285,7,0
Kabutops (Shadow) FC+AJ/SE,658,28,32
Corsola B+PG/RB,421,21,0
Froslass H+Av/SB,400,22,0
Geodude (Alolan) VS+RT/RS,529,34,6
Dewgong (Shadow) IS+AJ/DR,242,31,0
Trevenant SC+SeB/SB,244,13,0
Avalugg IF+Av/BS,480,40,0
Arboliva ML+EP/TBl,134,5,0
Shiinotic (Shadow) A+SeB/M,276,19,0
Trevenant (Shadow) SC+SeB/SB,362,13,0
Cofagrigus (Shadow) SC+SB/DP,589,8,18
Pumpkaboo (Super) A+GK/FoP,269,21,0
Bouffalant MS+St/Mh,346,13,0
Armaldo (Shadow) FC+RB/Li,712,7,43
Glalie (Shadow) PS+Av/SB,403,31,0
Castform (Snowy) PS+WBI/Bl,397,34,0
Aipom (Shadow) A+Sw/LS,549,52,10
Avalugg (Hisuian) PS+RS/IW,569,8,14
Arctibax DB+Av/DC,218,16,0
Floette VW+DG/PlB,296,35,0
Kabuto (Shadow) MS+AJ/RT,473,40,0
Kabutops FC+AJ/SE,465,3,0
Geodude (Alolan) (Shadow) VS+RT/RS,469,13,0
Watchog LK+GK/Cr,428,5,0
Pumpkaboo (Large) A+GK/FoP,285,21,0
Kleavor FC+XS/RS,712,13,43
Klawf MSl+Bd/RT,449,40,0
Delcatty Ch+WC/DV,539,0,8
Watchog (Shadow) LK+GK/Cr,574,43,15
Zoroark (Hisuian) SC+SB/FoP,673,22,35
Armaldo FC+RB/Li,693,19,39
Omanyte MS+RT/RB,529,52,6
Carracosta (Shadow) RTh+AP/Li,379,40,0
Hatterene PC+Psh/PW,494,3,0
Houndstone L+SB/PsF,420,49,0
Aipom A+Sw/LS,385,22,0
Sudowoodo C+MeB/TBl,416,28,0
Tirtouga WG+S/AP,584,0,17
Gengar (Shadow) SC+ShP/SlB,589,25,18
