Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,590,0,23
Aromatisse FW+Psh/M,419,20,0
Sealeo PS+S/BS,704,0,52
Sylveon FW+Psh/SB,438,10,0
Cetitan PS+ISp/SP,274,25,0
Sealeo (Shadow) PS+S/BS,649,0,38
Florges FW+CW/DV,490,0,0
Walrein (Shadow) W+ISp/Eq,555,0,14
Snorlax L+BS/SP,574,0,19
Lopunny LK+SB/FiP,415,20,0
Lunatone Psy+RS/WBI,665,0,42
Solrock Psy+RS/WBF,665,0,42
Snorlax (Shadow) L+BS/SP,602,5,26
Graveler (Alolan) VS+SE/RB,696,0,50
Garganacl MS+RB/RT,468,40,0
Munchlax Tk+BS/Bd,493,0,0
Dusclops H+FiP/ShP,519,0,5
Gourgeist (Large) I+SB/SeB,307,20,0
Gourgeist (Average) I+SB/SeB,313,20,0
Primarina W+HC/DV,527,0,7
Walrein W+ISp/Eq,614,0,29
Slurpuff FW+Ft/EB,431,20,0
Dusclops (Shadow) H+FiP/ShP,582,0,21
Bibarel RO+S/HF,661,0,41
Gigalith LO+SP/MeB,559,0,15
Gourgeist (Small) I+SB/SeB,322,20,0
Gourgeist (Super) I+SB/SeB,298,20,0
Graveler (Alolan) (Shadow) VS+SE/RB,221,25,0
Golem (Alolan) VS+WC/RB,200,25,0
Golem (Alolan) (Shadow) VS+WC/RB,209,5,0
Barbaracle FC+CrC/SE,649,0,38
Whimsicott FW+SeB/M,322,20,0
Bibarel (Shadow) RO+S/HF,590,0,23
Shiinotic A+SeB/M,598,0,25
Maushold MS+Sw/Cr,452,45,0
Decidueye Lf+FP/SSh,142,15,0
Froslass (Shadow) H+Av/SB,594,0,24
Dachsbun FF+PsF/PR,428,15,0
Gigalith (Shadow) LO+MeB/SP,217,5,0
Cofagrigus SC+SB/Re,578,0,20
Dedenne TS+D/PR,281,40,0
Kabuto MS+AJ/RT,669,0,43
Dewgong IS+IW/DR,704,5,52
Glalie RO+Av/SB,428,25,0
Grafaiai MSl+PF/SlB,503,0,1
Dhelmise SC+PW/BrS,433,30,0
Kabutops (Shadow) FC+AJ/SE,254,15,0
Corsola B+PG/RB,637,0,35
Froslass H+Av/SB,480,25,0
Geodude (Alolan) VS+RT/RS,614,0,29
Dewgong (Shadow) IS+AJ/DR,618,0,30
Trevenant SC+SeB/SB,480,20,0
Avalugg IF+Av/BS,413,20,0
Arboliva ML+EP/TBl,531,0,8
Shiinotic (Shadow) A+SeB/M,704,0,52
Trevenant (Shadow) SC+SeB/SB,404,20,0
Cofagrigus (Shadow) SC+SB/DP,633,30,34
Pumpkaboo (Super) A+GK/FoP,329,55,0
Bouffalant MS+St/Mh,456,30,0
Armaldo (Shadow) FC+RB/Li,519,0,5
Glalie (Shadow) PS+Av/SB,278,30,0
Castform (Snowy) PS+WBI/Bl,400,10,0
Aipom (Shadow) A+Sw/LS,704,0,52
Avalugg (Hisuian) PS+RS/IW,633,0,34
Arctibax DB+Av/DC,268,40,0
Floette VW+DG/PlB,523,0,6
Kabuto (Shadow) MS+AJ/RT,622,0,31
Kabutops FC+AJ/SE,225,15,0
Geodude (Alolan) (Shadow) VS+RT/RS,234,25,0
Watchog LK+GK/Cr,500,20,0
Pumpkaboo (Large) A+GK/FoP,345,55,0
Kleavor FC+XS/RS,539,0,10
Klawf MSl+Bd/RT,602,0,26
Delcatty Ch+WC/DV,503,0,1
Watchog (Shadow) LK+GK/Cr,368,15,0
Zoroark (Hisuian) SC+SB/FoP,685,0,47
Armaldo FC+RB/Li,645,0,37
Omanyte MS+RT/RB,665,0,42
Carracosta (Shadow) RTh+AP/Li,748,0,63
Hatterene PC+Psh/PW,629,0,33
Houndstone L+SB/PsF,610,0,28
Aipom A+Sw/LS,724,0,57
Sudowoodo C+MeB/TBl,716,0,55
Tirtouga WG+S/AP,598,0,25
Gengar (Shadow) SC+ShP/SlB,531,0,8
Omanyte (Shadow) MS+RT/RB,716,0,55
Pumpkaboo (Average) A+GK/FoP,365,55,0
