Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,414,0,0
Aromatisse FW+Psh/M,674,0,43
Sealeo PS+S/BS,455,10,0
Sylveon FW+Psh/SB,674,0,43
Cetitan PS+ISp/SP,210,20,0
Sealeo (Shadow) PS+S/BS,211,30,0
Florges FW+CW/DV,638,0,34
Walrein (Shadow) W+ISp/Eq,800,0,74
Snorlax L+BS/SP,262,40,0
Lopunny LK+SB/FiP,266,20,0
Lunatone Psy+RS/WBI,341,30,0
Solrock Psy+RS/WBF,341,30,0
Snorlax (Shadow) L+BS/SP,355,30,0
Graveler (Alolan) VS+SE/RB,707,0,51
Garganacl MS+RB/RT,605,0,26
Munchlax Tk+BS/Bd,231,40,0
Dusclops H+FiP/ShP,458,10,0
Gourgeist (Large) I+SB/SeB,459,0,0
Gourgeist (Average) I+SB/SeB,482,0,0
Primarina W+HC/DV,642,0,35
Walrein W+ISp/Eq,490,20,0
Slurpuff FW+Ft/EB,520,0,5
Dusclops (Shadow) H+FiP/ShP,577,10,19
Bibarel RO+S/HF,422,30,0
Gigalith LO+SP/MeB,536,0,9
Gourgeist (Small) I+SB/SeB,378,40,0
Gourgeist (Super) I+SB/SeB,468,0,0
Graveler (Alolan) (Shadow) VS+SE/RB,658,0,39
Golem (Alolan) VS+WC/RB,703,0,50
Golem (Alolan) (Shadow) VS+WC/RB,654,0,38
Barbaracle FC+CrC/SE,512,0,3
Whimsicott FW+SeB/M,739,0,59
Bibarel (Shadow) RO+S/HF,479,10,0
Shiinotic A+SeB/M,642,0,35
Maushold MS+Sw/Cr,279,30,0
Decidueye Lf+FP/SSh,670,0,42
Froslass (Shadow) H+Av/SB,434,30,0
Dachsbun FF+PsF/PR,366,0,0
Gigalith (Shadow) LO+MeB/SP,346,40,0
Cofagrigus SC+SB/Re,520,10,5
Dedenne TS+D/PR,788,0,71
Kabuto MS+AJ/RT,658,0,39
Dewgong IS+IW/DR,318,0,0
Glalie RO+Av/SB,203,30,0
Grafaiai MSl+PF/SlB,143,40,0
Dhelmise SC+PW/BrS,695,80,48
Kabutops (Shadow) FC+AJ/SE,397,40,0
Corsola B+PG/RB,865,0,90
Froslass H+Av/SB,353,30,0
Geodude (Alolan) VS+RT/RS,825,0,80
Dewgong (Shadow) IS+AJ/DR,458,10,0
Trevenant SC+SeB/SB,431,40,0
Avalugg IF+Av/BS,366,0,0
Arboliva ML+EP/TBl,670,0,42
Shiinotic (Shadow) A+SeB/M,552,0,13
Trevenant (Shadow) SC+SeB/SB,626,80,31
Cofagrigus (Shadow) SC+SB/DP,752,0,62
Pumpkaboo (Super) A+GK/FoP,646,10,36
Bouffalant MS+St/Mh,310,20,0
Armaldo (Shadow) FC+RB/Li,512,0,3
Glalie (Shadow) PS+Av/SB,467,0,0
Castform (Snowy) PS+WBI/Bl,366,0,0
Aipom (Shadow) A+Sw/LS,348,10,0
Avalugg (Hisuian) PS+RS/IW,418,0,0
Arctibax DB+Av/DC,268,40,0
Floette VW+DG/PlB,882,0,94
Kabuto (Shadow) MS+AJ/RT,609,0,27
Kabutops FC+AJ/SE,318,40,0
Geodude (Alolan) (Shadow) VS+RT/RS,800,0,74
Watchog LK+GK/Cr,707,0,51
Pumpkaboo (Large) A+GK/FoP,735,0,58
Kleavor FC+XS/RS,307,30,0
Klawf MSl+Bd/RT,556,30,14
Delcatty Ch+WC/DV,287,30,0
Watchog (Shadow) LK+GK/Cr,408,40,0
Zoroark (Hisuian) SC+SB/FoP,296,40,0
Armaldo FC+RB/Li,544,0,11
Omanyte MS+RT/RB,670,0,42
Carracosta (Shadow) RTh+AP/Li,654,0,38
Hatterene PC+Psh/PW,597,80,24
Houndstone L+SB/PsF,691,0,47
Aipom A+Sw/LS,340,30,0
Sudowoodo C+MeB/TBl,817,10,78
Tirtouga WG+S/AP,792,0,72
Gengar (Shadow) SC+ShP/SlB,768,60,66
Omanyte (Shadow) MS+RT/RB,626,0,31
Pumpkaboo (Average) A+GK/FoP,735,0,58
Carracosta RTh+Li/AP,703,0,50
Lycanroc (Midday) SkP+DR/TBl,666,0,41
Baxcalibur DB+GlR/Av,318,40,0
Comfey VW+GK/DK,760,0,64
Exploud A+Cr/DV,350,30,0
Rapidash (Galarian) FW+BS/Mh,540,80,10
Mr. Mime (Galarian) Cf+IP/P,678,0,44
Mr. Mime Psy+SB/P,691,0,47
Indeedee (Female) Ex+EB/P,427,40,0
Mismagius (Shadow) H+SB/DP,825,70,80
Porygon Tk+D/HB,329,30,0
Pumpkaboo (Small) A+GK/FoP,703,0,50
Omastar (Shadow) MS+RS/HP,626,0,31
Herdier SdA+Dg/Tb,626,0,31
Misdreavus Psy+SS/DP,792,0,72
Blissey ZH+WC/DG,351,40,0
Mismagius Psy+SB/DP,792,0,72
Exploud (Shadow) A+Cr/DV,324,0,0
