Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,339,30,0
Aromatisse FW+Psh/M,461,90,0
Sealeo PS+S/BS,148,0,0
Sylveon FW+Psh/SB,457,85,0
Cetitan PS+ISp/SP,282,0,0
Sealeo (Shadow) PS+S/BS,181,35,0
Florges FW+CW/DV,381,85,0
Walrein (Shadow) W+ISp/Eq,172,25,0
Snorlax L+BS/SP,302,30,0
Lopunny LK+SB/FiP,411,85,0
Lunatone Psy+RS/WBI,417,35,0
Solrock Psy+RS/WBF,389,30,0
Snorlax (Shadow) L+BS/SP,296,15,0
Graveler (Alolan) VS+SE/RB,392,35,0
Garganacl MS+RB/RT,317,0,0
Munchlax Tk+BS/Bd,334,10,0
Dusclops H+FiP/ShP,263,30,0
Gourgeist (Large) I+SB/SeB,409,15,0
Gourgeist (Average) I+SB/SeB,434,15,0
Primarina W+HC/DV,316,30,0
Walrein W+ISp/Eq,159,40,0
Slurpuff FW+Ft/EB,428,85,0
Dusclops (Shadow) H+FiP/ShP,328,30,0
Bibarel RO+S/HF,271,40,0
Gigalith LO+SP/MeB,779,85,67
Gourgeist (Small) I+SB/SeB,529,60,7
Gourgeist (Super) I+SB/SeB,430,15,0
Graveler (Alolan) (Shadow) VS+SE/RB,456,25,0
Golem (Alolan) VS+WC/RB,452,35,0
Golem (Alolan) (Shadow) VS+WC/RB,448,25,0
Barbaracle FC+CrC/SE,195,15,0
Whimsicott FW+SeB/M,783,60,68
Bibarel (Shadow) RO+S/HF,285,30,0
Shiinotic A+SeB/M,447,55,0
Maushold MS+Sw/Cr,386,75,0
Decidueye Lf+FP/SSh,704,55,49
Froslass (Shadow) H+Av/SB,257,15,0
Dachsbun FF+PsF/PR,250,15,0
Gigalith (Shadow) LO+MeB/SP,758,75,62
Cofagrigus SC+SB/Re,256,15,0
Dedenne TS+D/PR,481,80,0
Kabuto MS+AJ/RT,333,80,0
Dewgong IS+IW/DR,159,20,0
Glalie RO+Av/SB,235,0,0
Grafaiai MSl+PF/SlB,516,75,4
Dhelmise SC+PW/BrS,595,45,23
Kabutops (Shadow) FC+AJ/SE,225,5,0
Corsola B+PG/RB,246,0,0
Froslass H+Av/SB,273,30,0
Geodude (Alolan) VS+RT/RS,451,45,0
Dewgong (Shadow) IS+AJ/DR,178,10,0
Trevenant SC+SeB/SB,500,15,0
Avalugg IF+Av/BS,291,10,0
Arboliva ML+EP/TBl,620,55,29
Shiinotic (Shadow) A+SeB/M,394,0,0
Trevenant (Shadow) SC+SeB/SB,562,45,15
Cofagrigus (Shadow) SC+SB/DP,252,5,0
Pumpkaboo (Super) A+GK/FoP,354,5,0
Bouffalant MS+St/Mh,434,85,0
Armaldo (Shadow) FC+RB/Li,317,0,0
Glalie (Shadow) PS+Av/SB,310,5,0
Castform (Snowy) PS+WBI/Bl,267,15,0
Aipom (Shadow) A+Sw/LS,270,0,0
Avalugg (Hisuian) PS+RS/IW,241,5,0
Arctibax DB+Av/DC,374,30,0
Floette VW+DG/PlB,575,100,18
