Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,520,1,5
Aromatisse FW+Psh/M,320,22,0
Sealeo PS+S/BS,386,30,0
Sylveon FW+Psh/SB,346,22,0
Cetitan PS+ISp/SP,408,6,0
Sealeo (Shadow) PS+S/BS,437,22,0
Florges FW+CW/DV,345,30,0
Walrein (Shadow) W+ISp/Eq,470,22,0
Snorlax L+BS/SP,740,1,60
Lopunny LK+SB/FiP,423,30,0
Lunatone Psy+RS/WBI,413,27,0
Solrock Psy+RS/WBF,413,27,0
Snorlax (Shadow) L+BS/SP,500,46,0
Graveler (Alolan) VS+SE/RB,340,11,0
Garganacl MS+RB/RT,448,6,0
Munchlax Tk+BS/Bd,556,1,14
Dusclops H+FiP/ShP,640,22,35
Gourgeist (Large) I+SB/SeB,356,35,0
Gourgeist (Average) I+SB/SeB,360,35,0
Primarina W+HC/DV,424,22,0
Walrein W+ISp/Eq,415,30,0
Slurpuff FW+Ft/EB,345,30,0
Dusclops (Shadow) H+FiP/ShP,560,6,15
Bibarel RO+S/HF,608,30,27
Gigalith LO+SP/MeB,414,19,0
Gourgeist (Small) I+SB/SeB,373,35,0
Gourgeist (Super) I+SB/SeB,348,35,0
Graveler (Alolan) (Shadow) VS+SE/RB,443,11,0
Golem (Alolan) VS+WC/RB,380,11,0
Golem (Alolan) (Shadow) VS+WC/RB,418,3,0
Barbaracle FC+CrC/SE,339,11,0
Whimsicott FW+SeB/M,322,22,0
Bibarel (Shadow) RO+S/HF,580,6,20
Shiinotic A+SeB/M,504,4,1
Maushold MS+Sw/Cr,560,46,15
Decidueye Lf+FP/SSh,394,11,0
Froslass (Shadow) H+Av/SB,496,43,0
Dachsbun FF+PsF/PR,308,22,0
Gigalith (Shadow) LO+MeB/SP,119,32,0
Cofagrigus SC+SB/Re,572,6,18
Dedenne TS+D/PR,372,22,0
Kabuto MS+AJ/RT,632,27,33
Dewgong IS+IW/DR,612,1,28
Glalie RO+Av/SB,467,38,0
Grafaiai MSl+PF/SlB,473,22,0
Dhelmise SC+PW/BrS,520,43,5
Kabutops (Shadow) FC+AJ/SE,532,11,8
Corsola B+PG/RB,552,6,13
Froslass H+Av/SB,434,43,0
Geodude (Alolan) VS+RT/RS,504,43,1
Dewgong (Shadow) IS+AJ/DR,508,1,2
Trevenant SC+SeB/SB,412,35,0
Avalugg IF+Av/BS,358,6,0
Arboliva ML+EP/TBl,552,14,13
Shiinotic (Shadow) A+SeB/M,394,22,0
Trevenant (Shadow) SC+SeB/SB,477,35,0
Cofagrigus (Shadow) SC+SB/DP,608,6,27
Pumpkaboo (Super) A+GK/FoP,596,6,24
Bouffalant MS+St/Mh,489,38,0
Armaldo (Shadow) FC+RB/Li,426,11,0
Glalie (Shadow) PS+Av/SB,453,6,0
Castform (Snowy) PS+WBI/Bl,407,22,0
Aipom (Shadow) A+Sw/LS,708,6,52
Avalugg (Hisuian) PS+RS/IW,560,35,15
Arctibax DB+Av/DC,450,14,0
Floette VW+DG/PlB,508,4,2
Kabuto (Shadow) MS+AJ/RT,604,11,26
Kabutops FC+AJ/SE,441,11,0
