Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,461,4,0
Kingdra DB+O/Sw,500,37,0
Ludicolo A+WBW/EB,790,41,79
Lanturn Sp+S/Tb,463,3,0
Cradily BS+RT/GK,871,65,101
Kingdra (Shadow) DB+Sw/O,713,50,58
Abomasnow Lf+WBI/EB,830,32,90
Abomasnow (Shadow) Lf+WBI/EB,827,63,89
Araquanid BBi+BBu/BuB,500,1,0
Empoleon MSo+HC/DrlP,397,3,0
Lapras Psy+SpA/SkB,716,3,59
Sandslash (Alolan) SC+IP/DR,584,1,23
Carbink RTh+RS/M,281,42,0
Sandslash (Alolan) (Shadow) SC+IP/DR,650,0,41
Cradily (Shadow) Ac+RT/GK,790,56,79
Empoleon (Shadow) MSo+HC/DrlP,566,40,18
Toxapex PJ+Bri/SW,698,1,54
Bastiodon SD+SE/Ft,338,26,0
Barbaracle FC+CrC/SE,439,19,0
Tentacruel Ac+Sc/Pbk,569,1,19
Gyarados DB+AT/Tw,591,40,25
Bastiodon (Shadow) SD+SE/Ft,417,24,0
Golisopod FC+XS/AJ,533,28,9
Lileep Ac+AP/GK,838,50,92
Seaking Pk+DR/Mh,588,65,24
Gastrodon MSl+BS/EP,694,0,53
Pelipper WA+WBW/Hu,313,5,0
Arctibax DB+Av/DC,628,34,35
Araquanid (Shadow) BBi+BBu/WP,544,6,12
Quaquaval LK+CC/HC,705,40,56
Milotic (Shadow) DT+AT/Wr,599,59,27
Mantine WA+Tw/AA,338,40,0
Lileep (Shadow) Ac+AP/GK,827,35,89
Gyarados (Shadow) DB+AT/Tw,479,34,0
Samurott FC+HC/Mh,654,62,42
Samurott (Shadow) FC+HC/Mh,727,41,62
Tentacruel (Shadow) Ac+Sc/Pbk,381,9,0
Qwilfish (Shadow) PSt+AT/SB,495,40,0
Starmie (Shadow) Psy+AJ/PG,808,54,84
Crustle FC+XS/RW,452,22,0
Tauros (Aqua) DK+AJ/TBl,464,18,0
Qwilfish PSt+AT/SB,636,0,37
Dewott (Shadow) FC+AT/XS,724,47,61
Swampert MS+HC/Eq,797,62,81
Azumarill B+IB/PR,468,41,0
Slowbro Cf+DrP/P,750,56,68
Blastoise RO+HC/SkB,569,0,19
Poliwrath (Shadow) MS+IW/DyP,757,0,70
Dewott FC+AT/XS,621,31,33
Baxcalibur DB+GlR/Av,705,50,56
Milotic DT+AT/Wr,547,0,13
Quagsire MS+AT/MB,761,40,71
Bruxish Cf+AT/PsF,808,60,84
Lairon MSo+RT/BS,487,13,0
Slowbro (Shadow) Cf+DrP/P,735,38,64
Starmie Psy+AJ/PG,775,23,75
Quagsire (Shadow) MS+AT/MB,713,40,58
Lapras (Shadow) Psy+SpA/SkB,691,3,52
Regirock LO+SE/FB,591,34,25
Walrein PS+ISp/Eq,742,34,66
Poliwrath MS+IW/DyP,713,1,58
Golem (Alolan) (Shadow) VS+WC/RB,522,47,6
Crustle (Shadow) FC+XS/RW,713,47,58
Aron MSo+RT/BS,425,33,0
Aurorus PS+WBI/MeB,432,5,0
Swampert (Shadow) MS+HC/Eq,897,41,108
Froslass H+Av/SB,438,18,0
Ninetales E+WBF/EB,496,24,0
Swanna G+AJ/Fl,343,10,0
Feraligatr (Shadow) SC+HC/Cr,772,53,74
Politoed (Shadow) MS+WBW/Eq,812,65,85
Probopass Sp+RS/ZC,555,1,15
Blastoise (Shadow) RO+HC/SkB,639,59,38
Swanna (Shadow) G+AJ/Fl,305,41,0
Probopass (Shadow) Sp+RS/ZC,352,43,0
Castform (Sunny) E+WBF/SoB,428,18,0
Tyrunt DT+RT/St,757,56,70
Feraligatr SC+HC/Cr,790,53,79
Lumineon G+AT/SvW,445,40,0
Solrock Psy+WBF/RS,823,32,88
Walrein (Shadow) PS+ISp/Eq,702,34,55
Naclstack MS+RT/RB,613,12,31
Froslass (Shadow) H+Av/SB,469,40,0
Primarina W+DV/HC,621,1,33
Dondozo W+S/O,735,9,64
Ninetales (Shadow) E+WBF/EB,562,0,17
Samurott (Hisuian) FC+DP/XS,863,57,99
Greninja (Shadow) WSh+HC/NS,922,51,115
Graveler (Alolan) (Shadow) VS+SE/RB,544,47,12
Tapu Fini WG+S/NM,639,21,38
Blaziken (Shadow) E+AuS/BB,344,40,0
Garganacl MS+RT/RB,613,3,31
Palkia (Shadow) DB+AT/DM,731,35,63
Kabutops FC+AJ/SE,808,38,84
Lunatone Psy+WBI/RS,823,32,88
Sealeo PS+S/BS,669,0,46
Turtonator E+BrS/DC,569,1,19
Whiscash MS+MB/Sc,801,6,82
Lairon (Shadow) MSo+RT/BS,503,24,1
Tyrantrum DT+RT/Cr,757,59,70
Golem (Alolan) VS+WC/RB,431,19,0
Politoed MS+WBW/Eq,779,6,76
Aron (Shadow) MSo+RT/BS,595,0,26
Sandshrew (Alolan) (Shadow) PS+NS/GB,613,0,31
Whiscash (Shadow) MS+MB/Sc,775,28,75
Wailmer (Shadow) RO+Sc/BS,595,5,26
Aggron DT+RT/T,452,36,0
Frigibax DB+Av/DC,705,50,56
Graveler (Alolan) VS+SE/RB,435,19,0
Seismitoad MS+EP/IW,772,12,74
Bibarel (Shadow) RO+S/HF,742,50,66
Golduck (Shadow) Cf+CrC/Li,724,56,61
Alomomola W+HP/P,790,1,79
Sealeo (Shadow) PS+S/BS,613,0,31
Dewgong IS+IW/DR,750,1,68
Glalie RO+Av/SB,764,65,72
Urshifu (Rapid Strike) C+AJ/DyP,735,40,64
Marshtomp MS+S/Sl,783,65,77
Sandshrew (Alolan) PS+NS/GB,580,1,22
Castform (Rainy) WG+WBW/T,790,28,79
Kabutops (Shadow) FC+AJ/SE,735,38,64
Frillish H+NSh/IB,533,1,9
Ninetales (Alolan) (Shadow) Ch+WBI/Psh,591,0,25
Slowpoke Cf+Psh/WP,797,41,81
Wailmer RO+Sc/BS,591,40,25
Gigalith (Shadow) LO+SP/MeB,889,47,106
Slowpoke (Shadow) Cf+Psh/WP,761,32,71
Wailord RO+S/Re,731,40,63
Articuno PS+IW/Hu,522,4,6
Greninja WSh+HC/NS,926,60,116
Tyrunt (Shadow) DT+RT/St,764,38,72
Tyranitar DB+BrS/SE,863,60,99
Marshtomp (Shadow) MS+S/Sl,738,65,65
Palpitoad MS+EP/WP,797,40,81
Geodude (Alolan) (Shadow) VS+RT/RS,551,56,14
Ninetales (Alolan) Ch+WBI/Psh,547,1,13
Tyrantrum (Shadow) DT+Cr/RT,742,47,66
Golduck Cf+CrC/Li,768,56,73
Regirock (Shadow) LO+SE/FB,536,31,10
Rhyperior (Shadow) MSl+DR/RW,812,41,85
Rotom (Wash) TS+Tb/HP,735,53,64
Bibarel RO+S/HF,720,31,60
Regice LO+Bl/T,672,34,47
Cetitan PS+ISp/SP,731,40,63
Gigalith LO+SP/MeB,889,47,106
Typhlosion (Hisuian) E+SB/WC,472,40,0
Armaldo (Shadow) FC+RB/Li,750,29,68
Tauros (Blaze) DK+FmC/TBl,650,3,41
Tyranitar (Shadow) DB+BrS/SE,808,54,84
Dewgong (Shadow) IS+IW/DR,757,12,70
Glalie (Shadow) RO+Av/SB,724,65,61
Blaziken E+AuS/BB,536,0,10
Marowak (Alolan) FS+BC/SBo,304,27,0
Aerodactyl DB+RS/EP,495,37,0
Cetoddle PS+Av/BS,661,0,44
Geodude (Alolan) VS+RT/RS,486,28,0
Kleavor FC+XS/RS,735,38,64
Regice (Shadow) LO+Bl/T,860,31,98
Amaura PS+WBI/Tb,625,0,34
Wailord (Shadow) RO+S/HB,698,62,54
Lampent (Shadow) E+HW/EB,588,3,24
Quaxwell WA+AJ/AA,632,65,36
Marowak (Alolan) (Shadow) FS+SBo/BC,448,0,0
Rapidash I+DR/WC,491,28,0
Magmortar (Shadow) KC+FiP/Tb,569,28,19
Kabuto MS+AJ/RT,900,56,109
Rapidash (Shadow) I+DR/WC,491,28,0
Aurorus (Shadow) PS+WBI/MeB,746,59,67
Typhlosion (Shadow) I+BB/TP,393,10,0
Kabuto (Shadow) MS+AJ/RT,911,32,112
Magmar (Shadow) KC+FiP/ScS,705,34,56
Aerodactyl (Shadow) DB+RS/EP,445,25,0
Omanyte MS+RT/RB,650,62,41
Omanyte (Shadow) MS+RT/RB,889,47,106
Rhyperior MSl+DR/RW,812,19,85
Fletchinder (Shadow) Pk+Fl/HW,251,25,0
Amaura (Shadow) PS+WBI/Tb,816,59,86
Fletchinder Pk+Fl/HW,251,25,0
Vanillish A+IW/SiB,724,65,61
Snover PS+EB/IB,871,32,101
Crawdaunt (Shadow) W+NS/Sc,893,42,107
Aggron (Shadow) DT+RT/T,507,12,2
Slowking (Shadow) Cf+S/Bl,738,32,65
Articuno (Shadow) PS+TAx/Hu,325,37,0
Lampent E+HW/EB,533,15,9
Victini Cf+VC/Psh,724,56,61
Piloswine (Shadow) PS+ISp/SE,827,53,89
Castform (Snowy) PS+WBI/Bl,768,28,73
Reshiram (Shadow) DB+FuF/DM,617,5,32
Armarouge I+Psh/HW,727,47,62
Slowking Cf+S/Bl,753,47,69
Omastar MS+RS/HP,650,28,41
Omastar (Shadow) MS+RS/HP,897,41,108
Skeledirge I+TSo/SB,294,40,0
Snover (Shadow) PS+EB/IB,886,23,105
Armaldo FC+RB/Li,713,47,58
Tentacool (Shadow) PSt+Wr/WP,380,46,0
Wartortle WG+AJ/IB,702,6,55
Avalugg IF+Av/BS,650,0,41
Corsola B+PG/RB,658,0,43
Magmar KC+FiP/ScS,750,34,68
Magby KC+FiP/BkB,625,40,34
Shellos MSl+BS/WP,750,0,68
Tentacool PSt+Wr/WP,518,1,5
