Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,246,54,0
Kingdra DB+O/Sw,110,15,0
Ludicolo A+WBW/EB,97,15,0
Lanturn Sp+S/Tb,162,33,0
Cradily BS+RT/GK,177,15,0
Kingdra (Shadow) DB+Sw/O,110,15,0
Abomasnow Lf+WBI/EB,150,3,0
Abomasnow (Shadow) Lf+WBI/EB,150,3,0
Araquanid BBi+BBu/BuB,132,45,0
Empoleon MSo+HC/DrlP,299,48,0
Lapras Psy+SpA/SkB,209,51,0
Sandslash (Alolan) SC+IP/DR,260,36,0
Carbink RTh+RS/M,345,69,0
Sandslash (Alolan) (Shadow) SC+IP/DR,388,36,0
Cradily (Shadow) Ac+RT/GK,243,21,0
Empoleon (Shadow) MSo+HC/DrlP,266,36,0
Toxapex PJ+Bri/SW,152,45,0
Bastiodon SD+SE/Ft,510,0,3
Barbaracle FC+CrC/SE,300,42,0
Tentacruel Ac+Sc/Pbk,255,39,0
Gyarados DB+AT/Tw,260,33,0
Bastiodon (Shadow) SD+SE/Ft,684,0,54
Golisopod FC+XS/AJ,300,36,0
Lileep Ac+AP/GK,175,3,0
Seaking Pk+DR/Mh,235,36,0
Gastrodon MSl+BS/EP,244,21,0
Pelipper WA+WBW/Hu,273,33,0
Arctibax DB+Av/DC,188,24,0
Araquanid (Shadow) BBi+BBu/WP,261,45,0
Quaquaval LK+CC/HC,212,15,0
Milotic (Shadow) DT+AT/Wr,248,36,0
Mantine WA+Tw/AA,144,42,0
Lileep (Shadow) Ac+AP/GK,251,15,0
Gyarados (Shadow) DB+AT/Tw,243,27,0
Samurott FC+HC/Mh,187,15,0
Samurott (Shadow) FC+HC/Mh,187,15,0
Tentacruel (Shadow) Ac+Sc/Pbk,225,27,0
Qwilfish (Shadow) PSt+AT/SB,207,15,0
Starmie (Shadow) Psy+AJ/PG,235,12,0
Crustle FC+XS/RW,421,12,0
Tauros (Aqua) DK+AJ/TBl,223,15,0
Qwilfish PSt+AT/SB,264,36,0
Dewott (Shadow) FC+AT/XS,202,27,0
Swampert MS+HC/Eq,389,45,0
Azumarill B+IB/PR,489,27,0
Slowbro Cf+DrP/P,232,39,0
Blastoise RO+HC/SkB,257,54,0
Poliwrath (Shadow) MS+IW/DyP,237,36,0
Dewott FC+AT/XS,218,36,0
Baxcalibur DB+GlR/Av,192,9,0
Milotic DT+AT/Wr,270,45,0
Quagsire MS+AT/MB,338,48,0
Bruxish Cf+AT/PsF,217,15,0
Lairon MSo+RT/BS,461,28,0
Slowbro (Shadow) Cf+DrP/P,204,27,0
Starmie Psy+AJ/PG,283,27,0
Quagsire (Shadow) MS+AT/MB,282,30,0
Lapras (Shadow) Psy+SpA/SkB,175,33,0
Regirock LO+SE/FB,473,100,0
Walrein PS+ISp/Eq,262,60,0
Poliwrath MS+IW/DyP,237,36,0
Golem (Alolan) (Shadow) VS+WC/RB,452,3,0
Crustle (Shadow) FC+XS/RW,421,12,0
Aron MSo+RT/BS,640,100,41
Aurorus PS+WBI/MeB,381,18,0
Swampert (Shadow) MS+HC/Eq,279,15,0
Froslass H+Av/SB,396,42,0
Ninetales E+WBF/EB,534,96,10
Swanna G+AJ/Fl,220,27,0
Feraligatr (Shadow) SC+HC/Cr,260,36,0
Politoed (Shadow) MS+WBW/Eq,233,36,0
Probopass Sp+RS/ZC,478,100,0
Blastoise (Shadow) RO+HC/SkB,219,24,0
Swanna (Shadow) G+AJ/Fl,220,27,0
Probopass (Shadow) Sp+RS/ZC,382,15,0
Castform (Sunny) E+WBF/SoB,373,6,0
Tyrunt DT+RT/St,375,36,0
Feraligatr SC+HC/Cr,276,42,0
Lumineon G+AT/SvW,281,54,0
Solrock Psy+WBF/RS,417,15,0
Walrein (Shadow) PS+ISp/Eq,204,33,0
Naclstack MS+RT/RB,578,3,23
Froslass (Shadow) H+Av/SB,292,15,0
Primarina W+DV/HC,343,54,0
Dondozo W+S/O,561,0,18
Ninetales (Shadow) E+WBF/EB,480,15,0
Samurott (Hisuian) FC+DP/XS,208,21,0
