Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,597,43,28
Kingdra DB+O/Sw,436,43,0
Ludicolo A+WBW/EB,406,56,0
Lanturn Sp+S/Tb,750,56,72
Cradily BS+RT/GK,475,8,0
Kingdra (Shadow) DB+Sw/O,453,17,0
Abomasnow Lf+WBI/EB,405,17,0
Abomasnow (Shadow) Lf+WBI/EB,468,17,0
Araquanid BBi+BBu/BuB,279,43,0
Empoleon MSo+HC/DrlP,430,30,0
Lapras Psy+SpA/SkB,477,43,0
Sandslash (Alolan) SC+IP/DR,272,30,0
Carbink RTh+RS/M,621,6,35
Sandslash (Alolan) (Shadow) SC+IP/DR,348,30,0
Cradily (Shadow) Ac+RT/GK,600,6,29
Empoleon (Shadow) MSo+HC/DrlP,506,17,2
Toxapex PJ+Bri/SW,513,8,4
Bastiodon SD+SE/Ft,406,62,0
Barbaracle FC+CrC/SE,607,4,31
Tentacruel Ac+Sc/Pbk,631,6,38
Gyarados DB+AT/Tw,718,4,63
Bastiodon (Shadow) SD+SE/Ft,363,32,0
Golisopod FC+XS/AJ,495,4,0
Lileep Ac+AP/GK,517,8,5
Seaking Pk+DR/Mh,562,4,18
Gastrodon MSl+BS/EP,815,4,91
Pelipper WA+WBW/Hu,600,30,29
Arctibax DB+Av/DC,413,4,0
Araquanid (Shadow) BBi+BBu/WP,375,43,0
Quaquaval LK+CC/HC,208,41,0
Milotic (Shadow) DT+AT/Wr,746,4,71
Mantine WA+Tw/AA,652,6,44
Lileep (Shadow) Ac+AP/GK,607,6,31
Gyarados (Shadow) DB+AT/Tw,652,4,44
Samurott FC+HC/Mh,209,54,0
Samurott (Shadow) FC+HC/Mh,238,54,0
Tentacruel (Shadow) Ac+Sc/Pbk,541,6,12
Qwilfish (Shadow) PSt+AT/SB,666,4,48
Starmie (Shadow) Psy+AJ/PG,572,4,21
Crustle FC+XS/RW,143,54,0
Tauros (Aqua) DK+AJ/TBl,545,4,13
Qwilfish PSt+AT/SB,455,30,0
Dewott (Shadow) FC+AT/XS,503,4,1
Swampert MS+HC/Eq,729,4,66
Azumarill B+IB/PR,569,6,20
Slowbro Cf+DrP/P,625,6,36
Blastoise RO+HC/SkB,750,17,72
Poliwrath (Shadow) MS+IW/DyP,600,4,29
Dewott FC+AT/XS,579,4,23
Baxcalibur DB+GlR/Av,98,54,0
Milotic DT+AT/Wr,763,17,76
Quagsire MS+AT/MB,815,4,91
Bruxish Cf+AT/PsF,635,4,39
Lairon MSo+RT/BS,271,30,0
Slowbro (Shadow) Cf+DrP/P,746,4,71
Starmie Psy+AJ/PG,642,4,41
Quagsire (Shadow) MS+AT/MB,777,4,80
Lapras (Shadow) Psy+SpA/SkB,673,4,50
Regirock LO+SE/FB,434,4,0
Walrein PS+ISp/Eq,510,17,3
Poliwrath MS+IW/DyP,652,4,44
Golem (Alolan) (Shadow) VS+WC/RB,746,4,71
Crustle (Shadow) FC+XS/RW,126,41,0
Aron MSo+RT/BS,291,30,0
Aurorus PS+WBI/MeB,513,4,4
Swampert (Shadow) MS+HC/Eq,697,4,57
Froslass H+Av/SB,555,43,16
Ninetales E+WBF/EB,538,6,11
Swanna G+AJ/Fl,760,4,75
Feraligatr (Shadow) SC+HC/Cr,614,4,33
Politoed (Shadow) MS+WBW/Eq,784,4,82
Probopass Sp+RS/ZC,559,45,17
Blastoise (Shadow) RO+HC/SkB,718,4,63
Swanna (Shadow) G+AJ/Fl,725,4,65
Probopass (Shadow) Sp+RS/ZC,701,6,58
Castform (Sunny) E+WBF/SoB,548,6,14
Tyrunt DT+RT/St,403,56,0
Feraligatr SC+HC/Cr,684,4,53
Lumineon G+AT/SvW,628,30,37
Solrock Psy+WBF/RS,690,4,55
Walrein (Shadow) PS+ISp/Eq,162,41,0
Naclstack MS+RT/RB,621,6,35
Froslass (Shadow) H+Av/SB,531,4,9
Primarina W+DV/HC,611,4,32
Dondozo W+S/O,517,6,5
Ninetales (Shadow) E+WBF/EB,484,43,0
Samurott (Hisuian) FC+DP/XS,565,4,19
Greninja (Shadow) WSh+HC/NS,656,4,45
Graveler (Alolan) (Shadow) VS+SE/RB,750,4,72
Tapu Fini WG+S/NM,680,4,52
Blaziken (Shadow) E+AuS/BB,121,41,0
Garganacl MS+RT/RB,611,6,32
Palkia (Shadow) DB+AT/DM,736,4,68
Kabutops FC+AJ/SE,357,54,0
Lunatone Psy+WBI/RS,680,4,52
Sealeo PS+S/BS,559,43,17
Turtonator E+BrS/DC,569,6,20
Whiscash MS+MB/Sc,770,4,78
Lairon (Shadow) MSo+RT/BS,398,4,0
Tyrantrum DT+RT/Cr,579,6,23
Golem (Alolan) VS+WC/RB,784,4,82
Politoed MS+WBW/Eq,805,4,88
Aron (Shadow) MSo+RT/BS,397,4,0
Sandshrew (Alolan) (Shadow) PS+NS/GB,86,41,0
Whiscash (Shadow) MS+MB/Sc,718,4,63
Wailmer (Shadow) RO+Sc/BS,687,4,54
Aggron DT+RT/T,485,6,0
Frigibax DB+Av/DC,503,4,1
Graveler (Alolan) VS+SE/RB,798,4,86
Seismitoad MS+EP/IW,732,4,67
Bibarel (Shadow) RO+S/HF,711,4,61
Golduck (Shadow) Cf+CrC/Li,628,4,37
Alomomola W+HP/P,628,6,37
Sealeo (Shadow) PS+S/BS,562,4,18
Dewgong IS+IW/DR,524,6,7
Glalie RO+Av/SB,453,43,0
Urshifu (Rapid Strike) C+AJ/DyP,607,4,31
Marshtomp MS+S/Sl,774,4,79
Sandshrew (Alolan) PS+NS/GB,98,54,0
Castform (Rainy) WG+WBW/T,722,4,64
Kabutops (Shadow) FC+AJ/SE,436,54,0
Frillish H+NSh/IB,666,4,48
Ninetales (Alolan) (Shadow) Ch+WBI/Psh,527,30,8
Slowpoke Cf+Psh/WP,687,17,54
Wailmer RO+Sc/BS,729,4,66
Gigalith (Shadow) LO+SP/MeB,687,4,54
Slowpoke (Shadow) Cf+Psh/WP,767,4,77
Wailord RO+S/Re,760,4,75
Articuno PS+IW/Hu,452,43,0
Greninja WSh+HC/NS,715,4,62
Tyrunt (Shadow) DT+RT/St,461,43,0
Tyranitar DB+BrS/SE,628,4,37
Marshtomp (Shadow) MS+S/Sl,711,4,61
Palpitoad MS+EP/WP,750,4,72
Geodude (Alolan) (Shadow) VS+RT/RS,843,4,99
Ninetales (Alolan) Ch+WBI/Psh,562,6,18
Tyrantrum (Shadow) DT+Cr/RT,510,6,3
Golduck Cf+CrC/Li,687,4,54
Regirock (Shadow) LO+SE/FB,909,4,118
Rhyperior (Shadow) MSl+DR/RW,746,4,71
Rotom (Wash) TS+Tb/HP,913,4,119
Bibarel RO+S/HF,753,4,73
Regice LO+Bl/T,565,6,19
Cetitan PS+ISp/SP,438,4,0
Gigalith LO+SP/MeB,715,4,62
Typhlosion (Hisuian) E+SB/WC,621,4,35
Armaldo (Shadow) FC+RB/Li,156,41,0
Tauros (Blaze) DK+FmC/TBl,377,43,0
Tyranitar (Shadow) DB+BrS/SE,649,4,43
Dewgong (Shadow) IS+IW/DR,445,43,0
Glalie (Shadow) RO+Av/SB,555,17,16
Blaziken E+AuS/BB,403,17,0
Marowak (Alolan) FS+BC/SBo,541,6,12
Aerodactyl DB+RS/EP,673,4,50
Cetoddle PS+Av/BS,100,41,0
Geodude (Alolan) VS+RT/RS,864,4,105
Kleavor FC+XS/RS,139,41,0
Regice (Shadow) LO+Bl/T,468,56,0
Amaura PS+WBI/Tb,555,4,16
Wailord (Shadow) RO+S/HB,718,4,63
Lampent (Shadow) E+HW/EB,652,4,44
Quaxwell WA+AJ/AA,732,4,67
Marowak (Alolan) (Shadow) FS+SBo/BC,468,56,0
Rapidash I+DR/WC,687,4,54
Magmortar (Shadow) KC+FiP/Tb,555,4,16
Kabuto MS+AJ/RT,756,4,74
Rapidash (Shadow) I+DR/WC,621,4,35
Aurorus (Shadow) PS+WBI/MeB,198,54,0
Typhlosion (Shadow) I+BB/TP,106,54,0
Kabuto (Shadow) MS+AJ/RT,694,4,56
Magmar (Shadow) KC+FiP/ScS,572,4,21
Aerodactyl (Shadow) DB+RS/EP,597,4,28
Omanyte MS+RT/RB,763,4,76
Omanyte (Shadow) MS+RT/RB,701,4,58
Rhyperior MSl+DR/RW,649,4,43
Fletchinder (Shadow) Pk+Fl/HW,614,4,33
Amaura (Shadow) PS+WBI/Tb,196,54,0
Fletchinder Pk+Fl/HW,645,4,42
Vanillish A+IW/SiB,590,6,26
Snover PS+EB/IB,454,30,0
Crawdaunt (Shadow) W+NS/Sc,583,4,24
Aggron (Shadow) DT+RT/T,541,6,12
Slowking (Shadow) Cf+S/Bl,746,4,71
Articuno (Shadow) PS+TAx/Hu,101,54,0
Lampent E+HW/EB,694,30,56
Victini Cf+VC/Psh,614,6,33
Piloswine (Shadow) PS+ISp/SE,185,41,0
Castform (Snowy) PS+WBI/Bl,407,17,0
Reshiram (Shadow) DB+FuF/DM,513,4,4
Armarouge I+Psh/HW,628,17,37
Slowking Cf+S/Bl,781,4,81
Omastar MS+RS/HP,763,4,76
Omastar (Shadow) MS+RS/HP,708,4,60
Skeledirge I+TSo/SB,446,43,0
Snover (Shadow) PS+EB/IB,552,4,15
Armaldo FC+RB/Li,597,4,28
Tentacool (Shadow) PSt+Wr/WP,534,56,10
Wartortle WG+AJ/IB,649,43,43
Avalugg IF+Av/BS,385,17,0
Corsola B+PG/RB,784,4,82
Magmar KC+FiP/ScS,628,4,37
Magby KC+FiP/BkB,552,4,15
Shellos MSl+BS/WP,843,4,99
Tentacool PSt+Wr/WP,611,6,32
Typhlosion I+BB/TP,531,17,9
Blacephalon I+MdB/SB,148,54,0
Skrelp Ac+AT/Tw,590,6,26
Lombre B+Sc/GK,666,6,48
Piloswine PS+ISp/SE,162,41,0
Crawdaunt W+NS/Sc,645,4,42
Magmortar KC+FiP/Tb,625,4,36
Relicanth WG+AT/AP,829,4,95
Rotom (Frost) TS+Tb/Bl,913,4,119
Jynx Cf+Av/Psh,739,4,69
Talonflame I+Fl/BrB,527,4,8
Avalugg (Hisuian) PS+RS/IW,413,17,0
Stakataka RTh+SE/FC,600,6,29
Vaporeon WG+AT/LR,729,4,66
Mamoswine (Shadow) PS+ISp/SE,257,41,0
Moltres (Shadow) WA+Fl/HW,590,4,26
Mantyke B+WP/AA,725,6,65
Mr. Rime Cf+IW/P,545,6,13
Sudowoodo C+MeB/TBl,718,4,63
Wartortle (Shadow) WG+AJ/IB,777,4,80
Brionne Ch+AJ/DV,815,4,91
Graveler (Shadow) MSl+RS/Dg,760,4,75
Combusken (Shadow) E+RS/FmC,454,43,0
Floatzel W+AJ/Sw,604,4,30
Klawf MSl+Bd/RT,829,4,95
Lycanroc (Dusk) SkP+SE/TBl,750,4,72
Smoochum PS+Psh/IP,150,41,0
Lycanroc (Midnight) C+SE/PsF,677,4,51
Camerupt I+EP/RT,448,43,0
Camerupt (Shadow) I+EP/RT,164,54,0
Centiskorch E+Lu/HW,466,30,0
Charizard (Shadow) E+BB/AC,569,4,20
Heatran (Shadow) FS+MgS/EP,404,56,0
Pignite E+RT/FmC,510,45,3
Magcargo E+RT/Ov,524,6,7
Diancie RTh+RS/M,760,4,75
Lycanroc (Midday) SkP+DR/SE,628,4,37
Moltres WA+Fl/HW,659,4,46
Sudowoodo (Shadow) C+MeB/TBl,649,4,43
Braixen (Shadow) E+Psh/FmC,673,4,50
Croconaw (Shadow) WG+IP/WP,777,4,80
Suicune IF+BuB/Sc,416,30,0
Chinchou B+WP/Tb,871,4,107
Poliwhirl B+Sc/MB,843,4,99
Rhyhorn (Shadow) MSl+Bd/St,711,4,61
Salazzle I+PF/DgP,631,4,38
Torkoal E+FW/Ov,593,6,27
Combusken E+RS/FmC,506,6,2
Emboar (Shadow) E+BB/HW,452,30,0
Mamoswine PS+ISp/SE,206,41,0
Goldeen Pk+AT/HA,739,4,69
Seadra DB+HP/DgP,822,4,93
Tirtouga WG+S/BS,822,4,93
Carkol SD+RS/FmC,670,6,49
Incineroar FF+BrS/BB,488,56,0
Delphox (Shadow) FS+Psh/BB,572,4,21
Heatran FS+MgS/EP,353,56,0
Tirtouga (Shadow) WG+S/BS,777,4,80
Mr. Mime (Galarian) Cf+IP/TAx,753,4,73
Huntail WG+AT/Cr,673,4,50
Rhydon (Shadow) MSl+SE/S,746,4,71
Suicune (Shadow) IF+BuB/Sc,576,30,22
