Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,339,1,0
Kingdra DB+O/Sw,300,14,0
Ludicolo A+WBW/EB,250,1,0
Lanturn Sp+S/Tb,252,40,0
Cradily BS+RT/GK,204,4,0
Kingdra (Shadow) DB+Sw/O,360,14,0
Abomasnow Lf+WBI/EB,150,36,0
Abomasnow (Shadow) Lf+WBI/EB,174,36,0
Araquanid BBi+BBu/BuB,477,15,0
Empoleon MSo+HC/DrlP,385,40,0
Lapras Psy+SpA/SkB,377,8,0
Sandslash (Alolan) SC+IP/DR,320,40,0
Carbink RTh+RS/M,313,1,0
Sandslash (Alolan) (Shadow) SC+IP/DR,312,1,0
Cradily (Shadow) Ac+RT/GK,253,4,0
Empoleon (Shadow) MSo+HC/DrlP,454,40,0
Toxapex PJ+Bri/SW,423,15,0
Bastiodon SD+SE/Ft,248,21,0
Barbaracle FC+CrC/SE,334,17,0
Tentacruel Ac+Sc/Pbk,278,27,0
Gyarados DB+AT/Tw,471,17,0
Bastiodon (Shadow) SD+SE/Ft,269,21,0
Golisopod FC+XS/AJ,393,53,0
Lileep Ac+AP/GK,525,1,7
Seaking Pk+DR/Mh,351,40,0
Gastrodon MSl+BS/EP,330,4,0
Pelipper WA+WBW/Hu,308,14,0
Arctibax DB+Av/DC,317,14,0
Araquanid (Shadow) BBi+BBu/WP,459,47,0
Quaquaval LK+CC/HC,559,8,16
Milotic (Shadow) DT+AT/Wr,514,8,4
Mantine WA+Tw/AA,330,30,0
Lileep (Shadow) Ac+AP/GK,456,4,0
Gyarados (Shadow) DB+AT/Tw,514,4,4
Samurott FC+HC/Mh,367,40,0
Samurott (Shadow) FC+HC/Mh,474,30,0
Tentacruel (Shadow) Ac+Sc/Pbk,301,27,0
Qwilfish (Shadow) PSt+AT/SB,203,36,0
Starmie (Shadow) Psy+AJ/PG,751,1,68
Crustle FC+XS/RW,386,4,0
Tauros (Aqua) DK+AJ/TBl,385,53,0
Qwilfish PSt+AT/SB,174,36,0
Dewott (Shadow) FC+AT/XS,514,8,4
Swampert MS+HC/Eq,334,27,0
Azumarill B+IB/PR,426,15,0
Slowbro Cf+DrP/P,385,27,0
Blastoise RO+HC/SkB,469,34,0
Poliwrath (Shadow) MS+IW/DyP,427,34,0
Dewott FC+AT/XS,382,56,0
Baxcalibur DB+GlR/Av,196,46,0
Milotic DT+AT/Wr,461,1,0
Quagsire MS+AT/MB,347,17,0
Bruxish Cf+AT/PsF,577,1,21
Lairon MSo+RT/BS,389,11,0
Slowbro (Shadow) Cf+DrP/P,465,27,0
Starmie Psy+AJ/PG,751,1,68
Quagsire (Shadow) MS+AT/MB,413,17,0
Lapras (Shadow) Psy+SpA/SkB,446,8,0
Regirock LO+SE/FB,355,43,0
Walrein PS+ISp/Eq,457,21,0
Poliwrath MS+IW/DyP,459,31,0
Golem (Alolan) (Shadow) VS+WC/RB,183,46,0
Crustle (Shadow) FC+XS/RW,339,1,0
Aron MSo+RT/BS,389,11,0
Aurorus PS+WBI/MeB,298,40,0
Swampert (Shadow) MS+HC/Eq,367,14,0
Froslass H+Av/SB,453,1,0
Ninetales E+WBF/EB,321,30,0
Swanna G+AJ/Fl,347,27,0
Feraligatr (Shadow) SC+HC/Cr,360,1,0
Politoed (Shadow) MS+WBW/Eq,356,40,0
Probopass Sp+RS/ZC,302,8,0
Blastoise (Shadow) RO+HC/SkB,365,40,0
Swanna (Shadow) G+AJ/Fl,640,4,38
Probopass (Shadow) Sp+RS/ZC,273,40,0
Castform (Sunny) E+WBF/SoB,250,14,0
Tyrunt DT+RT/St,507,17,2
Feraligatr SC+HC/Cr,304,1,0
Lumineon G+AT/SvW,427,21,0
Solrock Psy+WBF/RS,448,14,0
Walrein (Shadow) PS+ISp/Eq,340,27,0
Naclstack MS+RT/RB,345,1,0
Froslass (Shadow) H+Av/SB,518,1,5
Primarina W+DV/HC,596,8,26
Dondozo W+S/O,414,47,0
Ninetales (Shadow) E+WBF/EB,353,27,0
Samurott (Hisuian) FC+DP/XS,204,1,0
Greninja (Shadow) WSh+HC/NS,386,4,0
Graveler (Alolan) (Shadow) VS+SE/RB,186,46,0
Tapu Fini WG+S/NM,480,1,0
Blaziken (Shadow) E+AuS/BB,577,27,21
Garganacl MS+RT/RB,275,43,0
Palkia (Shadow) DB+AT/DM,625,4,34
Kabutops FC+AJ/SE,362,14,0
Lunatone Psy+WBI/RS,448,14,0
Sealeo PS+S/BS,525,2,7
Turtonator E+BrS/DC,349,17,0
Whiscash MS+MB/Sc,356,43,0
Lairon (Shadow) MSo+RT/BS,427,21,0
Tyrantrum DT+RT/Cr,293,1,0
Golem (Alolan) VS+WC/RB,311,4,0
Politoed MS+WBW/Eq,424,8,0
Aron (Shadow) MSo+RT/BS,460,21,0
Sandshrew (Alolan) (Shadow) PS+NS/GB,370,27,0
Whiscash (Shadow) MS+MB/Sc,398,30,0
Wailmer (Shadow) RO+Sc/BS,518,8,5
Aggron DT+RT/T,268,27,0
Frigibax DB+Av/DC,372,14,0
Graveler (Alolan) VS+SE/RB,284,1,0
Seismitoad MS+EP/IW,425,43,0
Bibarel (Shadow) RO+S/HF,278,33,0
Golduck (Shadow) Cf+CrC/Li,465,53,0
Alomomola W+HP/P,436,15,0
Sealeo (Shadow) PS+S/BS,476,8,0
Dewgong IS+IW/DR,507,2,2
Glalie RO+Av/SB,242,1,0
Urshifu (Rapid Strike) C+AJ/DyP,666,8,45
Marshtomp MS+S/Sl,559,1,16
Sandshrew (Alolan) PS+NS/GB,307,27,0
Castform (Rainy) WG+WBW/T,284,40,0
Kabutops (Shadow) FC+AJ/SE,431,14,0
Frillish H+NSh/IB,422,14,0
Ninetales (Alolan) (Shadow) Ch+WBI/Psh,356,27,0
Slowpoke Cf+Psh/WP,540,53,11
Wailmer RO+Sc/BS,347,56,0
Gigalith (Shadow) LO+SP/MeB,410,14,0
Slowpoke (Shadow) Cf+Psh/WP,503,27,1
Wailord RO+S/Re,500,14,0
Articuno PS+IW/Hu,507,1,2
Greninja WSh+HC/NS,317,4,0
Tyrunt (Shadow) DT+RT/St,360,1,0
Tyranitar DB+BrS/SE,120,36,0
Marshtomp (Shadow) MS+S/Sl,559,30,16
Palpitoad MS+EP/WP,403,43,0
