Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,371,4,0
Kingdra DB+O/Sw,338,45,0
Ludicolo A+WBW/EB,440,4,0
Lanturn Sp+S/Tb,651,21,44
Cradily BS+RT/GK,388,22,0
Kingdra (Shadow) DB+Sw/O,355,18,0
Abomasnow Lf+WBI/EB,272,1,0
Abomasnow (Shadow) Lf+WBI/EB,314,1,0
Araquanid BBi+BBu/BuB,506,8,2
Empoleon MSo+HC/DrlP,315,26,0
Lapras Psy+SpA/SkB,558,4,17
Sandslash (Alolan) SC+IP/DR,510,4,3
Carbink RTh+RS/M,613,25,33
Sandslash (Alolan) (Shadow) SC+IP/DR,408,45,0
Cradily (Shadow) Ac+RT/GK,496,12,0
Empoleon (Shadow) MSo+HC/DrlP,262,1,0
Toxapex PJ+Bri/SW,606,8,31
Bastiodon SD+SE/Ft,617,3,34
Barbaracle FC+CrC/SE,391,36,0
Tentacruel Ac+Sc/Pbk,617,4,34
Gyarados DB+AT/Tw,314,46,0
Bastiodon (Shadow) SD+SE/Ft,562,4,18
Golisopod FC+XS/AJ,287,19,0
Lileep Ac+AP/GK,440,39,0
Seaking Pk+DR/Mh,318,45,0
Gastrodon MSl+BS/EP,187,8,0
Pelipper WA+WBW/Hu,291,46,0
Arctibax DB+Av/DC,357,37,0
Araquanid (Shadow) BBi+BBu/WP,644,4,42
Quaquaval LK+CC/HC,229,1,0
Milotic (Shadow) DT+AT/Wr,324,26,0
Mantine WA+Tw/AA,700,4,58
Lileep (Shadow) Ac+AP/GK,420,22,0
Gyarados (Shadow) DB+AT/Tw,517,0,5
Samurott FC+HC/Mh,397,45,0
Samurott (Shadow) FC+HC/Mh,297,10,0
Tentacruel (Shadow) Ac+Sc/Pbk,562,5,18
Qwilfish (Shadow) PSt+AT/SB,487,18,0
Starmie (Shadow) Psy+AJ/PG,346,10,0
Crustle FC+XS/RW,317,19,0
Tauros (Aqua) DK+AJ/TBl,197,9,0
Qwilfish PSt+AT/SB,361,28,0
Dewott (Shadow) FC+AT/XS,383,18,0
Swampert MS+HC/Eq,172,9,0
Azumarill B+IB/PR,506,25,2
Slowbro Cf+DrP/P,434,39,0
Blastoise RO+HC/SkB,292,35,0
Poliwrath (Shadow) MS+IW/DyP,244,35,0
Dewott FC+AT/XS,355,36,0
Baxcalibur DB+GlR/Av,779,0,81
Milotic DT+AT/Wr,492,3,0
Quagsire MS+AT/MB,282,4,0
Bruxish Cf+AT/PsF,294,1,0
Lairon MSo+RT/BS,402,4,0
Slowbro (Shadow) Cf+DrP/P,479,4,0
Starmie Psy+AJ/PG,264,10,0
Quagsire (Shadow) MS+AT/MB,254,17,0
Lapras (Shadow) Psy+SpA/SkB,307,37,0
Regirock LO+SE/FB,416,22,0
Walrein PS+ISp/Eq,506,5,2
Poliwrath MS+IW/DyP,229,35,0
Golem (Alolan) (Shadow) VS+WC/RB,641,0,41
Crustle (Shadow) FC+XS/RW,495,18,0
Aron MSo+RT/BS,437,22,0
Aurorus PS+WBI/MeB,365,46,0
Swampert (Shadow) MS+HC/Eq,231,9,0
Froslass H+Av/SB,648,5,43
Ninetales E+WBF/EB,658,6,46
Swanna G+AJ/Fl,520,6,6
Feraligatr (Shadow) SC+HC/Cr,284,1,0
Politoed (Shadow) MS+WBW/Eq,298,9,0
Probopass Sp+RS/ZC,644,8,42
Blastoise (Shadow) RO+HC/SkB,326,35,0
Swanna (Shadow) G+AJ/Fl,339,19,0
Probopass (Shadow) Sp+RS/ZC,706,12,60
Castform (Sunny) E+WBF/SoB,315,28,0
Tyrunt DT+RT/St,634,4,39
Feraligatr SC+HC/Cr,336,45,0
Lumineon G+AT/SvW,430,40,0
Solrock Psy+WBF/RS,568,5,20
Walrein (Shadow) PS+ISp/Eq,353,37,0
Naclstack MS+RT/RB,555,16,16
Froslass (Shadow) H+Av/SB,610,8,32
Primarina W+DV/HC,263,9,0
Dondozo W+S/O,235,35,0
Ninetales (Shadow) E+WBF/EB,617,27,34
Samurott (Hisuian) FC+DP/XS,613,5,33
Greninja (Shadow) WSh+HC/NS,121,31,0
Graveler (Alolan) (Shadow) VS+SE/RB,537,8,11
Tapu Fini WG+S/NM,338,45,0
Blaziken (Shadow) E+AuS/BB,193,41,0
Garganacl MS+RT/RB,434,8,0
Palkia (Shadow) DB+AT/DM,385,10,0
Kabutops FC+AJ/SE,382,46,0
Lunatone Psy+WBI/RS,406,45,0
Sealeo PS+S/BS,600,5,29
Turtonator E+BrS/DC,720,6,64
Whiscash MS+MB/Sc,193,44,0
Lairon (Shadow) MSo+RT/BS,436,45,0
Tyrantrum DT+RT/Cr,631,4,38
Golem (Alolan) VS+WC/RB,506,6,2
Politoed MS+WBW/Eq,291,35,0
Aron (Shadow) MSo+RT/BS,421,45,0
Sandshrew (Alolan) (Shadow) PS+NS/GB,322,10,0
Whiscash (Shadow) MS+MB/Sc,250,35,0
Wailmer (Shadow) RO+Sc/BS,575,4,22
Aggron DT+RT/T,582,30,24
Frigibax DB+Av/DC,765,9,77
Graveler (Alolan) VS+SE/RB,575,36,22
Seismitoad MS+EP/IW,227,44,0
Bibarel (Shadow) RO+S/HF,548,4,14
Golduck (Shadow) Cf+CrC/Li,306,19,0
Alomomola W+HP/P,386,21,0
Sealeo (Shadow) PS+S/BS,312,19,0
Dewgong IS+IW/DR,668,3,49
Glalie RO+Av/SB,693,5,56
Urshifu (Rapid Strike) C+AJ/DyP,330,27,0
Marshtomp MS+S/Sl,235,35,0
Sandshrew (Alolan) PS+NS/GB,385,45,0
Castform (Rainy) WG+WBW/T,284,35,0
Kabutops (Shadow) FC+AJ/SE,406,10,0
Frillish H+NSh/IB,617,3,34
Ninetales (Alolan) (Shadow) Ch+WBI/Psh,555,5,16
Slowpoke Cf+Psh/WP,541,12,12
Wailmer RO+Sc/BS,596,3,28
Gigalith (Shadow) LO+SP/MeB,423,46,0
Slowpoke (Shadow) Cf+Psh/WP,319,27,0
Wailord RO+S/Re,462,4,0
Articuno PS+IW/Hu,668,6,49
Greninja WSh+HC/NS,343,18,0
Tyrunt (Shadow) DT+RT/St,534,4,10
Tyranitar DB+BrS/SE,641,5,41
Marshtomp (Shadow) MS+S/Sl,305,26,0
Palpitoad MS+EP/WP,350,4,0
Geodude (Alolan) (Shadow) VS+RT/RS,579,18,23
Ninetales (Alolan) Ch+WBI/Psh,627,5,37
Tyrantrum (Shadow) DT+Cr/RT,555,5,16
Golduck Cf+CrC/Li,480,5,0
Regirock (Shadow) LO+SE/FB,382,36,0
Rhyperior (Shadow) MSl+DR/RW,279,9,0
Rotom (Wash) TS+Tb/HP,387,46,0
Bibarel RO+S/HF,603,4,30
Regice LO+Bl/T,658,5,46
Cetitan PS+ISp/SP,311,37,0
Gigalith LO+SP/MeB,324,28,0
Typhlosion (Hisuian) E+SB/WC,927,0,124
Armaldo (Shadow) FC+RB/Li,779,0,81
Tauros (Blaze) DK+FmC/TBl,328,27,0
Tyranitar (Shadow) DB+BrS/SE,500,27,0
Dewgong (Shadow) IS+IW/DR,606,4,31
Glalie (Shadow) RO+Av/SB,658,26,46
Blaziken E+AuS/BB,513,27,4
Marowak (Alolan) FS+BC/SBo,713,5,62
Aerodactyl DB+RS/EP,672,8,50
Cetoddle PS+Av/BS,627,5,37
Geodude (Alolan) VS+RT/RS,648,27,43
Kleavor FC+XS/RS,779,0,81
Regice (Shadow) LO+Bl/T,686,6,54
Amaura PS+WBI/Tb,634,6,39
Wailord (Shadow) RO+S/HB,558,4,17
Lampent (Shadow) E+HW/EB,641,0,41
Quaxwell WA+AJ/AA,329,45,0
Marowak (Alolan) (Shadow) FS+SBo/BC,662,35,47
Rapidash I+DR/WC,668,8,49
Magmortar (Shadow) KC+FiP/Tb,779,1,81
Kabuto MS+AJ/RT,390,46,0
Rapidash (Shadow) I+DR/WC,600,0,29
Aurorus (Shadow) PS+WBI/MeB,520,27,6
Typhlosion (Shadow) I+BB/TP,710,9,61
Kabuto (Shadow) MS+AJ/RT,517,0,5
Magmar (Shadow) KC+FiP/ScS,510,0,3
Aerodactyl (Shadow) DB+RS/EP,779,0,81
Omanyte MS+RT/RB,651,5,44
Omanyte (Shadow) MS+RT/RB,396,46,0
Rhyperior MSl+DR/RW,261,9,0
Fletchinder (Shadow) Pk+Fl/HW,872,1,108
Amaura (Shadow) PS+WBI/Tb,624,27,36
Fletchinder Pk+Fl/HW,893,0,114
Vanillish A+IW/SiB,641,4,41
Snover PS+EB/IB,527,6,8
Crawdaunt (Shadow) W+NS/Sc,376,0,0
Aggron (Shadow) DT+RT/T,658,4,46
Slowking (Shadow) Cf+S/Bl,354,27,0
Articuno (Shadow) PS+TAx/Hu,648,0,43
Lampent E+HW/EB,648,0,43
Victini Cf+VC/Psh,565,6,19
Piloswine (Shadow) PS+ISp/SE,392,45,0
Castform (Snowy) PS+WBI/Bl,541,5,12
Reshiram (Shadow) DB+FuF/DM,800,1,87
Armarouge I+Psh/HW,717,8,63
Slowking Cf+S/Bl,437,31,0
Omastar MS+RS/HP,334,37,0
Omastar (Shadow) MS+RS/HP,648,27,43
Skeledirge I+TSo/SB,855,8,103
Snover (Shadow) PS+EB/IB,544,8,13
Armaldo FC+RB/Li,589,8,26
Tentacool (Shadow) PSt+Wr/WP,613,6,33
Wartortle WG+AJ/IB,402,22,0
Avalugg IF+Av/BS,544,5,13
Corsola B+PG/RB,600,3,29
Magmar KC+FiP/ScS,506,0,2
Magby KC+FiP/BkB,613,0,33
Shellos MSl+BS/WP,534,3,10
Tentacool PSt+Wr/WP,703,5,59
Typhlosion I+BB/TP,758,8,75
Blacephalon I+MdB/SB,672,0,50
Skrelp Ac+AT/Tw,668,6,49
Lombre B+Sc/GK,517,3,5
Piloswine PS+ISp/SE,641,4,41
Crawdaunt W+NS/Sc,348,9,0
Magmortar KC+FiP/Tb,789,0,84
Relicanth WG+AT/AP,480,3,0
Rotom (Frost) TS+Tb/Bl,893,0,114
Jynx Cf+Av/Psh,772,0,79
Talonflame I+Fl/BrB,855,8,103
Avalugg (Hisuian) PS+RS/IW,651,5,44
Stakataka RTh+SE/FC,682,5,53
Vaporeon WG+AT/LR,306,18,0
Mamoswine (Shadow) PS+ISp/SE,329,19,0
Moltres (Shadow) WA+Fl/HW,903,1,117
Mantyke B+WP/AA,572,3,21
Mr. Rime Cf+IW/P,555,5,16
Sudowoodo C+MeB/TBl,361,36,0
Wartortle (Shadow) WG+AJ/IB,291,27,0
Brionne Ch+AJ/DV,555,4,16
Graveler (Shadow) MSl+RS/Dg,369,8,0
Combusken (Shadow) E+RS/FmC,672,36,50
Floatzel W+AJ/Sw,330,18,0
Klawf MSl+Bd/RT,513,3,4
Lycanroc (Dusk) SkP+SE/TBl,751,8,73
Smoochum PS+Psh/IP,627,0,37
Lycanroc (Midnight) C+SE/PsF,342,19,0
Camerupt I+EP/RT,562,4,18
Camerupt (Shadow) I+EP/RT,436,8,0
Centiskorch E+Lu/HW,796,8,86
Charizard (Shadow) E+BB/AC,903,1,117
Heatran (Shadow) FS+MgS/EP,841,9,99
Pignite E+RT/FmC,758,4,75
Magcargo E+RT/Ov,762,5,76
Diancie RTh+RS/M,682,5,53
Lycanroc (Midday) SkP+DR/SE,527,27,8
Moltres WA+Fl/HW,903,1,117
Sudowoodo (Shadow) C+MeB/TBl,380,46,0
