Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,686,0,43
Kingdra DB+O/Sw,224,35,0
Ludicolo A+WBW/EB,212,21,0
Lanturn Sp+S/Tb,319,0,0
Cradily BS+RT/GK,204,21,0
Kingdra (Shadow) DB+Sw/O,283,35,0
Abomasnow Lf+WBI/EB,227,21,0
Abomasnow (Shadow) Lf+WBI/EB,276,21,0
Araquanid BBi+BBu/BuB,301,14,0
Empoleon MSo+HC/DrlP,483,14,0
Lapras Psy+SpA/SkB,351,42,0
Sandslash (Alolan) SC+IP/DR,652,9,35
Carbink RTh+RS/M,496,23,0
Sandslash (Alolan) (Shadow) SC+IP/DR,582,0,19
Cradily (Shadow) Ac+RT/GK,246,21,0
Empoleon (Shadow) MSo+HC/DrlP,560,0,14
Toxapex PJ+Bri/SW,262,14,0
Bastiodon SD+SE/Ft,474,37,0
Barbaracle FC+CrC/SE,86,56,0
Tentacruel Ac+Sc/Pbk,358,14,0
Gyarados DB+AT/Tw,639,0,32
Bastiodon (Shadow) SD+SE/Ft,765,9,61
Golisopod FC+XS/AJ,245,7,0
Lileep Ac+AP/GK,198,21,0
Seaking Pk+DR/Mh,239,21,0
Gastrodon MSl+BS/EP,261,35,0
Pelipper WA+WBW/Hu,460,0,0
Arctibax DB+Av/DC,251,21,0
Araquanid (Shadow) BBi+BBu/WP,334,0,0
Quaquaval LK+CC/HC,229,21,0
Milotic (Shadow) DT+AT/Wr,396,9,0
Mantine WA+Tw/AA,347,14,0
Lileep (Shadow) Ac+AP/GK,238,21,0
Gyarados (Shadow) DB+AT/Tw,314,7,0
Samurott FC+HC/Mh,272,21,0
Samurott (Shadow) FC+HC/Mh,294,7,0
Tentacruel (Shadow) Ac+Sc/Pbk,427,0,0
Qwilfish (Shadow) PSt+AT/SB,639,0,32
Starmie (Shadow) Psy+AJ/PG,665,21,38
Crustle FC+XS/RW,282,7,0
Tauros (Aqua) DK+AJ/TBl,197,21,0
Qwilfish PSt+AT/SB,669,0,39
Dewott (Shadow) FC+AT/XS,277,7,0
Swampert MS+HC/Eq,477,0,0
Azumarill B+IB/PR,235,9,0
Slowbro Cf+DrP/P,665,2,38
Blastoise RO+HC/SkB,365,0,0
Poliwrath (Shadow) MS+IW/DyP,178,7,0
Dewott FC+AT/XS,234,7,0
Baxcalibur DB+GlR/Av,283,7,0
Milotic DT+AT/Wr,419,28,0
Quagsire MS+AT/MB,634,9,31
Bruxish Cf+AT/PsF,717,14,50
Lairon MSo+RT/BS,591,9,21
Slowbro (Shadow) Cf+DrP/P,630,14,30
Starmie Psy+AJ/PG,660,0,37
Quagsire (Shadow) MS+AT/MB,547,9,11
Lapras (Shadow) Psy+SpA/SkB,407,14,0
Regirock LO+SE/FB,267,35,0
Walrein PS+ISp/Eq,376,0,0
Poliwrath MS+IW/DyP,145,7,0
Golem (Alolan) (Shadow) VS+WC/RB,371,7,0
Crustle (Shadow) FC+XS/RW,343,7,0
Aron MSo+RT/BS,591,9,21
Aurorus PS+WBI/MeB,469,0,0
Swampert (Shadow) MS+HC/Eq,626,0,29
Froslass H+Av/SB,656,0,36
Ninetales E+WBF/EB,289,21,0
Swanna G+AJ/Fl,496,0,0
Feraligatr (Shadow) SC+HC/Cr,608,0,25
Politoed (Shadow) MS+WBW/Eq,453,0,0
Probopass Sp+RS/ZC,582,9,19
Blastoise (Shadow) RO+HC/SkB,276,49,0
Swanna (Shadow) G+AJ/Fl,335,35,0
Probopass (Shadow) Sp+RS/ZC,256,21,0
Castform (Sunny) E+WBF/SoB,752,9,58
Tyrunt DT+RT/St,306,21,0
Feraligatr SC+HC/Cr,416,23,0
Lumineon G+AT/SvW,346,0,0
Solrock Psy+WBF/RS,556,0,13
Walrein (Shadow) PS+ISp/Eq,282,49,0
Naclstack MS+RT/RB,665,9,38
Froslass (Shadow) H+Av/SB,586,0,20
Primarina W+DV/HC,223,35,0
Dondozo W+S/O,331,14,0
Ninetales (Shadow) E+WBF/EB,313,7,0
Samurott (Hisuian) FC+DP/XS,193,7,0
Greninja (Shadow) WSh+HC/NS,604,9,24
Graveler (Alolan) (Shadow) VS+SE/RB,352,7,0
Tapu Fini WG+S/NM,280,0,0
Blaziken (Shadow) E+AuS/BB,365,7,0
Garganacl MS+RT/RB,613,9,26
Palkia (Shadow) DB+AT/DM,704,0,47
Kabutops FC+AJ/SE,343,21,0
Lunatone Psy+WBI/RS,556,0,13
Sealeo PS+S/BS,363,14,0
Turtonator E+BrS/DC,573,9,17
Whiscash MS+MB/Sc,630,23,30
Lairon (Shadow) MSo+RT/BS,530,0,7
Tyrantrum DT+RT/Cr,310,21,0
Golem (Alolan) VS+WC/RB,307,7,0
Politoed MS+WBW/Eq,388,0,0
Aron (Shadow) MSo+RT/BS,530,0,7
Sandshrew (Alolan) (Shadow) PS+NS/GB,608,0,25
Whiscash (Shadow) MS+MB/Sc,556,9,13
Wailmer (Shadow) RO+Sc/BS,479,0,0
Aggron DT+RT/T,330,35,0
Frigibax DB+Av/DC,285,21,0
Graveler (Alolan) VS+SE/RB,353,35,0
Seismitoad MS+EP/IW,513,9,3
Bibarel (Shadow) RO+S/HF,271,7,0
Golduck (Shadow) Cf+CrC/Li,508,14,2
Alomomola W+HP/P,315,42,0
Sealeo (Shadow) PS+S/BS,434,14,0
Dewgong IS+IW/DR,321,28,0
Glalie RO+Av/SB,647,9,34
Urshifu (Rapid Strike) C+AJ/DyP,227,21,0
Marshtomp MS+S/Sl,643,9,33
Sandshrew (Alolan) PS+NS/GB,643,9,33
Castform (Rainy) WG+WBW/T,390,14,0
Kabutops (Shadow) FC+AJ/SE,372,7,0
Frillish H+NSh/IB,739,0,55
Ninetales (Alolan) (Shadow) Ch+WBI/Psh,240,35,0
Slowpoke Cf+Psh/WP,795,14,68
Wailmer RO+Sc/BS,404,14,0
Gigalith (Shadow) LO+SP/MeB,141,42,0
Slowpoke (Shadow) Cf+Psh/WP,760,14,60
Wailord RO+S/Re,415,0,0
Articuno PS+IW/Hu,408,0,0
Greninja WSh+HC/NS,652,9,35
Tyrunt (Shadow) DT+RT/St,360,21,0
Tyranitar DB+BrS/SE,295,21,0
Marshtomp (Shadow) MS+S/Sl,573,0,17
Palpitoad MS+EP/WP,526,9,6
Geodude (Alolan) (Shadow) VS+RT/RS,380,7,0
Ninetales (Alolan) Ch+WBI/Psh,200,35,0
Tyrantrum (Shadow) DT+Cr/RT,366,21,0
Golduck Cf+CrC/Li,488,28,0
Regirock (Shadow) LO+SE/FB,346,35,0
Rhyperior (Shadow) MSl+DR/RW,458,7,0
Rotom (Wash) TS+Tb/HP,268,21,0
Bibarel RO+S/HF,419,23,0
Regice LO+Bl/T,206,21,0
Cetitan PS+ISp/SP,242,7,0
Gigalith LO+SP/MeB,115,42,0
Typhlosion (Hisuian) E+SB/WC,934,7,100
Armaldo (Shadow) FC+RB/Li,417,7,0
Tauros (Blaze) DK+FmC/TBl,285,21,0
Tyranitar (Shadow) DB+BrS/SE,354,21,0
Dewgong (Shadow) IS+IW/DR,407,42,0
Glalie (Shadow) RO+Av/SB,582,0,19
Blaziken E+AuS/BB,310,7,0
Marowak (Alolan) FS+BC/SBo,695,0,45
Aerodactyl DB+RS/EP,404,21,0
Cetoddle PS+Av/BS,665,9,38
Geodude (Alolan) VS+RT/RS,318,7,0
Kleavor FC+XS/RS,413,7,0
Regice (Shadow) LO+Bl/T,256,21,0
Amaura PS+WBI/Tb,293,21,0
Wailord (Shadow) RO+S/HB,560,14,14
Lampent (Shadow) E+HW/EB,913,7,95
Quaxwell WA+AJ/AA,413,23,0
