Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,480,15,0
Kingdra DB+O/Sw,122,35,0
Ludicolo A+WBW/EB,257,10,0
Lanturn Sp+S/Tb,440,5,0
Cradily BS+RT/GK,489,25,0
Kingdra (Shadow) DB+Sw/O,105,0,0
Abomasnow Lf+WBI/EB,171,45,0
Abomasnow (Shadow) Lf+WBI/EB,174,35,0
Araquanid BBi+BBu/BuB,345,15,0
Empoleon MSo+HC/DrlP,479,5,0
Lapras Psy+SpA/SkB,427,5,0
Sandslash (Alolan) SC+IP/DR,559,5,14
Carbink RTh+RS/M,404,25,0
Sandslash (Alolan) (Shadow) SC+IP/DR,464,20,0
Cradily (Shadow) Ac+RT/GK,309,10,0
Empoleon (Shadow) MSo+HC/DrlP,576,5,18
Toxapex PJ+Bri/SW,343,15,0
Bastiodon SD+SE/Ft,428,10,0
Barbaracle FC+CrC/SE,339,0,0
Tentacruel Ac+Sc/Pbk,293,20,0
Gyarados DB+AT/Tw,177,0,0
Bastiodon (Shadow) SD+SE/Ft,610,25,26
Golisopod FC+XS/AJ,319,0,0
Lileep Ac+AP/GK,504,5,1
Seaking Pk+DR/Mh,322,10,0
Gastrodon MSl+BS/EP,425,20,0
Pelipper WA+WBW/Hu,334,0,0
Arctibax DB+Av/DC,314,0,0
Araquanid (Shadow) BBi+BBu/WP,474,15,0
Quaquaval LK+CC/HC,395,0,0
Milotic (Shadow) DT+AT/Wr,316,0,0
Mantine WA+Tw/AA,264,20,0
Lileep (Shadow) Ac+AP/GK,347,10,0
Gyarados (Shadow) DB+AT/Tw,202,0,0
Samurott FC+HC/Mh,371,10,0
Samurott (Shadow) FC+HC/Mh,430,10,0
Tentacruel (Shadow) Ac+Sc/Pbk,351,20,0
Qwilfish (Shadow) PSt+AT/SB,231,10,0
Starmie (Shadow) Psy+AJ/PG,447,0,0
Crustle FC+XS/RW,491,0,0
Tauros (Aqua) DK+AJ/TBl,516,5,4
Qwilfish PSt+AT/SB,402,10,0
Dewott (Shadow) FC+AT/XS,376,0,0
Swampert MS+HC/Eq,408,0,0
Azumarill B+IB/PR,445,0,0
Slowbro Cf+DrP/P,277,20,0
Blastoise RO+HC/SkB,442,15,0
Poliwrath (Shadow) MS+IW/DyP,390,20,0
Dewott FC+AT/XS,567,5,16
Baxcalibur DB+GlR/Av,196,10,0
Milotic DT+AT/Wr,282,10,0
Quagsire MS+AT/MB,563,5,15
Bruxish Cf+AT/PsF,427,10,0
Lairon MSo+RT/BS,605,20,25
Slowbro (Shadow) Cf+DrP/P,329,20,0
Starmie Psy+AJ/PG,379,0,0
Quagsire (Shadow) MS+AT/MB,516,30,4
Lapras (Shadow) Psy+SpA/SkB,639,5,33
Regirock LO+SE/FB,597,30,23
Walrein PS+ISp/Eq,301,20,0
Poliwrath MS+IW/DyP,597,5,23
Golem (Alolan) (Shadow) VS+WC/RB,775,70,65
Crustle (Shadow) FC+XS/RW,460,35,0
Aron MSo+RT/BS,605,20,25
Aurorus PS+WBI/MeB,393,20,0
Swampert (Shadow) MS+HC/Eq,488,0,0
Froslass H+Av/SB,330,0,0
Ninetales E+WBF/EB,694,10,46
Swanna G+AJ/Fl,402,20,0
Feraligatr (Shadow) SC+HC/Cr,408,10,0
Politoed (Shadow) MS+WBW/Eq,205,20,0
Probopass Sp+RS/ZC,631,5,31
Blastoise (Shadow) RO+HC/SkB,357,20,0
Swanna (Shadow) G+AJ/Fl,436,10,0
Probopass (Shadow) Sp+RS/ZC,588,30,21
Castform (Sunny) E+WBF/SoB,813,20,74
Tyrunt DT+RT/St,275,35,0
Feraligatr SC+HC/Cr,550,5,12
Lumineon G+AT/SvW,512,25,3
Solrock Psy+WBF/RS,389,35,0
Walrein (Shadow) PS+ISp/Eq,185,45,0
Naclstack MS+RT/RB,669,5,40
Froslass (Shadow) H+Av/SB,300,35,0
Primarina W+DV/HC,388,10,0
Dondozo W+S/O,419,5,0
Ninetales (Shadow) E+WBF/EB,673,0,41
Samurott (Hisuian) FC+DP/XS,359,0,0
Greninja (Shadow) WSh+HC/NS,673,10,41
Graveler (Alolan) (Shadow) VS+SE/RB,529,0,7
Tapu Fini WG+S/NM,673,5,41
Blaziken (Shadow) E+AuS/BB,927,60,101
Garganacl MS+RT/RB,661,5,38
Palkia (Shadow) DB+AT/DM,155,0,0
Kabutops FC+AJ/SE,470,10,0
Lunatone Psy+WBI/RS,389,35,0
Sealeo PS+S/BS,279,20,0
Turtonator E+BrS/DC,411,20,0
Whiscash MS+MB/Sc,686,5,44
Lairon (Shadow) MSo+RT/BS,677,10,42
Tyrantrum DT+RT/Cr,405,10,0
Golem (Alolan) VS+WC/RB,597,0,23
Politoed MS+WBW/Eq,805,5,72
Aron (Shadow) MSo+RT/BS,716,0,51
Sandshrew (Alolan) (Shadow) PS+NS/GB,456,10,0
Whiscash (Shadow) MS+MB/Sc,584,5,20
Wailmer (Shadow) RO+Sc/BS,635,5,32
Aggron DT+RT/T,476,20,0
Frigibax DB+Av/DC,365,0,0
Graveler (Alolan) VS+SE/RB,601,10,24
Seismitoad MS+EP/IW,648,5,35
Bibarel (Shadow) RO+S/HF,369,0,0
Golduck (Shadow) Cf+CrC/Li,403,10,0
Alomomola W+HP/P,669,0,40
Sealeo (Shadow) PS+S/BS,330,20,0
Dewgong IS+IW/DR,439,25,0
Glalie RO+Av/SB,533,5,8
Urshifu (Rapid Strike) C+AJ/DyP,450,20,0
Marshtomp MS+S/Sl,467,20,0
Sandshrew (Alolan) PS+NS/GB,413,20,0
Castform (Rainy) WG+WBW/T,864,5,86
Kabutops (Shadow) FC+AJ/SE,716,0,51
Frillish H+NSh/IB,605,5,25
Ninetales (Alolan) (Shadow) Ch+WBI/Psh,244,25,0
Slowpoke Cf+Psh/WP,295,20,0
Wailmer RO+Sc/BS,665,5,39
Gigalith (Shadow) LO+SP/MeB,911,70,97
Slowpoke (Shadow) Cf+Psh/WP,346,10,0
Wailord RO+S/Re,329,20,0
Articuno PS+IW/Hu,357,20,0
Greninja WSh+HC/NS,563,30,15
Tyrunt (Shadow) DT+RT/St,329,35,0
Tyranitar DB+BrS/SE,404,0,0
Marshtomp (Shadow) MS+S/Sl,622,10,29
Palpitoad MS+EP/WP,533,5,8
Geodude (Alolan) (Shadow) VS+RT/RS,720,0,52
Ninetales (Alolan) Ch+WBI/Psh,356,0,0
Tyrantrum (Shadow) DT+Cr/RT,456,10,0
Golduck Cf+CrC/Li,521,5,5
Regirock (Shadow) LO+SE/FB,567,10,16
Rhyperior (Shadow) MSl+DR/RW,809,50,73
Rotom (Wash) TS+Tb/HP,387,10,0
Bibarel RO+S/HF,550,5,12
Regice LO+Bl/T,350,20,0
Cetitan PS+ISp/SP,314,55,0
Gigalith LO+SP/MeB,614,0,27
Typhlosion (Hisuian) E+SB/WC,911,70,97
Armaldo (Shadow) FC+RB/Li,766,25,63
Tauros (Blaze) DK+FmC/TBl,597,0,23
Tyranitar (Shadow) DB+BrS/SE,479,0,0
Dewgong (Shadow) IS+IW/DR,500,15,0
Glalie (Shadow) RO+Av/SB,500,20,0
Blaziken E+AuS/BB,618,70,28
Marowak (Alolan) FS+BC/SBo,652,30,36
Aerodactyl DB+RS/EP,639,35,33
Cetoddle PS+Av/BS,361,0,0
Geodude (Alolan) VS+RT/RS,491,0,0
Kleavor FC+XS/RS,741,10,57
Regice (Shadow) LO+Bl/T,463,20,0
Amaura PS+WBI/Tb,496,10,0
Wailord (Shadow) RO+S/HB,656,5,37
Lampent (Shadow) E+HW/EB,911,70,97
Quaxwell WA+AJ/AA,576,5,18
Marowak (Alolan) (Shadow) FS+SBo/BC,703,10,48
Rapidash I+DR/WC,673,0,41
Magmortar (Shadow) KC+FiP/Tb,826,60,77
Kabuto MS+AJ/RT,542,5,10
Rapidash (Shadow) I+DR/WC,894,70,93
Aurorus (Shadow) PS+WBI/MeB,466,20,0
Typhlosion (Shadow) I+BB/TP,894,70,93
Kabuto (Shadow) MS+AJ/RT,741,10,57
Magmar (Shadow) KC+FiP/ScS,826,60,77
Aerodactyl (Shadow) DB+RS/EP,707,60,49
Omanyte MS+RT/RB,618,5,28
Omanyte (Shadow) MS+RT/RB,631,20,31
Rhyperior MSl+DR/RW,805,60,72
Fletchinder (Shadow) Pk+Fl/HW,716,0,51
Amaura (Shadow) PS+WBI/Tb,550,0,12
Fletchinder Pk+Fl/HW,762,0,62
Vanillish A+IW/SiB,393,10,0
Snover PS+EB/IB,250,65,0
Crawdaunt (Shadow) W+NS/Sc,622,0,29
Aggron (Shadow) DT+RT/T,576,10,18
Slowking (Shadow) Cf+S/Bl,580,5,19
Articuno (Shadow) PS+TAx/Hu,487,10,0
Lampent E+HW/EB,682,0,43
Victini Cf+VC/Psh,741,0,57
Piloswine (Shadow) PS+ISp/SE,480,35,0
Castform (Snowy) PS+WBI/Bl,404,20,0
Reshiram (Shadow) DB+FuF/DM,512,0,3
Armarouge I+Psh/HW,635,0,32
Slowking Cf+S/Bl,639,5,33
Omastar MS+RS/HP,622,5,29
Omastar (Shadow) MS+RS/HP,533,20,8
Skeledirge I+TSo/SB,894,10,93
Snover (Shadow) PS+EB/IB,411,10,0
Armaldo FC+RB/Li,555,0,13
Tentacool (Shadow) PSt+Wr/WP,576,5,18
Wartortle WG+AJ/IB,627,35,30
Avalugg IF+Av/BS,409,20,0
