Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,291,22,0
Kingdra DB+O/Sw,705,1,49
Ludicolo A+WBW/EB,283,22,0
Lanturn Sp+S/Tb,208,15,0
Cradily BS+RT/GK,521,5,5
Kingdra (Shadow) DB+Sw/O,529,1,7
Abomasnow Lf+WBI/EB,384,29,0
Abomasnow (Shadow) Lf+WBI/EB,486,22,0
Araquanid BBi+BBu/BuB,651,12,36
Empoleon MSo+HC/DrlP,385,15,0
Lapras Psy+SpA/SkB,368,29,0
Sandslash (Alolan) SC+IP/DR,344,15,0
Carbink RTh+RS/M,760,5,62
Sandslash (Alolan) (Shadow) SC+IP/DR,352,1,0
Cradily (Shadow) Ac+RT/GK,546,5,11
Empoleon (Shadow) MSo+HC/DrlP,459,15,0
Toxapex PJ+Bri/SW,781,1,67
Bastiodon SD+SE/Ft,630,2,31
Barbaracle FC+CrC/SE,421,8,0
Tentacruel Ac+Sc/Pbk,684,1,44
Gyarados DB+AT/Tw,697,1,47
Bastiodon (Shadow) SD+SE/Ft,626,30,30
Golisopod FC+XS/AJ,398,15,0
Lileep Ac+AP/GK,621,5,29
Seaking Pk+DR/Mh,387,15,0
Gastrodon MSl+BS/EP,175,1,0
Pelipper WA+WBW/Hu,752,1,60
Arctibax DB+Av/DC,600,5,24
Araquanid (Shadow) BBi+BBu/WP,338,29,0
Quaquaval LK+CC/HC,254,25,0
Milotic (Shadow) DT+AT/Wr,251,46,0
Mantine WA+Tw/AA,802,1,72
Lileep (Shadow) Ac+AP/GK,563,5,15
Gyarados (Shadow) DB+AT/Tw,659,1,38
Samurott FC+HC/Mh,400,15,0
Samurott (Shadow) FC+HC/Mh,477,15,0
Tentacruel (Shadow) Ac+Sc/Pbk,634,1,32
Qwilfish (Shadow) PSt+AT/SB,321,46,0
Starmie (Shadow) Psy+AJ/PG,317,46,0
Crustle FC+XS/RW,718,29,52
Tauros (Aqua) DK+AJ/TBl,223,25,0
Qwilfish PSt+AT/SB,479,29,0
Dewott (Shadow) FC+AT/XS,476,8,0
Swampert MS+HC/Eq,91,39,0
Azumarill B+IB/PR,634,15,32
Slowbro Cf+DrP/P,668,1,40
Blastoise RO+HC/SkB,326,15,0
Poliwrath (Shadow) MS+IW/DyP,167,25,0
Dewott FC+AT/XS,456,29,0
Baxcalibur DB+GlR/Av,760,1,62
Milotic DT+AT/Wr,529,1,7
Quagsire MS+AT/MB,83,46,0
Bruxish Cf+AT/PsF,482,22,0
Lairon MSo+RT/BS,427,33,0
Slowbro (Shadow) Cf+DrP/P,605,1,25
Starmie Psy+AJ/PG,495,15,0
Quagsire (Shadow) MS+AT/MB,86,18,0
Lapras (Shadow) Psy+SpA/SkB,441,29,0
Regirock LO+SE/FB,118,46,0
Walrein PS+ISp/Eq,363,1,0
Poliwrath MS+IW/DyP,167,25,0
Golem (Alolan) (Shadow) VS+WC/RB,337,1,0
Crustle (Shadow) FC+XS/RW,613,1,27
Aron MSo+RT/BS,417,33,0
Aurorus PS+WBI/MeB,731,1,55
Swampert (Shadow) MS+HC/Eq,102,18,0
Froslass H+Av/SB,592,1,22
Ninetales E+WBF/EB,496,1,0
Swanna G+AJ/Fl,659,1,38
Feraligatr (Shadow) SC+HC/Cr,500,15,0
Politoed (Shadow) MS+WBW/Eq,219,4,0
Probopass Sp+RS/ZC,512,5,3
Blastoise (Shadow) RO+HC/SkB,403,15,0
Swanna (Shadow) G+AJ/Fl,613,1,27
Probopass (Shadow) Sp+RS/ZC,453,50,0
Castform (Sunny) E+WBF/SoB,476,15,0
Tyrunt DT+RT/St,638,5,33
Feraligatr SC+HC/Cr,416,15,0
Lumineon G+AT/SvW,584,1,20
Solrock Psy+WBF/RS,558,8,14
Walrein (Shadow) PS+ISp/Eq,435,1,0
Naclstack MS+RT/RB,440,26,0
Froslass (Shadow) H+Av/SB,621,1,29
Primarina W+DV/HC,272,4,0
Dondozo W+S/O,256,1,0
Ninetales (Shadow) E+WBF/EB,321,29,0
Samurott (Hisuian) FC+DP/XS,680,29,43
Greninja (Shadow) WSh+HC/NS,239,18,0
Graveler (Alolan) (Shadow) VS+SE/RB,373,36,0
Tapu Fini WG+S/NM,452,15,0
Blaziken (Shadow) E+AuS/BB,193,18,0
Garganacl MS+RT/RB,437,19,0
Palkia (Shadow) DB+AT/DM,465,8,0
Kabutops FC+AJ/SE,638,1,33
Lunatone Psy+WBI/RS,655,8,37
Sealeo PS+S/BS,395,29,0
Turtonator E+BrS/DC,384,12,0
Whiscash MS+MB/Sc,162,1,0
Lairon (Shadow) MSo+RT/BS,483,26,0
Tyrantrum DT+RT/Cr,609,5,26
Golem (Alolan) VS+WC/RB,371,36,0
Politoed MS+WBW/Eq,219,4,0
Aron (Shadow) MSo+RT/BS,472,43,0
Sandshrew (Alolan) (Shadow) PS+NS/GB,476,29,0
Whiscash (Shadow) MS+MB/Sc,87,25,0
Wailmer (Shadow) RO+Sc/BS,550,1,12
