Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,294,20,0
Kingdra DB+O/Sw,122,65,0
Ludicolo A+WBW/EB,477,20,0
Lanturn Sp+S/Tb,358,55,0
Cradily BS+RT/GK,434,35,0
Kingdra (Shadow) DB+Sw/O,110,50,0
Abomasnow Lf+WBI/EB,552,0,12
Abomasnow (Shadow) Lf+WBI/EB,513,0,3
Araquanid BBi+BBu/BuB,253,25,0
Empoleon MSo+HC/DrlP,122,70,0
Lapras Psy+SpA/SkB,410,10,0
Sandslash (Alolan) SC+IP/DR,666,0,38
Carbink RTh+RS/M,329,30,0
Sandslash (Alolan) (Shadow) SC+IP/DR,574,0,17
Cradily (Shadow) Ac+RT/GK,479,10,0
Empoleon (Shadow) MSo+HC/DrlP,90,30,0
Toxapex PJ+Bri/SW,330,75,0
Bastiodon SD+SE/Ft,657,10,36
Barbaracle FC+CrC/SE,108,45,0
Tentacruel Ac+Sc/Pbk,343,45,0
Gyarados DB+AT/Tw,123,70,0
Bastiodon (Shadow) SD+SE/Ft,644,0,33
Golisopod FC+XS/AJ,393,5,0
Lileep Ac+AP/GK,614,0,26
Seaking Pk+DR/Mh,471,25,0
Gastrodon MSl+BS/EP,440,30,0
Pelipper WA+WBW/Hu,521,0,5
Arctibax DB+Av/DC,600,0,23
Araquanid (Shadow) BBi+BBu/WP,312,20,0
Quaquaval LK+CC/HC,100,40,0
Milotic (Shadow) DT+AT/Wr,473,5,0
Mantine WA+Tw/AA,450,45,0
Lileep (Shadow) Ac+AP/GK,574,0,17
Gyarados (Shadow) DB+AT/Tw,123,70,0
Samurott FC+HC/Mh,492,5,0
Samurott (Shadow) FC+HC/Mh,102,60,0
Tentacruel (Shadow) Ac+Sc/Pbk,354,10,0
Qwilfish (Shadow) PSt+AT/SB,117,65,0
Starmie (Shadow) Psy+AJ/PG,115,40,0
Crustle FC+XS/RW,108,45,0
Tauros (Aqua) DK+AJ/TBl,114,50,0
Qwilfish PSt+AT/SB,126,75,0
Dewott (Shadow) FC+AT/XS,102,70,0
Swampert MS+HC/Eq,113,75,0
Azumarill B+IB/PR,410,15,0
Slowbro Cf+DrP/P,270,35,0
Blastoise RO+HC/SkB,407,5,0
Poliwrath (Shadow) MS+IW/DyP,102,60,0
Dewott FC+AT/XS,100,70,0
Baxcalibur DB+GlR/Av,122,75,0
Milotic DT+AT/Wr,427,20,0
Quagsire MS+AT/MB,425,20,0
Bruxish Cf+AT/PsF,431,0,0
Lairon MSo+RT/BS,127,70,0
Slowbro (Shadow) Cf+DrP/P,104,70,0
Starmie Psy+AJ/PG,125,50,0
Quagsire (Shadow) MS+AT/MB,487,20,0
Lapras (Shadow) Psy+SpA/SkB,86,75,0
Regirock LO+SE/FB,122,60,0
Walrein PS+ISp/Eq,649,0,34
Poliwrath MS+IW/DyP,423,5,0
Golem (Alolan) (Shadow) VS+WC/RB,111,50,0
Crustle (Shadow) FC+XS/RW,108,45,0
Aron MSo+RT/BS,118,70,0
Aurorus PS+WBI/MeB,79,50,0
Swampert (Shadow) MS+HC/Eq,113,75,0
Froslass H+Av/SB,388,35,0
Ninetales E+WBF/EB,107,55,0
Swanna G+AJ/Fl,521,0,5
Feraligatr (Shadow) SC+HC/Cr,504,0,1
Politoed (Shadow) MS+WBW/Eq,471,5,0
Probopass Sp+RS/ZC,644,0,33
Blastoise (Shadow) RO+HC/SkB,111,65,0
Swanna (Shadow) G+AJ/Fl,97,50,0
Probopass (Shadow) Sp+RS/ZC,530,0,7
Castform (Sunny) E+WBF/SoB,92,55,0
Tyrunt DT+RT/St,120,75,0
Feraligatr SC+HC/Cr,476,5,0
Lumineon G+AT/SvW,412,35,0
Solrock Psy+WBF/RS,96,60,0
Walrein (Shadow) PS+ISp/Eq,539,0,9
Naclstack MS+RT/RB,426,5,0
Froslass (Shadow) H+Av/SB,119,75,0
Primarina W+DV/HC,138,75,0
Dondozo W+S/O,366,65,0
Ninetales (Shadow) E+WBF/EB,107,55,0
Samurott (Hisuian) FC+DP/XS,592,0,21
Greninja (Shadow) WSh+HC/NS,117,55,0
Graveler (Alolan) (Shadow) VS+SE/RB,113,50,0
Tapu Fini WG+S/NM,395,30,0
Blaziken (Shadow) E+AuS/BB,84,20,0
Garganacl MS+RT/RB,437,5,0
Palkia (Shadow) DB+AT/DM,130,50,0
Kabutops FC+AJ/SE,127,50,0
Lunatone Psy+WBI/RS,96,60,0
Sealeo PS+S/BS,706,0,47
Turtonator E+BrS/DC,137,75,0
Whiscash MS+MB/Sc,398,25,0
Lairon (Shadow) MSo+RT/BS,101,40,0
Tyrantrum DT+RT/Cr,125,65,0
Golem (Alolan) VS+WC/RB,508,0,2
Politoed MS+WBW/Eq,420,20,0
Aron (Shadow) MSo+RT/BS,94,40,0
Sandshrew (Alolan) (Shadow) PS+NS/GB,102,50,0
Whiscash (Shadow) MS+MB/Sc,452,15,0
Wailmer (Shadow) RO+Sc/BS,504,5,1
Aggron DT+RT/T,552,0,12
Frigibax DB+Av/DC,596,0,22
Graveler (Alolan) VS+SE/RB,112,50,0
Seismitoad MS+EP/IW,487,25,0
Bibarel (Shadow) RO+S/HF,521,0,5
Golduck (Shadow) Cf+CrC/Li,508,0,2
Alomomola W+HP/P,300,45,0
Sealeo (Shadow) PS+S/BS,609,0,25
Dewgong IS+IW/DR,609,0,25
Glalie RO+Av/SB,592,0,21
Urshifu (Rapid Strike) C+AJ/DyP,123,70,0
Marshtomp MS+S/Sl,504,30,1
Sandshrew (Alolan) PS+NS/GB,574,0,17
Castform (Rainy) WG+WBW/T,417,30,0
Kabutops (Shadow) FC+AJ/SE,127,50,0
Frillish H+NSh/IB,351,35,0
Ninetales (Alolan) (Shadow) Ch+WBI/Psh,124,75,0
