Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,317,55,0
Kingdra DB+O/Sw,389,25,0
Ludicolo A+WBW/EB,335,5,0
Lanturn Sp+S/Tb,517,0,4
Cradily BS+RT/GK,513,0,3
Kingdra (Shadow) DB+Sw/O,432,10,0
Abomasnow Lf+WBI/EB,76,50,0
Abomasnow (Shadow) Lf+WBI/EB,76,50,0
Araquanid BBi+BBu/BuB,622,0,28
Empoleon MSo+HC/DrlP,90,50,0
Lapras Psy+SpA/SkB,396,25,0
Sandslash (Alolan) SC+IP/DR,618,10,27
Carbink RTh+RS/M,622,0,28
Sandslash (Alolan) (Shadow) SC+IP/DR,535,0,8
Cradily (Shadow) Ac+RT/GK,361,55,0
Empoleon (Shadow) MSo+HC/DrlP,90,50,0
Toxapex PJ+Bri/SW,666,0,38
Bastiodon SD+SE/Ft,767,0,61
Barbaracle FC+CrC/SE,614,0,26
Tentacruel Ac+Sc/Pbk,561,0,14
Gyarados DB+AT/Tw,583,0,19
Bastiodon (Shadow) SD+SE/Ft,732,50,53
Golisopod FC+XS/AJ,535,0,8
Lileep Ac+AP/GK,570,0,16
Seaking Pk+DR/Mh,387,45,0
Gastrodon MSl+BS/EP,315,10,0
Pelipper WA+WBW/Hu,671,0,39
Arctibax DB+Av/DC,793,0,67
Araquanid (Shadow) BBi+BBu/WP,548,0,11
Quaquaval LK+CC/HC,304,50,0
Milotic (Shadow) DT+AT/Wr,393,30,0
Mantine WA+Tw/AA,618,0,27
Lileep (Shadow) Ac+AP/GK,513,0,3
Gyarados (Shadow) DB+AT/Tw,539,0,9
Samurott FC+HC/Mh,84,55,0
Samurott (Shadow) FC+HC/Mh,80,50,0
Tentacruel (Shadow) Ac+Sc/Pbk,837,0,77
Qwilfish (Shadow) PSt+AT/SB,622,0,28
Starmie (Shadow) Psy+AJ/PG,105,50,0
Crustle FC+XS/RW,793,0,67
Tauros (Aqua) DK+AJ/TBl,100,55,0
Qwilfish PSt+AT/SB,666,0,38
Dewott (Shadow) FC+AT/XS,438,30,0
Swampert MS+HC/Eq,264,10,0
Azumarill B+IB/PR,421,25,0
Slowbro Cf+DrP/P,437,10,0
Blastoise RO+HC/SkB,353,45,0
Poliwrath (Shadow) MS+IW/DyP,80,50,0
Dewott FC+AT/XS,372,30,0
Baxcalibur DB+GlR/Av,793,0,67
Milotic DT+AT/Wr,343,30,0
Quagsire MS+AT/MB,307,5,0
Bruxish Cf+AT/PsF,94,50,0
Lairon MSo+RT/BS,719,0,50
Slowbro (Shadow) Cf+DrP/P,326,30,0
Starmie Psy+AJ/PG,442,10,0
Quagsire (Shadow) MS+AT/MB,350,5,0
Lapras (Shadow) Psy+SpA/SkB,449,5,0
Regirock LO+SE/FB,320,20,0
Walrein PS+ISp/Eq,464,30,0
Poliwrath MS+IW/DyP,350,20,0
Golem (Alolan) (Shadow) VS+WC/RB,448,10,0
Crustle (Shadow) FC+XS/RW,793,0,67
Aron MSo+RT/BS,719,0,50
Aurorus PS+WBI/MeB,469,40,0
Swampert (Shadow) MS+HC/Eq,73,40,0
Froslass H+Av/SB,662,0,37
Ninetales E+WBF/EB,640,30,32
Swanna G+AJ/Fl,864,0,83
Feraligatr (Shadow) SC+HC/Cr,88,50,0
Politoed (Shadow) MS+WBW/Eq,370,5,0
Probopass Sp+RS/ZC,890,0,89
Blastoise (Shadow) RO+HC/SkB,396,40,0
Swanna (Shadow) G+AJ/Fl,842,0,78
Probopass (Shadow) Sp+RS/ZC,837,0,77
Castform (Sunny) E+WBF/SoB,462,20,0
Tyrunt DT+RT/St,592,35,21
Feraligatr SC+HC/Cr,404,40,0
Lumineon G+AT/SvW,343,55,0
Solrock Psy+WBF/RS,614,0,26
Walrein (Shadow) PS+ISp/Eq,622,0,28
Naclstack MS+RT/RB,596,0,22
Froslass (Shadow) H+Av/SB,587,0,20
Primarina W+DV/HC,424,5,0
Dondozo W+S/O,275,25,0
Ninetales (Shadow) E+WBF/EB,618,0,27
Samurott (Hisuian) FC+DP/XS,443,45,0
Greninja (Shadow) WSh+HC/NS,86,40,0
Graveler (Alolan) (Shadow) VS+SE/RB,439,10,0
Tapu Fini WG+S/NM,395,40,0
Blaziken (Shadow) E+AuS/BB,84,40,0
Garganacl MS+RT/RB,583,0,19
Palkia (Shadow) DB+AT/DM,100,40,0
Kabutops FC+AJ/SE,460,10,0
Lunatone Psy+WBI/RS,614,0,26
Sealeo PS+S/BS,446,55,0
Turtonator E+BrS/DC,706,25,47
Whiscash MS+MB/Sc,303,35,0
Lairon (Shadow) MSo+RT/BS,535,0,8
Tyrantrum DT+RT/Cr,640,0,32
Golem (Alolan) VS+WC/RB,543,0,10
Politoed MS+WBW/Eq,330,15,0
Aron (Shadow) MSo+RT/BS,535,0,8
Sandshrew (Alolan) (Shadow) PS+NS/GB,90,55,0
Whiscash (Shadow) MS+MB/Sc,227,5,0
Wailmer (Shadow) RO+Sc/BS,390,0,0
Aggron DT+RT/T,855,0,81
Frigibax DB+Av/DC,793,0,67
Graveler (Alolan) VS+SE/RB,552,0,12
Seismitoad MS+EP/IW,298,10,0
Bibarel (Shadow) RO+S/HF,426,25,0
Golduck (Shadow) Cf+CrC/Li,434,5,0
Alomomola W+HP/P,243,55,0
Sealeo (Shadow) PS+S/BS,68,55,0
Dewgong IS+IW/DR,618,0,27
Glalie RO+Av/SB,666,45,38
Urshifu (Rapid Strike) C+AJ/DyP,338,30,0
Marshtomp MS+S/Sl,378,35,0
Sandshrew (Alolan) PS+NS/GB,362,5,0
Castform (Rainy) WG+WBW/T,318,10,0
Kabutops (Shadow) FC+AJ/SE,107,50,0
Frillish H+NSh/IB,644,0,33
Ninetales (Alolan) (Shadow) Ch+WBI/Psh,750,0,57
Slowpoke Cf+Psh/WP,309,30,0
Wailmer RO+Sc/BS,318,55,0
Gigalith (Shadow) LO+SP/MeB,539,0,9
Slowpoke (Shadow) Cf+Psh/WP,357,30,0
Wailord RO+S/Re,396,55,0
Articuno PS+IW/Hu,850,0,80
Greninja WSh+HC/NS,86,40,0
Tyrunt (Shadow) DT+RT/St,565,0,15
Tyranitar DB+BrS/SE,649,0,34
Marshtomp (Shadow) MS+S/Sl,79,50,0
Palpitoad MS+EP/WP,338,20,0
Geodude (Alolan) (Shadow) VS+RT/RS,543,0,10
Ninetales (Alolan) Ch+WBI/Psh,627,30,29
Tyrantrum (Shadow) DT+Cr/RT,574,0,17
Golduck Cf+CrC/Li,395,30,0
Regirock (Shadow) LO+SE/FB,885,0,88
Rhyperior (Shadow) MSl+DR/RW,313,10,0
Rotom (Wash) TS+Tb/HP,837,0,77
Bibarel RO+S/HF,392,55,0
Regice LO+Bl/T,679,0,41
Cetitan PS+ISp/SP,492,30,0
Gigalith LO+SP/MeB,666,0,38
Typhlosion (Hisuian) E+SB/WC,675,0,40
Armaldo (Shadow) FC+RB/Li,100,55,0
Tauros (Blaze) DK+FmC/TBl,407,10,0
Tyranitar (Shadow) DB+BrS/SE,466,5,0
Dewgong (Shadow) IS+IW/DR,535,0,8
Glalie (Shadow) RO+Av/SB,635,0,31
Blaziken E+AuS/BB,539,0,9
Marowak (Alolan) FS+BC/SBo,488,55,0
Aerodactyl DB+RS/EP,793,0,67
Cetoddle PS+Av/BS,530,0,7
Geodude (Alolan) VS+RT/RS,605,0,24
Kleavor FC+XS/RS,622,0,28
Regice (Shadow) LO+Bl/T,894,0,90
Amaura PS+WBI/Tb,484,55,0
Wailord (Shadow) RO+S/HB,436,40,0
Lampent (Shadow) E+HW/EB,574,0,17
Quaxwell WA+AJ/AA,402,45,0
Marowak (Alolan) (Shadow) FS+SBo/BC,688,0,43
Rapidash I+DR/WC,614,0,26
Magmortar (Shadow) KC+FiP/Tb,513,0,3
Kabuto MS+AJ/RT,548,0,11
Rapidash (Shadow) I+DR/WC,552,0,12
Aurorus (Shadow) PS+WBI/MeB,644,0,33
Typhlosion (Shadow) I+BB/TP,684,0,42
Kabuto (Shadow) MS+AJ/RT,504,0,1
Magmar (Shadow) KC+FiP/ScS,96,50,0
Aerodactyl (Shadow) DB+RS/EP,793,0,67
Omanyte MS+RT/RB,653,0,35
Omanyte (Shadow) MS+RT/RB,618,0,27
Rhyperior MSl+DR/RW,276,10,0
Fletchinder (Shadow) Pk+Fl/HW,850,0,80
Amaura (Shadow) PS+WBI/Tb,644,0,33
Fletchinder Pk+Fl/HW,850,0,80
Vanillish A+IW/SiB,561,60,14
Snover PS+EB/IB,850,0,80
Crawdaunt (Shadow) W+NS/Sc,105,55,0
Aggron (Shadow) DT+RT/T,820,0,73
Slowking (Shadow) Cf+S/Bl,381,30,0
Articuno (Shadow) PS+TAx/Hu,627,0,29
Lampent E+HW/EB,627,0,29
Victini Cf+VC/Psh,798,0,68
Piloswine (Shadow) PS+ISp/SE,422,40,0
Castform (Snowy) PS+WBI/Bl,476,40,0
Reshiram (Shadow) DB+FuF/DM,692,0,44
Armarouge I+Psh/HW,675,0,40
Slowking Cf+S/Bl,336,30,0
Omastar MS+RS/HP,653,0,35
Omastar (Shadow) MS+RS/HP,618,0,27
Skeledirge I+TSo/SB,872,0,85
Snover (Shadow) PS+EB/IB,802,0,69
Armaldo FC+RB/Li,561,0,14
Tentacool (Shadow) PSt+Wr/WP,811,0,71
Wartortle WG+AJ/IB,312,25,0
Avalugg IF+Av/BS,521,55,5
Corsola B+PG/RB,343,55,0
Magmar KC+FiP/ScS,526,0,6
