Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,416,10,0
Kingdra DB+O/Sw,483,8,0
Ludicolo A+WBW/EB,705,84,55
Lanturn Sp+S/Tb,157,10,0
Cradily BS+RT/GK,381,36,0
Kingdra (Shadow) DB+Sw/O,487,24,0
Abomasnow Lf+WBI/EB,731,84,62
Abomasnow (Shadow) Lf+WBI/EB,727,70,61
Araquanid BBi+BBu/BuB,656,55,42
Empoleon MSo+HC/DrlP,368,7,0
Lapras Psy+SpA/SkB,385,7,0
Sandslash (Alolan) SC+IP/DR,328,7,0
Carbink RTh+RS/M,123,39,0
Sandslash (Alolan) (Shadow) SC+IP/DR,360,7,0
Cradily (Shadow) Ac+RT/GK,493,10,0
Empoleon (Shadow) MSo+HC/DrlP,434,10,0
Toxapex PJ+Bri/SW,544,5,12
Bastiodon SD+SE/Ft,104,53,0
Barbaracle FC+CrC/SE,356,7,0
Tentacruel Ac+Sc/Pbk,522,100,6
Gyarados DB+AT/Tw,604,98,28
Bastiodon (Shadow) SD+SE/Ft,89,39,0
Golisopod FC+XS/AJ,783,70,76
Lileep Ac+AP/GK,377,22,0
Seaking Pk+DR/Mh,679,100,48
Gastrodon MSl+BS/EP,787,100,77
Pelipper WA+WBW/Hu,679,100,48
Arctibax DB+Av/DC,548,100,13
Araquanid (Shadow) BBi+BBu/WP,705,98,55
Quaquaval LK+CC/HC,906,56,109
Milotic (Shadow) DT+AT/Wr,488,8,0
Mantine WA+Tw/AA,404,7,0
Lileep (Shadow) Ac+AP/GK,634,100,36
Gyarados (Shadow) DB+AT/Tw,708,84,56
Samurott FC+HC/Mh,798,98,80
Samurott (Shadow) FC+HC/Mh,768,84,72
Tentacruel (Shadow) Ac+Sc/Pbk,548,100,13
Qwilfish (Shadow) PSt+AT/SB,768,84,72
Starmie (Shadow) Psy+AJ/PG,585,84,23
Crustle FC+XS/RW,656,100,42
Tauros (Aqua) DK+AJ/TBl,854,70,95
Qwilfish PSt+AT/SB,768,98,72
Dewott (Shadow) FC+AT/XS,701,98,54
Swampert MS+HC/Eq,888,100,104
Azumarill B+IB/PR,750,5,67
Slowbro Cf+DrP/P,402,22,0
Blastoise RO+HC/SkB,438,10,0
Poliwrath (Shadow) MS+IW/DyP,929,70,115
Dewott FC+AT/XS,641,100,38
Baxcalibur DB+GlR/Av,664,39,44
Milotic DT+AT/Wr,461,55,0
Quagsire MS+AT/MB,746,100,66
Bruxish Cf+AT/PsF,500,38,0
Lairon MSo+RT/BS,211,7,0
Slowbro (Shadow) Cf+DrP/P,451,8,0
Starmie Psy+AJ/PG,649,98,40
Quagsire (Shadow) MS+AT/MB,742,100,65
Lapras (Shadow) Psy+SpA/SkB,611,100,30
Regirock LO+SE/FB,254,7,0
Walrein PS+ISp/Eq,448,7,0
Poliwrath MS+IW/DyP,902,53,108
Golem (Alolan) (Shadow) VS+WC/RB,102,42,0
Crustle (Shadow) FC+XS/RW,735,98,63
Aron MSo+RT/BS,196,7,0
Aurorus PS+WBI/MeB,262,8,0
Swampert (Shadow) MS+HC/Eq,902,98,108
Froslass H+Av/SB,723,100,60
Ninetales E+WBF/EB,559,100,16
Swanna G+AJ/Fl,500,38,0
Feraligatr (Shadow) SC+HC/Cr,705,98,55
Politoed (Shadow) MS+WBW/Eq,723,100,60
Probopass Sp+RS/ZC,105,39,0
Blastoise (Shadow) RO+HC/SkB,589,100,24
