Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,525,2,6
Kingdra DB+O/Sw,720,1,53
Ludicolo A+WBW/EB,473,5,0
Lanturn Sp+S/Tb,363,5,0
Cradily BS+RT/GK,90,52,0
Kingdra (Shadow) DB+Sw/O,641,1,34
Abomasnow Lf+WBI/EB,136,52,0
Abomasnow (Shadow) Lf+WBI/EB,136,52,0
Araquanid BBi+BBu/BuB,485,21,0
Empoleon MSo+HC/DrlP,278,5,0
Lapras Psy+SpA/SkB,550,1,12
Sandslash (Alolan) SC+IP/DR,496,10,0
Carbink RTh+RS/M,257,41,0
Sandslash (Alolan) (Shadow) SC+IP/DR,496,9,0
Cradily (Shadow) Ac+RT/GK,312,21,0
Empoleon (Shadow) MSo+HC/DrlP,319,5,0
Toxapex PJ+Bri/SW,591,6,22
Bastiodon SD+SE/Ft,258,34,0
Barbaracle FC+CrC/SE,260,1,0
Tentacruel Ac+Sc/Pbk,377,1,0
Gyarados DB+AT/Tw,376,17,0
Bastiodon (Shadow) SD+SE/Ft,266,10,0
Golisopod FC+XS/AJ,101,44,0
Lileep Ac+AP/GK,334,1,0
Seaking Pk+DR/Mh,489,1,0
Gastrodon MSl+BS/EP,294,25,0
Pelipper WA+WBW/Hu,566,1,16
Arctibax DB+Av/DC,231,56,0
Araquanid (Shadow) BBi+BBu/WP,625,1,30
Quaquaval LK+CC/HC,275,5,0
Milotic (Shadow) DT+AT/Wr,516,1,4
Mantine WA+Tw/AA,729,1,55
Lileep (Shadow) Ac+AP/GK,301,21,0
Gyarados (Shadow) DB+AT/Tw,111,36,0
Samurott FC+HC/Mh,121,44,0
Samurott (Shadow) FC+HC/Mh,161,44,0
Tentacruel (Shadow) Ac+Sc/Pbk,484,1,0
Qwilfish (Shadow) PSt+AT/SB,508,1,2
Starmie (Shadow) Psy+AJ/PG,916,1,100
Crustle FC+XS/RW,95,44,0
Tauros (Aqua) DK+AJ/TBl,285,13,0
Qwilfish PSt+AT/SB,575,1,18
Dewott (Shadow) FC+AT/XS,136,40,0
Swampert MS+HC/Eq,297,5,0
Azumarill B+IB/PR,246,17,0
Slowbro Cf+DrP/P,633,2,32
Blastoise RO+HC/SkB,100,52,0
Poliwrath (Shadow) MS+IW/DyP,120,44,0
Dewott FC+AT/XS,110,44,0
Baxcalibur DB+GlR/Av,468,13,0
Milotic DT+AT/Wr,435,21,0
Quagsire MS+AT/MB,313,33,0
Bruxish Cf+AT/PsF,950,5,108
Lairon MSo+RT/BS,296,37,0
Slowbro (Shadow) Cf+DrP/P,558,2,14
Starmie Psy+AJ/PG,495,5,0
Quagsire (Shadow) MS+AT/MB,279,5,0
Lapras (Shadow) Psy+SpA/SkB,108,52,0
Regirock LO+SE/FB,381,5,0
Walrein PS+ISp/Eq,620,1,29
Poliwrath MS+IW/DyP,120,44,0
Golem (Alolan) (Shadow) VS+WC/RB,166,52,0
Crustle (Shadow) FC+XS/RW,143,44,0
Aron MSo+RT/BS,295,37,0
Aurorus PS+WBI/MeB,654,1,37
Swampert (Shadow) MS+HC/Eq,338,5,0
Froslass H+Av/SB,608,1,26
Ninetales E+WBF/EB,554,1,13
Swanna G+AJ/Fl,145,52,0
Feraligatr (Shadow) SC+HC/Cr,132,44,0
Politoed (Shadow) MS+WBW/Eq,334,17,0
Probopass Sp+RS/ZC,348,2,0
Blastoise (Shadow) RO+HC/SkB,150,52,0
Swanna (Shadow) G+AJ/Fl,194,52,0
Probopass (Shadow) Sp+RS/ZC,382,22,0
Castform (Sunny) E+WBF/SoB,816,1,76
Tyrunt DT+RT/St,758,1,62
Feraligatr SC+HC/Cr,132,44,0
Lumineon G+AT/SvW,423,29,0
Solrock Psy+WBF/RS,666,13,40
Walrein (Shadow) PS+ISp/Eq,545,1,11
Naclstack MS+RT/RB,373,18,0
Froslass (Shadow) H+Av/SB,916,13,100
Primarina W+DV/HC,191,13,0
Dondozo W+S/O,368,5,0
Ninetales (Shadow) E+WBF/EB,329,9,0
Samurott (Hisuian) FC+DP/XS,250,5,0
Greninja (Shadow) WSh+HC/NS,156,36,0
Graveler (Alolan) (Shadow) VS+SE/RB,595,1,23
Tapu Fini WG+S/NM,376,5,0
Blaziken (Shadow) E+AuS/BB,361,5,0
Garganacl MS+RT/RB,348,29,0
Palkia (Shadow) DB+AT/DM,225,36,0
Kabutops FC+AJ/SE,377,5,0
Lunatone Psy+WBI/RS,666,13,40
Sealeo PS+S/BS,116,52,0
Turtonator E+BrS/DC,675,1,42
Whiscash MS+MB/Sc,109,52,0
Lairon (Shadow) MSo+RT/BS,313,21,0
Tyrantrum DT+RT/Cr,712,1,51
Golem (Alolan) VS+WC/RB,166,52,0
Politoed MS+WBW/Eq,334,29,0
Aron (Shadow) MSo+RT/BS,311,21,0
Sandshrew (Alolan) (Shadow) PS+NS/GB,716,1,52
Whiscash (Shadow) MS+MB/Sc,258,5,0
Wailmer (Shadow) RO+Sc/BS,134,52,0
Aggron DT+RT/T,508,2,2
Frigibax DB+Av/DC,234,56,0
Graveler (Alolan) VS+SE/RB,323,29,0
Seismitoad MS+EP/IW,298,13,0
Bibarel (Shadow) RO+S/HF,174,52,0
Golduck (Shadow) Cf+CrC/Li,151,52,0
Alomomola W+HP/P,476,2,0
Sealeo (Shadow) PS+S/BS,116,52,0
Dewgong IS+IW/DR,545,21,11
Glalie RO+Av/SB,612,1,27
Urshifu (Rapid Strike) C+AJ/DyP,285,9,0
Marshtomp MS+S/Sl,285,5,0
Sandshrew (Alolan) PS+NS/GB,291,21,0
Castform (Rainy) WG+WBW/T,280,13,0
Kabutops (Shadow) FC+AJ/SE,421,5,0
Frillish H+NSh/IB,658,17,38
Ninetales (Alolan) (Shadow) Ch+WBI/Psh,604,1,25
Slowpoke Cf+Psh/WP,525,2,6
Wailmer RO+Sc/BS,268,13,0
Gigalith (Shadow) LO+SP/MeB,115,36,0
Slowpoke (Shadow) Cf+Psh/WP,825,5,78
Wailord RO+S/Re,276,13,0
Articuno PS+IW/Hu,654,1,37
Greninja WSh+HC/NS,117,36,0
Tyrunt (Shadow) DT+RT/St,704,21,49
Tyranitar DB+BrS/SE,500,1,0
Marshtomp (Shadow) MS+S/Sl,323,5,0
Palpitoad MS+EP/WP,282,13,0
Geodude (Alolan) (Shadow) VS+RT/RS,172,52,0
Ninetales (Alolan) Ch+WBI/Psh,666,1,40
Tyrantrum (Shadow) DT+Cr/RT,833,13,80
Golduck Cf+CrC/Li,508,1,2
Regirock (Shadow) LO+SE/FB,306,25,0
Rhyperior (Shadow) MSl+DR/RW,373,13,0
Rotom (Wash) TS+Tb/HP,883,1,92
Bibarel RO+S/HF,130,52,0
Regice LO+Bl/T,687,1,45
Cetitan PS+ISp/SP,108,44,0
Gigalith LO+SP/MeB,115,36,0
Typhlosion (Hisuian) E+SB/WC,937,1,105
Armaldo (Shadow) FC+RB/Li,413,9,0
Tauros (Blaze) DK+FmC/TBl,171,52,0
Tyranitar (Shadow) DB+BrS/SE,500,1,0
Dewgong (Shadow) IS+IW/DR,533,1,8
Glalie (Shadow) RO+Av/SB,533,1,8
Blaziken E+AuS/BB,289,5,0
Marowak (Alolan) FS+BC/SBo,662,1,39
Aerodactyl DB+RS/EP,387,17,0
Cetoddle PS+Av/BS,558,1,14
Geodude (Alolan) VS+RT/RS,566,1,16
Kleavor FC+XS/RS,403,5,0
Regice (Shadow) LO+Bl/T,629,1,31
Amaura PS+WBI/Tb,650,1,36
Wailord (Shadow) RO+S/HB,137,52,0
Lampent (Shadow) E+HW/EB,937,1,105
Quaxwell WA+AJ/AA,336,17,0
Marowak (Alolan) (Shadow) FS+SBo/BC,600,1,24
Rapidash I+DR/WC,533,1,8
Magmortar (Shadow) KC+FiP/Tb,449,9,0
Kabuto MS+AJ/RT,328,5,0
Rapidash (Shadow) I+DR/WC,401,5,0
Aurorus (Shadow) PS+WBI/MeB,583,1,20
Typhlosion (Shadow) I+BB/TP,650,1,36
Kabuto (Shadow) MS+AJ/RT,427,5,0
Magmar (Shadow) KC+FiP/ScS,434,13,0
Aerodactyl (Shadow) DB+RS/EP,420,13,0
Omanyte MS+RT/RB,695,1,47
Omanyte (Shadow) MS+RT/RB,516,1,4
Rhyperior MSl+DR/RW,335,13,0
Fletchinder (Shadow) Pk+Fl/HW,666,1,40
Amaura (Shadow) PS+WBI/Tb,583,1,20
Fletchinder Pk+Fl/HW,700,1,48
Vanillish A+IW/SiB,875,1,90
Snover PS+EB/IB,137,52,0
Crawdaunt (Shadow) W+NS/Sc,417,13,0
Aggron (Shadow) DT+RT/T,358,37,0
Slowking (Shadow) Cf+S/Bl,900,5,96
Articuno (Shadow) PS+TAx/Hu,570,1,17
Lampent E+HW/EB,512,17,3
Victini Cf+VC/Psh,712,17,51
Piloswine (Shadow) PS+ISp/SE,389,17,0
Castform (Snowy) PS+WBI/Bl,654,1,37
Reshiram (Shadow) DB+FuF/DM,833,1,80
Armarouge I+Psh/HW,791,13,70
Slowking Cf+S/Bl,516,2,4
Omastar MS+RS/HP,604,5,25
Omastar (Shadow) MS+RS/HP,520,1,5
Skeledirge I+TSo/SB,862,1,87
Snover (Shadow) PS+EB/IB,183,52,0
Armaldo FC+RB/Li,378,13,0
Tentacool (Shadow) PSt+Wr/WP,516,1,4
Wartortle WG+AJ/IB,363,1,0
Avalugg IF+Av/BS,700,1,48
Corsola B+PG/RB,402,17,0
Magmar KC+FiP/ScS,385,13,0
Magby KC+FiP/BkB,370,5,0
Shellos MSl+BS/WP,304,25,0
Tentacool PSt+Wr/WP,570,2,17
Typhlosion I+BB/TP,704,1,49
Blacephalon I+MdB/SB,866,1,88
Skrelp Ac+AT/Tw,641,1,34
Lombre B+Sc/GK,475,5,0
Piloswine PS+ISp/SE,500,17,0
Crawdaunt W+NS/Sc,566,1,16
Magmortar KC+FiP/Tb,444,21,0
Relicanth WG+AT/AP,92,56,0
Rotom (Frost) TS+Tb/Bl,883,1,92
Jynx Cf+Av/Psh,941,1,106
Talonflame I+Fl/BrB,862,1,87
Avalugg (Hisuian) PS+RS/IW,595,1,23
Stakataka RTh+SE/FC,322,33,0
Vaporeon WG+AT/LR,284,13,0
Mamoswine (Shadow) PS+ISp/SE,438,9,0
Moltres (Shadow) WA+Fl/HW,637,1,33
Mantyke B+WP/AA,791,1,70
Mr. Rime Cf+IW/P,925,21,102
Sudowoodo C+MeB/TBl,297,29,0
Wartortle (Shadow) WG+AJ/IB,467,1,0
Brionne Ch+AJ/DV,687,1,45
Graveler (Shadow) MSl+RS/Dg,421,25,0
Combusken (Shadow) E+RS/FmC,625,1,30
Floatzel W+AJ/Sw,439,13,0
Klawf MSl+Bd/RT,310,25,0
Lycanroc (Dusk) SkP+SE/TBl,440,21,0
Smoochum PS+Psh/IP,875,1,90
Lycanroc (Midnight) C+SE/PsF,374,17,0
Camerupt I+EP/RT,850,1,84
Camerupt (Shadow) I+EP/RT,812,1,75
Centiskorch E+Lu/HW,550,1,12
Charizard (Shadow) E+BB/AC,591,1,22
Heatran (Shadow) FS+MgS/EP,679,1,43
Pignite E+RT/FmC,629,33,31
Magcargo E+RT/Ov,687,13,45
Diancie RTh+RS/M,426,17,0
Lycanroc (Midday) SkP+DR/SE,406,13,0
Moltres WA+Fl/HW,712,1,51
Sudowoodo (Shadow) C+MeB/TBl,504,1,1
Braixen (Shadow) E+Psh/FmC,720,1,53
Croconaw (Shadow) WG+IP/WP,708,1,50
Suicune IF+BuB/Sc,390,17,0
Chinchou B+WP/Tb,320,25,0
Poliwhirl B+Sc/MB,314,25,0
Rhyhorn (Shadow) MSl+Bd/St,333,25,0
Salazzle I+PF/DgP,770,1,65
Torkoal E+FW/Ov,783,1,68
Combusken E+RS/FmC,670,1,41
Emboar (Shadow) E+BB/HW,683,1,44
Mamoswine PS+ISp/SE,384,21,0
Goldeen Pk+AT/HA,612,1,27
Seadra DB+HP/DgP,537,1,9
Tirtouga WG+S/BS,280,25,0
Carkol SD+RS/FmC,520,2,5
Incineroar FF+BrS/BB,725,1,54
Delphox (Shadow) FS+Psh/BB,900,1,96
Heatran FS+MgS/EP,725,1,54
Tirtouga (Shadow) WG+S/BS,591,1,22
Mr. Mime (Galarian) Cf+IP/TAx,695,1,47
Huntail WG+AT/Cr,389,13,0
Rhydon (Shadow) MSl+SE/S,404,25,0
Suicune (Shadow) IF+BuB/Sc,650,13,36
Cryogonal IS+TAx/NS,775,1,66
Monferno (Shadow) E+FW/LS,158,44,0
Volcanion I+Sc/Ov,850,1,84
Sharpedo (Shadow) W+Cr/PF,480,9,0
Archen (Shadow) WA+AP/Cr,895,1,95
Vanilluxe A+Av/FC,875,1,90
Boldore MSl+RS/Bd,729,1,55
Bonsly RTh+RT/RS,766,5,64
Braixen E+Psh/FmC,754,1,61
Croconaw WG+IP/WP,541,13,10
Carracosta (Shadow) WG+Li/BS,583,1,20
Ceruledge I+SB/HW,900,1,96
Sneasel (Shadow) IS+Av/FoP,625,1,30
Weavile (Shadow) Sn+Av/FoP,358,13,0
Poliwhirl (Shadow) B+Sc/MB,729,5,55
Archeops (Shadow) WA+AP/Cr,895,1,95
