Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+WBI/EB,619,66,29
Abomasnow (Shadow) Lf+WBI/EB,586,60,21
Aerodactyl DB+RS/EP,669,84,41
Aerodactyl (Shadow) DB+RS/EP,632,72,32
Aggron DT+RT/T,855,48,86
Aggron (Shadow) DT+RT/T,851,42,85
Alomomola W+HP/P,644,6,35
Amaura PS+WBI/Tb,880,48,92
Amaura (Shadow) PS+WBI/Tb,871,42,90
Anorith StB+AJ/AP,793,72,71
Anorith (Shadow) StB+AJ/CP,797,60,72
Araquanid BBi+BBu/BuB,382,13,0
Araquanid (Shadow) BBi+BBu/WP,286,34,0
Arcanine FF+WC/PsF,677,84,43
Arcanine (Hisuian) Sn+WC/RS,921,60,102
Arcanine (Shadow) FF+WC/PsF,632,78,32
Archen WA+AP/Cr,586,60,21
Archen (Shadow) WA+AP/Cr,566,54,16
Archeops WA+AP/Cr,586,60,21
Archeops (Shadow) WA+AP/Cr,566,54,16
Arctibax DB+Av/DC,735,66,57
Armaldo FC+RB/Li,644,90,35
Armaldo (Shadow) FC+RB/Li,731,72,56
Armarouge I+Psh/HW,329,10,0
Aron MSo+RT/BS,909,48,99
Aron (Shadow) MSo+RT/BS,896,42,96
Articuno PS+IW/Hu,448,34,0
Articuno (Shadow) PS+TAx/Hu,677,96,43
Aurorus PS+WBI/MeB,880,48,92
Aurorus (Shadow) PS+WBI/MeB,871,42,90
Avalugg IF+Av/BS,747,78,60
Avalugg (Hisuian) PS+RS/IW,880,48,92
Azumarill B+IB/PR,374,19,0
Barbaracle FC+CrC/SE,826,66,79
Basculin WG+AT/AJ,644,90,35
Bastiodon SD+SE/Ft,789,96,70
Bastiodon (Shadow) SD+SE/Ft,797,78,72
Baxcalibur DB+GlR/Av,731,54,56
Beartic PS+IP/Li,830,54,80
Bergmite Tk+IW/Cr,723,26,54
Bibarel RO+S/HF,880,66,92
Bibarel (Shadow) RO+S/HF,892,54,95
Blacephalon I+MdB/SB,410,60,0
Blastoise RO+HC/SkB,623,100,30
Blastoise (Shadow) RO+HC/SkB,826,100,79
Blaziken E+AuS/BB,867,72,89
Blaziken (Shadow) E+AuS/BB,847,60,84
Boldore MSl+RS/Bd,706,66,50
Boldore (Shadow) MSl+RS/Bd,747,54,60
Bonsly RTh+RT/RS,768,72,65
Braixen E+Psh/FmC,818,96,77
Braixen (Shadow) E+Psh/FmC,809,78,75
Brionne Ch+AJ/DV,367,26,0
Bruxish Cf+AT/PsF,260,15,0
Camerupt I+EP/RT,702,96,49
Camerupt (Shadow) I+EP/RT,731,32,56
Carbink RTh+RS/M,661,0,39
Carkol SD+RS/FmC,723,100,54
Carracosta WG+Li/BS,822,66,78
Carracosta (Shadow) WG+Li/BS,760,60,63
Castform (Rainy) WG+WBW/T,702,100,49
Castform (Snowy) PS+WBI/Bl,809,78,75
Castform (Sunny) E+WBF/SoB,652,100,37
Centiskorch E+Lu/HW,553,0,13
