Pokemon,Battle Rating,Energy Remaining,HP Remaining
Muk (Alolan) PJ+BrS/IP,314,34,0
Mandibuzz AS+DP/AA,245,42,0
Morpeko (Full Belly) TS+AuW/PsF,783,37,59
Murkrow (Shadow) Pk+DrlP/FoP,314,21,0
Sableye SC+FoP/DG,152,2,0
Drapion PSt+Cr/AT,338,34,0
Greninja (Shadow) WSh+HC/BrS,778,64,58
Muk (Alolan) (Shadow) PJ+BrS/IP,341,18,0
Annihilape (Shadow) LK+RF/IP,591,7,19
Annihilape LK+RF/IP,410,7,0
Throh LK+BkB/BS,677,7,37
Guzzlord DT+BrS/DC,644,100,30
Grimmsnarl LK+FoP/DK,740,100,50
Pawmot TS+BkB/WC,725,96,47
Claydol MSl+RT/EP,425,15,0
Malamar Pk+SP/FoP,284,18,0
Murkrow Pk+DrlP/FoP,300,29,0
Sableye (Shadow) SC+FoP/DrP,168,37,0
Samurott (Hisuian) FC+SSw/DP,716,88,45
Hydreigon (Shadow) DB+BrS/Fl,725,64,47
Umbreon Sn+DP/LR,817,7,66
Moltres (Galarian) SkP+Fl/BrB,274,18,0
Throh (Shadow) LK+BkB/BS,610,7,23
Pawniard FC+NS/IH,822,56,67
Hawlucha LK+FlP/AA,457,7,0
Kingambit LK+FoP/IH,879,56,79
Malamar (Shadow) Pk+FoP/SP,266,2,0
Drapion (Shadow) PSt+Cr/AT,364,26,0
Hakamo-o DT+BkB/RT,562,7,13
Metang (Shadow) FC+Psh/GB,586,7,18
Flamigo Pk+UH/BrB,223,37,0
Kommo-o DT+ClS/UH,557,7,12
Morgrem SkP+FoP/PR,278,10,0
Hydreigon DB+BrS/Fl,649,80,31
Blaziken E+AuS/BB,701,100,42
Qwilfish (Hisuian) PSt+AT/DP,355,26,0
Greninja WSh+HC/BrS,822,72,67
Persian (Alolan) Scr+FoP/PR,673,61,36
Zweilous (Shadow) DB+BS/DP,649,80,31
Heracross FC+UH/RT,293,34,0
Thievul SkP+NS/IW,605,96,22
Lokix BBi+XS/TBl,303,2,0
Metang FC+Psh/GB,586,7,18
Rapidash (Galarian) FW+BS/WC,183,34,0
Poliwrath MS+IW/DyP,788,7,60
Skuntank PJ+Cr/TBl,348,26,0
Machoke (Shadow) KC+CrC/DyP,552,100,11
Farfetch'd (Galarian) FC+LB/BkB,474,65,0
Overqwil PSt+AT/DP,401,26,0
Bombirdier SkP+Fl/DR,307,10,0
Blaziken (Shadow) E+AuS/BK,730,88,48
Quaquaval LK+CC/HC,677,100,37
Sirfetch'd FC+LB/CC,644,100,30
Zweilous DB+BS/DP,687,96,39
Hatterene Ch+Psh/PW,98,13,0
Medicham PC+IP/DyP,397,7,0
Cresselia PC+GK/M,303,23,0
Poliwrath (Shadow) MS+IW/DyP,788,7,60
Primeape (Shadow) KC+RF/IP,721,96,46
Pangoro KC+CC/NS,836,80,70
Gurdurr (Shadow) LK+BkB/SE,625,100,26
Chesnaught LK+FP/SP,721,7,46
Claydol (Shadow) MSl+RT/EP,202,34,0
Grimer (Alolan) PJ+Cr/SlB,347,34,0
Bronzong MSo+WBW/Bd,653,7,32
Machamp (Shadow) KC+CrC/RS,725,100,47
Pawmo TS+WC/TP,677,100,37
Incineroar FF+DrP/BB,519,96,4
Lucario FPm+AuS/SB,754,29,53
Houndoom (Shadow) I+FoP/TBl,591,64,19
Vullaby AS+BrB/FoP,235,26,0
Hitmonlee (Shadow) LK+BK/BkB,677,96,37
Chesnaught (Shadow) LK+FP/SP,653,7,32
Conkeldurr (Shadow) FPm+DyP/BrS,519,100,4
Gallade (Shadow) LK+LB/SSw,500,7,0
Machamp KC+CrC/RS,533,7,7
