Pokemon,Battle Rating,Energy Remaining,HP Remaining
Muk (Alolan) PJ+BrS/IP,562,3,18
Mandibuzz AS+DP/AA,368,21,0
Morpeko (Full Belly) TS+AuW/PsF,576,2,22
Murkrow (Shadow) Pk+DrlP/FoP,604,2,30
Sableye SC+FoP/DG,248,29,0
Drapion PSt+Cr/AT,688,3,54
Greninja (Shadow) WSh+HC/BrS,674,2,50
Muk (Alolan) (Shadow) PJ+BrS/IP,226,64,0
Annihilape (Shadow) LK+RF/IP,189,11,0
Annihilape LK+RF/IP,164,38,0
Throh LK+BkB/BS,500,21,0
Guzzlord DT+BrS/DC,776,29,79
Grimmsnarl LK+FoP/DK,477,29,0
Pawmot TS+BkB/WC,821,11,92
Claydol MSl+RT/EP,194,30,0
Malamar Pk+SP/FoP,183,55,0
Murkrow Pk+DrlP/FoP,488,11,0
Sableye (Shadow) SC+FoP/DrP,376,12,0
Samurott (Hisuian) FC+SSw/DP,884,2,110
Hydreigon (Shadow) DB+BrS/Fl,772,2,78
Umbreon Sn+DP/LR,720,3,63
Moltres (Galarian) SkP+Fl/BrB,786,3,82
Throh (Shadow) LK+BkB/BS,391,38,0
Pawniard FC+NS/IH,884,2,110
Hawlucha LK+FlP/AA,234,11,0
Kingambit LK+FoP/IH,828,2,94
Malamar (Shadow) Pk+FoP/SP,219,55,0
Drapion (Shadow) PSt+Cr/AT,622,3,35
Hakamo-o DT+BkB/RT,590,3,26
Metang (Shadow) FC+Psh/GB,352,11,0
Flamigo Pk+UH/BrB,296,11,0
Kommo-o DT+ClS/UH,400,29,0
Morgrem SkP+FoP/PR,786,3,82
Hydreigon DB+BrS/Fl,772,2,78
Blaziken E+AuS/BB,483,11,0
Qwilfish (Hisuian) PSt+AT/DP,636,3,39
Greninja WSh+HC/BrS,737,2,68
Persian (Alolan) Scr+FoP/PR,839,2,97
Zweilous (Shadow) DB+BS/DP,772,2,78
Heracross FC+UH/RT,276,20,0
Thievul SkP+NS/IW,856,2,102
Lokix BBi+XS/TBl,716,3,62
Metang FC+Psh/GB,321,29,0
Rapidash (Galarian) FW+BS/WC,174,11,0
Poliwrath MS+IW/DyP,587,3,25
Skuntank PJ+Cr/TBl,667,3,48
Machoke (Shadow) KC+CrC/DyP,437,2,0
Farfetch'd (Galarian) FC+LB/BkB,594,3,27
Overqwil PSt+AT/DP,632,3,38
Bombirdier SkP+Fl/DR,744,3,70
Blaziken (Shadow) E+AuS/BK,828,2,94
Quaquaval LK+CC/HC,462,11,0
Sirfetch'd FC+LB/CC,625,20,36
Zweilous DB+BS/DP,828,2,94
Hatterene Ch+Psh/PW,98,11,0
Medicham PC+IP/DyP,131,38,0
Cresselia PC+GK/M,78,38,0
Poliwrath (Shadow) MS+IW/DyP,527,3,8
Primeape (Shadow) KC+RF/IP,495,2,0
Pangoro KC+CC/NS,828,2,94
Gurdurr (Shadow) LK+BkB/SE,213,55,0
Chesnaught LK+FP/SP,181,64,0
Claydol (Shadow) MSl+RT/EP,235,30,0
Grimer (Alolan) PJ+Cr/SlB,702,3,58
Bronzong MSo+WBW/Bd,629,3,37
Machamp (Shadow) KC+CrC/RS,548,2,14
Pawmo TS+WC/TP,461,11,0
Incineroar FF+DrP/BB,681,11,52
Lucario FPm+AuS/SB,716,2,62
Houndoom (Shadow) I+FoP/TBl,713,2,61
Vullaby AS+BrB/FoP,455,21,0
Hitmonlee (Shadow) LK+BK/BkB,744,2,70
Chesnaught (Shadow) LK+FP/SP,225,64,0
Conkeldurr (Shadow) FPm+DyP/BrS,639,11,40
Gallade (Shadow) LK+LB/SSw,331,2,0
Machamp KC+CrC/RS,555,3,16
Scrafty C+FoP/UH,688,20,54
Honchkrow Pk+BrB/DP,576,11,22
Spiritomb SkP+RT/SB,264,56,0
Tyranitar DB+BrS/SE,828,2,94
