Pokemon,Battle Rating,Energy Remaining,HP Remaining
Muk (Alolan) PJ+BrS/IP,297,1,0
Mandibuzz AS+DP/AA,465,41,0
Morpeko (Full Belly) TS+AuW/PsF,271,41,0
Murkrow (Shadow) Pk+DrlP/FoP,674,1,39
Sableye SC+FoP/DG,593,5,21
Drapion PSt+Cr/AT,156,41,0
Greninja (Shadow) WSh+HC/BrS,317,41,0
Muk (Alolan) (Shadow) PJ+BrS/IP,489,5,0
Annihilape (Shadow) LK+RF/IP,839,5,76
Annihilape LK+RF/IP,526,5,6
Throh LK+BkB/BS,700,32,45
Guzzlord DT+BrS/DC,718,19,49
Grimmsnarl LK+FoP/DK,642,1,32
Pawmot TS+BkB/WC,772,1,61
Claydol MSl+RT/EP,376,6,0
Malamar Pk+SP/FoP,531,14,7
Murkrow Pk+DrlP/FoP,714,1,48
Sableye (Shadow) SC+FoP/DrP,549,5,11
Samurott (Hisuian) FC+SSw/DP,656,5,35
Hydreigon (Shadow) DB+BrS/Fl,843,81,77
Umbreon Sn+DP/LR,471,19,0
Moltres (Galarian) SkP+Fl/BrB,683,5,41
Throh (Shadow) LK+BkB/BS,638,5,31
Pawniard FC+NS/IH,531,5,7
Hawlucha LK+FlP/AA,723,5,50
Kingambit LK+FoP/IH,638,23,31
Malamar (Shadow) Pk+FoP/SP,772,5,61
Drapion (Shadow) PSt+Cr/AT,156,41,0
Hakamo-o DT+BkB/RT,816,28,71
Metang (Shadow) FC+Psh/GB,410,14,0
Flamigo Pk+UH/BrB,754,1,57
Kommo-o DT+ClS/UH,906,1,91
Morgrem SkP+FoP/PR,683,5,41
Hydreigon DB+BrS/Fl,834,1,75
Blaziken E+AuS/BB,457,1,0
Qwilfish (Hisuian) PSt+AT/DP,152,41,0
Greninja WSh+HC/BrS,278,41,0
Persian (Alolan) Scr+FoP/PR,727,5,51
Zweilous (Shadow) DB+BS/DP,834,1,75
Heracross FC+UH/RT,754,1,57
Thievul SkP+NS/IW,683,5,41
Lokix BBi+XS/TBl,620,10,27
Metang FC+Psh/GB,321,9,0
Rapidash (Galarian) FW+BS/WC,500,5,0
Poliwrath MS+IW/DyP,683,5,41
Skuntank PJ+Cr/TBl,452,5,0
Machoke (Shadow) KC+CrC/DyP,785,1,64
Farfetch'd (Galarian) FC+LB/BkB,268,41,0
Overqwil PSt+AT/DP,151,41,0
Bombirdier SkP+Fl/DR,638,5,31
Blaziken (Shadow) E+AuS/BK,205,32,0
Quaquaval LK+CC/HC,875,1,84
Sirfetch'd FC+LB/CC,323,41,0
Zweilous DB+BS/DP,915,1,93
Hatterene Ch+Psh/PW,620,5,27
Medicham PC+IP/DyP,700,6,45
Cresselia PC+GK/M,378,24,0
Poliwrath (Shadow) MS+IW/DyP,647,5,33
Primeape (Shadow) KC+RF/IP,314,41,0
Pangoro KC+CC/NS,714,1,48
Gurdurr (Shadow) LK+BkB/SE,848,10,78
Chesnaught LK+FP/SP,504,37,1
Claydol (Shadow) MSl+RT/EP,442,6,0
Grimer (Alolan) PJ+Cr/SlB,444,5,0
Bronzong MSo+WBW/Bd,87,45,0
Machamp (Shadow) KC+CrC/RS,558,1,13
Pawmo TS+WC/TP,834,1,75
Incineroar FF+DrP/BB,362,37,0
Lucario FPm+AuS/SB,834,5,75
Houndoom (Shadow) I+FoP/TBl,674,1,39
Vullaby AS+BrB/FoP,808,5,69
Hitmonlee (Shadow) LK+BK/BkB,611,1,25
Chesnaught (Shadow) LK+FP/SP,848,10,78
Conkeldurr (Shadow) FPm+DyP/BrS,834,1,75
Gallade (Shadow) LK+LB/SSw,575,1,17
Machamp KC+CrC/RS,638,10,31
Scrafty C+FoP/UH,861,5,81
Honchkrow Pk+BrB/DP,714,1,48
Spiritomb SkP+RT/SB,620,23,27
Tyranitar DB+BrS/SE,687,5,42
Cresselia (Shadow) PC+GK/M,611,1,25
Conkeldurr FPm+DyP/BrS,674,1,39
Houndoom I+FoP/TBl,216,50,0
Hariyama (Shadow) FPm+UH/HS,861,1,81
Toxicroak PSt+DyP/SB,683,5,41
Zapdos (Galarian) LK+Fl/CC,875,1,84
Gurdurr LK+BkB/SE,861,5,81
Machoke KC+CrC/Re,825,5,73
Machop KC+CrC/BkB,816,10,71
Pancham LK+Cr/BS,656,5,35
