Pokemon,Battle Rating,Energy Remaining,HP Remaining
Muk (Alolan) PJ+BrS/IP,422,24,0
Mandibuzz AS+DP/AA,575,0,21
Morpeko (Full Belly) TS+AuW/PsF,646,8,41
Murkrow (Shadow) Pk+DrlP/FoP,374,40,0
Sableye SC+FoP/DG,728,3,64
Drapion PSt+Cr/AT,678,28,50
Greninja (Shadow) WSh+HC/BrS,675,0,49
Muk (Alolan) (Shadow) PJ+BrS/IP,472,4,0
Annihilape (Shadow) LK+RF/IP,289,40,0
Annihilape LK+RF/IP,217,40,0
Throh LK+BkB/BS,318,0,0
Guzzlord DT+BrS/DC,452,12,0
Grimmsnarl LK+FoP/DK,390,12,0
Pawmot TS+BkB/WC,589,0,25
Claydol MSl+RT/EP,475,31,0
Malamar Pk+SP/FoP,374,40,0
Murkrow Pk+DrlP/FoP,300,40,0
Sableye (Shadow) SC+FoP/DrP,600,27,28
Samurott (Hisuian) FC+SSw/DP,208,32,0
Hydreigon (Shadow) DB+BrS/Fl,469,32,0
Umbreon Sn+DP/LR,617,0,33
Moltres (Galarian) SkP+Fl/BrB,510,76,3
Throh (Shadow) LK+BkB/BS,403,0,0
Pawniard FC+NS/IH,306,4,0
Hawlucha LK+FlP/AA,238,40,0
Kingambit LK+FoP/IH,350,3,0
Malamar (Shadow) Pk+FoP/SP,219,40,0
Drapion (Shadow) PSt+Cr/AT,625,16,35
Hakamo-o DT+BkB/RT,342,44,0
Metang (Shadow) FC+Psh/GB,603,3,29
Flamigo Pk+UH/BrB,247,40,0
Kommo-o DT+ClS/UH,717,0,61
Morgrem SkP+FoP/PR,377,36,0
Hydreigon DB+BrS/Fl,435,40,0
Blaziken E+AuS/BB,306,32,0
Qwilfish (Hisuian) PSt+AT/DP,660,20,45
Greninja WSh+HC/BrS,732,4,65
Persian (Alolan) Scr+FoP/PR,447,16,0
Zweilous (Shadow) DB+BS/DP,500,0,0
Heracross FC+UH/RT,267,40,0
Thievul SkP+NS/IW,496,40,0
Lokix BBi+XS/TBl,250,40,0
Metang FC+Psh/GB,589,7,25
Rapidash (Galarian) FW+BS/WC,84,32,0
Poliwrath MS+IW/DyP,310,0,0
Skuntank PJ+Cr/TBl,411,20,0
