Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+Bl/EB,374,25,0
Abomasnow (Shadow) Lf+Bl/EB,402,35,0
Absol PC+BrS/DP,710,80,66
Absol (Shadow) PC+BrS/DP,878,70,119
Accelgor Ac+AS/BBu,646,95,46
Accelgor (Shadow) Ac+AS/BBu,681,40,57
Aegislash (Shield) AS+FC/GB,863,35,114
Aerodactyl Bi+AP/EP,748,70,78
Aerodactyl (Shadow) Bi+AP/EP,719,55,69
Aggron DT+HS/MeB,306,25,0
Aggron (Shadow) DT+F/HS,509,0,3
Aipom A+AA/LS,515,100,5
Aipom (Shadow) A+AA/F,649,100,47
Alakazam Cf+DG/FiP,659,35,50
Alakazam (Shadow) Cf+DG/FiP,652,65,48
Alomomola HPB+Bl/HP,563,0,20
Altaria DB+DG/DgP,824,70,102
Altaria (Shadow) DB+DG/DgP,777,60,87
Amaura FB+AP/AB,840,0,107
Amaura (Shadow) FB+AP/AB,764,0,83
Ambipom A+AA/HB,662,100,51
Ambipom (Shadow) A+AA/F,643,90,45
Amoonguss A+FoP/GK,617,100,37
Amoonguss (Shadow) A+FoP/F,738,40,75
Ampharos CB+BrS/DgP,570,100,22
Ampharos (Shadow) CB+BrS/DgP,726,95,71
Annihilape C+CC/IP,367,25,0
Annihilape (Shadow) C+CC/F,353,10,0
Anorith Scr+AP/AJ,691,85,60
Anorith (Shadow) Scr+AP/AJ,640,75,44
Appletun A+DgP/EB,840,60,107
Araquanid BBi+BuB/BBu,183,40,0
Arbok Ac+AS/DP,479,35,0
Arbok (Shadow) Ac+AS/DP,426,5,0
Arboliva ML+EP/EB,652,75,48
Arcanine Bi+Bd/Cr,515,0,5
Arcanine (Hisuian) FF+Cr/Ft,333,25,0
Arcanine (Shadow) Bi+Bd/Cr,384,55,0
Archen QA+AP/Cr,882,50,120
Archen (Shadow) QA+AP/Cr,885,40,121
Archeops StW+AP/Cr,824,50,102
Archeops (Shadow) StW+AP/Cr,821,40,101
Arctibax DB+Av/DC,364,10,0
Ariados Inf+CP/Lu,414,35,0
Armaldo FC+CP/Li,478,10,0
Armaldo (Shadow) FC+CP/F,573,85,23
Armarouge E+Ft/FmC,418,40,0
Aromatisse CB+DK/M,506,0,2
Aron MC+BS/IH,291,40,0
Aron (Shadow) MC+BS/F,370,35,0
Articuno FB+AP/Bl,840,0,107
Articuno (Galarian) Cf+AP/BrB,748,65,78
Articuno (Shadow) FB+AP/Bl,773,100,86
Audino Pd+BS/DG,621,5,38
Aurorus FB+AP/Bl,840,0,107
Aurorus (Shadow) FB+AP/Bl,764,0,83
Avalugg Bi+Av/BS,460,5,0
Avalugg (Hisuian) Bi+Bl/Cr,512,0,4
Axew IT+AT/DC,818,65,100
Azelf Cf+FiB/FS,643,35,45
Azumarill B+HP/IB,554,0,17
Banette H+DG/Re,802,85,95
Banette (Shadow) H+DG/F,792,75,92
Barbaracle FC+CrC/GK,243,10,0
Basculin Tk+AJ/AT,579,0,25
Bastiodon IT+Ft/FC,643,5,45
Bastiodon (Shadow) IT+Ft/FC,573,0,23
Baxcalibur DB+Av/Bl,531,65,10
Bayleef ML+AP/EB,579,20,25
Bayleef (Shadow) ML+AP/EB,573,90,23
Beartic Ch+IP/Li,376,40,0
Beautifly Inf+AC/BBu,882,60,120
Beedrill BBi+AA/DR,592,100,29
