Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+Bl/EB,582,18,24
Abomasnow (Shadow) Lf+Bl/EB,551,10,15
Absol PC+BrS/DP,609,37,32
Absol (Shadow) PC+BrS/DP,876,64,110
Accelgor Ac+AS/BBu,767,2,78
Accelgor (Shadow) Ac+AS/BBu,705,2,60
Aegislash (Shield) AS+FC/GB,900,1,117
Aerodactyl Bi+AP/EP,657,2,46
Aerodactyl (Shadow) Bi+AP/EP,589,2,26
Aggron DT+HS/MeB,780,10,82
Aggron (Shadow) DT+F/HS,791,2,85
Aipom A+AA/LS,534,30,10
Aipom (Shadow) A+AA/F,688,2,55
Alakazam Cf+DG/FiP,667,37,49
Alakazam (Shadow) Cf+DG/FiP,602,64,30
Alomomola HPB+Bl/HP,684,12,54
Altaria DB+DG/DgP,394,3,0
Altaria (Shadow) DB+DG/DgP,431,3,0
Amaura FB+AP/AB,808,18,90
Amaura (Shadow) FB+AP/AB,811,2,91
Ambipom A+AA/HB,688,10,55
Ambipom (Shadow) A+AA/F,667,2,49
Amoonguss A+FoP/GK,338,38,0
Amoonguss (Shadow) A+FoP/F,403,26,0
Ampharos CB+BrS/DgP,722,22,65
Ampharos (Shadow) CB+BrS/DgP,750,2,73
Annihilape C+CC/IP,517,3,5
Annihilape (Shadow) C+CC/F,435,26,0
Anorith Scr+AP/AJ,657,2,46
Anorith (Shadow) Scr+AP/AJ,589,2,26
Appletun A+DgP/EB,657,38,46
Araquanid BBi+BuB/BBu,382,23,0
Arbok Ac+AS/DP,422,26,0
Arbok (Shadow) Ac+AS/DP,463,26,0
Arboliva ML+EP/EB,520,10,6
Arcanine Bi+Bd/Cr,657,2,46
Arcanine (Hisuian) FF+Cr/Ft,780,2,82
Arcanine (Shadow) Bi+Bd/Cr,657,2,46
Archen QA+AP/Cr,780,2,82
Archen (Shadow) QA+AP/Cr,750,2,73
Archeops StW+AP/Cr,811,2,91
Archeops (Shadow) StW+AP/Cr,780,2,82
Arctibax DB+Av/DC,367,22,0
Ariados Inf+CP/Lu,417,38,0
Armaldo FC+CP/Li,568,2,20
Armaldo (Shadow) FC+CP/F,317,37,0
Armarouge E+Ft/FmC,702,2,59
Aromatisse CB+DK/M,750,3,73
Aron MC+BS/IH,660,26,47
Aron (Shadow) MC+BS/F,842,2,100
Articuno FB+AP/Bl,756,3,75
Articuno (Galarian) Cf+AP/BrB,708,2,61
Articuno (Shadow) FB+AP/Bl,708,3,61
Audino Pd+BS/DG,763,23,77
Aurorus FB+AP/Bl,808,18,90
Aurorus (Shadow) FB+AP/Bl,811,2,91
Avalugg Bi+Av/BS,613,38,33
Avalugg (Hisuian) Bi+Bl/Cr,726,2,66
Axew IT+AT/DC,832,10,97
Azelf Cf+FiB/FS,684,72,54
Azumarill B+HP/IB,463,32,0
Banette H+DG/Re,756,18,75
Banette (Shadow) H+DG/F,750,2,73
Barbaracle FC+CrC/GK,589,18,26
Basculin Tk+AJ/AT,457,30,0
Bastiodon IT+Ft/FC,791,0,85
Bastiodon (Shadow) IT+Ft/FC,750,0,73
Baxcalibur DB+Av/Bl,695,14,57
Bayleef ML+AP/EB,485,38,0
Bayleef (Shadow) ML+AP/EB,433,18,0
Beartic Ch+IP/Li,708,2,61
Beautifly Inf+AC/BBu,599,2,29
Beedrill BBi+AA/DR,442,38,0
Beedrill (Shadow) BBi+AA/DR,589,6,26
Beheeyem A+DP/P,729,2,67
Bellibolt SkP+D/PbC,425,26,0
Bellossom Ac+DG/LB,406,2,0
Bellossom (Shadow) Ac+DG/F,780,2,82
Bergmite Bi+Cr/IW,626,34,37
Bewear LK+DrP/Pbk,756,42,75
Bibarel RO+HB/HF,382,26,0
Bibarel (Shadow) RO+F/HB,750,30,73
Bisharp MC+DP/FB,842,2,100
Blacephalon A+MdB/MF,585,2,25
Blastoise Bi+FC/HC,599,3,29
Blastoise (Shadow) Bi+FC/F,450,38,0
Blaziken C+AuS/BB,657,2,46
Blaziken (Shadow) C+AuS/BB,595,2,28
Blissey Pd+DG/HB,681,36,53
Boldore MSl+Bd/Re,750,2,73
Boldore (Shadow) MSl+Bd/F,688,2,55
Boltund Bi+Cr/T,657,2,46
Bombirdier RTh+AA/Fl,695,14,57
Bonsly C+Eq/RS,750,2,73
Bouffalant MS+Eq/Mh,804,38,89
Braixen E+Ft/FmC,705,2,60
Braixen (Shadow) E+Ft/FmC,660,2,47
Braviary AS+BrB/CC,626,38,37
Braviary (Hisuian) AS+BrB/DG,736,10,69
Breloom BS+DyP/GK,750,2,73
Brionne Ch+AJ/DV,595,3,28
Bronzong Cf+Bd/FC,589,3,26
Bruxish Bi+AT/Cr,657,2,46
Bulbasaur Tk+PW/Re,708,38,61
Bulbasaur (Shadow) Tk+F/PW,722,6,65
Buneary Pd+FiP/Sw,791,26,85
Butterfree BBi+BBu/P,451,38,0
Butterfree (Shadow) BBi+BBu/F,467,22,0
Buzzwole C+FeS/Lu,438,26,0
Cacturne PJ+DP/DyP,784,56,83
Cacturne (Shadow) PJ+DP/DyP,828,44,96
Camerupt E+Eq/EP,873,2,109
Camerupt (Shadow) E+Eq/EP,873,2,109
Carbink RTh+M/PG,541,0,12
Carkol SD+FmC/RB,657,34,46
Carnivine Bi+Cr/EB,657,2,46
Carracosta RTh+AP/BS,585,22,25
Carracosta (Shadow) RTh+AP/BS,619,10,35
Castform H+EB/Hu,462,38,0
Castform (Rainy) Tk+HP/T,698,3,58
Castform (Snowy) PS+Bl/IB,804,3,89
Castform (Sunny) E+FiB/SoB,852,3,103
Celebi CB+AuS/DG,832,76,97
Celesteela AS+BS/Bd,311,38,0
Centiskorch BBi+BBu/Cr,657,2,46
Ceruledge E+Ft/FmC,698,2,58
Cetitan IS+Av/BS,602,3,30
Cetoddle IS+Av/BS,643,3,42
Chandelure FS+EB/FmC,791,2,85
Chandelure (Shadow) FS+EB/FmC,750,2,73
Chansey Pd+DG/HB,554,2,16
Charizard AS+AC/BB,750,2,73
Charizard (Shadow) AS+AC/BB,708,2,61
Charjabug BBi+Cr/D,534,34,10
Charjabug (Shadow) BBi+Cr/D,503,22,1
Charmeleon E+FiP/Ft,750,2,73
Charmeleon (Shadow) E+FiP/Ft,688,2,55
Chatot Pk+HW/NSh,695,18,57
Cherrim (Overcast) BS+DG/HB,722,26,65
Cherrim (Sunshine) BS+DG/HB,722,26,65
Chesnaught LK+EB/FP,756,3,75
Chesnaught (Shadow) LK+EB/FP,708,3,61
Chespin TD+BS/GB,893,6,115
Chespin (Shadow) TD+BS/F,893,2,115
