Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,204,51,0
Aerodactyl (Shadow) DB+RS/EP,254,51,0
Alakazam PC+FiP/SB,390,35,0
Alakazam (Shadow) PC+FiP/SB,401,27,0
Arbok Ac+DP/SW,620,6,27
Arbok (Shadow) Ac+DP/SW,513,6,3
Arcanine FF+WC/PsF,602,6,23
Arcanine (Hisuian) Sn+WC/RS,217,43,0
Arcanine (Shadow) FF+WC/PsF,531,6,7
Articuno PS+IW/Hu,620,6,27
Articuno (Galarian) PC+Fl/BrB,272,35,0
Articuno (Shadow) PS+TAx/Hu,513,6,3
Beedrill PSt+XS/DR,531,6,7
Beedrill (Shadow) PSt+XS/DR,593,88,21
Blastoise RO+HC/SkB,196,35,0
Blastoise (Shadow) RO+HC/SkB,188,19,0
Bulbasaur VW+PW/SeB,758,96,58
Bulbasaur (Shadow) VW+PW/SeB,875,80,84
Butterfree Cf+BBu/SiB,566,6,15
Butterfree (Shadow) Cf+BBu/SiB,571,88,16
Chansey ZH+DG/P,674,28,39
Charizard E+BB/AC,303,35,0
Charizard (Shadow) E+BB/AC,346,35,0
Charmeleon E+FiP/Re,651,6,34
Charmeleon (Shadow) E+FiP/Ft,347,43,0
Clefable FW+M/MM,598,6,22
Clefairy ZH+DV/BS,745,6,55
Cloyster IS+IW/Li,638,6,31
Cloyster (Shadow) IS+IW/Li,566,6,15
Cubone MSl+BC/Re,683,6,41
Cubone (Shadow) MSl+BC/Dg,593,6,21
Dewgong IS+IW/DR,394,14,0
Dodrio Pk+DrlP/BrB,322,35,0
Dragonair DB+AT/DgP,216,27,0
Dragonair (Shadow) DB+Wr/AT,251,27,0
Dragonite DB+TP/SP,314,35,0
Dragonite (Shadow) DB+TP/SP,358,35,0
Drowzee Cf+Psh/Re,647,6,33
Drowzee (Shadow) Cf+Psh/P,566,6,15
Dugtrio SkP+MB/SE,513,6,3
Dugtrio (Alolan) MSl+MB/IH,638,6,31
Dugtrio (Alolan) (Shadow) MSl+MB/IH,566,6,15
Dugtrio (Shadow) SkP+MB/SE,355,35,0
Eevee QA+BS/Dg,522,6,5
Electabuzz TS+TP/Re,160,27,0
Electabuzz (Shadow) TS+TP/Tb,201,27,0
Electrode VS+D/FoP,156,27,0
Electrode (Hisuian) TS+WC/Sw,213,19,0
Electrode (Shadow) VS+D/FoP,105,3,0
Exeggcute Cf+SeB/AP,566,6,15
Exeggcute (Shadow) Cf+SeB/AP,429,43,0
Exeggutor Cf+SeB/P,549,88,11
Exeggutor (Alolan) DT+SeB/DM,674,88,39
Exeggutor (Alolan) (Shadow) DT+SeB/DM,620,80,27
Exeggutor (Shadow) Cf+SeB/P,566,80,15
Farfetch'd FC+LB/AA,278,51,0
Farfetch'd (Galarian) FC+LB/BkB,647,88,33
Fearow Pk+DrlP/DR,286,35,0
Flareon E+SP/HW,522,6,5
Gengar SC+ShP/SB,326,27,0
Gengar (Shadow) SC+ShP/SB,418,27,0
Geodude RTh+RT/RS,88,40,0
Geodude (Alolan) VS+RT/RS,123,35,0
Geodude (Alolan) (Shadow) VS+RT/RS,84,3,0
Geodude (Shadow) RTh+RT/RS,70,32,0
Gloom Ac+SlB/M,620,6,27
Gloom (Shadow) Ac+SlB/M,553,96,12
Golbat WA+PF/SB,219,35,0
Golbat (Shadow) WA+PF/SB,255,35,0
Goldeen Pk+AT/HA,266,27,0
Golduck Cf+CrC/Li,236,35,0
Golduck (Shadow) Cf+CrC/Li,313,35,0
Golem MSl+SE/RB,440,6,0
Golem (Alolan) VS+WC/RB,333,27,0
Golem (Alolan) (Shadow) VS+WC/RB,337,3,0
Golem (Shadow) MSl+SE/RB,638,6,31
Graveler MSl+RS/Dg,443,14,0
Graveler (Alolan) VS+SE/RB,81,27,0
Graveler (Alolan) (Shadow) VS+SE/RB,82,3,0
Graveler (Shadow) MSl+RS/Dg,495,14,0
Grimer PJ+Sl/MB,566,6,15
Grimer (Alolan) PJ+Cr/SlB,566,6,15
Grimer (Alolan) (Shadow) PJ+Cr/SlB,324,43,0
Grimer (Shadow) PJ+Sl/MB,324,43,0
Growlithe E+FW/BS,607,6,24
Growlithe (Hisuian) E+RS/Ft,179,35,0
Growlithe (Shadow) E+FW/BS,403,51,0
Gyarados DB+AT/Cr,264,27,0
Gyarados (Shadow) DB+AT/Cr,301,27,0
Haunter SC+ShP/IP,361,27,0
Haunter (Shadow) SC+IP/SB,504,35,1
Hitmonchan C+IP/TP,674,6,39
Hitmonchan (Shadow) C+IP/TP,674,80,39
Hitmonlee LK+BK/BkB,571,88,16
Hitmonlee (Shadow) LK+BK/BkB,790,72,65
Hypno Cf+SB/TP,459,6,0
