Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,437,30,0
Aerodactyl (Shadow) DB+RS/EP,375,2,0
Alakazam PC+FiP/SB,164,42,0
Alakazam (Shadow) PC+FiP/SB,181,42,0
Arbok Ac+DP/SW,534,20,10
Arbok (Shadow) Ac+DP/SW,527,30,8
Arcanine FF+WC/PsF,506,6,2
Arcanine (Hisuian) Sn+WC/RS,484,30,0
Arcanine (Shadow) FF+WC/PsF,364,2,0
Articuno PS+IW/Hu,476,34,0
Articuno (Galarian) PC+Fl/BrB,250,30,0
Articuno (Shadow) PS+TAx/Hu,495,6,0
Beedrill PSt+XS/DR,722,6,65
Beedrill (Shadow) PSt+XS/DR,681,6,53
Blastoise RO+HC/SkB,419,20,0
Blastoise (Shadow) RO+HC/SkB,492,20,0
Bulbasaur VW+PW/SeB,770,6,79
Bulbasaur (Shadow) VW+PW/SeB,715,16,63
Butterfree Cf+BBu/SiB,495,6,0
Butterfree (Shadow) Cf+BBu/SiB,510,6,3
Chansey ZH+DG/P,671,0,50
Charizard E+BB/AC,541,6,12
Charizard (Shadow) E+BB/AC,217,42,0
Charmeleon E+FiP/Re,484,6,0
Charmeleon (Shadow) E+FiP/Ft,654,6,45
Clefable FW+M/MM,688,6,55
Clefairy ZH+DV/BS,914,6,121
Cloyster IS+IW/Li,575,34,22
Cloyster (Shadow) IS+IW/Li,582,6,24
Cubone MSl+BC/Re,374,20,0
Cubone (Shadow) MSl+BC/Dg,330,16,0
Dewgong IS+IW/DR,385,34,0
Dodrio Pk+DrlP/BrB,363,2,0
Dragonair DB+AT/DgP,513,20,4
Dragonair (Shadow) DB+Wr/AT,609,6,32
Dragonite DB+TP/SP,667,6,49
Dragonite (Shadow) DB+TP/SP,578,6,23
Drowzee Cf+Psh/Re,376,34,0
Drowzee (Shadow) Cf+Psh/P,440,34,0
Dugtrio SkP+MB/SE,325,2,0
Dugtrio (Alolan) MSl+MB/IH,394,2,0
Dugtrio (Alolan) (Shadow) MSl+MB/IH,461,2,0
Dugtrio (Shadow) SkP+MB/SE,380,2,0
Eevee QA+BS/Dg,630,20,38
Electabuzz TS+TP/Re,708,6,61
Electabuzz (Shadow) TS+TP/Tb,527,6,8
Electrode VS+D/FoP,513,20,4
Electrode (Hisuian) TS+WC/Sw,763,6,77
Electrode (Shadow) VS+D/FoP,381,16,0
Exeggcute Cf+SeB/AP,667,20,49
Exeggcute (Shadow) Cf+SeB/AP,739,6,70
Exeggutor Cf+SeB/P,527,6,8
Exeggutor (Alolan) DT+SeB/DM,729,6,67
Exeggutor (Alolan) (Shadow) DT+SeB/DM,674,6,51
Exeggutor (Shadow) Cf+SeB/P,347,30,0
Farfetch'd FC+LB/AA,619,20,35
Farfetch'd (Galarian) FC+LB/BkB,708,16,61
Fearow Pk+DrlP/DR,423,30,0
Flareon E+SP/HW,616,6,34
Gengar SC+ShP/SB,255,28,0
Gengar (Shadow) SC+ShP/SB,306,28,0
Geodude RTh+RT/RS,527,44,8
Geodude (Alolan) VS+RT/RS,486,44,0
Geodude (Alolan) (Shadow) VS+RT/RS,500,30,0
Geodude (Shadow) RTh+RT/RS,482,16,0
Gloom Ac+SlB/M,715,6,63
Gloom (Shadow) Ac+SlB/M,722,6,65
Golbat WA+PF/SB,503,4,1
Golbat (Shadow) WA+PF/SB,316,2,0
Goldeen Pk+AT/HA,722,6,65
Golduck Cf+CrC/Li,578,20,23
Golduck (Shadow) Cf+CrC/Li,534,6,10
Golem MSl+SE/RB,397,16,0
Golem (Alolan) VS+WC/RB,503,44,1
Golem (Alolan) (Shadow) VS+WC/RB,401,2,0
Golem (Shadow) MSl+SE/RB,465,16,0
Graveler MSl+RS/Dg,318,2,0
Graveler (Alolan) VS+SE/RB,474,44,0
Graveler (Alolan) (Shadow) VS+SE/RB,500,30,0
Graveler (Shadow) MSl+RS/Dg,382,2,0
Grimer PJ+Sl/MB,602,20,30
Grimer (Alolan) PJ+Cr/SlB,350,34,0
Grimer (Alolan) (Shadow) PJ+Cr/SlB,315,30,0
Grimer (Shadow) PJ+Sl/MB,565,6,19
Growlithe E+FW/BS,650,6,44
Growlithe (Hisuian) E+RS/Ft,496,30,0
Growlithe (Shadow) E+FW/BS,578,6,23
Gyarados DB+AT/Cr,657,6,46
Gyarados (Shadow) DB+AT/Cr,371,16,0
Haunter SC+ShP/IP,277,28,0
Haunter (Shadow) SC+IP/SB,520,42,6
Hitmonchan C+IP/TP,767,6,78
Hitmonchan (Shadow) C+IP/TP,712,16,62
Hitmonlee LK+BK/BkB,773,16,80
Hitmonlee (Shadow) LK+BK/BkB,736,2,69
Hypno Cf+SB/TP,272,6,0
Hypno (Shadow) Cf+SB/TP,323,6,0
Ivysaur VW+PW/SlB,760,6,76
Ivysaur (Shadow) VW+PW/SlB,702,6,59
Jolteon TS+D/LR,715,6,63
Jynx Cf+Av/Psh,368,30,0
Kabuto MS+AJ/RT,453,16,0
Kabuto (Shadow) MS+AJ/RT,592,16,27
Kabutops FC+SE/WP,602,30,30
Kabutops (Shadow) FC+SE/WP,534,16,10
Kadabra Cf+SB/DG,298,2,0
Kadabra (Shadow) PC+SB/DG,211,42,0
Kangaskhan LK+BkB/St,640,4,41
Kingler B+Crbh/VG,541,6,12
Koffing Inf+Sl/DP,599,20,29
Koffing (Shadow) Inf+Sl/DP,558,6,17
Krabby B+VG/RSh,630,6,38
Lapras Psy+SpA/SkB,399,34,0
Lapras (Shadow) Psy+SpA/IB,413,44,0
Lickitung L+BS/PW,352,34,0
Machamp KC+CrC/RS,743,16,71
Machamp (Shadow) KC+CrC/RS,695,2,57
Machoke KC+CrC/Re,606,6,31
Machoke (Shadow) KC+CrC/DyP,794,16,86
Machop KC+CrC/BkB,883,16,112
Machop (Shadow) KC+CrC/BkB,852,16,103
Magmar KC+FiP/ScS,595,6,28
Magmar (Shadow) KC+FiP/ScS,708,6,61
Magnemite VS+MgB/D,500,44,0
Magnemite (Shadow) VS+MgB/D,500,16,0
Magneton VS+MgB/D,500,44,0
Magneton (Shadow) VS+D/MgB,484,16,0
Mankey KC+CrC/BkB,897,2,116
Mankey (Shadow) KC+CrC/BkB,866,2,107
Marowak MSl+BC/RS,288,6,0
Marowak (Alolan) FS+BC/SBo,236,30,0
Marowak (Alolan) (Shadow) FS+SBo/BC,184,2,0
Marowak (Shadow) MSl+BC/RS,244,2,0
Mew SC+WC/Psh,399,20,0
Mewtwo (Shadow) PC+Pst/Tb,287,2,0
Moltres WA+Fl/HW,609,6,32
Moltres (Galarian) SkP+Fl/BrB,306,6,0
Moltres (Shadow) WA+Fl/HW,520,30,6
Mr. Mime Psy+SB/P,166,2,0
Mr. Mime (Galarian) Cf+IP/TAx,500,34,0
Muk PJ+TP/DP,571,20,21
Muk (Alolan) PJ+DP/AS,449,8,0
Muk (Alolan) (Shadow) PJ+DP/AS,304,6,0
Muk (Shadow) PJ+TP/DP,705,6,60
Nidoking FC+ST/Mh,640,30,41
Nidoking (Shadow) FC+ST/Mh,667,16,49
Nidoqueen MSl+SE/PF,392,6,0
Nidoqueen (Shadow) MSl+SE/PF,467,6,0
Nidorina PSt+PF/Tb,640,34,41
Nidorina (Shadow) PSt+PF/SlB,698,20,58
Nidorino PSt+SlB/IB,667,20,49
Nidorino (Shadow) PSt+SlB/IB,654,6,45
Ninetales E+WBF/Ov,436,20,0
Ninetales (Alolan) PS+WBI/CW,708,6,61
Ninetales (Alolan) (Shadow) PS+WBI/CW,650,6,44
Ninetales (Shadow) E+WBF/Ov,388,30,0
Oddish Ac+SeB/SlB,750,6,73
Oddish (Shadow) Ac+SeB/SlB,722,16,65
Omanyte MS+RT/RB,480,44,0
Omanyte (Shadow) MS+RT/RB,513,30,4
Omastar MS+RS/HP,454,30,0
Omastar (Shadow) MS+RS/HP,472,16,0
Onix RTh+RS/ST,534,32,10
Onix (Shadow) RTh+RS/ST,630,4,38
Parasect FC+XS/CP,633,6,39
Persian FA+NS/PG,517,34,5
Persian (Alolan) FA+FoP/PR,259,16,0
Persian (Shadow) FA+NS/PG,547,6,14
Pidgeot WA+AC/BrB,503,6,1
Pidgeot (Shadow) WA+BrB/AC,285,2,0
Pidgeotto WA+AC/Tw,702,20,59
Pidgeotto (Shadow) WA+AC/Tw,688,6,55
Pinsir FC+CC/XS,554,6,16
Pinsir (Shadow) FC+CC/XS,510,6,3
Poliwhirl B+Sc/MB,483,34,0
Poliwhirl (Shadow) B+Sc/MB,541,20,12
Poliwrath C+Sc/IW,917,6,122
Poliwrath (Shadow) C+Sc/IW,890,6,114
Ponyta E+FW/St,640,6,41
Ponyta (Galarian) PC+Sw/PR,541,34,12
Ponyta (Shadow) E+FW/St,698,6,58
Porygon QA+D/HB,433,6,0
Porygon (Shadow) Tk+D/SiB,767,6,78
Primeape KC+RF/CC,715,6,63
Primeape (Shadow) KC+RF/CC,674,2,51
Raichu TS+WC/BkB,558,6,17
Raichu (Alolan) TS+WC/Psh,468,6,0
Rapidash I+FmC/WC,517,6,5
Rapidash (Galarian) FW+BS/WC,773,6,80
Rapidash (Shadow) I+FmC/WC,437,16,0
Raticate QA+HF/Dg,537,20,11
Raticate (Alolan) QA+Cr/Re,595,4,28
Raticate (Alolan) (Shadow) QA+Cr/HB,326,16,0
Raticate (Shadow) QA+HF/Dg,527,30,8
Rhydon MSl+SE/S,397,16,0
Rhydon (Shadow) MSl+SE/S,411,2,0
Rhyhorn MSl+Bd/St,317,16,0
Rhyhorn (Shadow) MSl+Bd/St,383,16,0
Sandshrew SdA+ST/RT,385,30,0
Sandshrew (Alolan) PS+NS/GB,385,16,0
Sandshrew (Alolan) (Shadow) PS+NS/GB,468,16,0
Sandshrew (Shadow) SdA+ST/RT,448,6,0
Sandslash SdA+NS/RT,312,16,0
Sandslash (Alolan) PS+IP/DR,380,30,0
Sandslash (Alolan) (Shadow) PS+IP/DR,468,30,0
Sandslash (Shadow) SdA+NS/RT,424,6,0
Scyther FC+XS/NS,613,6,33
Scyther (Shadow) FC+XS/NS,513,6,4
Seadra DB+HP/DgP,825,6,95
Seadra (Shadow) DB+HP/DgP,825,6,95
Seaking Pk+DR/IW,506,20,2
Seel WG+AT/IW,719,34,64
Slowbro Cf+DrP/IB,381,34,0
Slowbro (Galarian) Cf+DrP/SlB,500,8,0
Slowbro (Shadow) Cf+DrP/IB,430,20,0
Slowpoke Cf+Psh/WP,373,34,0
Slowpoke (Galarian) Cf+Psh/S,373,34,0
Slowpoke (Shadow) Cf+Psh/WP,413,20,0
Snorlax L+BS/SP,589,4,26
Snorlax (Shadow) L+BS/SP,500,34,0
Starmie Psy+S/PG,517,34,5
Starmie (Shadow) Psy+S/PG,336,30,0
Tangela VW+GK/SlB,753,6,74
Tangela (Shadow) VW+GK/SlB,691,6,56
Tauros Tk+TBl/HA,667,20,49
Tauros (Aqua) DK+AJ/TBl,726,6,66
Tauros (Blaze) DK+FmC/TBl,743,6,71
Tauros (Combat) DK+CC/TBl,825,16,95
Tentacool PSt+WP/Wr,804,20,89
Tentacool (Shadow) PSt+WP/Wr,702,6,59
Tentacruel Ac+Sc/Pbk,450,20,0
Tentacruel (Shadow) Ac+Sc/Pbk,454,6,0
Vaporeon WG+AT/LR,592,34,27
Venomoth Psy+PF/BBu,520,6,6
Venomoth (Shadow) Psy+PF/BBu,500,30,0
Venusaur VW+FP/Sl,739,6,70
Venusaur (Shadow) VW+FP/Sl,678,6,52
Victreebel Ac+LB/SlB,736,6,69
Victreebel (Shadow) Ac+LB/SlB,702,6,59
Vileplume Ac+SlB/PlB,743,6,71
Vileplume (Shadow) Ac+SlB/M,688,16,55
Wartortle WG+AJ/IB,471,48,0
Wartortle (Shadow) WG+AJ/IB,513,34,4
Weepinbell Ac+PW/SeB,712,16,62
Weepinbell (Shadow) Ac+PW/SeB,695,16,57
Weezing RO+SlB/SB,510,20,3
Weezing (Galarian) FW+Sl/BrS,712,6,62
Weezing (Galarian) (Shadow) FW+Sl/BrS,671,6,50
Weezing (Shadow) RO+SlB/SB,510,30,3
Wigglytuff Ch+IW/Sw,722,6,65
Zapdos TS+DrlP/HW,667,6,49
Zapdos (Galarian) C+Fl/BrB,619,6,35
Zapdos (Shadow) TS+DrlP/HW,592,6,27
