Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,553,7,14
Aerodactyl (Shadow) DB+RS/EP,308,26,0
Alakazam PC+FiP/SB,610,96,29
Alakazam (Shadow) PC+FiP/SB,534,10,9
Arbok Ac+DP/SW,430,7,0
Arbok (Shadow) Ac+DP/SW,274,34,0
Arcanine FF+WC/PsF,260,29,0
Arcanine (Hisuian) Sn+WC/RS,786,7,75
Arcanine (Shadow) FF+WC/PsF,256,21,0
Articuno PS+IW/Hu,250,3,0
Articuno (Galarian) PC+Fl/BrB,415,34,0
Articuno (Shadow) PS+TAx/Hu,260,37,0
Beedrill PSt+XS/DR,276,42,0
Beedrill (Shadow) PSt+XS/DR,330,42,0
Blastoise RO+HC/SkB,751,7,66
Blastoise (Shadow) RO+HC/SkB,717,7,57
Bulbasaur VW+PW/SeB,843,100,90
Bulbasaur (Shadow) VW+PW/SeB,854,100,93
Butterfree Cf+BBu/SiB,258,37,0
Butterfree (Shadow) Cf+BBu/SiB,258,6,0
Chansey ZH+DG/P,495,18,0
Charizard E+BB/AC,367,26,0
Charizard (Shadow) E+BB/AC,427,38,0
Charmeleon E+FiP/Re,363,34,0
Charmeleon (Shadow) E+FiP/Ft,460,50,0
Clefable FW+M/MM,854,100,93
Clefairy ZH+DV/BS,660,69,42
Cloyster IS+IW/Li,295,18,0
Cloyster (Shadow) IS+IW/Li,301,2,0
Cubone MSl+BC/Re,648,7,39
Cubone (Shadow) MSl+BC/Dg,580,7,21
Dewgong IS+IW/DR,242,34,0
Dodrio Pk+DrlP/BrB,331,22,0
Dragonair DB+AT/DgP,393,42,0
Dragonair (Shadow) DB+Wr/AT,397,3,0
Dragonite DB+TP/SP,433,11,0
Dragonite (Shadow) DB+TP/SP,538,100,10
Drowzee Cf+Psh/Re,197,2,0
Drowzee (Shadow) Cf+Psh/P,257,37,0
Dugtrio SkP+MB/SE,250,26,0
Dugtrio (Alolan) MSl+MB/IH,122,10,0
Dugtrio (Alolan) (Shadow) MSl+MB/IH,111,2,0
Dugtrio (Shadow) SkP+MB/SE,260,10,0
Eevee QA+BS/Dg,671,7,45
Electabuzz TS+TP/Re,778,7,73
Electabuzz (Shadow) TS+TP/Tb,824,100,85
Electrode VS+D/FoP,698,7,52
Electrode (Hisuian) TS+WC/Sw,839,96,89
Electrode (Shadow) VS+D/FoP,694,100,51
Exeggcute Cf+SeB/AP,352,22,0
Exeggcute (Shadow) Cf+SeB/AP,415,22,0
Exeggutor Cf+SeB/P,377,6,0
Exeggutor (Alolan) DT+SeB/DM,698,45,52
Exeggutor (Alolan) (Shadow) DT+SeB/DM,709,72,55
Exeggutor (Shadow) Cf+SeB/P,431,6,0
Farfetch'd FC+LB/AA,568,7,18
Farfetch'd (Galarian) FC+LB/BkB,470,100,0
Fearow Pk+DrlP/DR,298,2,0
Flareon E+SP/HW,460,50,0
Gengar SC+ShP/SB,255,26,0
Gengar (Shadow) SC+ShP/SB,193,2,0
Geodude RTh+RT/RS,168,26,0
Geodude (Alolan) VS+RT/RS,698,7,52
Geodude (Alolan) (Shadow) VS+RT/RS,645,7,38
Geodude (Shadow) RTh+RT/RS,141,10,0
Gloom Ac+SlB/M,503,15,1
Gloom (Shadow) Ac+SlB/M,404,34,0
Golbat WA+PF/SB,223,26,0
Golbat (Shadow) WA+PF/SB,169,2,0
Goldeen Pk+AT/HA,437,65,0
Golduck Cf+CrC/Li,248,37,0
Golduck (Shadow) Cf+CrC/Li,317,37,0
Golem MSl+SE/RB,188,42,0
Golem (Alolan) VS+WC/RB,698,7,52
Golem (Alolan) (Shadow) VS+WC/RB,618,7,31
Golem (Shadow) MSl+SE/RB,136,10,0
Graveler MSl+RS/Dg,511,7,3
Graveler (Alolan) VS+SE/RB,698,7,52
Graveler (Alolan) (Shadow) VS+SE/RB,645,7,38
Graveler (Shadow) MSl+RS/Dg,139,10,0
Grimer PJ+Sl/MB,232,34,0
Grimer (Alolan) PJ+Cr/SlB,233,34,0
Grimer (Alolan) (Shadow) PJ+Cr/SlB,210,10,0
Grimer (Shadow) PJ+Sl/MB,210,10,0
Growlithe E+FW/BS,466,100,0
Growlithe (Hisuian) E+RS/Ft,281,34,0
Growlithe (Shadow) E+FW/BS,572,100,19
Gyarados DB+AT/Cr,413,42,0
Gyarados (Shadow) DB+AT/Cr,595,100,25
Haunter SC+ShP/IP,247,26,0
Haunter (Shadow) SC+IP/SB,232,2,0
Hitmonchan C+IP/TP,595,7,25
Hitmonchan (Shadow) C+IP/TP,599,100,26
Hitmonlee LK+BK/BkB,736,100,62
Hitmonlee (Shadow) LK+BK/BkB,744,96,64
Hypno Cf+SB/TP,187,37,0
Hypno (Shadow) Cf+SB/TP,217,37,0
Ivysaur VW+PW/SlB,820,15,84
Ivysaur (Shadow) VW+PW/SlB,832,7,87
Jolteon TS+D/LR,793,100,77
Jynx Cf+Av/Psh,259,6,0
Kabuto MS+AJ/RT,778,7,73
Kabuto (Shadow) MS+AJ/RT,725,7,59
Kabutops FC+SE/WP,526,7,7
Kabutops (Shadow) FC+SE/WP,303,26,0
Kadabra Cf+SB/DG,347,6,0
Kadabra (Shadow) PC+SB/DG,599,72,26
Kangaskhan LK+BkB/St,832,7,87
Kingler B+Crbh/VG,748,100,65
Koffing Inf+Sl/DP,491,0,0
Koffing (Shadow) Inf+Sl/DP,751,7,66
Krabby B+VG/RSh,740,69,63
Lapras Psy+SpA/SkB,234,26,0
Lapras (Shadow) Psy+SpA/IB,229,10,0
Lickitung L+BS/PW,494,16,0
Machamp KC+CrC/RS,427,34,0
Machamp (Shadow) KC+CrC/RS,740,100,63
Machoke KC+CrC/Re,625,7,33
Machoke (Shadow) KC+CrC/DyP,561,100,16
Machop KC+CrC/BkB,595,7,25
Machop (Shadow) KC+CrC/BkB,751,69,66
Magmar KC+FiP/ScS,793,100,77
Magmar (Shadow) KC+FiP/ScS,782,100,74
Magnemite VS+MgB/D,645,7,38
Magnemite (Shadow) VS+MgB/D,564,7,17
Magneton VS+MgB/D,645,15,38
Magneton (Shadow) VS+D/MgB,564,7,17
Mankey KC+CrC/BkB,782,96,74
Mankey (Shadow) KC+CrC/BkB,809,80,81
Marowak MSl+BC/RS,545,7,12
Marowak (Alolan) FS+BC/SBo,152,2,0
Marowak (Alolan) (Shadow) FS+SBo/BC,132,29,0
Marowak (Shadow) MSl+BC/RS,200,26,0
Mew SC+WC/Psh,618,7,31
Mewtwo (Shadow) PC+Pst/Tb,534,38,9
Moltres WA+Fl/HW,386,38,0
Moltres (Galarian) SkP+Fl/BrB,298,26,0
Moltres (Shadow) WA+Fl/HW,366,22,0
Mr. Mime Psy+SB/P,450,72,0
Mr. Mime (Galarian) Cf+IP/TAx,206,21,0
Muk PJ+TP/DP,226,34,0
Muk (Alolan) PJ+DP/AS,209,26,0
Muk (Alolan) (Shadow) PJ+DP/AS,229,18,0
Muk (Shadow) PJ+TP/DP,250,26,0
Nidoking FC+ST/Mh,173,42,0
Nidoking (Shadow) FC+ST/Mh,228,42,0
Nidoqueen MSl+SE/PF,147,34,0
Nidoqueen (Shadow) MSl+SE/PF,165,18,0
Nidorina PSt+PF/Tb,385,7,0
Nidorina (Shadow) PSt+PF/SlB,273,42,0
Nidorino PSt+SlB/IB,667,8,44
Nidorino (Shadow) PSt+SlB/IB,671,7,45
Ninetales E+WBF/Ov,293,26,0
Ninetales (Alolan) PS+WBI/CW,436,61,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,448,10,0
Ninetales (Shadow) E+WBF/Ov,341,26,0
