Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+Bl/EB,628,0,30
Abomasnow (Shadow) Lf+Bl/EB,525,0,6
Absol PC+BrS/DP,594,0,22
Absol (Shadow) PC+BrS/DP,417,45,0
Accelgor Ac+AS/BBu,653,0,36
Accelgor (Shadow) Ac+AS/BBu,756,100,60
Aegislash (Shield) AS+FC/GB,923,50,99
Aerodactyl Bi+AP/EP,705,0,48
Aerodactyl (Shadow) Bi+AP/EP,722,100,52
Aggron DT+HS/MeB,692,5,45
Aggron (Shadow) DT+F/HS,670,0,40
Aipom A+AA/LS,374,10,0
Aipom (Shadow) A+AA/F,207,55,0
Alakazam Cf+DG/FiP,841,70,80
Alakazam (Shadow) Cf+DG/FiP,807,60,72
Alomomola HPB+Bl/HP,841,5,80
Altaria DB+DG/DgP,722,10,52
Altaria (Shadow) DB+DG/DgP,709,0,49
Amaura FB+AP/AB,658,20,37
Amaura (Shadow) FB+AP/AB,705,0,48
Ambipom A+AA/HB,419,10,0
Ambipom (Shadow) A+AA/F,185,35,0
Amoonguss A+FoP/GK,401,10,0
Amoonguss (Shadow) A+FoP/F,488,10,0
Ampharos CB+BrS/DgP,645,0,34
Ampharos (Shadow) CB+BrS/DgP,568,0,16
Annihilape C+CC/IP,636,100,32
Annihilape (Shadow) C+CC/F,636,90,32
Anorith Scr+AP/AJ,705,0,48
Anorith (Shadow) Scr+AP/AJ,636,100,32
Appletun A+DgP/EB,666,0,39
Araquanid BBi+BuB/BBu,568,35,16
Arbok Ac+AS/DP,636,10,32
Arbok (Shadow) Ac+AS/DP,568,0,16
Arboliva ML+EP/EB,195,55,0
Arcanine Bi+Bd/Cr,705,0,48
Arcanine (Hisuian) FF+Cr/Ft,275,0,0
Arcanine (Shadow) Bi+Bd/Cr,705,0,48
Archen QA+AP/Cr,696,90,46
Archen (Shadow) QA+AP/Cr,854,80,83
Archeops StW+AP/Cr,662,90,38
Archeops (Shadow) StW+AP/Cr,666,80,39
Arctibax DB+Av/DC,683,0,43
Ariados Inf+CP/Lu,705,10,48
Armaldo FC+CP/Li,662,0,38
Armaldo (Shadow) FC+CP/F,534,100,8
Armarouge E+Ft/FmC,482,10,0
Aromatisse CB+DK/M,645,10,34
Aron MC+BS/IH,381,65,0
Aron (Shadow) MC+BS/F,542,0,10
Articuno FB+AP/Bl,666,20,39
Articuno (Galarian) Cf+AP/BrB,824,80,76
Articuno (Shadow) FB+AP/Bl,705,0,48
Audino Pd+BS/DG,576,5,18
Aurorus FB+AP/Bl,645,20,34
