Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+Bl/EB,830,7,82
Abomasnow (Shadow) Lf+Bl/EB,858,0,89
Absol PC+BrS/DP,745,0,61
Absol (Shadow) PC+BrS/DP,693,0,48
Accelgor Ac+AS/BBu,830,4,82
Accelgor (Shadow) Ac+AS/BBu,802,4,75
Aegislash (Shield) AS+FC/GB,316,35,0
Aerodactyl Bi+AP/EP,842,7,85
Aerodactyl (Shadow) Bi+AP/EP,866,0,91
Aggron DT+HS/MeB,915,0,103
Aggron (Shadow) DT+F/HS,891,0,97
Aipom A+AA/LS,705,14,51
Aipom (Shadow) A+AA/F,854,0,88
Alakazam Cf+DG/FiP,390,0,0
Alakazam (Shadow) Cf+DG/FiP,483,0,0
Alomomola HPB+Bl/HP,495,18,0
Altaria DB+DG/DgP,213,14,0
Altaria (Shadow) DB+DG/DgP,257,14,0
Amaura FB+AP/AB,858,0,89
Amaura (Shadow) FB+AP/AB,838,0,84
Ambipom A+AA/HB,866,0,91
Ambipom (Shadow) A+AA/F,842,0,85
Amoonguss A+FoP/GK,276,28,0
Amoonguss (Shadow) A+FoP/F,367,42,0
Ampharos CB+BrS/DgP,786,4,71
Ampharos (Shadow) CB+BrS/DgP,745,4,61
Annihilape C+CC/IP,253,14,0
Annihilape (Shadow) C+CC/F,317,14,0
Anorith Scr+AP/AJ,822,0,80
Anorith (Shadow) Scr+AP/AJ,778,0,69
Appletun A+DgP/EB,758,18,64
Araquanid BBi+BuB/BBu,408,7,0
Arbok Ac+AS/DP,592,0,23
Arbok (Shadow) Ac+AS/DP,709,4,52
Arboliva ML+EP/EB,866,0,91
Arcanine Bi+Bd/Cr,818,4,79
Arcanine (Hisuian) FF+Cr/Ft,818,0,79
Arcanine (Shadow) Bi+Bd/Cr,818,4,79
Archen QA+AP/Cr,879,0,94
Archen (Shadow) QA+AP/Cr,858,0,89
Archeops StW+AP/Cr,838,0,84
Archeops (Shadow) StW+AP/Cr,818,0,79
Arctibax DB+Av/DC,866,0,91
Ariados Inf+CP/Lu,303,28,0
Armaldo FC+CP/Li,721,7,55
Armaldo (Shadow) FC+CP/F,665,0,41
Armarouge E+Ft/FmC,273,7,0
Aromatisse CB+DK/M,548,18,12
Aron MC+BS/IH,899,0,99
Aron (Shadow) MC+BS/F,879,0,94
Articuno FB+AP/Bl,802,4,75
Articuno (Galarian) Cf+AP/BrB,312,14,0
Articuno (Shadow) FB+AP/Bl,774,4,68
Audino Pd+BS/DG,713,0,53
Aurorus FB+AP/Bl,858,0,89
Aurorus (Shadow) FB+AP/Bl,838,0,84
Avalugg Bi+Av/BS,879,4,94
Avalugg (Hisuian) Bi+Bl/Cr,911,0,102
Axew IT+AT/DC,798,4,74
Azelf Cf+FiB/FS,625,4,31
Azumarill B+HP/IB,303,0,0
Banette H+DG/Re,439,4,0
Banette (Shadow) H+DG/F,798,4,74
Barbaracle FC+CrC/GK,709,4,52
Basculin Tk+AJ/AT,592,4,23
Bastiodon IT+Ft/FC,802,25,75
Bastiodon (Shadow) IT+Ft/FC,838,4,84
Baxcalibur DB+Av/Bl,822,0,80
Bayleef ML+AP/EB,422,18,0
Bayleef (Shadow) ML+AP/EB,604,18,26
Beartic Ch+IP/Li,770,0,67
Beautifly Inf+AC/BBu,544,18,11
Beedrill BBi+AA/DR,338,4,0
Beedrill (Shadow) BBi+AA/DR,315,14,0
Beheeyem A+DP/P,596,11,24
Bellibolt SkP+D/PbC,600,14,25
Bellossom Ac+DG/LB,164,49,0
Bellossom (Shadow) Ac+DG/F,830,4,82
Bergmite Bi+Cr/IW,895,7,98
Bewear LK+DrP/Pbk,858,7,89
Bibarel RO+HB/HF,620,4,30
Bibarel (Shadow) RO+F/HB,919,7,104
Bisharp MC+DP/FB,879,0,94
Blacephalon A+MdB/MF,303,0,0
Blastoise Bi+FC/HC,528,7,7
Blastoise (Shadow) Bi+FC/F,745,25,61
Blaziken C+AuS/BB,394,7,0
Blaziken (Shadow) C+AuS/BB,474,7,0
Blissey Pd+DG/HB,842,4,85
Boldore MSl+Bd/Re,879,0,94
Boldore (Shadow) MSl+Bd/F,854,0,88
Boltund Bi+Cr/T,818,4,79
Bombirdier RTh+AA/Fl,858,4,89
Bonsly C+Eq/RS,802,7,75
Bouffalant MS+Eq/Mh,887,4,96
Braixen E+Ft/FmC,604,4,26
Braixen (Shadow) E+Ft/FmC,552,4,13
Braviary AS+BrB/CC,677,4,44
Braviary (Hisuian) AS+BrB/DG,437,0,0
Breloom BS+DyP/GK,490,0,0
Brionne Ch+AJ/DV,491,4,0
Bronzong Cf+Bd/FC,250,14,0
Bruxish Bi+AT/Cr,504,0,1
Bulbasaur Tk+PW/Re,495,11,0
Bulbasaur (Shadow) Tk+F/PW,818,4,79
Buneary Pd+FiP/Sw,887,7,96
Butterfree BBi+BBu/P,403,18,0
Butterfree (Shadow) BBi+BBu/F,423,35,0
Buzzwole C+FeS/Lu,389,35,0
Cacturne PJ+DP/DyP,858,0,89
Cacturne (Shadow) PJ+DP/DyP,818,0,79
Camerupt E+Eq/EP,858,4,89
Camerupt (Shadow) E+Eq/EP,830,4,82
Carbink RTh+M/PG,693,0,48
Carkol SD+FmC/RB,758,25,64
Carnivine Bi+Cr/EB,818,4,79
Carracosta RTh+AP/BS,677,21,44
Carracosta (Shadow) RTh+AP/BS,879,0,94
Castform H+EB/Hu,879,4,94
Castform (Rainy) Tk+HP/T,301,35,0
Castform (Snowy) PS+Bl/IB,830,14,82
