Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,360,29,0
Abomasnow (Shadow) PS+WBI/EB,391,13,0
Absol PC+BrS/Mh,598,13,20
Absol (Shadow) PC+BrS/Mh,509,3,2
Accelgor WSh+BBu/AS,843,3,70
Accelgor (Shadow) WSh+BBu/EB,553,3,11
Aegislash (Shield) PC+SB/GB,309,19,0
Aerodactyl DB+RS/EP,872,3,76
Aerodactyl (Shadow) DB+RS/EP,593,3,19
Aggron DT+RT/T,901,3,82
Aggron (Shadow) DT+RT/T,882,3,78
Aipom A+Sw/AA,637,19,28
Aipom (Shadow) A+Sw/AA,764,3,54
Alakazam PC+FiP/SB,197,32,0
Alakazam (Shadow) PC+FiP/SB,230,32,0
Alomomola W+HP/Bl,823,3,66
Altaria DB+SA/Ft,431,3,0
Altaria (Shadow) DB+SA/Ft,872,3,76
Amaura PS+WBI/Tb,676,29,36
Amaura (Shadow) PS+WBI/Tb,705,13,42
Ambipom A+AA/Re,784,3,58
Ambipom (Shadow) A+AA/LS,745,3,50
Amoonguss A+GK/FoP,336,19,0
Amoonguss (Shadow) A+GK/FoP,364,3,0
Ampharos VS+BrS/TBl,558,0,12
Ampharos (Shadow) VS+BrS/TBl,573,19,15
Annihilape LK+RF/CC,568,3,14
Annihilape (Shadow) C+RF/IP,558,3,12
Anorith StB+AJ/AP,862,13,74
Anorith (Shadow) StB+AJ/CP,843,3,70
Appletun A+SeB/O,236,19,0
Araquanid BBi+WP/BuB,872,3,76
Arbok Ac+DP/SW,911,3,84
Arbok (Shadow) Ac+DP/SW,911,3,84
Arboliva ML+EP/TBl,469,19,0
Arcanine FF+WC/PsF,588,3,18
Arcanine (Hisuian) Sn+WC/RS,637,29,28
Arcanine (Shadow) FF+WC/PsF,529,3,6
Archen WA+AP/Cr,558,13,12
Archen (Shadow) WA+AP/Cr,911,48,84
Archeops WA+AP/Cr,553,13,11
Archeops (Shadow) WA+AP/Cr,911,48,84
Arctibax DB+Av/DC,529,0,6
Ariados PSt+Lu/TBl,774,3,56
Armaldo FC+RB/Li,730,13,47
Armaldo (Shadow) FC+RB/Li,632,13,27
Armarouge I+Psh/HW,145,32,0
Aromatisse Ch+Psh/M,843,3,70
Aron MSo+RT/BS,823,3,66
Aron (Shadow) MSo+RT/BS,774,3,56
Articuno PS+IW/Hu,720,19,45
Articuno (Galarian) PC+Fl/BrB,764,13,54
Articuno (Shadow) PS+TAx/Hu,852,13,72
Audino ZH+BS/DV,735,32,48
Aurorus PS+WBI/MeB,681,29,37
Aurorus (Shadow) PS+WBI/MeB,705,13,42
Avalugg IF+Av/BS,852,3,72
Avalugg (Hisuian) PS+RS/IW,882,13,78
Axew Scr+AT/DC,750,19,51
Azelf Cf+Sw/FS,656,13,32
Azumarill B+IB/PR,882,3,78
Banette SC+SB/DG,794,3,60
Banette (Shadow) SC+SB/DG,735,3,48
Barbaracle FC+CrC/SE,553,3,11
Basculin WG+AT/AJ,764,3,54
Bastiodon SD+SE/Ft,392,0,0
Bastiodon (Shadow) SD+SE/Ft,460,0,0
Baxcalibur DB+Av/DC,514,45,3
Bayleef ML+AP/EB,478,16,0
Bayleef (Shadow) ML+AP/EB,309,45,0
Beartic PS+IP/Li,578,13,16
Beautifly Inf+AC/SvW,696,13,40
Beedrill PSt+XS/DR,130,32,0
Beedrill (Shadow) PSt+XS/DR,153,32,0
Beheeyem Cf+RS/DP,838,3,69
Bellibolt TS+ZC/PbC,363,19,0
Bellossom Ac+LB/DG,696,0,40
Bellossom (Shadow) Ac+LB/DG,351,45,0
Bergmite Tk+IW/Cr,872,3,76
Bewear SC+SP/St,137,32,0
Bibarel RO+S/HF,568,19,14
Bibarel (Shadow) RO+S/HF,901,3,82
Bisharp Sn+DP/XS,242,48,0
Blacephalon I+MdB/SB,238,32,0
Blastoise RO+HC/SkB,578,19,16
Blastoise (Shadow) RO+HC/SkB,921,3,86
Blaziken E+AuS/BB,168,32,0
Blaziken (Shadow) E+AuS/BB,201,32,0
Blissey ZH+WC/DG,705,20,42
Boldore MSl+RS/Bd,549,3,10
Boldore (Shadow) MSl+RS/Bd,229,48,0
Boltund Sp+Cr/T,539,19,8
Bombirdier SkP+Fl/RT,764,3,54
Bonsly RTh+RT/RS,852,3,72
Bouffalant MS+St/Mh,696,3,40
Braixen E+Psh/FmC,647,3,30
Braixen (Shadow) E+Psh/FmC,583,3,17
Braviary AS+Fl/CC,921,3,86
Braviary (Hisuian) AS+BrB/Fl,921,3,86
Breloom FPm+DyP/GK,509,3,2
Brionne Ch+AJ/DV,862,3,74
Bronzong Cf+WBW/Pbk,656,19,32
Bruxish Cf+AT/PsF,553,3,11
Bulbasaur VW+PW/SeB,627,35,26
Bulbasaur (Shadow) VW+PW/SeB,725,3,46
Buneary QA+Sw/FiP,553,3,11
Butterfree Cf+BBu/SiB,867,3,75
Butterfree (Shadow) Cf+BBu/SiB,852,13,72
Buzzwole C+SP/Lu,617,3,24
Cacturne SkP+TBl/DyP,705,3,42
Cacturne (Shadow) SkP+TBl/DyP,676,3,36
Camerupt I+RT/ScS,280,3,0
Camerupt (Shadow) I+RT/ScS,344,3,0
Carbink RTh+RS/M,593,26,19
Carkol SD+RS/FmC,588,16,18
Carnivine VW+PW/Cr,534,35,7
Carracosta WG+Li/AP,808,3,63
Carracosta (Shadow) WG+AP/BS,764,3,54
Castform H+WBR/EB,774,3,56
Castform (Rainy) WG+WBW/T,823,3,66
Castform (Snowy) PS+WBI/Bl,740,3,49
Castform (Sunny) E+WBF/SoB,102,32,0
Celebi Cf+AuS/LfS,372,3,0
Celesteela AS+BS/IH,789,19,59
Centiskorch E+Lu/HW,132,32,0
Ceruledge I+SB/HW,666,3,34
Cetitan PS+ISp/SP,113,32,0
Cetoddle PS+Av/BS,779,3,57
Chandelure I+SB/FmC,627,3,26
Chandelure (Shadow) I+SB/FmC,558,3,12
Chansey ZH+DG/P,612,9,23
Charizard E+BB/AC,735,3,48
Charizard (Shadow) E+BB/AC,696,13,40
Charjabug VS+XS/D,448,51,0
Charjabug (Shadow) VS+XS/D,539,0,8
Charmeleon E+FiP/Re,132,32,0
Charmeleon (Shadow) E+FiP/Ft,156,32,0
Chatot Pk+SA/HW,367,48,0
Cherrim (Overcast) BS+DG/SoB,661,16,33
Cherrim (Sunshine) BS+WBF/SoB,415,19,0
Chesnaught LK+FP/SP,72,32,0
Chesnaught (Shadow) VW+FP/SP,88,32,0
Chespin VW+BS/SeB,632,10,27
Chespin (Shadow) VW+BS/SeB,696,19,40
Chimecho A+Psh/SB,803,3,62
Chinchou B+WP/Tb,862,3,74
Cinccino Ch+AT/Tb,843,3,70
Cinderace FS+Ft/FmC,627,3,26
Clamperl WG+BS/WP,823,3,66
Clauncher WG+AJ/Crbh,808,3,63
Clawitzer WG+Crbh/IB,745,3,50
Claydol MSl+RT/SB,169,3,0
Claydol (Shadow) MSl+RT/SB,61,48,0
Clefable FW+M/MM,779,3,57
Clefairy ZH+DV/BS,921,3,86
Clobbopus RSm+SP/IP,745,3,50
Clodsire PSt+Eq/SE,132,13,0
Cloyster IS+IW/Li,882,3,78
Cloyster (Shadow) IS+IW/Li,862,3,74
Coalossal FS+RS/FmC,389,3,0
Cofagrigus SC+SB/Re,823,3,66
Cofagrigus (Shadow) SC+SB/DP,794,3,60
Combusken E+RS/FmC,632,3,27
Combusken (Shadow) E+RS/FmC,568,3,14
Comfey VW+GK/DK,911,3,84
Conkeldurr C+DyP/BrS,588,3,18
Conkeldurr (Shadow) C+DyP/BrS,529,3,6
Corphish B+AJ/VG,823,3,66
Corphish (Shadow) B+AJ/VG,803,3,62
Corsola B+PG/RB,862,3,74
Corsola (Galarian) A+NSh/PG,399,3,0
Corviknight SdA+AC/Pbk,691,3,39
Corvisquire Pk+SA/Pbk,911,3,84
Crabominable B+IP/BkB,222,48,0
Crabrawler B+Crbh/PUP,696,3,40
