Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,900,60,100
Abomasnow (Shadow) PS+WBI/EB,900,50,100
Absol PC+BrS/Mh,816,80,79
Absol (Shadow) PC+BrS/Mh,848,70,87
Accelgor WSh+BBu/AS,836,60,84
Accelgor (Shadow) WSh+BBu/EB,852,50,88
Aegislash (Shield) PC+SB/GB,911,50,103
Aerodactyl DB+RS/EP,450,5,0
Aerodactyl (Shadow) DB+RS/EP,584,5,21
Aggron DT+RT/T,728,5,57
Aggron (Shadow) DT+RT/T,683,5,46
Aipom A+Sw/AA,333,10,0
Aipom (Shadow) A+Sw/AA,340,35,0
Alakazam PC+FiP/SB,832,80,83
Alakazam (Shadow) PC+FiP/SB,812,70,78
Alomomola W+HP/Bl,172,30,0
Altaria DB+SA/Ft,271,5,0
Altaria (Shadow) DB+SA/Ft,548,5,12
Amaura PS+WBI/Tb,584,5,21
Amaura (Shadow) PS+WBI/Tb,472,40,0
Ambipom A+AA/Re,391,45,0
Ambipom (Shadow) A+AA/LS,399,35,0
Amoonguss A+GK/FoP,600,100,25
Amoonguss (Shadow) A+GK/FoP,500,10,0
Ampharos VS+BrS/TBl,434,30,0
Ampharos (Shadow) VS+BrS/TBl,656,100,39
Annihilape LK+RF/CC,588,5,22
Annihilape (Shadow) C+RF/IP,776,100,69
Anorith StB+AJ/AP,868,90,92
Anorith (Shadow) StB+AJ/CP,884,80,96
Appletun A+SeB/O,341,20,0
Araquanid BBi+WP/BuB,441,25,0
Arbok Ac+DP/SW,788,5,72
Arbok (Shadow) Ac+DP/SW,768,30,67
Arboliva ML+EP/TBl,824,80,81
Arcanine FF+WC/PsF,612,5,28
Arcanine (Hisuian) Sn+WC/RS,220,40,0
Arcanine (Shadow) FF+WC/PsF,580,5,20
Archen WA+AP/Cr,584,5,21
Archen (Shadow) WA+AP/Cr,604,100,26
Archeops WA+AP/Cr,584,5,21
Archeops (Shadow) WA+AP/Cr,604,100,26
Arctibax DB+Av/DC,584,5,21
Ariados PSt+Lu/TBl,896,90,99
Armaldo FC+RB/Li,872,100,93
Armaldo (Shadow) FC+RB/Li,792,90,73
Armarouge I+Psh/HW,307,30,0
Aromatisse Ch+Psh/M,728,5,57
Aron MSo+RT/BS,362,30,0
Aron (Shadow) MSo+RT/BS,440,30,0
Articuno PS+IW/Hu,824,30,81
Articuno (Galarian) PC+Fl/BrB,752,30,63
Articuno (Shadow) PS+TAx/Hu,816,80,79
Audino ZH+BS/DV,752,0,63
Aurorus PS+WBI/MeB,692,5,48
Aurorus (Shadow) PS+WBI/MeB,604,5,26
Avalugg IF+Av/BS,784,100,71
Avalugg (Hisuian) PS+RS/IW,788,5,72
Axew Scr+AT/DC,716,5,54
Azelf Cf+Sw/FS,552,55,13
Azumarill B+IB/PR,387,25,0
Banette SC+SB/DG,564,90,16
Banette (Shadow) SC+SB/DG,460,25,0
Barbaracle FC+CrC/SE,200,40,0
Basculin WG+AT/AJ,224,0,0
Bastiodon SD+SE/Ft,381,5,0
Bastiodon (Shadow) SD+SE/Ft,223,30,0
Baxcalibur DB+Av/DC,620,100,30
Bayleef ML+AP/EB,812,100,78
Bayleef (Shadow) ML+AP/EB,836,90,84
Beartic PS+IP/Li,836,70,84
Beautifly Inf+AC/SvW,936,60,109
Beedrill PSt+XS/DR,911,80,103
Beedrill (Shadow) PSt+XS/DR,884,70,96
Beheeyem Cf+RS/DP,552,100,13
Bellibolt TS+ZC/PbC,560,25,15
Bellossom Ac+LB/DG,836,20,84
Bellossom (Shadow) Ac+LB/DG,872,80,93
Bergmite Tk+IW/Cr,892,90,98
Bewear SC+SP/St,431,30,0
Bibarel RO+S/HF,302,40,0
Bibarel (Shadow) RO+S/HF,338,40,0
Bisharp Sn+DP/XS,804,70,76
Blacephalon I+MdB/SB,656,100,39
Blastoise RO+HC/SkB,238,30,0
Blastoise (Shadow) RO+HC/SkB,276,30,0
Blaziken E+AuS/BB,683,5,46
Blaziken (Shadow) E+AuS/BB,470,40,0
