Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,224,0,0
Abomasnow (Shadow) PS+WBI/EB,136,40,0
Absol PC+BrS/Mh,570,16,22
Absol (Shadow) PC+BrS/Mh,450,0,0
Accelgor WSh+BBu/EB,519,4,6
Accelgor (Shadow) WSh+BBu/EB,155,32,0
Aegislash (Shield) PC+SB/FC,133,8,0
Aerodactyl DB+RS/EP,356,24,0
Aerodactyl (Shadow) DB+RS/EP,398,16,0
Aggron DT+RT/T,208,12,0
Aggron (Shadow) DT+RT/T,259,12,0
Alakazam PC+FiP/SB,153,32,0
Alakazam (Shadow) PC+FiP/SB,188,32,0
Alomomola W+HP/Bl,190,16,0
Altaria DB+SA/Ft,615,4,36
Altaria (Shadow) DB+SA/Ft,570,4,22
Ambipom A+AA/Re,315,8,0
Ambipom (Shadow) A+AA/LS,171,40,0
Amoonguss A+FoP/GK,230,8,0
Amoonguss (Shadow) A+FoP/GK,79,40,0
Ampharos VS+BrS/TBl,301,16,0
Ampharos (Shadow) VS+BrS/TBl,298,0,0
Annihilape LK+RF/CC,406,8,0
Annihilape (Shadow) LK+RF/CC,488,8,0
Appletun A+SeB/O,557,4,18
Araquanid BBi+WP/BBu,340,12,0
Arbok Ac+DP/SW,338,8,0
Arbok (Shadow) Ac+DP/SW,376,0,0
Arboliva ML+EP/TBl,280,8,0
Arcanine Sn+Cr/Ft,294,4,0
Arcanine (Hisuian) Sn+RS/Cr,254,16,0
Arcanine (Shadow) FF+WC/PsF,254,0,0
Archeops WA+AP/Cr,262,48,0
Archeops (Shadow) WA+AP/Cr,204,32,0
Arctibax DB+Av/DC,462,24,0
Armaldo FC+RB/Li,341,16,0
Armaldo (Shadow) FC+RB/Li,388,16,0
Armarouge I+Psh/FmC,99,40,0
Aromatisse Ch+Psh/M,257,16,0
Articuno PS+IW/Hu,221,8,0
Articuno (Galarian) PC+Fl/BrB,151,40,0
Articuno (Shadow) PS+IW/Hu,262,8,0
Audino ZH+BS/DV,397,36,0
Aurorus PS+WBI/MeB,196,0,0
Aurorus (Shadow) PS+WBI/MeB,238,0,0
Avalugg IF+IW/Cr,219,16,0
Avalugg (Hisuian) PS+RS/IW,253,16,0
Azelf Cf+Sw/FS,302,0,0
Azumarill B+PR/IB,400,20,0
Banette SC+SB/DG,168,40,0
Banette (Shadow) SC+SB/DG,222,40,0
Barbaracle FC+CrC/SE,164,56,0
Basculin WG+AT/AJ,299,0,0
Bastiodon SD+SE/Ft,214,36,0
Bastiodon (Shadow) SD+SE/Ft,232,12,0
Baxcalibur DB+Av/DC,341,56,0
Beartic PS+IP/Li,309,8,0
Beedrill PSt+DR/XS,375,8,0
Beedrill (Shadow) PSt+DR/XS,416,0,0
Beheeyem Cf+RS/DP,231,0,0
Bellibolt SkP+PbC/ZC,275,24,0
Bellossom Ac+LB/DG,147,48,0
Bellossom (Shadow) Ac+LB/DG,110,32,0
Bewear SC+SP/Pbk,487,16,0
Bibarel RO+S/HF,364,16,0
Bibarel (Shadow) RO+S/HF,435,16,0
Bisharp Sn+DP/IH,134,32,0
Blacephalon I+MdB/SB,96,24,0
Blastoise RO+HC/SkB,195,0,0
Blastoise (Shadow) RO+HC/IB,274,16,0
Blaziken E+AuS/BB,129,32,0
Blaziken (Shadow) E+AuS/BB,155,32,0
Blissey ZH+WC/DG,392,0,0
Boldore MSl+RS/Bd,328,16,0
Boldore (Shadow) MSl+RS/Bd,175,40,0
Boltund Sp+Cr/T,332,8,0
Bombirdier SkP+Fl/RT,302,8,0
Bouffalant MS+St/Mh,259,16,0
Braviary AS+Fl/CC,143,40,0
Braviary (Hisuian) AS+BrB/Fl,241,8,0
Breloom FPm+DyP/GK,298,40,0
Brionne WG+AJ/DV,330,8,0
Bronzong Cf+WBW/Pbk,128,16,0
Bruxish Cf+AT/PsF,259,8,0
Buzzwole C+SP/Lu,564,24,20
Cacturne SkP+DyP/TBl,359,0,0
Cacturne (Shadow) SkP+DyP/TBl,343,40,0
Camerupt I+ScS/RT,95,40,0
Camerupt (Shadow) I+RT/ScS,111,40,0
Carbink RTh+RS/M,334,12,0
Carnivine VW+PW/Cr,153,40,0
Carracosta WG+AP/Li,241,8,0
Carracosta (Shadow) WG+Li/AP,147,40,0
Celebi Cf+SeB/AuS,210,8,0
Celesteela AS+BS/Bd,238,4,0
Centiskorch E+HW/Lu,237,16,0
Ceruledge I+SB/FmC,106,40,0
Cetitan PS+ISp/SP,261,16,0
Chandelure FS+SB/FmC,125,40,0
Chandelure (Shadow) I+SB/FmC,145,40,0
Chansey ZH+DG/P,498,8,0
Charizard DB+BB/AC,79,32,0
Charizard (Shadow) DB+BB/AC,92,32,0
Cherrim (Overcast) BS+DG/SoB,292,8,0
Cherrim (Sunshine) BS+WBF/SoB,292,8,0
Chesnaught LK+FP/SP,422,16,0
Chesnaught (Shadow) LK+FP/SP,173,32,0
Chimecho A+Psh/SB,121,40,0
Cinccino Ch+AT/Tb,317,8,0
Cinderace FS+BB/PB,80,32,0
Clawitzer WG+Crbh/DP,282,0,0
Claydol MSl+IB/RT,341,4,0
Claydol (Shadow) MSl+RT/IB,193,0,0
Clefable FW+MM/M,70,24,0
Clodsire PSt+SE/Eq,197,8,0
Cloyster IS+IW/HP,274,16,0
Cloyster (Shadow) IS+IW/HP,266,8,0
Coalossal FS+RS/FmC,162,24,0
Cobalion DK+SSw/SE,345,4,0
Cofagrigus SC+SB/DP,107,40,0
Cofagrigus (Shadow) SC+SB/DP,125,40,0
Comfey VW+GK/DK,445,12,0
Conkeldurr C+DyP/BrS,657,16,49
Conkeldurr (Shadow) C+DyP/BrS,679,0,56
Corviknight SdA+AC/Pbk,212,12,0
Crabominable B+IP/BkB,576,8,24
Cradily Ac+RT/GK,183,0,0
Cradily (Shadow) Ac+RT/GK,125,40,0
Crawdaunt W+NS/Crbh,265,40,0
Crawdaunt (Shadow) W+NS/Sc,319,40,0
Cresselia PC+GK/M,230,4,0
Cresselia (Shadow) PC+GK/M,135,64,0
Crobat AS+PF/SB,270,16,0
Crobat (Shadow) AS+PF/SB,89,40,0
Crocalor I+Cr/Ft,86,40,0
Crustle FC+XS/RW,93,32,0
Crustle (Shadow) FC+XS/RW,120,32,0
Cryogonal IS+NS/TAx,356,4,0
Cursola A+NSh/PG,184,40,0
Dachsbun Ch+PsF/BS,397,4,0
Darkrai Sn+SB/DP,512,4,4
Darkrai (Shadow) Sn+SB/DP,280,32,0
Darmanitan (Galarian) IF+Av/IP,183,40,0
Darmanitan (Standard) I+RS/Ov,112,40,0
Darmanitan (Standard) (Shadow) I+RS/Ov,141,40,0
Dartrix Pk+BrB/SeB,148,40,0
Decidueye A+FP/SSh,130,40,0
Decidueye (Hisuian) PC+AuS/TBl,481,16,0
Dedenne TS+D/PbC,338,8,0
Delphox FS+Psh/BB,88,40,0
Delphox (Shadow) FS+Psh/BB,85,32,0
Deoxys (Defense) C+PB/RS,317,12,0
Deoxys (Speed) CB+PB/Sw,305,16,0
Dewgong IS+IW/DR,360,12,0
Dhelmise SC+SB/BrS,163,40,0
Dialga DB+IH/T,131,32,0
Dialga (Origin) DB+ROT/IH,116,32,0
Dialga (Shadow) DB+IH/T,161,32,0
Diancie RTh+RS/M,263,8,0
Dipplin DT+SeB/O,525,4,8
Dodrio Pk+DrlP/BrB,177,40,0
Dondozo W+S/O,292,4,0
Donphan MSl+BS/TBl,282,16,0
Donphan (Shadow) MSl+BS/TBl,153,40,0
Doublade SC+SSw/GB,91,40,0
Dragalge DT+AT/O,394,40,0
Dragapult DT+SB/O,256,40,0
Dragonite DB+TP/SP,468,16,0
Dragonite (Shadow) DB+TP/SP,637,8,43
Drampa DB+Sw/DgP,436,8,0
Drapion PSt+Cr/AT,176,0,0
Drapion (Shadow) PSt+AT/Cr,205,0,0
Drifblim H+IW/SB,244,8,0
Drifblim (Shadow) H+SB/IW,110,32,0
Druddigon DT+NS/RT,641,4,44
Dubwool DK+BS/Pbk,350,4,0
Dudunsparce RO+BS/DR,235,8,0
Dunsparce RO+DR/RS,283,16,0
Duraludon DT+DC/FC,250,0,0
Durant BBi+XS/SE,197,8,0
Dusknoir A+DyP/ShP,277,16,0
Dusknoir (Shadow) A+DyP/ShP,268,0,0
Eelektross VS+DC/Tb,280,0,0
Eldegoss BS+GK/EB,383,4,0
Electabuzz TS+TP/Re,275,0,0
Electabuzz (Shadow) TS+TP/Tb,171,40,0
Electivire TS+WC/IP,105,24,0
Electivire (Shadow) TS+WC/IP,116,24,0
Electrode VS+FoP/D,316,16,0
Electrode (Hisuian) TS+WC/Sw,257,0,0
Electrode (Shadow) VS+FoP/D,302,0,0
Emboar E+BB/RS,126,32,0
Emboar (Shadow) E+BB/RS,147,32,0
Empoleon MSo+HC/DrlP,79,40,0
Empoleon (Shadow) MSo+HC/DrlP,56,24,0
Enamorus (Incarnate) FW+Fl/DG,192,40,0
Enamorus (Therian) FW+MF/M,152,40,0
Entei FS+FmC/ScS,216,8,0
Entei (Shadow) FS+FmC/ScS,111,40,0
Escavalier BBi+RSh/DR,185,8,0
Escavalier (Shadow) BBi+DR/RSh,107,40,0
Espeon Cf+PsF/SB,277,0,0
Eternatus DT+DyC/SlB,150,40,0
Excadrill MS+DR/RS,225,8,0
Excadrill (Shadow) MS+DR/RS,100,32,0
Exeggutor Cf+SeB/P,230,0,0
Exeggutor (Alolan) DT+SeB/DM,458,16,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,596,16,30
Exeggutor (Shadow) Cf+SeB/P,142,32,0
Exploud A+Cr/DV,302,24,0
Exploud (Shadow) A+Cr/DV,302,8,0
Falinks C+SP/Mh,548,24,15
Fearow Pk+DrlP/DR,201,48,0
Feraligatr SC+HC/IB,286,16,0
Feraligatr (Shadow) SC+HC/IB,157,40,0
Ferrothorn BS+PW/FC,115,0,0
Ferrothorn (Shadow) BS+PW/FC,143,0,0
Flamigo WA+UH/BrB,251,40,0
Flapple DB+Fl/SeB,480,16,0
Flareon E+HW/SP,284,8,0
Floatzel W+AJ/Sw,316,0,0
Florges FW+CW/TBl,272,16,0
Flygon DT+Tw/ST,525,4,8
Flygon (Shadow) DT+Tw/ST,484,16,0
Forretress VS+RT/ST,199,4,0
Forretress (Shadow) VS+RT/ST,174,16,0
Fraxure DT+AT/NS,493,8,0
Froslass PS+Av/SB,143,40,0
Froslass (Shadow) PS+Av/SB,140,32,0
Frosmoth PS+IB/BBu,156,40,0
Furfrou SkP+S/GK,326,32,0
Furret SkP+Sw/BkB,323,16,0
Gabite MS+Tw/Dg,615,16,36
Gabite (Shadow) MS+Tw/Dg,580,0,25
Gallade PC+CC/LB,375,0,0
Gallade (Shadow) PC+CC/LB,439,0,0
Galvantula VS+D/CP,299,0,0
Galvantula (Shadow) VS+D/CP,152,32,0
Garbodor Inf+BS/SeB,351,40,0
Garbodor (Shadow) Inf+BS/SeB,333,8,0
Garchomp DT+ST/Tw,519,4,6
Garchomp (Shadow) DT+ST/Tw,663,16,51
Gardevoir Ch+TAx/SB,233,0,0
Gardevoir (Shadow) Ch+TAx/SB,289,0,0
Garganacl MS+RT/RB,189,16,0
Gastrodon MSl+BS/WP,224,8,0
Genesect FC+XS/TBN,98,40,0
Genesect (Burn) FC+XS/TBB,98,40,0
Genesect (Chill) FC+XS/TBC,98,40,0
Genesect (Douse) FC+XS/TBD,98,40,0
Genesect (Shock) FC+XS/TBS,98,40,0
Gengar SC+ShP/SB,118,40,0
Gengar (Shadow) SC+ShP/SB,125,32,0
Gholdengo H+SB/PG,81,32,0
Gigalith MSl+SP/MeB,250,0,0
Gigalith (Shadow) MSl+MeB/RS,166,40,0
Girafarig Cf+PsF/TBl,277,8,0
Girafarig (Shadow) Cf+PsF/TBl,292,0,0
Giratina (Altered) DB+DC/SS,468,4,0
Giratina (Altered) (Shadow) DB+DC/SS,557,4,18
Giratina (Origin) SC+SB/DgP,179,40,0
Glaceon IS+Av/WP,155,40,0
Glalie PS+Av/SB,139,48,0
Glalie (Shadow) PS+Av/SB,116,32,0
Gligar WA+NS/AA,322,24,0
Gligar (Shadow) WA+NS/AA,338,16,0
Glimmora RTh+MeB/PG,336,8,0
Gliscor WA+Acr/NS,115,40,0
Gliscor (Shadow) WA+Acr/NS,132,40,0
Gogoat VW+LB/RS,240,8,0
Golbat WA+AC/SB,314,16,0
Golbat (Shadow) WA+AC/SB,106,40,0
Golduck Cf+CrC/Li,270,8,0
Golduck (Shadow) Cf+CrC/Li,279,0,0
Golem MSl+SE/RB,243,0,0
Golem (Alolan) VS+RB/WC,105,32,0
Golem (Alolan) (Shadow) VS+WC/RB,118,32,0
Golem (Shadow) MSl+SE/RB,279,0,0
Golisopod FC+XS/AJ,283,16,0
Golurk A+ShP/DyP,307,8,0
Golurk (Shadow) A+ShP/DyP,144,32,0
Goodra DB+AT/PW,357,16,0
Gorebyss Cf+WP/P,284,0,0
Gothitelle Cf+RS/FS,196,8,0
Gothitelle (Shadow) Cf+RS/FS,200,0,0
Gourgeist (Average) I+SB/SeB,119,40,0
Gourgeist (Large) I+SB/SeB,110,40,0
Gourgeist (Small) I+SB/SeB,111,40,0
Gourgeist (Super) I+SB/SeB,104,40,0
Grafaiai MSl+PF/SlB,102,40,0
Granbull Ch+CC/Cr,283,0,0
