Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,133,39,0
Lickilicky RO+BS/SB,617,6,39
Corviknight SdA+AC/Pbk,388,45,0
Tinkaton FW+GH/Bd,441,39,0
Corviknight (Shadow) SdA+AC/Pbk,367,0,0
Florges FW+CW/DV,581,0,27
Empoleon (Shadow) MSo+HC/DrlP,319,55,0
Virizion DK+LB/SSw,283,29,0
Empoleon MSo+HC/DrlP,455,32,0
Moltres (Galarian) SkP+Fl/BrB,357,52,0
Jellicent H+S/SB,334,16,0
Forretress VS+RT/ST,374,3,0
Zygarde (Complete Forme) DT+Cr/Eq,375,29,0
Feraligatr (Shadow) SC+HC/IB,521,0,7
Ninetales (Alolan) PS+WBI/CW,861,0,120
Forretress (Shadow) VS+RT/ST,242,65,0
Kingdra DB+S/Sw,506,3,2
Ninetales (Alolan) (Shadow) PS+WBI/CW,846,0,115
Registeel LO+FC/FB,270,32,0
Dusknoir A+DyP/ShP,310,52,0
Lapras Psy+SpA/IB,617,6,39
Blastoise RO+HC/SkB,385,29,0
Dusknoir (Shadow) A+DyP/ShP,369,39,0
Talonflame I+Fl/BrB,680,16,60
Lapras (Shadow) Psy+SpA/IB,608,0,36
Malamar (Shadow) Psy+FoP/SP,347,26,0
Walrein (Shadow) PS+ISp/Eq,539,0,13
Dondozo W+S/O,590,45,30
Malamar Psy+FoP/SP,560,0,20
Regidrago DB+DrE/VG,300,39,0
Walrein PS+ISp/Eq,590,0,30
Giratina (Altered) DB+DC/SS,421,26,0
Bellibolt SkP+PbC/ZC,315,29,0
Annihilape LK+RF/CC,287,26,0
Talonflame (Shadow) I+Fl/BrB,575,3,25
Annihilape (Shadow) LK+RF/CC,328,26,0
Kingdra (Shadow) DB+S/Sw,437,42,0
Ninetales E+WBF/EB,446,55,0
Cresselia PC+GK/M,367,3,0
Milotic W+AT/Wr,605,6,35
Steelix TF+PsF/Eq,269,6,0
Cradily Ac+RT/GK,361,52,0
Giratina (Altered) (Shadow) DB+DC/SS,287,39,0
Seaking Pk+DR/IW,506,3,2
Swampert MS+HC/Eq,330,55,0
Feraligatr SC+HC/IB,563,3,21
Oranguru Cf+BrS/TBl,307,55,0
Runerigus SC+RT/SB,244,52,0
Steelix (Shadow) TF+PsF/Cr,180,55,0
Cradily (Shadow) Ac+RT/GK,438,52,0
Cresselia (Shadow) PC+GK/M,227,39,0
Ninetales (Shadow) E+WBF/EB,446,16,0
Ampharos (Shadow) VS+BrS/TBl,272,13,0
Clefable FW+MM/M,418,52,0
Milotic (Shadow) W+AT/Wr,608,3,36
Turtonator I+BrS/DC,584,3,28
Ampharos VS+BrS/TBl,352,3,0
Raikou (Shadow) TS+WC/AuS,59,39,0
Togekiss Pk+Psh/AuS,707,26,69
Hippowdon SdA+WBR/EP,301,55,0
Orthworm MSl+RT/Eq,347,71,0
Toucannon Pk+BBl/DrlP,415,39,0
Aromatisse FW+Psh/M,421,52,0
Golisopod FC+XS/AJ,527,55,9
Gyarados DB+AT/Tw,611,42,37
Toucannon (Shadow) Pk+BBl/DrlP,644,3,48
Hydreigon (Shadow) DB+BrS/Fl,635,16,45
Seismitoad MS+EP/IW,467,3,0
Hippowdon (Shadow) SdA+WBR/EP,309,39,0
Melmetal TS+DbI/DyP,227,55,0
Primarina W+DV/HC,641,0,47
Cobalion DK+SSw/SE,311,3,0
Guzzlord DT+BrS/DC,524,3,8
Samurott FC+HC/Mh,422,42,0
Tentacruel Ac+Sc/Pbk,503,6,1
Tentacruel (Shadow) Ac+Sc/Pbk,381,55,0
Blastoise (Shadow) RO+HC/IB,569,3,23
Sylveon FW+M/SB,440,52,0
Dudunsparce RO+BS/DR,560,0,20
Gyarados (Shadow) DB+AT/Tw,683,3,61
Aurorus PS+WBI/MeB,864,0,121
Dragalge DT+AT/O,326,65,0
Sandslash (Alolan) (Shadow) PS+IP/DR,587,0,29
Stunfisk TS+MB/D,252,55,0
Scizor (Shadow) BP+NS/TBl,372,39,0
Weezing (Galarian) FW+BrS/Sl,455,65,0
Goodra DB+AT/PW,301,39,0
Oinkologne (Female) MSl+BS/TBl,325,68,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,548,26,16
Gastrodon MSl+BS/EP,313,55,0
Kommo-o DT+ClS/UH,299,39,0
Ludicolo A+WBW/EB,363,42,0
Sandslash (Alolan) PS+IP/DR,635,0,45
Skeledirge I+TSo/SB,305,39,0
Swampert (Shadow) MS+HC/Eq,384,29,0
Aurorus (Shadow) PS+WBI/MeB,849,0,116
Cofagrigus SC+SB/DP,309,52,0
Crustle FC+XS/RW,638,39,46
Drapion PSt+Cr/AT,539,0,13
Samurott (Shadow) FC+HC/Mh,480,29,0
Drapion (Shadow) PSt+AT/Cr,375,52,0
Grumpig Psy+DyP/SB,512,3,4
Latias DB+MsB/AuS,330,39,0
Miltank RO+BS/IB,563,19,21
Stunfisk (Galarian) MS+RS/Eq,289,19,0
Articuno PS+IW/Hu,683,39,61
Politoed (Shadow) MS+WBW/Eq,390,55,0
Raikou TS+WC/AuS,400,16,0
Abomasnow (Shadow) PS+WBI/EB,614,13,38
Mandibuzz Sn+FoP/SB,581,32,27
Zapdos TS+DrlP/Tb,493,16,0
Kyurem DB+G/DC,686,0,62
Primeape KC+RF/CC,448,42,0
Grimmsnarl SkP+FoP/PR,662,13,54
Mewtwo (Armored) Cf+Pst/DyP,315,68,0
Bombirdier SkP+Fl/RT,434,52,0
Drifblim H+IW/SB,356,39,0
Grumpig (Shadow) Psy+DyP/SB,333,39,0
Nidoqueen MSl+PF/EP,303,55,0
Doublade SC+SSw/GB,240,65,0
Greedent MS+BS/TBl,293,55,0
Jirachi Cf+DD/AuS,409,6,0
Articuno (Shadow) PS+IW/Hu,822,26,107
Blaziken (Shadow) E+AuS/BB,686,3,62
Gourgeist (Super) I+SB/SeB,482,0,0
Politoed MS+WBW/Eq,545,6,15
Rapidash (Shadow) I+WC/DR,533,3,11
Primeape (Shadow) KC+RF/IP,533,29,11
Abomasnow PS+WBI/EB,486,39,0
Coalossal FS+RS/FmC,465,52,0
Crustle (Shadow) FC+XS/RW,707,0,69
Mantine WA+Tw/WP,590,3,30
Rapidash I+WC/DR,644,29,48
Trevenant (Shadow) SC+SB/SeB,395,26,0
Zapdos (Shadow) TS+DrlP/Tb,170,65,0
Drifblim (Shadow) H+SB/IW,424,39,0
Gourgeist (Average) I+SB/SeB,530,0,10
Gourgeist (Large) I+SB/SeB,493,0,0
Spiritomb SkP+SB/RT,385,65,0
Trevenant SC+SB/SeB,330,26,0
Nidoqueen (Shadow) MSl+PF/EP,325,52,0
Zeraora VS+PF/WC,81,52,0
Palossand A+SB/ST,274,65,0
Electrode (Hisuian) TS+WC/EB,390,16,0
Pelipper WA+WBW/Hu,551,55,17
Yveltal SkP+DP/ObW,419,65,0
Bronzong Cf+WBW/Pbk,243,68,0
Regirock LO+SE/FB,560,0,20
Slurpuff FW+EB/Ft,419,26,0
Tapu Fini WG+S/NM,659,0,53
Gliscor WA+Acr/NS,304,52,0
Greninja (Shadow) WSh+HC/NS,656,3,52
Hydreigon DB+BrS/DgP,386,39,0
Amoonguss (Shadow) A+FoP/GK,343,39,0
Pawmot TS+BkB/WC,67,65,0
Giratina (Origin) SC+SB/DgP,312,52,0
Latias (Shadow) DB+MsB/AuS,444,16,0
Lugia DT+A/Fl,503,6,1
Umbreon Sn+FoP/LR,515,3,5
Bellossom (Shadow) Ac+LB/DG,361,3,0
Genesect (Shock) FC+XS/TBS,98,65,0
Gourgeist (Small) I+SB/SeB,515,0,5
Machamp (Shadow) KC+CrC/RS,400,39,0
Magnezone VS+WC/MrS,45,52,0
Conkeldurr (Shadow) FPm+DyP/BrS,398,26,0
Regice LO+T/Bl,377,39,0
Registeel (Shadow) LO+FB/ZC,212,68,0
Oinkologne MSl+BS/TBl,301,52,0
Golurk (Shadow) A+ShP/DyP,379,26,0
Starmie (Shadow) Psy+AJ/PG,492,29,0
Typhlosion I+BB/TP,557,29,19
Dodrio Pk+DrlP/BrB,695,3,65
Genesect (Burn) FC+XS/TBB,311,26,0
Perrserker SC+CC/FoP,383,0,0
Solrock Psy+WBF/RS,439,39,0
Electivire TS+WC/IP,105,65,0
Gogoat VW+LB/RS,315,3,0
Lucario FPm+AuS/SB,296,29,0
Toedscruel MSl+SeB/EP,458,3,0
Typhlosion (Shadow) I+BB/TP,677,3,59
Blaziken E+AuS/BB,575,42,25
Magnezone (Shadow) VS+WC/MrS,60,52,0
Cofagrigus (Shadow) SC+SB/DP,345,52,0
Throh (Shadow) LK+BkB/BS,328,55,0
Camerupt I+EP/RT,315,39,0
Decidueye A+FP/SSh,323,13,0
Gallade (Shadow) PC+CC/LB,383,0,0
Gholdengo H+SB/PG,241,39,0
Lunatone Psy+WBI/RS,439,39,0
Armarouge I+Psh/FmC,599,42,33
Reshiram DB+FuF/DM,313,0,0
Skuntank PJ+Cr/TBl,338,52,0
Victreebel (Shadow) Ac+LB/SlB,482,3,0
Pangoro KC+CC/NS,352,52,0
Skuntank (Shadow) PJ+Cr/TBl,401,52,0
Starmie Psy+AJ/PG,451,42,0
Bellossom Ac+LB/DG,300,3,0
Decidueye (Hisuian) PC+AuS/TBl,326,16,0
Flygon (Shadow) DT+Tw/ST,358,26,0
Garganacl MS+RT/RB,467,13,0
Gliscor (Shadow) WA+Acr/NS,370,52,0
Victreebel Ac+LB/SlB,404,3,0
Cetitan PS+ISp/SP,662,52,54
Mew SC+Psh/WC,307,26,0
Sandslash SdA+NS/RT,420,3,0
Charizard DB+BB/AC,737,3,79
Raichu TS+BkB/WC,271,13,0
Slowbro Cf+DrP/IB,527,32,9
Toxicroak PSt+DyP/SB,396,29,0
Toxicroak (Shadow) PSt+DyP/SB,464,16,0
Amoonguss A+FoP/GK,334,42,0
Electivire (Shadow) TS+WC/IP,73,39,0
Flamigo WA+UH/BrB,462,29,0
Avalugg IF+IW/Cr,746,0,82
Flygon DT+Tw/ST,509,0,3
Golurk A+ShP/DyP,340,39,0
Incineroar Sn+BrS/BB,539,0,13
Torterra MSl+FP/ST,314,42,0
Victini Cf+VC/Psh,524,3,8
Genesect (Chill) FC+XS/TBC,311,26,0
Meganium (Shadow) VW+FP/Eq,278,0,0
Morpeko (Full Belly) TS+AuW/PsF,129,78,0
Palkia (Origin) DB+AT/DM,277,0,0
Venusaur VW+FP/Sl,336,3,0
Venusaur (Shadow) VW+FP/Sl,62,52,0
Xerneas Geo+CC/M,506,39,2
Dhelmise SC+SB/BrS,387,26,0
Heracross FC+UH/RT,368,26,0
Palkia DB+AT/DM,271,0,0
Blacephalon I+MdB/SB,590,13,30
Conkeldurr FPm+DyP/BrS,340,39,0
Latios (Shadow) DB+AuS/LrP,465,13,0
Zygarde (50% Forme) DT+Cr/Eq,309,68,0
Dragonite (Shadow) DB+TP/SP,617,3,39
Genesect (Douse) FC+XS/TBD,311,26,0
Machamp KC+CrC/RS,350,39,0
Ferrothorn BS+PW/FC,196,29,0
Hawlucha LK+FlP/AA,400,42,0
Charizard (Shadow) DB+BB/AC,653,3,51
Dubwool DK+BS/Pbk,602,3,34
Gallade PC+CC/LB,312,0,0
Scizor BP+NS/TBl,328,52,0
Slowbro (Shadow) Cf+DrP/IB,518,3,6
Wailord RO+S/Bl,704,3,68
Raichu (Alolan) TS+TBl/WC,271,13,0
Thievul SkP+NS/PR,363,52,0
Uxie Cf+Sw/FS,426,16,0
Ferrothorn (Shadow) BS+PW/FC,221,29,0
Garchomp (Shadow) DT+ST/Tw,373,26,0
Meganium VW+FP/Eq,295,29,0
Scrafty C+FoP/TP,304,42,0
Greninja WSh+HC/NS,599,55,33
Throh LK+FB/BS,260,42,0
Vikavolt (Shadow) VS+XS/D,409,0,0
Roserade PSt+WBF/LfS,100,65,0
Snorlax L+BS/Eq,608,6,36
Altaria DB+SA/Ft,560,0,20
Baxcalibur DB+GlR/Av,855,0,118
Gengar (Shadow) SC+ShP/SB,542,0,14
Salamence (Shadow) DT+Fl/BrS,659,0,53
Clodsire PSt+SE/Eq,410,29,0
Barbaracle FC+CrC/SE,322,52,0
Lurantis Lf+LB/SP,357,3,0
Drampa DB+Sw/DgP,392,39,0
Poliwrath (Shadow) C+IW/Sc,387,68,0
Thundurus (Incarnate) (Shadow) TS+TP/BkB,527,3,9
Ursaring (Shadow) SC+Sw/CC,710,3,70
Dialga (Origin) DB+ROT/IH,222,13,0
Galvantula VS+D/Lu,496,3,0
Garchomp DT+ST/Tw,364,65,0
Latios DB+AuS/LrP,466,29,0
Lokix SkP+XS/TBl,575,29,25
Overqwil PJ+AT/DP,393,65,0
Shelgon (Shadow) DB+Tw/Ft,500,29,0
Sliggoo DB+BS/DgP,357,52,0
Camerupt (Shadow) I+EP/RT,644,3,48
Centiskorch E+HW/Lu,698,29,66
Regirock (Shadow) LO+SE/FB,420,52,0
Noctowl WA+SB/Re,635,0,45
Toxtricity Ac+WC/PUP,287,13,0
Kingambit MSo+FoP/FB,234,65,0
Torterra (Shadow) MSl+FP/ST,58,65,0
Altaria (Shadow) DB+SA/Ft,381,39,0
Magneton (Shadow) VS+MgB/D,215,0,0
Poliwrath C+IW/Sc,512,6,4
Hariyama FPm+UH/HS,302,39,0
Shelgon DB+Tw/Ft,379,39,0
Suicune IF+IB/Sc,692,6,64
Marshadow SC+CC/TP,373,26,0
Metagross SC+MM/Eq,291,55,0
Piloswine PS+Av/ISp,629,0,43
Ceruledge I+SB/FmC,386,39,0
Chesnaught (Shadow) LK+FP/SP,332,3,0
Pidgeot WA+Tw/BrB,389,39,0
Reshiram (Shadow) DB+FuF/DM,364,0,0
Torkoal E+FW/Ov,674,3,58
Gigalith LO+SP/MeB,473,26,0
Piloswine (Shadow) PS+Av/ISp,783,13,94
Slowbro (Galarian) Cf+DrP/SlB,509,3,3
Tapu Lele A+NM/Psh,737,0,79
Tyranitar DB+BrS/SE,506,52,2
Excadrill (Shadow) MS+DR/RS,288,26,0
Galvantula (Shadow) VS+D/Lu,382,0,0
Urshifu (Single Strike) SkP+Pbk/DyP,360,39,0
Chesnaught LK+FP/SP,307,29,0
Quaquaval LK+CC/HC,448,68,0
Dragonite DB+TP/SP,496,16,0
Snorlax (Shadow) L+BS/Eq,578,0,26
Arctibax DB+Av/DC,671,13,57
Muk (Shadow) PJ+DP/TP,350,39,0
Tyranitar (Shadow) DB+BrS/SE,602,0,34
Glalie PS+Av/SB,728,39,76
Hariyama (Shadow) FPm+UH/HS,363,39,0
Ho-Oh I+BrB/SF,683,16,61
Pidgeot (Shadow) WA+BrB/Tw,497,29,0
Mamoswine PS+ISp/HH,698,13,66
Arcanine (Shadow) FF+WC/PsF,509,3,3
Volcanion I+Sc/Ov,789,29,96
Enamorus (Therian) FW+MF/M,662,0,54
Palkia (Shadow) DB+AT/DM,338,0,0
Salamence DT+Fl/BrS,686,3,62
Sinistcha A+SB/EB,388,39,0
Vikavolt VS+XS/Fl,608,3,36
Chimecho A+Psh/SB,341,52,0
Druddigon DT+NS/RT,578,0,26
Hypno Cf+TP/SB,521,6,7
Qwilfish (Shadow) PSt+AT/SB,674,3,58
Glalie (Shadow) PS+Av/SB,743,0,81
Magneton VS+MgB/D,284,3,0
Samurott (Hisuian) FC+IW/DP,461,55,0
Scolipede (Shadow) PSt+AT/Mh,599,3,33
Avalugg (Hisuian) PS+RS/IW,789,0,96
Leavanny SC+LB/XS,426,3,0
Gengar SC+ShP/SB,496,26,0
Keldeo (Resolute) LK+SeS/AJ,451,55,0
Sandaconda MSl+EP/Wr,301,52,0
Serperior VW+FP/AA,303,29,0
Weezing (Shadow) RO+SlB/SB,377,39,0
Metagross (Shadow) SC+MM/Eq,302,39,0
Kartana FC+LB/SSw,367,13,0
Kilowattrel TS+Acr/AA,575,3,25
Machoke (Shadow) KC+CrC/DyP,465,16,0
Xatu (Shadow) Pk+Psh/SB,647,3,49
Dewgong IS+IW/DR,692,0,64
Electrode (Shadow) VS+FoP/D,433,3,0
Genesect FC+XS/TBN,311,26,0
Mamoswine (Shadow) PS+ISp/HH,795,0,98
Rapidash (Galarian) FW+BS/WC,626,13,42
Muk PJ+TP/DP,306,52,0
Tauros (Aqua) DK+AJ/TBl,341,29,0
Fearow Pk+DrlP/DR,713,3,71
Mudsdale MSl+BS/Eq,299,65,0
Swanna (Shadow) G+AJ/Fl,623,3,41
Weezing RO+SlB/SB,560,0,20
Zoroark (Hisuian) SC+SB/FoP,563,13,21
Bruxish Cf+AT/PsF,521,3,7
Wyrdeer Cf+WC/St,347,39,0
Dialga DB+IH/DM,222,0,0
Kabutops FC+AJ/SE,423,52,0
Lugia (Shadow) DT+Fl/FS,371,65,0
Rayquaza DT+BkS/DrA,635,0,45
Regieleki VS+ThC/HB,530,3,10
Scolipede PSt+AT/Mh,596,42,32
Wailord (Shadow) RO+Sc/Bl,629,3,43
Dachsbun Ch+BS/PsF,587,0,29
Heatran FS+MgS/EP,554,6,18
Regice (Shadow) LO+T/Bl,462,39,0
Slowking (Galarian) Ac+S/SB,317,52,0
Swanna G+AJ/Fl,647,29,49
Tapu Koko VS+Tb/NM,378,0,0
Alomomola W+HP/Bl,620,58,40
Dipplin DT+SeB/O,333,55,0
Electabuzz (Shadow) TS+TP/Tb,102,65,0
Golem (Alolan) (Shadow) VS+WC/RB,65,52,0
Sandslash (Shadow) MS+NS/RT,518,3,6
Whiscash MS+MB/Sc,593,6,31
Cinderace FS+BB/PB,719,16,73
Delphox FS+Psh/BB,581,42,27
Delphox (Shadow) FS+Psh/BB,704,3,68
Relicanth WG+AT/AP,448,52,0
Xatu Pk+Psh/SB,638,29,46
Magmar KC+FiP/ScS,653,29,51
Solgaleo FS+PsF/IH,500,32,0
Donphan MSl+BS/Eq,306,65,0
Mr. Mime Psy+SB/P,647,13,49
Meloetta (Aria) Cf+Psh/DG,360,39,0
Orbeetle Cf+Psh/BBu,602,0,34
Qwilfish (Hisuian) PJ+AT/DP,416,65,0
Ursaring SC+Sw/CC,451,65,0
Vaporeon WG+AT/Li,722,3,74
Zekrom DB+Cr/WC,91,65,0
Emboar E+BB/RS,620,0,40
Excadrill MS+DR/RS,291,55,0
Crawdaunt (Shadow) W+NS/Sc,740,3,80
Escavalier BBi+RSh/DR,357,55,0
Gurdurr LK+BkB/SE,334,52,0
Landorus (Therian) MS+SSt/SE,569,0,23
Magmar (Shadow) KC+FiP/ScS,710,3,70
Rhyperior MSl+DR/RW,454,52,0
Rhyperior (Shadow) MSl+DR/RW,509,26,3
Sceptile (Shadow) FC+LB/BkS,489,3,0
Deoxys (Defense) C+PB/RS,590,32,30
Heatran (Shadow) FS+MgS/EP,429,55,0
Lanturn Sp+S/Tb,329,55,0
Hitmontop C+CC/TAx,338,65,0
