Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,251,4,0
Lickilicky RO+BS/SB,323,17,0
Corviknight SdA+AC/Pbk,341,17,0
Tinkaton FW+GH/Bd,337,61,0
Corviknight (Shadow) SdA+AC/Pbk,409,17,0
Florges FW+CW/DV,430,4,0
Empoleon (Shadow) MSo+HC/DrlP,208,58,0
Virizion DK+LB/SSw,126,59,0
Empoleon MSo+HC/DrlP,306,16,0
Moltres (Galarian) SkP+Fl/BrB,572,4,24
Jellicent H+S/SB,298,30,0
Forretress VS+RT/ST,174,33,0
Zygarde (Complete Forme) DT+Cr/Eq,456,17,0
Feraligatr (Shadow) SC+HC/IB,449,4,0
Ninetales (Alolan) PS+WBI/CW,614,30,38
Forretress (Shadow) VS+RT/ST,208,33,0
Kingdra DB+S/Sw,202,46,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,560,4,20
Registeel LO+FC/FB,311,61,0
Dusknoir A+DyP/ShP,210,46,0
Lapras Psy+SpA/IB,617,10,39
Blastoise RO+HC/SkB,430,3,0
Dusknoir (Shadow) A+DyP/ShP,239,33,0
Talonflame I+Fl/BrB,786,81,95
Lapras (Shadow) Psy+SpA/IB,313,59,0
Malamar (Shadow) Psy+FoP/SP,219,33,0
Walrein (Shadow) PS+ISp/Eq,335,46,0
Dondozo W+S/O,548,6,16
Malamar Psy+FoP/SP,222,59,0
Regidrago DB+DrE/VG,181,33,0
Walrein PS+ISp/Eq,560,10,20
Giratina (Altered) DB+DC/SS,164,59,0
Bellibolt SkP+PbC/ZC,307,17,0
Annihilape LK+RF/CC,320,20,0
Talonflame (Shadow) I+Fl/BrB,816,55,105
Annihilape (Shadow) LK+RF/CC,143,20,0
Kingdra (Shadow) DB+S/Sw,241,46,0
Ninetales E+WBF/EB,449,4,0
Cresselia PC+GK/M,319,10,0
Milotic W+AT/Wr,333,10,0
Steelix TF+PsF/Eq,79,46,0
Cradily Ac+RT/GK,152,59,0
Giratina (Altered) (Shadow) DB+DC/SS,198,59,0
Seaking Pk+DR/IW,369,4,0
Swampert MS+HC/Eq,367,17,0
Feraligatr SC+HC/IB,380,4,0
Oranguru Cf+BrS/TBl,170,46,0
Runerigus SC+RT/SB,118,59,0
Steelix (Shadow) TF+PsF/Cr,67,20,0
Cradily (Shadow) Ac+RT/GK,188,59,0
Cresselia (Shadow) PC+GK/M,161,59,0
Ninetales (Shadow) E+WBF/EB,374,59,0
Ampharos (Shadow) VS+BrS/TBl,192,7,0
Clefable FW+MM/M,395,4,0
Milotic (Shadow) W+AT/Wr,233,59,0
Turtonator I+BrS/DC,327,59,0
Ampharos VS+BrS/TBl,183,0,0
Raikou (Shadow) TS+WC/AuS,215,7,0
Togekiss Pk+Psh/AuS,539,4,13
Hippowdon SdA+WBR/EP,440,4,0
Orthworm MSl+RT/Eq,217,43,0
Toucannon Pk+BBl/DrlP,386,33,0
Aromatisse FW+Psh/M,186,46,0
Golisopod FC+XS/AJ,347,46,0
Gyarados DB+AT/Tw,381,46,0
Toucannon (Shadow) Pk+BBl/DrlP,415,20,0
Hydreigon (Shadow) DB+BrS/Fl,216,7,0
Seismitoad MS+EP/IW,351,30,0
Hippowdon (Shadow) SdA+WBR/EP,135,46,0
Melmetal TS+DbI/DyP,144,59,0
Primarina W+DV/HC,608,10,36
Cobalion DK+SSw/SE,86,59,0
Guzzlord DT+BrS/DC,192,59,0
Samurott FC+HC/Mh,225,33,0
Tentacruel Ac+Sc/Pbk,476,3,0
Tentacruel (Shadow) Ac+Sc/Pbk,357,4,0
Blastoise (Shadow) RO+HC/IB,385,17,0
Sylveon FW+M/SB,387,4,0
Dudunsparce RO+BS/DR,533,10,11
Gyarados (Shadow) DB+AT/Tw,418,46,0
Aurorus PS+WBI/MeB,441,17,0
Dragalge DT+AT/O,193,33,0
Sandslash (Alolan) (Shadow) PS+IP/DR,265,52,0
Stunfisk TS+MB/D,116,46,0
Scizor (Shadow) BP+NS/TBl,288,33,0
Weezing (Galarian) FW+BrS/Sl,210,26,0
Goodra DB+AT/PW,172,20,0
Oinkologne (Female) MSl+BS/TBl,351,4,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,251,26,0
Gastrodon MSl+BS/EP,117,46,0
Kommo-o DT+ClS/UH,127,33,0
Ludicolo A+WBW/EB,184,46,0
Sandslash (Alolan) PS+IP/DR,342,16,0
Skeledirge I+TSo/SB,280,33,0
Swampert (Shadow) MS+HC/Eq,161,33,0
Aurorus (Shadow) PS+WBI/MeB,313,33,0
Cofagrigus SC+SB/DP,194,59,0
Crustle FC+XS/RW,300,33,0
Drapion PSt+Cr/AT,405,4,0
Samurott (Shadow) FC+HC/Mh,257,33,0
Drapion (Shadow) PSt+AT/Cr,261,59,0
Grumpig Psy+DyP/SB,181,46,0
Latias DB+MsB/AuS,227,46,0
Miltank RO+BS/IB,350,30,0
Stunfisk (Galarian) MS+RS/Eq,226,30,0
Articuno PS+IW/Hu,813,4,104
Politoed (Shadow) MS+WBW/Eq,203,46,0
Raikou TS+WC/AuS,185,7,0
Abomasnow (Shadow) PS+WBI/EB,366,26,0
Mandibuzz Sn+FoP/SB,554,1,18
Zapdos TS+DrlP/Tb,342,20,0
Kyurem DB+G/DC,298,33,0
Primeape KC+RF/CC,125,62,0
Grimmsnarl SkP+FoP/PR,247,46,0
Mewtwo (Armored) Cf+Pst/DyP,315,4,0
Bombirdier SkP+Fl/RT,572,4,24
Drifblim H+IW/SB,536,4,12
Grumpig (Shadow) Psy+DyP/SB,198,33,0
Nidoqueen MSl+PF/EP,138,46,0
Doublade SC+SSw/GB,138,46,0
Greedent MS+BS/TBl,160,46,0
Jirachi Cf+DD/AuS,162,59,0
Articuno (Shadow) PS+IW/Hu,792,94,97
Blaziken (Shadow) E+AuS/BB,318,46,0
Gourgeist (Super) I+SB/SeB,482,4,0
Politoed MS+WBW/Eq,321,10,0
Rapidash (Shadow) I+WC/DR,424,13,0
Primeape (Shadow) KC+RF/IP,176,0,0
Abomasnow PS+WBI/EB,325,59,0
Coalossal FS+RS/FmC,488,1,0
Crustle (Shadow) FC+XS/RW,336,33,0
Mantine WA+Tw/WP,479,4,0
Rapidash I+WC/DR,348,13,0
Trevenant (Shadow) SC+SB/SeB,214,20,0
Zapdos (Shadow) TS+DrlP/Tb,374,7,0
Drifblim (Shadow) H+SB/IW,277,33,0
Gourgeist (Average) I+SB/SeB,569,4,23
Gourgeist (Large) I+SB/SeB,593,4,31
Spiritomb SkP+SB/RT,385,17,0
Trevenant SC+SB/SeB,184,20,0
Nidoqueen (Shadow) MSl+PF/EP,138,46,0
Zeraora VS+PF/WC,244,0,0
Palossand A+SB/ST,142,46,0
Electrode (Hisuian) TS+WC/EB,183,20,0
Pelipper WA+WBW/Hu,316,33,0
Yveltal SkP+DP/ObW,572,4,24
Bronzong Cf+WBW/Pbk,134,59,0
Regirock LO+SE/FB,360,30,0
Slurpuff FW+EB/Ft,425,4,0
Tapu Fini WG+S/NM,492,23,0
Gliscor WA+Acr/NS,509,4,3
Greninja (Shadow) WSh+HC/NS,326,46,0
Hydreigon DB+BrS/DgP,226,33,0
Amoonguss (Shadow) A+FoP/GK,524,4,8
Pawmot TS+BkB/WC,175,20,0
Giratina (Origin) SC+SB/DgP,205,59,0
Latias (Shadow) DB+MsB/AuS,227,20,0
Lugia DT+A/Fl,472,4,0
Umbreon Sn+FoP/LR,358,36,0
Bellossom (Shadow) Ac+LB/DG,171,7,0
Genesect (Shock) FC+XS/TBS,267,33,0
Gourgeist (Small) I+SB/SeB,563,4,21
Machamp (Shadow) KC+CrC/RS,161,20,0
Magnezone VS+WC/MrS,174,13,0
Conkeldurr (Shadow) FPm+DyP/BrS,165,33,0
Regice LO+T/Bl,578,10,26
Registeel (Shadow) LO+FB/ZC,287,35,0
Oinkologne MSl+BS/TBl,181,46,0
Golurk (Shadow) A+ShP/DyP,171,33,0
Starmie (Shadow) Psy+AJ/PG,251,13,0
Typhlosion I+BB/TP,527,4,9
Dodrio Pk+DrlP/BrB,397,33,0
Genesect (Burn) FC+XS/TBB,291,46,0
Perrserker SC+CC/FoP,311,59,0
Solrock Psy+WBF/RS,204,46,0
Electivire TS+WC/IP,228,7,0
Gogoat VW+LB/RS,151,7,0
Lucario FPm+AuS/SB,131,46,0
Toedscruel MSl+SeB/EP,112,46,0
Typhlosion (Shadow) I+BB/TP,480,39,0
Blaziken E+AuS/BB,279,46,0
Magnezone (Shadow) VS+WC/MrS,125,49,0
Cofagrigus (Shadow) SC+SB/DP,241,59,0
Throh (Shadow) LK+BkB/BS,348,4,0
Camerupt I+EP/RT,264,59,0
Decidueye A+FP/SSh,241,46,0
Gallade (Shadow) PC+CC/LB,139,62,0
Gholdengo H+SB/PG,170,46,0
Lunatone Psy+WBI/RS,204,46,0
Armarouge I+Psh/FmC,575,4,25
Reshiram DB+FuF/DM,434,59,0
Skuntank PJ+Cr/TBl,431,4,0
Victreebel (Shadow) Ac+LB/SlB,221,7,0
Pangoro KC+CC/NS,193,39,0
Skuntank (Shadow) PJ+Cr/TBl,240,46,0
Starmie Psy+AJ/PG,211,33,0
Bellossom Ac+LB/DG,190,46,0
Decidueye (Hisuian) PC+AuS/TBl,164,59,0
Flygon (Shadow) DT+Tw/ST,160,20,0
Garganacl MS+RT/RB,355,1,0
Gliscor (Shadow) WA+Acr/NS,225,33,0
Victreebel Ac+LB/SlB,194,7,0
Cetitan PS+ISp/SP,554,17,18
Mew SC+Psh/WC,204,13,0
Sandslash SdA+NS/RT,414,4,0
Charizard DB+BB/AC,629,75,43
Raichu TS+BkB/WC,197,7,0
Slowbro Cf+DrP/IB,271,3,0
Toxicroak PSt+DyP/SB,446,4,0
Toxicroak (Shadow) PSt+DyP/SB,183,26,0
Amoonguss A+FoP/GK,493,4,0
Electivire (Shadow) TS+WC/IP,260,7,0
Flamigo WA+UH/BrB,248,33,0
Avalugg IF+IW/Cr,716,10,72
Flygon DT+Tw/ST,524,4,8
Golurk A+ShP/DyP,138,33,0
Incineroar Sn+BrS/BB,350,59,0
