Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,572,4,26
Abomasnow (Shadow) PS+WBI/EB,322,54,0
Absol PC+BrS/Mh,527,4,10
Absol (Shadow) PC+BrS/Mh,285,30,0
Accelgor WSh+EB/BBu,544,4,16
Accelgor (Shadow) WSh+EB/BBu,290,46,0
Aegislash (Shield) PC+SB/FC,302,42,0
Aerodactyl DB+RS/EP,658,4,57
Aerodactyl (Shadow) DB+RS/EP,594,4,34
Aggron DT+RT/T,390,2,0
Aggron (Shadow) DT+RT/T,452,2,0
Alakazam PC+FiP/SB,647,4,53
Alakazam (Shadow) PC+FiP/SB,669,4,61
Alomomola W+HP/Bl,708,2,75
Altaria DB+SA/Ft,630,52,47
Altaria (Shadow) DB+SA/Ft,638,4,50
Ambipom A+AA/Re,769,4,97
Ambipom (Shadow) A+AA/LS,622,4,44
Amoonguss A+FoP/GK,613,2,41
Amoonguss (Shadow) A+FoP/GK,558,52,21
Ampharos VS+BrS/TBl,536,36,13
Ampharos (Shadow) VS+BrS/TBl,672,4,62
Annihilape LK+RF/CC,113,30,0
Annihilape (Shadow) LK+RF/CC,113,30,0
Appletun A+EB/O,675,20,63
Araquanid BBi+WP/BBu,487,36,0
Araquanid (Shadow) BBi+WP/BBu,655,4,56
Arbok Ac+DP/SW,600,2,36
Arbok (Shadow) Ac+DP/SW,652,20,55
Arboliva ML+EP/TBl,647,4,53
Arcanine Sn+Cr/Ft,725,4,81
Arcanine (Hisuian) Sn+RS/Cr,755,4,92
Arcanine (Shadow) FF+WC/PsF,672,4,62
Archeops WA+AP/Cr,663,4,59
Archeops (Shadow) WA+AP/Cr,602,4,37
Arctibax DB+Av/DC,511,4,4
Armaldo FC+RB/Li,566,4,24
Armaldo (Shadow) FC+RB/Li,165,46,0
Armarouge I+Psh/FmC,613,4,41
Aromatisse FW+Psh/M,661,12,58
Articuno PS+IW/Hu,465,36,0
Articuno (Galarian) PC+Fl/BrB,713,4,77
Articuno (Shadow) PS+IW/Hu,513,4,5
Audino ZH+BS/DV,852,2,127
Aurorus PS+WBI/MeB,457,12,0
Aurorus (Shadow) PS+WBI/MeB,114,46,0
Avalugg IF+IW/Cr,362,12,0
Avalugg (Hisuian) PS+RS/IW,357,28,0
Azelf Cf+Sw/FS,669,4,61
Azumarill B+PR/IB,883,4,138
Banette SC+SB/DG,552,4,19
Banette (Shadow) SC+SB/DG,226,54,0
Barbaracle FC+CrC/SE,605,4,38
Basculin WG+AT/AJ,666,4,60
Bastiodon SD+SE/Ft,577,0,28
Bastiodon (Shadow) SD+SE/Ft,502,0,1
Baxcalibur DB+GlR/Av,222,46,0
Beartic PS+IP/Li,513,4,5
Beedrill PSt+DR/XS,688,4,68
Beedrill (Shadow) PSt+DR/XS,633,4,48
Beheeyem Cf+RS/DP,772,4,98
Bellibolt SkP+PbC/ZC,547,2,17
Bellossom Ac+LB/DG,597,20,35
Bellossom (Shadow) Ac+LB/DG,683,4,66
Bewear SC+SP/St,183,46,0
Bewear (Shadow) SC+SP/St,243,46,0
Bibarel RO+S/HF,761,4,94
Bibarel (Shadow) RO+S/HF,711,4,76
Bisharp Sn+DP/IH,328,44,0
Blacephalon I+MdB/SB,188,30,0
Blastoise RO+HC/SkB,733,20,84
Blastoise (Shadow) RO+HC/IB,625,4,45
Blaziken E+AuS/BB,580,4,29
Blaziken (Shadow) E+AuS/BB,508,4,3
Blissey ZH+WC/DG,733,6,84
Boldore MSl+RS/Bd,808,4,111
Boldore (Shadow) MSl+RS/Bd,769,4,97
Boltund Sp+Cr/T,763,4,95
Bombirdier SkP+Fl/RT,583,20,30
Bouffalant MS+St/Eq,625,2,45
Braviary AS+Fl/CC,794,4,106
Braviary (Hisuian) AS+BrB/Fl,808,4,111
Breloom FPm+DyP/GK,440,54,0
Brionne WG+AJ/DV,805,4,110
Bronzong Cf+WBW/Pbk,365,2,0
Bruxish Cf+AT/PsF,625,4,45
Buzzwole C+SP/Lu,439,12,0
Cacturne SkP+DyP/TBl,428,54,0
Cacturne (Shadow) SkP+DyP/TBl,669,54,61
Camerupt I+EP/RT,436,36,0
Camerupt (Shadow) I+EP/RT,168,54,0
Carbink RTh+RS/M,797,36,107
Carnivine VW+EB/Cr,686,4,67
Carracosta RTh+BS/AP,761,4,94
Carracosta (Shadow) RTh+BS/Li,725,4,81
Celebi Cf+SeB/AuS,566,20,24
Celesteela AS+BS/Bd,669,10,61
Centiskorch E+HW/Lu,688,4,68
Ceruledge I+SB/FmC,547,4,17
Cetitan PS+ISp/SP,525,20,9
Chandelure FS+SB/FmC,719,4,79
Chandelure (Shadow) I+SB/FmC,220,54,0
Chansey ZH+DG/P,855,0,128
Charizard DB+BB/AC,588,4,32
Charizard (Shadow) DB+BB/AC,511,4,4
Cherrim (Overcast) BS+DG/SoB,894,4,142
Cherrim (Sunshine) BS+WBF/SoB,800,4,108
Chesnaught LK+FP/SP,425,4,0
