Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,214,12,0
Lickilicky RO+BS/SB,426,7,0
Corviknight SdA+AC/Pbk,313,13,0
Tinkaton FW+GH/Bd,325,34,0
Corviknight (Shadow) SdA+AC/Pbk,308,9,0
Florges FW+CW/DV,589,7,37
Empoleon (Shadow) MSo+HC/DrlP,414,30,0
Virizion DK+LB/SSw,647,11,61
Empoleon MSo+HC/DrlP,325,48,0
Moltres (Galarian) SkP+Fl/BrB,348,1,0
Jellicent H+S/SB,364,12,0
Forretress VS+RT/ST,223,18,0
Zygarde (Complete Forme) DT+Cr/Eq,446,36,0
Feraligatr (Shadow) SC+HC/IB,514,3,6
Ninetales (Alolan) PS+WBI/CW,382,57,0
Forretress (Shadow) VS+RT/ST,220,54,0
Kingdra DB+S/Sw,372,30,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,424,12,0
Registeel LO+FC/FB,397,38,0
Dusknoir A+DyP/ShP,222,53,0
Lapras Psy+SpA/IB,642,7,59
Blastoise RO+HC/SkB,589,7,37
Dusknoir (Shadow) A+DyP/ShP,222,53,0
Talonflame I+Fl/BrB,392,1,0
Lapras (Shadow) Psy+SpA/IB,441,57,0
Malamar (Shadow) Psy+FoP/SP,252,30,0
Walrein (Shadow) PS+ISp/Eq,485,30,0
Dondozo W+S/O,628,7,53
Malamar Psy+FoP/SP,222,30,0
Regidrago DB+DrE/VG,441,9,0
Walrein PS+ISp/Eq,467,57,0
Giratina (Altered) DB+DC/SS,367,45,0
Bellibolt SkP+PbC/ZC,282,39,0
Annihilape LK+RF/CC,480,12,0
Talonflame (Shadow) I+Fl/BrB,422,1,0
Annihilape (Shadow) LK+RF/CC,664,3,68
Kingdra (Shadow) DB+S/Sw,457,21,0
Ninetales E+WBF/EB,443,25,0
Cresselia PC+GK/M,526,6,11
Milotic W+AT/Wr,432,48,0
Steelix TF+PsF/Eq,398,52,0
Cradily Ac+RT/GK,397,6,0
Giratina (Altered) (Shadow) DB+DC/SS,193,51,0
Seaking Pk+DR/IW,584,7,35
Swampert MS+HC/Eq,736,3,98
Feraligatr SC+HC/IB,474,30,0
Oranguru Cf+BrS/TBl,428,34,0
Runerigus SC+RT/SB,316,12,0
Steelix (Shadow) TF+PsF/Cr,441,43,0
Cradily (Shadow) Ac+RT/GK,488,6,0
Cresselia (Shadow) PC+GK/M,584,2,35
Ninetales (Shadow) E+WBF/EB,389,39,0
Ampharos (Shadow) VS+BrS/TBl,440,12,0
Clefable FW+MM/M,507,7,3
Milotic (Shadow) W+AT/Wr,497,12,0
Turtonator I+BrS/DC,359,0,0
Ampharos VS+BrS/TBl,405,12,0
Raikou (Shadow) TS+WC/AuS,830,3,137
Togekiss Pk+Psh/AuS,562,36,26
Hippowdon SdA+WBR/EP,545,57,19
Orthworm MSl+RT/Eq,331,2,0
Toucannon Pk+BBl/DrlP,649,2,62
Aromatisse FW+Psh/M,640,7,58
Golisopod FC+XS/AJ,177,44,0
Gyarados DB+AT/Tw,487,57,0
Toucannon (Shadow) Pk+BBl/DrlP,273,53,0
Hydreigon (Shadow) DB+BrS/Fl,286,12,0
Seismitoad MS+EP/IW,714,3,89
Hippowdon (Shadow) SdA+WBR/EP,637,12,57
Melmetal TS+DbI/DyP,414,25,0
Primarina W+DV/HC,756,3,106
Cobalion DK+SSw/SE,536,2,15
Guzzlord DT+BrS/DC,177,1,0
Samurott FC+HC/Mh,200,53,0
Tentacruel Ac+Sc/Pbk,637,7,57
Tentacruel (Shadow) Ac+Sc/Pbk,452,21,0
Blastoise (Shadow) RO+HC/IB,693,21,80
Sylveon FW+M/SB,369,57,0
Dudunsparce RO+BS/DR,521,7,9
Gyarados (Shadow) DB+AT/Tw,465,12,0
Aurorus PS+WBI/MeB,436,39,0
Dragalge DT+AT/O,586,20,36
Sandslash (Alolan) (Shadow) PS+IP/DR,246,30,0
Stunfisk TS+MB/D,637,7,57
Scizor (Shadow) BP+NS/TBl,372,20,0
Weezing (Galarian) FW+BrS/Sl,594,29,39
Goodra DB+AT/PW,437,0,0
Oinkologne (Female) MSl+BS/TBl,497,7,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,512,11,5
Gastrodon MSl+BS/EP,705,3,85
Kommo-o DT+ClS/UH,577,12,32
Ludicolo A+WBW/EB,330,12,0
Sandslash (Alolan) PS+IP/DR,358,25,0
Skeledirge I+TSo/SB,300,3,0
Swampert (Shadow) MS+HC/Eq,615,3,48
Aurorus (Shadow) PS+WBI/MeB,584,21,35
Cofagrigus SC+SB/DP,352,12,0
Crustle FC+XS/RW,176,53,0
Drapion PSt+Cr/AT,238,10,0
Samurott (Shadow) FC+HC/Mh,248,53,0
Drapion (Shadow) PSt+AT/Cr,300,1,0
Grumpig Psy+DyP/SB,444,16,0
Latias DB+MsB/AuS,430,27,0
Miltank RO+BS/IB,463,34,0
Stunfisk (Galarian) MS+RS/Eq,392,52,0
Articuno PS+IW/Hu,268,45,0
Politoed (Shadow) MS+WBW/Eq,623,21,51
Raikou TS+WC/AuS,640,100,58
Abomasnow (Shadow) PS+WBI/EB,325,12,0
Mandibuzz Sn+FoP/SB,206,9,0
Zapdos TS+DrlP/Tb,652,2,63
Kyurem DB+G/DC,309,20,0
Primeape KC+RF/CC,531,3,13
Grimmsnarl SkP+FoP/PR,103,53,0
Mewtwo (Armored) Cf+Pst/DyP,584,2,35
Bombirdier SkP+Fl/RT,187,1,0
Drifblim H+IW/SB,152,42,0
Grumpig (Shadow) Psy+DyP/SB,502,7,1
Nidoqueen MSl+PF/EP,477,2,0
