Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,437,35,0
Lickilicky RO+BS/SB,622,5,52
Corviknight SdA+AC/Pbk,354,10,0
Tinkaton FW+GH/Bd,825,0,138
Corviknight (Shadow) SdA+AC/Pbk,284,5,0
Florges FW+CW/DV,672,0,73
Empoleon (Shadow) MSo+HC/DrlP,863,100,154
Virizion DK+LB/SSw,145,20,0
Empoleon MSo+HC/DrlP,660,5,68
Moltres (Galarian) SkP+Fl/BrB,300,10,0
Jellicent H+S/SB,443,0,0
Forretress VS+RT/ST,665,20,70
Zygarde (Complete Forme) DT+Cr/Eq,511,5,5
Feraligatr (Shadow) SC+HC/IB,523,15,10
Ninetales (Alolan) PS+WBI/CW,484,0,0
Forretress (Shadow) VS+RT/ST,738,0,101
Kingdra DB+S/Sw,454,25,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,542,0,18
Registeel LO+FC/FB,771,30,115
Dusknoir A+DyP/ShP,500,10,0
Lapras Psy+SpA/IB,380,30,0
Blastoise RO+HC/SkB,487,0,0
Dusknoir (Shadow) A+DyP/ShP,331,40,0
Talonflame I+Fl/BrB,615,0,49
Lapras (Shadow) Psy+SpA/IB,406,25,0
Malamar (Shadow) Psy+FoP/SP,341,40,0
Walrein (Shadow) PS+ISp/Eq,445,15,0
Dondozo W+S/O,417,40,0
Malamar Psy+FoP/SP,573,10,31
Regidrago DB+DrE/VG,443,25,0
Walrein PS+ISp/Eq,390,25,0
Giratina (Altered) DB+DC/SS,404,10,0
Bellibolt SkP+PbC/ZC,740,0,102
Annihilape LK+RF/CC,601,0,43
Talonflame (Shadow) I+Fl/BrB,530,0,13
Annihilape (Shadow) LK+RF/CC,337,30,0
Kingdra (Shadow) DB+S/Sw,366,40,0
Ninetales E+WBF/EB,518,5,8
Cresselia PC+GK/M,367,15,0
Milotic W+AT/Wr,380,15,0
Steelix TF+PsF/Eq,775,0,117
Cradily Ac+RT/GK,238,30,0
Giratina (Altered) (Shadow) DB+DC/SS,457,5,0
Seaking Pk+DR/IW,639,25,59
Swampert MS+HC/Eq,688,0,80
Feraligatr SC+HC/IB,484,25,0
Oranguru Cf+BrS/TBl,357,15,0
Runerigus SC+RT/SB,485,10,0
Steelix (Shadow) TF+PsF/Cr,716,0,92
Cradily (Shadow) Ac+RT/GK,313,0,0
Cresselia (Shadow) PC+GK/M,294,5,0
Ninetales (Shadow) E+WBF/EB,427,40,0
Ampharos (Shadow) VS+BrS/TBl,830,100,140
Clefable FW+MM/M,573,20,31
Milotic (Shadow) W+AT/Wr,406,5,0
Turtonator I+BrS/DC,655,5,66
Ampharos VS+BrS/TBl,811,5,132
Raikou (Shadow) TS+WC/AuS,882,90,162
Togekiss Pk+Psh/AuS,379,10,0
Hippowdon SdA+WBR/EP,820,0,136
Orthworm MSl+RT/Eq,768,0,114
Toucannon Pk+BBl/DrlP,314,5,0
Aromatisse FW+Psh/M,577,10,33
Golisopod FC+XS/AJ,351,25,0
Gyarados DB+AT/Tw,278,15,0
Toucannon (Shadow) Pk+BBl/DrlP,179,25,0
Hydreigon (Shadow) DB+BrS/Fl,446,40,0
Seismitoad MS+EP/IW,665,10,70
Hippowdon (Shadow) SdA+WBR/EP,511,0,5
Melmetal TS+DbI/DyP,754,5,108
Primarina W+DV/HC,469,5,0
Cobalion DK+SSw/SE,688,15,80
Guzzlord DT+BrS/DC,379,25,0
Samurott FC+HC/Mh,504,10,2
Tentacruel Ac+Sc/Pbk,825,15,138
Tentacruel (Shadow) Ac+Sc/Pbk,834,5,142
Blastoise (Shadow) RO+HC/IB,475,10,0
Sylveon FW+M/SB,655,0,66
Dudunsparce RO+BS/DR,646,10,62
Gyarados (Shadow) DB+AT/Tw,325,5,0
Aurorus PS+WBI/MeB,615,0,49
Dragalge DT+AT/O,525,5,11
Sandslash (Alolan) (Shadow) PS+IP/DR,747,100,105
Stunfisk TS+MB/D,787,0,122
Scizor (Shadow) BP+NS/TBl,643,5,61
Weezing (Galarian) FW+BrS/Sl,641,5,60
Goodra DB+AT/PW,271,30,0
Oinkologne (Female) MSl+BS/TBl,406,0,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,721,100,94
Gastrodon MSl+BS/EP,481,10,0
Kommo-o DT+ClS/UH,437,40,0
Ludicolo A+WBW/EB,303,5,0
Sandslash (Alolan) PS+IP/DR,641,5,60
Skeledirge I+TSo/SB,797,5,126
Swampert (Shadow) MS+HC/Eq,610,0,47
Aurorus (Shadow) PS+WBI/MeB,582,5,35
Cofagrigus SC+SB/DP,496,10,0
Crustle FC+XS/RW,596,0,41
Drapion PSt+Cr/AT,731,5,98
Samurott (Shadow) FC+HC/Mh,754,5,108
Drapion (Shadow) PSt+AT/Cr,716,100,92
Grumpig Psy+DyP/SB,535,0,15
Latias DB+MsB/AuS,444,5,0
Miltank RO+BS/IB,577,5,33
Stunfisk (Galarian) MS+RS/Eq,867,0,156
Articuno PS+IW/Hu,115,30,0
Politoed (Shadow) MS+WBW/Eq,475,25,0
Raikou TS+WC/AuS,896,65,168
Abomasnow (Shadow) PS+WBI/EB,196,30,0
Mandibuzz Sn+FoP/SB,323,5,0
Zapdos TS+DrlP/Tb,518,10,8
Kyurem DB+G/DC,298,40,0
Primeape KC+RF/CC,418,40,0
Grimmsnarl SkP+FoP/PR,634,5,57
Mewtwo (Armored) Cf+Pst/DyP,466,30,0
Bombirdier SkP+Fl/RT,332,10,0
Drifblim H+IW/SB,345,0,0
Grumpig (Shadow) Psy+DyP/SB,441,5,0
Nidoqueen MSl+PF/EP,683,5,78
Doublade SC+SSw/GB,655,5,66
Greedent MS+BS/TBl,302,5,0
Jirachi Cf+DD/AuS,712,5,90
Articuno (Shadow) PS+IW/Hu,143,30,0
Blaziken (Shadow) E+AuS/BB,900,80,170
Gourgeist (Super) I+SB/SeB,214,40,0
Politoed MS+WBW/Eq,445,35,0
Rapidash (Shadow) I+WC/DR,844,45,146
Primeape (Shadow) KC+RF/IP,493,40,0
Abomasnow PS+WBI/EB,169,30,0
Coalossal FS+RS/FmC,752,5,107
Crustle (Shadow) FC+XS/RW,416,5,0
Mantine WA+Tw/WP,328,0,0
Rapidash I+WC/DR,841,100,145
Trevenant (Shadow) SC+SB/SeB,244,30,0
Zapdos (Shadow) TS+DrlP/Tb,615,0,49
Drifblim (Shadow) H+SB/IW,147,40,0
Gourgeist (Average) I+SB/SeB,244,40,0
Gourgeist (Large) I+SB/SeB,227,40,0
Spiritomb SkP+SB/RT,599,20,42
Trevenant SC+SB/SeB,184,0,0
Nidoqueen (Shadow) MSl+PF/EP,712,100,90
Zeraora VS+PF/WC,853,100,150
Palossand A+SB/ST,328,5,0
Electrode (Hisuian) TS+WC/EB,323,30,0
Pelipper WA+WBW/Hu,320,10,0
Yveltal SkP+DP/ObW,305,20,0
Bronzong Cf+WBW/Pbk,608,15,46
Regirock LO+SE/FB,792,0,124
Slurpuff FW+EB/Ft,264,30,0
Tapu Fini WG+S/NM,683,0,78
Gliscor WA+Acr/NS,423,0,0
Greninja (Shadow) WSh+HC/NS,563,5,27
Hydreigon DB+BrS/DgP,373,40,0
Amoonguss (Shadow) A+FoP/GK,454,0,0
Pawmot TS+BkB/WC,766,90,113
Giratina (Origin) SC+SB/DgP,451,10,0
Latias (Shadow) DB+MsB/AuS,371,40,0
Lugia DT+A/Fl,210,5,0
Umbreon Sn+FoP/LR,461,10,0
Bellossom (Shadow) Ac+LB/DG,171,20,0
Genesect (Shock) FC+XS/TBS,488,5,0
Gourgeist (Small) I+SB/SeB,250,30,0
Machamp (Shadow) KC+CrC/RS,450,40,0
Magnezone VS+WC/MrS,903,60,171
Conkeldurr (Shadow) FPm+DyP/BrS,421,40,0
Regice LO+T/Bl,615,5,49
Registeel (Shadow) LO+FB/ZC,908,0,173
Oinkologne MSl+BS/TBl,375,5,0
Golurk (Shadow) A+ShP/DyP,436,40,0
Starmie (Shadow) Psy+AJ/PG,377,30,0
Typhlosion I+BB/TP,841,65,145
Dodrio Pk+DrlP/BrB,312,5,0
Genesect (Burn) FC+XS/TBB,488,5,0
Perrserker SC+CC/FoP,818,100,135
Solrock Psy+WBF/RS,658,5,67
Electivire TS+WC/IP,910,90,174
Gogoat VW+LB/RS,151,20,0
Lucario FPm+AuS/SB,714,90,91
Toedscruel MSl+SeB/EP,334,0,0
Typhlosion (Shadow) I+BB/TP,808,90,131
Blaziken E+AuS/BB,910,90,174
Magnezone (Shadow) VS+WC/MrS,893,60,167
Cofagrigus (Shadow) SC+SB/DP,698,0,84
Throh (Shadow) LK+BkB/BS,575,0,32
Camerupt I+EP/RT,830,100,140
Decidueye A+FP/SSh,261,30,0
Gallade (Shadow) PC+CC/LB,338,10,0
Gholdengo H+SB/PG,844,100,146
Lunatone Psy+WBI/RS,650,5,64
Armarouge I+Psh/FmC,841,65,145
Reshiram DB+FuF/DM,733,20,99
Skuntank PJ+Cr/TBl,761,5,111
Victreebel (Shadow) Ac+LB/SlB,356,20,0
Pangoro KC+CC/NS,632,15,56
Skuntank (Shadow) PJ+Cr/TBl,813,100,133
Starmie Psy+AJ/PG,514,5,6
Bellossom Ac+LB/DG,174,40,0
Decidueye (Hisuian) PC+AuS/TBl,189,30,0
Flygon (Shadow) DT+Tw/ST,345,30,0
Garganacl MS+RT/RB,761,20,111
Gliscor (Shadow) WA+Acr/NS,152,40,0
Victreebel Ac+LB/SlB,302,20,0
Cetitan PS+ISp/SP,625,0,53
Mew SC+Psh/WC,629,0,55
Sandslash SdA+NS/RT,646,0,62
Charizard DB+BB/AC,573,0,31
Raichu TS+BkB/WC,778,100,118
Slowbro Cf+DrP/IB,411,0,0
Toxicroak PSt+DyP/SB,896,100,168
Toxicroak (Shadow) PSt+DyP/SB,891,45,166
Amoonguss A+FoP/GK,371,15,0
Electivire (Shadow) TS+WC/IP,891,45,166
Flamigo WA+UH/BrB,317,5,0
Avalugg IF+IW/Cr,405,30,0
Flygon DT+Tw/ST,599,0,42
Golurk A+ShP/DyP,421,5,0
Incineroar Sn+BrS/BB,752,5,107
Torterra MSl+FP/ST,305,5,0
Victini Cf+VC/Psh,712,5,90
Genesect (Chill) FC+XS/TBC,488,5,0
Meganium (Shadow) VW+FP/Eq,183,30,0
Morpeko (Full Belly) TS+AuW/PsF,766,80,113
Palkia (Origin) DB+AT/DM,674,5,74
Venusaur VW+FP/Sl,289,30,0
Venusaur (Shadow) VW+FP/Sl,289,20,0
Xerneas Geo+CC/M,563,5,27
Dhelmise SC+SB/BrS,224,15,0
Heracross FC+UH/RT,361,5,0
Palkia DB+AT/DM,674,5,74
Blacephalon I+MdB/SB,877,60,160
Conkeldurr FPm+DyP/BrS,488,5,0
Latios (Shadow) DB+AuS/LrP,427,30,0
Zygarde (50% Forme) DT+Cr/Eq,424,35,0
Dragonite (Shadow) DB+TP/SP,337,30,0
Genesect (Douse) FC+XS/TBD,488,5,0
Machamp KC+CrC/RS,381,40,0
Ferrothorn BS+PW/FC,362,0,0
Hawlucha LK+FlP/AA,367,10,0
Charizard (Shadow) DB+BB/AC,261,40,0
Dubwool DK+BS/Pbk,584,20,36
Gallade PC+CC/LB,278,10,0
Scizor BP+NS/TBl,456,5,0
Slowbro (Shadow) Cf+DrP/IB,387,10,0
Wailord RO+S/Bl,606,0,45
Raichu (Alolan) TS+TBl/WC,879,100,161
Thievul SkP+NS/PR,544,0,19
Uxie Cf+Sw/FS,426,0,0
Ferrothorn (Shadow) BS+PW/FC,346,5,0
Garchomp (Shadow) DT+ST/Tw,376,30,0
Meganium VW+FP/Eq,257,5,0
Scrafty C+FoP/TP,530,20,13
Greninja WSh+HC/NS,627,5,54
Throh LK+FB/BS,364,15,0
Vikavolt (Shadow) VS+XS/D,797,75,126
Roserade PSt+WBF/LfS,334,20,0
Snorlax L+BS/Eq,457,30,0
Altaria DB+SA/Ft,335,20,0
Baxcalibur DB+GlR/Av,375,40,0
Gengar (Shadow) SC+ShP/SB,806,25,130
Salamence (Shadow) DT+Fl/BrS,205,30,0
Clodsire PSt+SE/Eq,910,0,174
Barbaracle FC+CrC/SE,622,5,52
Lurantis Lf+LB/SP,181,20,0
Drampa DB+Sw/DgP,375,40,0
Poliwrath (Shadow) C+IW/Sc,528,0,12
Thundurus (Incarnate) (Shadow) TS+TP/BkB,674,5,74
Ursaring (Shadow) SC+Sw/CC,432,30,0
Dialga (Origin) DB+ROT/IH,740,100,102
Galvantula VS+D/Lu,806,0,130
Garchomp DT+ST/Tw,568,15,29
Latios DB+AuS/LrP,674,5,74
Lokix SkP+XS/TBl,537,0,16
Overqwil PJ+AT/DP,818,100,135
Shelgon (Shadow) DB+Tw/Ft,412,40,0
Sliggoo DB+BS/DgP,533,10,14
Camerupt (Shadow) I+EP/RT,846,80,147
Centiskorch E+HW/Lu,726,0,96
Regirock (Shadow) LO+SE/FB,766,15,113
Noctowl WA+SB/Re,308,5,0
Toxtricity Ac+WC/PUP,903,60,171
Kingambit MSo+FoP/FB,853,100,150
Torterra (Shadow) MSl+FP/ST,358,5,0
Altaria (Shadow) DB+SA/Ft,408,10,0
Magneton (Shadow) VS+MgB/D,912,50,175
Poliwrath C+IW/Sc,398,30,0
Hariyama FPm+UH/HS,437,5,0
Shelgon DB+Tw/Ft,584,0,36
Suicune IF+IB/Sc,497,5,0
Marshadow SC+CC/TP,394,25,0
Metagross SC+MM/Eq,783,100,120
Piloswine PS+Av/ISp,582,0,35
Ceruledge I+SB/FmC,823,100,137
Chesnaught (Shadow) LK+FP/SP,335,5,0
Pidgeot WA+Tw/BrB,250,0,0
Reshiram (Shadow) DB+FuF/DM,780,80,119
Torkoal E+FW/Ov,790,5,123
Gigalith LO+SP/MeB,719,100,93
Piloswine (Shadow) PS+Av/ISp,369,25,0
Slowbro (Galarian) Cf+DrP/SlB,676,0,75
Tapu Lele A+NM/Psh,709,5,89
Tyranitar DB+BrS/SE,653,100,65
Excadrill (Shadow) MS+DR/RS,900,80,170
Galvantula (Shadow) VS+D/Lu,768,5,114
Urshifu (Single Strike) SkP+Pbk/DyP,634,5,57
Chesnaught LK+FP/SP,279,5,0
Quaquaval LK+CC/HC,518,5,8
Dragonite DB+TP/SP,293,5,0
Snorlax (Shadow) L+BS/Eq,575,20,32
Arctibax DB+Av/DC,518,25,8
Muk (Shadow) PJ+DP/TP,818,100,135
Tyranitar (Shadow) DB+BrS/SE,818,90,135
Glalie PS+Av/SB,566,0,28
Hariyama (Shadow) FPm+UH/HS,580,5,34
Ho-Oh I+BrB/SF,797,0,126
Pidgeot (Shadow) WA+BrB/Tw,292,5,0
Mamoswine PS+ISp/HH,556,5,24
Arcanine (Shadow) FF+WC/PsF,785,90,121
Volcanion I+Sc/Ov,830,100,140
Enamorus (Therian) FW+MF/M,324,0,0
Palkia (Shadow) DB+AT/DM,511,5,5
Salamence DT+Fl/BrS,354,15,0
Sinistcha A+SB/EB,338,10,0
Vikavolt VS+XS/Fl,806,5,130
Chimecho A+Psh/SB,556,0,24
Druddigon DT+NS/RT,634,15,57
Hypno Cf+TP/SB,494,0,0
Qwilfish (Shadow) PSt+AT/SB,924,80,180
Glalie (Shadow) PS+Av/SB,485,5,0
Magneton VS+MgB/D,903,60,171
Samurott (Hisuian) FC+IW/DP,455,35,0
Scolipede (Shadow) PSt+AT/Mh,525,5,11
Avalugg (Hisuian) PS+RS/IW,625,0,53
Leavanny SC+LB/XS,121,20,0
Gengar SC+ShP/SB,806,80,130
Keldeo (Resolute) LK+SeS/AJ,591,5,39
Sandaconda MSl+EP/Wr,650,0,64
Serperior VW+FP/AA,174,40,0
Weezing (Shadow) RO+SlB/SB,900,100,170
Metagross (Shadow) SC+MM/Eq,797,90,126
Kartana FC+LB/SSw,495,5,0
Kilowattrel TS+Acr/AA,712,0,90
Machoke (Shadow) KC+CrC/DyP,453,40,0
Xatu (Shadow) Pk+Psh/SB,191,25,0
Dewgong IS+IW/DR,419,20,0
Electrode (Shadow) VS+FoP/D,877,90,160
Genesect FC+XS/TBN,488,5,0
Mamoswine (Shadow) PS+ISp/HH,433,25,0
Rapidash (Galarian) FW+BS/WC,554,15,23
Muk PJ+TP/DP,834,5,142
Tauros (Aqua) DK+AJ/TBl,456,5,0
Fearow Pk+DrlP/DR,372,25,0
Mudsdale MSl+BS/Eq,580,0,34
Swanna (Shadow) G+AJ/Fl,350,15,0
Weezing RO+SlB/SB,891,5,166
Zoroark (Hisuian) SC+SB/FoP,712,100,90
Bruxish Cf+AT/PsF,646,5,62
Wyrdeer Cf+WC/St,693,0,82
Dialga DB+IH/DM,733,20,99
Kabutops FC+AJ/SE,797,100,126
Lugia (Shadow) DT+Fl/FS,225,10,0
Rayquaza DT+BkS/DrA,357,5,0
Regieleki VS+ThC/HB,865,80,155
Scolipede PSt+AT/Mh,757,15,109
Wailord (Shadow) RO+Sc/Bl,617,25,50
Dachsbun Ch+BS/PsF,568,10,29
Heatran FS+MgS/EP,898,70,169
Regice (Shadow) LO+T/Bl,896,20,168
Slowking (Galarian) Ac+S/SB,834,5,142
Swanna G+AJ/Fl,323,15,0
Tapu Koko VS+Tb/NM,841,90,145
Alomomola W+HP/Bl,570,10,30
Dipplin DT+SeB/O,263,5,0
Electabuzz (Shadow) TS+TP/Tb,882,55,162
Golem (Alolan) (Shadow) VS+WC/RB,893,70,167
Sandslash (Shadow) MS+NS/RT,613,15,48
Whiscash MS+MB/Sc,679,0,76
Cinderace FS+BB/PB,844,100,146
Delphox FS+Psh/BB,825,65,138
Delphox (Shadow) FS+Psh/BB,827,90,139
Relicanth WG+AT/AP,634,0,57
Xatu Pk+Psh/SB,302,15,0
Magmar KC+FiP/ScS,830,100,140
Solgaleo FS+PsF/IH,747,100,105
Donphan MSl+BS/Eq,580,0,34
Mr. Mime Psy+SB/P,674,5,74
Meloetta (Aria) Cf+Psh/DG,693,0,82
Orbeetle Cf+Psh/BBu,345,10,0
Qwilfish (Hisuian) PJ+AT/DP,841,100,145
Ursaring SC+Sw/CC,629,5,55
Vaporeon WG+AT/Li,573,0,31
Zekrom DB+Cr/WC,740,20,102
Emboar E+BB/RS,903,100,171
Excadrill MS+DR/RS,882,90,162
Crawdaunt (Shadow) W+NS/Sc,676,100,75
Escavalier BBi+RSh/DR,442,5,0
Gurdurr LK+BkB/SE,591,0,39
Landorus (Therian) MS+SSt/SE,438,10,0
Magmar (Shadow) KC+FiP/ScS,811,55,132
Rhyperior MSl+DR/RW,761,100,111
Rhyperior (Shadow) MSl+DR/RW,750,100,106
Sceptile (Shadow) FC+LB/BkS,227,20,0
Deoxys (Defense) C+PB/RS,660,5,68
