Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,54,40,0
Abomasnow (Shadow) PS+WBI/EB,68,40,0
Absol PC+BrS/Mh,56,32,0
Absol (Shadow) PC+BrS/Mh,56,32,0
Accelgor WSh+BBu/SiB,473,46,0
Accelgor (Shadow) WSh+BBu/SiB,535,30,11
Aegislash (Shield) PC+SB/FC,334,14,0
Aerodactyl DB+RS/EP,95,48,0
Aerodactyl (Shadow) DB+RS/EP,114,48,0
Aggron DT+RT/T,248,6,0
Aggron (Shadow) DT+RT/T,306,6,0
Alakazam PC+FiP/SB,179,48,0
Alakazam (Shadow) PC+FiP/SB,230,48,0
Alomomola W+HP/Bl,231,46,0
Altaria DB+SA/Ft,326,9,0
Altaria (Shadow) DB+SA/Ft,85,56,0
Ambipom A+AA/Re,246,1,0
Ambipom (Shadow) A+AA/LS,309,1,0
Amoonguss A+FoP/GK,67,48,0
Amoonguss (Shadow) A+FoP/GK,81,48,0
Ampharos VS+BrS/TBl,349,30,0
Ampharos (Shadow) VS+BrS/TBl,346,6,0
Annihilape LK+RF/CC,480,22,0
Annihilape (Shadow) LK+RF/CC,555,6,17
Appletun A+SeB/O,350,17,0
Araquanid BBi+WP/BBu,467,28,0
Arbok Ac+DP/SW,98,56,0
Arbok (Shadow) Ac+DP/SW,123,56,0
Arboliva ML+EP/TBl,256,25,0
Arcanine Sn+Cr/Ft,92,48,0
Arcanine (Hisuian) FF+RS/Cr,328,6,0
Arcanine (Shadow) FF+WC/PsF,411,14,0
Archeops WA+AP/Cr,131,48,0
Archeops (Shadow) WA+AP/Cr,153,48,0
Arctibax DB+Av/DC,80,48,0
Armaldo FC+RB/Li,358,30,0
Armaldo (Shadow) FC+RB/Li,439,30,0
Armarouge I+Psh/FmC,590,6,28
Aromatisse Ch+Psh/M,265,6,0
Articuno PS+IW/Hu,75,48,0
Articuno (Galarian) PC+Fl/BrB,164,56,0
Articuno (Shadow) PS+IW/Hu,75,48,0
Audino ZH+BS/DV,370,42,0
Aurorus PS+WBI/MeB,58,40,0
Aurorus (Shadow) PS+WBI/MeB,58,40,0
Avalugg IF+IW/Cr,243,6,0
Avalugg (Hisuian) PS+RS/IW,75,48,0
Azelf Cf+Sw/FS,665,6,51
Azumarill B+IB/PR,291,30,0
Banette SC+SB/DG,189,56,0
Banette (Shadow) SC+SB/DG,239,56,0
Barbaracle FC+CrC/SE,291,14,0
Basculin WG+AT/AJ,439,46,0
Bastiodon SD+SE/Ft,436,28,0
Bastiodon (Shadow) SD+SE/Ft,264,30,0
Baxcalibur DB+Av/DC,91,48,0
Beartic PS+IP/Li,74,40,0
Beedrill PSt+DR/XS,426,30,0
Beedrill (Shadow) PSt+DR/XS,558,30,18
Beheeyem Cf+RS/DP,785,6,88
Bellibolt SkP+PbC/ZC,237,6,0
Bellossom Ac+LB/DG,85,56,0
Bellossom (Shadow) Ac+LB/DG,107,56,0
Bewear SC+SP/Pbk,223,1,0
Bibarel RO+S/HF,285,33,0
Bibarel (Shadow) RO+S/HF,361,33,0
Bisharp Sn+DP/IH,67,48,0
Blacephalon I+MdB/SB,542,6,13
Blastoise RO+HC/SkB,289,38,0
Blastoise (Shadow) RO+HC/IB,271,6,0
Blaziken E+AuS/BB,422,30,0
Blaziken (Shadow) E+AuS/BB,467,14,0
Blissey ZH+WC/DG,183,2,0
Boldore MSl+RS/Bd,369,22,0
Boldore (Shadow) MSl+RS/Bd,404,6,0
Boltund Sp+Cr/T,112,56,0
Bombirdier SkP+Fl/RT,69,56,0
Bouffalant MS+St/Mh,234,49,0
Braviary AS+Fl/CC,241,1,0
Braviary (Hisuian) AS+BrB/Fl,477,6,0
Breloom FPm+DyP/GK,519,46,6
Brionne WG+AJ/DV,369,6,0
Bronzong Cf+WBW/Pbk,407,22,0
Bruxish Cf+AT/PsF,607,6,33
Buzzwole C+SP/Lu,675,4,54
Cacturne SkP+DyP/TBl,91,56,0
Cacturne (Shadow) SkP+DyP/TBl,91,56,0
Camerupt I+ScS/RT,347,6,0
Camerupt (Shadow) I+RT/ScS,417,6,0
Carbink RTh+RS/M,279,38,0
Carnivine VW+Cr/PW,334,6,0
Carracosta WG+Li/BS,564,4,20
Carracosta (Shadow) WG+Li/BS,532,4,10
Celebi Cf+SeB/AuS,500,46,0
