Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,414,21,0
Lickilicky RO+BS/SB,473,4,0
Corviknight SdA+AC/Pbk,554,6,19
Tinkaton FW+GH/Bd,227,4,0
Corviknight (Shadow) SdA+AC/Pbk,502,39,1
Florges FW+CW/DV,125,30,0
Empoleon (Shadow) MSo+HC/DrlP,313,35,0
Virizion DK+LB/SSw,271,18,0
Empoleon MSo+HC/DrlP,281,35,0
Moltres (Galarian) SkP+Fl/BrB,281,18,0
Jellicent H+S/SB,689,2,66
Forretress VS+RT/ST,447,32,0
Zygarde (Complete Forme) DT+Cr/Eq,560,6,21
Feraligatr (Shadow) SC+HC/IB,557,2,20
Ninetales (Alolan) PS+WBI/CW,284,18,0
Forretress (Shadow) VS+RT/ST,637,2,48
Kingdra DB+S/Sw,609,18,38
Ninetales (Alolan) (Shadow) PS+WBI/CW,332,11,0
Registeel LO+FC/FB,317,18,0
Dusknoir A+DyP/ShP,836,2,117
Lapras Psy+SpA/IB,480,4,0
Blastoise RO+HC/SkB,466,25,0
Dusknoir (Shadow) A+DyP/ShP,672,7,60
Talonflame I+Fl/BrB,744,2,85
Lapras (Shadow) Psy+SpA/IB,551,4,18
Malamar (Shadow) Psy+FoP/SP,620,2,42
Walrein (Shadow) PS+ISp/Eq,455,4,0
Dondozo W+S/O,395,32,0
Malamar Psy+FoP/SP,798,23,104
Regidrago DB+DrE/VG,488,25,0
Walrein PS+ISp/Eq,415,11,0
Giratina (Altered) DB+DC/SS,864,2,127
Bellibolt SkP+PbC/ZC,640,6,49
Annihilape LK+RF/CC,273,35,0
Talonflame (Shadow) I+Fl/BrB,698,2,69
Annihilape (Shadow) LK+RF/CC,312,35,0
Kingdra (Shadow) DB+S/Sw,603,2,36
Ninetales E+WBF/EB,430,4,0
Cresselia PC+GK/M,563,32,22
Milotic W+AT/Wr,421,11,0
Steelix TF+PsF/Eq,365,32,0
Cradily Ac+RT/GK,316,4,0
Giratina (Altered) (Shadow) DB+DC/SS,864,2,127
Seaking Pk+DR/IW,643,2,50
Swampert MS+HC/Eq,451,4,0
Feraligatr SC+HC/IB,635,2,47
Oranguru Cf+BrS/TBl,859,2,125
Runerigus SC+RT/SB,870,2,129
Steelix (Shadow) TF+PsF/Cr,522,4,8
Cradily (Shadow) Ac+RT/GK,372,4,0
Cresselia (Shadow) PC+GK/M,933,2,151
Ninetales (Shadow) E+WBF/EB,643,2,50
Ampharos (Shadow) VS+BrS/TBl,609,2,38
Clefable FW+MM/M,133,30,0
Milotic (Shadow) W+AT/Wr,464,4,0
Turtonator I+BrS/DC,482,25,0
Ampharos VS+BrS/TBl,672,2,60
Raikou (Shadow) TS+WC/AuS,360,35,0
Togekiss Pk+Psh/AuS,372,25,0
Hippowdon SdA+WBR/EP,467,18,0
Orthworm MSl+RT/Eq,477,4,0
Toucannon Pk+BBl/DrlP,744,2,85
Aromatisse FW+Psh/M,290,4,0
Golisopod FC+XS/AJ,537,2,13
Gyarados DB+AT/Tw,692,2,67
