Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,203,4,0
Lickilicky RO+BS/SB,452,8,0
Corviknight SdA+AC/Pbk,347,52,0
Tinkaton FW+GH/Bd,581,2,28
Corviknight (Shadow) SdA+AC/Pbk,329,16,0
Florges FW+CW/DV,546,28,16
Empoleon (Shadow) MSo+HC/DrlP,443,24,0
Virizion DK+LB/SSw,751,8,86
Empoleon MSo+HC/DrlP,401,24,0
Moltres (Galarian) SkP+Fl/BrB,196,4,0
Jellicent H+S/SB,441,0,0
Forretress VS+RT/ST,573,2,25
Zygarde (Complete Forme) DT+Cr/Eq,378,28,0
Feraligatr (Shadow) SC+HC/IB,474,0,0
Ninetales (Alolan) PS+WBI/CW,401,40,0
Forretress (Shadow) VS+RT/ST,496,10,0
Kingdra DB+S/Sw,486,20,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,490,16,0
Registeel LO+FC/FB,367,26,0
Dusknoir A+DyP/ShP,214,50,0
Lapras Psy+SpA/IB,593,2,32
Blastoise RO+HC/SkB,385,48,0
Dusknoir (Shadow) A+DyP/ShP,189,38,0
Talonflame I+Fl/BrB,226,50,0
Lapras (Shadow) Psy+SpA/IB,396,40,0
Malamar (Shadow) Psy+FoP/SP,302,24,0
Walrein (Shadow) PS+ISp/Eq,487,4,0
Dondozo W+S/O,593,2,32
Malamar Psy+FoP/SP,322,4,0
Regidrago DB+DrE/VG,491,4,0
Walrein PS+ISp/Eq,447,4,0
Giratina (Altered) DB+DC/SS,555,52,19
Bellibolt SkP+PbC/ZC,337,28,0
Annihilape LK+RF/CC,710,0,72
Talonflame (Shadow) I+Fl/BrB,226,50,0
Annihilape (Shadow) LK+RF/CC,654,0,53
Kingdra (Shadow) DB+S/Sw,558,12,20
Ninetales E+WBF/EB,628,0,44
Cresselia PC+GK/M,640,2,48
Milotic W+AT/Wr,383,48,0
Steelix TF+PsF/Eq,404,46,0
Cradily Ac+RT/GK,458,2,0
Giratina (Altered) (Shadow) DB+DC/SS,475,4,0
Seaking Pk+DR/IW,681,12,62
Swampert MS+HC/Eq,608,0,37
Feraligatr SC+HC/IB,561,0,21
Oranguru Cf+BrS/TBl,436,48,0
Runerigus SC+RT/SB,402,4,0
Steelix (Shadow) TF+PsF/Cr,526,2,9
Cradily (Shadow) Ac+RT/GK,567,2,23
Cresselia (Shadow) PC+GK/M,701,2,69
Ninetales (Shadow) E+WBF/EB,520,0,7
Ampharos (Shadow) VS+BrS/TBl,535,12,12
Clefable FW+MM/M,622,20,42
Milotic (Shadow) W+AT/Wr,546,0,16
Turtonator I+BrS/DC,450,4,0
Ampharos VS+BrS/TBl,467,16,0
Raikou (Shadow) TS+WC/AuS,578,0,27
Togekiss Pk+Psh/AuS,684,20,63
Hippowdon SdA+WBR/EP,619,16,41
Orthworm MSl+RT/Eq,454,26,0
Toucannon Pk+BBl/DrlP,608,0,37
Aromatisse FW+Psh/M,619,20,41
Golisopod FC+XS/AJ,258,46,0
Gyarados DB+AT/Tw,576,20,26
Toucannon (Shadow) Pk+BBl/DrlP,317,50,0
Hydreigon (Shadow) DB+BrS/Fl,366,12,0
Seismitoad MS+EP/IW,657,20,54
Hippowdon (Shadow) SdA+WBR/EP,602,0,35
Melmetal TS+DbI/DyP,382,44,0
Primarina W+DV/HC,576,8,26
Cobalion DK+SSw/SE,614,2,39
Guzzlord DT+BrS/DC,86,66,0
Samurott FC+HC/Mh,217,50,0
