Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,307,4,0
Lickilicky RO+BS/SB,536,5,25
Corviknight SdA+AC/Pbk,458,17,0
Tinkaton FW+GH/Bd,129,27,0
Corviknight (Shadow) SdA+AC/Pbk,427,40,0
Florges FW+CW/DV,94,20,0
Virizion DK+LB/SSw,296,9,0
Empoleon (Shadow) MSo+HC/DrlP,610,4,76
Empoleon MSo+HC/DrlP,493,28,0
Moltres (Galarian) SkP+Fl/BrB,526,13,18
Annihilape LK+RF/IP,513,4,9
Annihilape (Shadow) C+RF/IP,254,38,0
Jellicent H+S/SB,774,4,188
Primeape KC+RF/IP,251,23,0
Forretress VS+ST/RT,463,30,0
Zygarde (Complete Forme) DT+Cr/Eq,443,4,0
Feraligatr (Shadow) SC+HC/IB,536,4,25
Forretress (Shadow) VS+ST/RT,584,5,58
Ninetales (Alolan) PS+WBI/CW,101,20,0
Kingdra DB+S/Sw,564,12,44
Ninetales (Alolan) (Shadow) PS+WBI/CW,91,8,0
Registeel LO+FC/FB,470,6,0
Blastoise RO+HC/SkB,518,5,13
Dusknoir A+DyP/ShP,788,4,198
Lapras Psy+SpA/IB,604,5,72
Malamar Psy+SP/FoP,886,4,265
Cramorant Pk+Dve/Fl,593,4,64
Dusknoir (Shadow) A+DyP/ShP,704,27,140
Malamar (Shadow) Psy+FoP/SP,886,4,265
Lapras (Shadow) Psy+SpA/IB,565,13,45
Regidrago DB+DrE/VG,472,0,0
Talonflame I+Fl/BrB,632,4,91
Walrein PS+ISp/Eq,287,15,0
Walrein (Shadow) PS+ISp/Eq,357,15,0
Dondozo W+S/O,527,5,19
Giratina (Altered) DB+DC/SS,664,4,113
Talonflame (Shadow) I+FmC/Fl,568,24,47
Bellibolt TS+ZC/PbC,569,26,48
Kingdra (Shadow) DB+S/Sw,629,3,89
Milotic W+AT/Wr,599,25,68
Ninetales E+WBF/EB,734,1,161
Steelix TF+PsF/Cr,731,6,159
Cradily Ac+RT/GK,430,2,0
Cresselia PC+GK/M,556,5,39
Feraligatr SC+HC/IB,858,4,246
Giratina (Altered) (Shadow) DB+DC/SS,600,27,69
Oranguru Cf+BrS/TBl,725,4,155
