Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,337,8,0
Lickilicky RO+BS/SB,254,70,0
Corviknight SdA+AC/Pbk,515,1,5
Tinkaton FW+GH/Bd,396,13,0
Corviknight (Shadow) SdA+AC/Pbk,391,32,0
Florges FW+CW/DV,290,59,0
Empoleon (Shadow) MSo+HC/DrlP,490,24,0
Virizion DK+LB/SSw,478,8,0
Empoleon MSo+HC/DrlP,360,59,0
Moltres (Galarian) SkP+Fl/BrB,578,4,25
Jellicent H+S/SB,392,16,0
Forretress VS+RT/ST,147,22,0
Zygarde (Complete Forme) DT+Cr/Eq,575,24,24
Feraligatr (Shadow) SC+HC/IB,336,70,0
Ninetales (Alolan) PS+WBI/CW,250,35,0
Forretress (Shadow) VS+RT/ST,147,22,0
Kingdra DB+S/Sw,546,31,15
Ninetales (Alolan) (Shadow) PS+WBI/CW,256,7,0
Registeel LO+FC/FB,426,37,0
Dusknoir A+DyP/ShP,424,27,0
Lapras Psy+SpA/IB,495,36,0
Blastoise RO+HC/SkB,460,4,0
Dusknoir (Shadow) A+DyP/ShP,449,27,0
Talonflame I+Fl/BrB,806,3,98
Lapras (Shadow) Psy+SpA/IB,491,8,0
Malamar (Shadow) Psy+FoP/SP,263,54,0
Walrein (Shadow) PS+ISp/Eq,237,54,0
Dondozo W+S/O,487,5,0
Malamar Psy+FoP/SP,288,66,0
Regidrago DB+DrE/VG,377,62,0
Walrein PS+ISp/Eq,546,0,15
Giratina (Altered) DB+DC/SS,637,8,44
Bellibolt SkP+PbC/ZC,367,71,0
Annihilape LK+RF/CC,615,0,37
Talonflame (Shadow) I+Fl/BrB,775,3,88
Annihilape (Shadow) LK+RF/CC,531,0,10
Kingdra (Shadow) DB+S/Sw,441,7,0
Ninetales E+WBF/EB,646,0,47
Cresselia PC+GK/M,475,9,0
Milotic W+AT/Wr,494,28,0
Steelix TF+PsF/Eq,76,22,0
Cradily Ac+RT/GK,366,8,0
Giratina (Altered) (Shadow) DB+DC/SS,646,0,47
Seaking Pk+DR/IW,506,1,2
Swampert MS+HC/Eq,746,0,79
Feraligatr SC+HC/IB,515,0,5
Oranguru Cf+BrS/TBl,434,4,0
Runerigus SC+RT/SB,712,0,68
Steelix (Shadow) TF+PsF/Cr,116,2,0
Cradily (Shadow) Ac+RT/GK,433,8,0
Cresselia (Shadow) PC+GK/M,405,20,0
Ninetales (Shadow) E+WBF/EB,656,3,50
Ampharos (Shadow) VS+BrS/TBl,144,29,0
Clefable FW+MM/M,227,31,0
Milotic (Shadow) W+AT/Wr,687,0,60
Turtonator I+BrS/DC,575,31,24
Ampharos VS+BrS/TBl,165,2,0
Raikou (Shadow) TS+WC/AuS,264,34,0
Togekiss Pk+Psh/AuS,275,35,0
Hippowdon SdA+WBR/EP,671,35,55
Orthworm MSl+RT/Eq,568,2,22
Toucannon Pk+BBl/DrlP,471,15,0
Aromatisse FW+Psh/M,222,23,0
Golisopod FC+XS/AJ,650,0,48
Gyarados DB+AT/Tw,325,66,0
Toucannon (Shadow) Pk+BBl/DrlP,643,3,46
Hydreigon (Shadow) DB+BrS/Fl,473,7,0
Seismitoad MS+EP/IW,568,17,22
Hippowdon (Shadow) SdA+WBR/EP,643,15,46
Melmetal TS+DbI/DyP,307,15,0
Primarina W+DV/HC,246,16,0
Cobalion DK+SSw/SE,336,27,0
Guzzlord DT+BrS/DC,512,0,4
Samurott FC+HC/Mh,628,0,41
Tentacruel Ac+Sc/Pbk,470,20,0
Tentacruel (Shadow) Ac+Sc/Pbk,656,0,50
Blastoise (Shadow) RO+HC/IB,313,66,0
Sylveon FW+M/SB,248,39,0
Dudunsparce RO+BS/DR,246,70,0
Gyarados (Shadow) DB+AT/Tw,296,54,0
Aurorus PS+WBI/MeB,441,31,0
Dragalge DT+AT/O,353,66,0
Sandslash (Alolan) (Shadow) PS+IP/DR,348,15,0
Stunfisk TS+MB/D,373,7,0
Scizor (Shadow) BP+NS/TBl,474,31,0
Weezing (Galarian) FW+BrS/Sl,265,35,0
Goodra DB+AT/PW,314,54,0
Oinkologne (Female) MSl+BS/TBl,740,12,77
Weezing (Galarian) (Shadow) FW+BrS/Sl,122,66,0
Gastrodon MSl+BS/EP,734,0,75
Kommo-o DT+ClS/UH,379,66,0
Ludicolo A+WBW/EB,581,0,26
Sandslash (Alolan) PS+IP/DR,354,35,0
Skeledirge I+TSo/SB,740,23,77
Swampert (Shadow) MS+HC/Eq,718,0,70
Aurorus (Shadow) PS+WBI/MeB,481,31,0
Cofagrigus SC+SB/DP,712,0,68
Crustle FC+XS/RW,450,27,0
Drapion PSt+Cr/AT,581,0,26
Samurott (Shadow) FC+HC/Mh,612,27,36
Drapion (Shadow) PSt+AT/Cr,503,31,1
Grumpig Psy+DyP/SB,459,0,0
Latias DB+MsB/AuS,546,0,15
Miltank RO+BS/IB,288,31,0
Stunfisk (Galarian) MS+RS/Eq,700,0,64
Articuno PS+IW/Hu,325,47,0
Politoed (Shadow) MS+WBW/Eq,703,0,65
Raikou TS+WC/AuS,453,7,0
Abomasnow (Shadow) PS+WBI/EB,243,46,0
Mandibuzz Sn+FoP/SB,295,67,0
Zapdos TS+DrlP/Tb,278,38,0
Kyurem DB+G/DC,448,27,0
Primeape KC+RF/CC,628,15,41
Grimmsnarl SkP+FoP/PR,543,0,14
Mewtwo (Armored) Cf+Pst/DyP,460,20,0
Bombirdier SkP+Fl/RT,543,0,14
Drifblim H+IW/SB,299,27,0
Grumpig (Shadow) Psy+DyP/SB,518,0,6
Nidoqueen MSl+PF/EP,687,35,60
Doublade SC+SSw/GB,568,0,22
Greedent MS+BS/TBl,625,32,40
Jirachi Cf+DD/AuS,571,0,23
Articuno (Shadow) PS+IW/Hu,262,70,0
Blaziken (Shadow) E+AuS/BB,818,3,102
Gourgeist (Super) I+SB/SeB,404,20,0
Politoed MS+WBW/Eq,740,0,77
Rapidash (Shadow) I+WC/DR,759,3,83
Primeape (Shadow) KC+RF/IP,621,3,39
Abomasnow PS+WBI/EB,259,54,0
Coalossal FS+RS/FmC,762,0,84
Crustle (Shadow) FC+XS/RW,818,3,102
Mantine WA+Tw/WP,612,12,36
Rapidash I+WC/DR,790,3,93
Trevenant (Shadow) SC+SB/SeB,392,15,0
Zapdos (Shadow) TS+DrlP/Tb,251,26,0
Drifblim (Shadow) H+SB/IW,362,27,0
Gourgeist (Average) I+SB/SeB,442,20,0
Gourgeist (Large) I+SB/SeB,424,20,0
Spiritomb SkP+SB/RT,600,0,32
Trevenant SC+SB/SeB,410,31,0
Nidoqueen (Shadow) MSl+PF/EP,671,15,55
Zeraora VS+PF/WC,187,37,0
Palossand A+SB/ST,559,27,19
Electrode (Hisuian) TS+WC/EB,404,7,0
Pelipper WA+WBW/Hu,376,70,0
Yveltal SkP+DP/ObW,500,16,0
Bronzong Cf+WBW/Pbk,493,4,0
Regirock LO+SE/FB,503,0,1
