Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,229,35,0
Lickilicky RO+BS/SB,352,51,0
Corviknight SdA+AC/Pbk,300,36,0
Tinkaton FW+GH/Bd,785,3,105
Corviknight (Shadow) SdA+AC/Pbk,323,36,0
Florges FW+CW/DV,374,35,0
Empoleon (Shadow) MSo+HC/DrlP,360,10,0
Virizion DK+LB/SSw,308,3,0
Empoleon MSo+HC/DrlP,278,10,0
Moltres (Galarian) SkP+Fl/BrB,319,38,0
Jellicent H+S/SB,375,32,0
Forretress VS+RT/ST,682,5,67
Zygarde (Complete Forme) DT+Cr/Eq,295,32,0
Feraligatr (Shadow) SC+HC/IB,349,10,0
Ninetales (Alolan) PS+WBI/CW,243,6,0
Forretress (Shadow) VS+RT/ST,633,1,49
Kingdra DB+S/Sw,274,18,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,117,37,0
Registeel LO+FC/FB,673,1,64
Dusknoir A+DyP/ShP,495,20,0
Lapras Psy+SpA/IB,294,15,0
Blastoise RO+HC/SkB,576,0,28
Dusknoir (Shadow) A+DyP/ShP,487,7,0
Talonflame I+Fl/BrB,288,30,0
Lapras (Shadow) Psy+SpA/IB,372,7,0
Malamar (Shadow) Psy+FoP/SP,513,19,5
Walrein (Shadow) PS+ISp/Eq,160,49,0
Dondozo W+S/O,296,23,0
Malamar Psy+FoP/SP,405,35,0
Regidrago DB+DrE/VG,438,35,0
Walrein PS+ISp/Eq,107,49,0
Giratina (Altered) DB+DC/SS,505,2,2
Bellibolt SkP+PbC/ZC,769,7,99
Annihilape LK+RF/CC,611,16,41
Talonflame (Shadow) I+Fl/BrB,315,30,0
Annihilape (Shadow) LK+RF/CC,232,10,0
Kingdra (Shadow) DB+S/Sw,352,10,0
Ninetales E+WBF/EB,603,3,38
Cresselia PC+GK/M,317,40,0
Milotic W+AT/Wr,131,53,0
Steelix TF+PsF/Eq,785,1,105
Cradily Ac+RT/GK,466,9,0
Giratina (Altered) (Shadow) DB+DC/SS,425,4,0
Seaking Pk+DR/IW,576,0,28
Swampert MS+HC/Eq,420,31,0
Feraligatr SC+HC/IB,411,11,0
Oranguru Cf+BrS/TBl,362,27,0
Runerigus SC+RT/SB,453,28,0
Steelix (Shadow) TF+PsF/Cr,815,3,116
Cradily (Shadow) Ac+RT/GK,341,4,0
Cresselia (Shadow) PC+GK/M,513,1,5
Ninetales (Shadow) E+WBF/EB,663,3,60
