Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,66,23,0
Lickilicky RO+BS/SB,575,0,23
Corviknight SdA+AC/Pbk,509,0,3
Tinkaton FW+GH/Bd,370,22,0
Corviknight (Shadow) SdA+AC/Pbk,391,25,0
Florges FW+CW/DV,251,39,0
Empoleon (Shadow) MSo+HC/DrlP,481,30,0
Virizion DK+LB/SSw,722,1,68
Empoleon MSo+HC/DrlP,443,34,0
Moltres (Galarian) SkP+Fl/BrB,522,1,7
Jellicent H+S/SB,285,55,0
Forretress VS+RT/ST,607,34,33
Zygarde (Complete Forme) DT+Cr/Eq,584,1,26
Feraligatr (Shadow) SC+HC/IB,581,2,25
Ninetales (Alolan) PS+WBI/CW,430,22,0
Forretress (Shadow) VS+RT/ST,542,18,13
Kingdra DB+S/Sw,542,1,13
Ninetales (Alolan) (Shadow) PS+WBI/CW,262,31,0
Registeel LO+FC/FB,311,30,0
Dusknoir A+DyP/ShP,584,2,26
Lapras Psy+SpA/IB,350,22,0
Blastoise RO+HC/SkB,529,5,9
Dusknoir (Shadow) A+DyP/ShP,591,9,28
Talonflame I+Fl/BrB,722,43,68
Lapras (Shadow) Psy+SpA/IB,380,22,0
Malamar (Shadow) Psy+FoP/SP,494,9,0
Walrein (Shadow) PS+ISp/Eq,275,39,0
Dondozo W+S/O,469,5,0
Malamar Psy+FoP/SP,347,39,0
Regidrago DB+DrE/VG,147,52,0
Walrein PS+ISp/Eq,367,2,0
Giratina (Altered) DB+DC/SS,176,72,0
Bellibolt SkP+PbC/ZC,497,2,0
Annihilape LK+RF/CC,361,39,0
Talonflame (Shadow) I+Fl/BrB,947,3,137
Annihilape (Shadow) LK+RF/CC,558,31,18
Kingdra (Shadow) DB+S/Sw,500,1,0
Ninetales E+WBF/EB,614,2,35
Cresselia PC+GK/M,341,14,0
Milotic W+AT/Wr,588,0,27
Steelix TF+PsF/Eq,484,46,0
Cradily Ac+RT/GK,686,1,57
Giratina (Altered) (Shadow) DB+DC/SS,173,56,0
Seaking Pk+DR/IW,535,0,11
Swampert MS+HC/Eq,588,2,27
Feraligatr SC+HC/IB,630,22,40
Oranguru Cf+BrS/TBl,643,6,44
Runerigus SC+RT/SB,624,1,38
Steelix (Shadow) TF+PsF/Cr,705,2,63
Cradily (Shadow) Ac+RT/GK,647,1,45
Cresselia (Shadow) PC+GK/M,400,33,0
Ninetales (Shadow) E+WBF/EB,754,31,78
Ampharos (Shadow) VS+BrS/TBl,650,1,46
Clefable FW+MM/M,204,11,0
Milotic (Shadow) W+AT/Wr,447,45,0
Turtonator I+BrS/DC,643,1,44
Ampharos VS+BrS/TBl,516,13,5
Raikou (Shadow) TS+WC/AuS,669,27,52
Togekiss Pk+Psh/AuS,686,1,57
Hippowdon SdA+WBR/EP,666,1,51
Orthworm MSl+RT/Eq,425,30,0
Toucannon Pk+BBl/DrlP,630,1,40
Aromatisse FW+Psh/M,75,60,0
Golisopod FC+XS/AJ,343,39,0
Gyarados DB+AT/Tw,509,1,3
Toucannon (Shadow) Pk+BBl/DrlP,443,7,0
Hydreigon (Shadow) DB+BrS/Fl,506,23,2
Seismitoad MS+EP/IW,545,6,14
Hippowdon (Shadow) SdA+WBR/EP,624,1,38
Melmetal TS+DbI/DyP,513,18,4
Primarina W+DV/HC,359,18,0
Cobalion DK+SSw/SE,487,18,0
Guzzlord DT+BrS/DC,516,1,5
Samurott FC+HC/Mh,491,22,0
Tentacruel Ac+Sc/Pbk,360,30,0
Tentacruel (Shadow) Ac+Sc/Pbk,428,41,0
Blastoise (Shadow) RO+HC/IB,433,37,0
