Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,716,10,91
Lickilicky RO+BS/SB,500,11,0
Corviknight SdA+AC/Pbk,365,23,0
Tinkaton FW+GH/Bd,438,34,0
Corviknight (Shadow) SdA+AC/Pbk,443,23,0
Florges FW+CW/DV,552,12,22
Virizion DK+LB/SSw,271,6,0
Empoleon (Shadow) MSo+HC/DrlP,395,19,0
Empoleon MSo+HC/DrlP,316,19,0
Moltres (Galarian) SkP+Fl/BrB,468,29,0
Annihilape LK+RF/IP,403,19,0
Annihilape (Shadow) C+RF/IP,104,17,0
Jellicent H+S/SB,676,8,74
Primeape KC+RF/IP,408,36,0
Forretress VS+ST/RT,411,8,0
Zygarde (Complete Forme) DT+Cr/Eq,333,8,0
Feraligatr (Shadow) SC+HC/IB,730,1,97
Forretress (Shadow) VS+ST/RT,493,10,0
Ninetales (Alolan) PS+WBI/CW,566,1,28
Kingdra DB+S/Sw,457,1,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,623,3,52
Registeel LO+FC/FB,382,12,0
Blastoise RO+HC/SkB,334,45,0
Dusknoir A+DyP/ShP,638,10,58
Lapras Psy+SpA/IB,626,23,53
Malamar Psy+SP/FoP,408,29,0
Cramorant Pk+Dve/Fl,514,16,6
Dusknoir (Shadow) A+DyP/ShP,876,10,158
Malamar (Shadow) Psy+FoP/SP,419,3,0
Lapras (Shadow) Psy+SpA/IB,640,27,59
Regidrago DB+DrE/VG,341,34,0
Talonflame I+Fl/BrB,766,25,112
Walrein PS+ISp/Eq,519,27,8
Walrein (Shadow) PS+ISp/Eq,595,16,40
Dondozo W+S/O,434,21,0
Giratina (Altered) DB+DC/SS,635,8,57
Talonflame (Shadow) I+FmC/Fl,769,12,113
Bellibolt TS+ZC/PbC,377,21,0
Kingdra (Shadow) DB+S/Sw,566,1,28
Milotic W+AT/Wr,333,45,0
Ninetales E+WBF/EB,652,1,64
Steelix TF+PsF/Cr,337,8,0
Cradily Ac+RT/GK,341,8,0
Cresselia PC+GK/M,473,47,0
Feraligatr SC+HC/IB,750,14,105
Giratina (Altered) (Shadow) DB+DC/SS,492,10,0
Oranguru Cf+BrS/TBl,447,7,0
Seaking Pk+DR/IW,436,34,0
Swampert MS+HC/Eq,302,32,0
Runerigus SC+SB/RT,638,10,58
Steelix (Shadow) TF+PsF/Cr,380,8,0
Cradily (Shadow) Ac+RT/GK,405,8,0
Cresselia (Shadow) PC+GK/M,573,8,31
Clefable FW+M/MM,550,12,21
Ninetales (Shadow) E+WBF/EB,585,3,36
Raikou (Shadow) TS+WC/AuS,538,3,16
Ampharos (Shadow) VS+BrS/TBl,552,3,22
Milotic (Shadow) W+AT/Wr,362,36,0
Togekiss Pk+Psh/AuS,592,3,39
Turtonator I+BrS/DC,583,1,35
Ampharos VS+BrS/TBl,614,1,48
Guzzlord DT+BrS/SlB,463,7,0
Hippowdon SdA+WBR/EP,279,32,0
Aromatisse FW+Psh/M,545,12,19
Golisopod FC+XS/AJ,600,1,42
Gyarados DB+AT/Tw,638,3,58
Hydreigon (Shadow) DB+BrS/Fl,507,3,3
Orthworm MSl+RT/Eq,331,47,0
Toucannon Pk+BBl/DrlP,523,3,10
Toucannon (Shadow) Pk+BBl/DrlP,745,25,103
Hippowdon (Shadow) SdA+WBR/EP,602,12,43
Melmetal TS+DbI/DyP,283,19,0
Seismitoad MS+EP/IW,409,23,0
Primarina W+DV/HC,552,1,22
Cobalion DK+SSw/SE,234,6,0
Goodra DB+AT/TP,473,12,0
Samurott FC+HC/Mh,576,1,32
Blastoise (Shadow) RO+HC/SkB,609,12,46
Sylveon FW+Psh/SB,628,10,54
Tentacruel (Shadow) Ac+Sc/Pbk,564,12,27
Dragalge Ac+AT/O,469,27,0
Dudunsparce RO+BS/DR,507,33,3
Tentacruel Ac+Sc/Pbk,446,23,0
Aurorus PS+WBI/MeB,418,32,0
