Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,275,18,0
Abomasnow (Shadow) PS+WBI/EB,330,18,0
Absol PC+BrS/Mh,404,2,0
Absol (Shadow) PC+BrS/Mh,780,2,70
Accelgor WSh+BBu/SiB,413,34,0
Accelgor (Shadow) WSh+BBu/SiB,740,26,60
Aegislash (Shield) PC+SB/FC,323,19,0
Aerodactyl DB+RS/EP,828,10,82
Aerodactyl (Shadow) DB+RS/EP,844,2,86
Aggron DT+RT/T,299,3,0
Aggron (Shadow) DT+RT/T,273,6,0
Alakazam PC+FiP/SB,196,37,0
Alakazam (Shadow) PC+FiP/SB,235,37,0
Alomomola W+HP/Bl,234,39,0
Altaria DB+SA/Ft,844,2,86
Altaria (Shadow) DB+SA/Ft,844,2,86
Ambipom A+AA/Re,362,34,0
Ambipom (Shadow) A+AA/LS,415,26,0
Amoonguss A+FoP/GK,418,34,0
Amoonguss (Shadow) A+FoP/GK,490,26,0
Ampharos VS+BrS/TBl,275,2,0
Ampharos (Shadow) VS+BrS/TBl,328,2,0
Annihilape LK+RF/CC,256,37,0
Annihilape (Shadow) LK+RF/CC,306,37,0
Appletun A+SeB/O,732,2,58
Araquanid BBi+WP/BBu,285,3,0
Arbok Ac+DP/SW,341,10,0
Arbok (Shadow) Ac+DP/SW,193,37,0
Arboliva ML+EP/TBl,588,26,22
Arcanine Sn+Cr/Ft,233,8,0
Arcanine (Hisuian) FF+RS/Cr,88,21,0
Arcanine (Shadow) FF+WC/PsF,187,13,0
Archeops WA+AP/Cr,708,2,52
Archeops (Shadow) WA+AP/Cr,671,2,43
Arctibax DB+Av/DC,516,7,4
Armaldo FC+RB/Li,327,10,0
Armaldo (Shadow) FC+RB/Li,391,10,0
Armarouge I+Psh/FmC,92,27,0
Aromatisse Ch+Psh/M,275,26,0
Articuno PS+IW/Hu,237,34,0
Articuno (Galarian) PC+Fl/BrB,493,2,0
Articuno (Shadow) PS+IW/Hu,300,34,0
Audino ZH+BS/DV,592,4,23
Aurorus PS+WBI/MeB,149,8,0
Aurorus (Shadow) PS+WBI/MeB,282,8,0
Avalugg IF+IW/Cr,292,41,0
Avalugg (Hisuian) PS+RS/IW,151,8,0
Azelf Cf+Sw/FS,402,2,0
Azumarill B+IB/PR,365,14,0
Banette SC+SB/DG,432,26,0
Banette (Shadow) SC+SB/DG,496,18,0
Barbaracle FC+CrC/SE,194,8,0
Basculin WG+AT/AJ,264,26,0
Bastiodon SD+SE/Ft,362,1,0
Bastiodon (Shadow) SD+SE/Ft,246,22,0
Baxcalibur DB+Av/DC,420,42,0
Beartic PS+IP/Li,279,40,0
Beedrill PSt+DR/XS,362,2,0
Beedrill (Shadow) PSt+DR/XS,214,37,0
Beheeyem Cf+RS/DP,360,26,0
Bellibolt SkP+PbC/ZC,252,42,0
Bellossom Ac+LB/DG,196,37,0
Bellossom (Shadow) Ac+LB/DG,223,37,0
Bewear SC+SP/Pbk,283,2,0
Bibarel RO+S/HF,214,2,0
Bibarel (Shadow) RO+S/HF,261,2,0
Bisharp Sn+DP/IH,242,16,0
Blacephalon I+MdB/SB,96,5,0
Blastoise RO+HC/SkB,162,0,0
Blastoise (Shadow) RO+HC/IB,174,0,0
Blaziken E+AuS/BB,120,37,0
Blaziken (Shadow) E+AuS/BB,149,37,0
Blissey ZH+WC/DG,379,17,0
Boldore MSl+RS/Bd,366,24,0
Boldore (Shadow) MSl+RS/Bd,480,6,0
Boltund Sp+Cr/T,406,26,0
Bombirdier SkP+Fl/RT,483,42,0
Bouffalant MS+St/Mh,322,42,0
Braviary AS+Fl/CC,688,10,47
Braviary (Hisuian) AS+BrB/Fl,688,18,47
Breloom FPm+DyP/GK,564,2,16
Brionne WG+AJ/DV,246,34,0
Bronzong Cf+WBW/Pbk,217,6,0
Bruxish Cf+AT/PsF,223,2,0
Buzzwole C+SP/Lu,430,26,0
Cacturne SkP+DyP/TBl,744,2,61
Cacturne (Shadow) SkP+DyP/TBl,656,2,39
Camerupt I+ScS/RT,175,27,0
Camerupt (Shadow) I+RT/ScS,114,5,0
Carbink RTh+RS/M,330,38,0
Carnivine VW+Cr/PW,780,2,70
Carracosta WG+Li/BS,199,16,0
Carracosta (Shadow) WG+Li/BS,215,16,0
Celebi Cf+SeB/AuS,436,18,0
Celesteela AS+BS/Bd,306,26,0
Centiskorch E+HW/Lu,166,2,0
Ceruledge I+SB/FmC,99,27,0
Cetitan PS+ISp/SP,248,30,0
Chandelure FS+SB/FmC,104,19,0
Chandelure (Shadow) I+SB/FmC,87,5,0
Chansey ZH+DG/P,636,6,34
Charizard DB+BB/AC,337,18,0
Charizard (Shadow) DB+BB/AC,466,8,0
Cherrim (Overcast) BS+DG/SoB,828,18,82
Cherrim (Sunshine) BS+WBF/SoB,464,2,0
Chesnaught LK+FP/SP,437,18,0
Chesnaught (Shadow) LK+FP/SP,487,10,0
Chimecho A+Psh/SB,314,26,0
Cinccino Ch+AT/Tb,384,26,0
Cinderace FS+BB/PB,110,19,0
Clawitzer WG+Crbh/IB,351,3,0
Claydol MSl+IB/RT,596,7,24
Claydol (Shadow) MSl+RT/IB,516,7,4
Clefable FW+MM/M,238,2,0
Clodsire PSt+SE/Eq,348,26,0
Cloyster IS+IW/HP,229,1,0
Cloyster (Shadow) IS+IW/HP,266,1,0
Coalossal FS+RS/FmC,132,8,0
Cobalion DK+SSw/SE,175,8,0
Cofagrigus SC+SB/DP,287,26,0
Cofagrigus (Shadow) SC+SB/DP,309,26,0
Comfey VW+GK/DK,321,26,0
Conkeldurr C+DyP/BrS,351,18,0
