Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,414,0,0
Lickilicky RO+BS/SB,257,20,0
Corviknight SdA+AC/Pbk,386,40,0
Tinkaton FW+GH/Bd,582,20,29
Corviknight (Shadow) SdA+AC/Pbk,235,40,0
Florges FW+CW/DV,377,0,0
Empoleon (Shadow) MSo+HC/DrlP,268,20,0
Virizion DK+LB/SSw,308,10,0
Empoleon MSo+HC/DrlP,517,10,6
Moltres (Galarian) SkP+Fl/BrB,240,0,0
Jellicent H+S/SB,426,0,0
Forretress VS+RT/ST,625,0,44
Zygarde (Complete Forme) DT+Cr/Eq,354,20,0
Feraligatr (Shadow) SC+HC/IB,245,20,0
Ninetales (Alolan) PS+WBI/CW,259,40,0
Forretress (Shadow) VS+RT/ST,828,10,115
Kingdra DB+S/Sw,294,50,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,224,20,0
Registeel LO+FC/FB,414,30,0
Dusknoir A+DyP/ShP,505,0,2
Lapras Psy+SpA/IB,376,10,0
Blastoise RO+HC/SkB,328,10,0
Dusknoir (Shadow) A+DyP/ShP,411,30,0
Talonflame I+Fl/BrB,363,30,0
Lapras (Shadow) Psy+SpA/IB,261,50,0
Malamar (Shadow) Psy+FoP/SP,336,50,0
Walrein (Shadow) PS+ISp/Eq,220,30,0
Dondozo W+S/O,255,0,0
Malamar Psy+FoP/SP,455,0,0
Regidrago DB+DrE/VG,485,10,0
Walrein PS+ISp/Eq,307,0,0
Giratina (Altered) DB+DC/SS,620,0,42
Bellibolt SkP+PbC/ZC,677,0,62
Annihilape LK+RF/CC,742,0,85
Talonflame (Shadow) I+Fl/BrB,306,40,0
Annihilape (Shadow) LK+RF/CC,697,0,69
Kingdra (Shadow) DB+S/Sw,267,30,0
Ninetales E+WBF/EB,528,0,10
Cresselia PC+GK/M,403,10,0
Milotic W+AT/Wr,321,0,0
Steelix TF+PsF/Eq,817,0,111
Cradily Ac+RT/GK,419,40,0
Giratina (Altered) (Shadow) DB+DC/SS,502,10,1
Seaking Pk+DR/IW,380,20,0
Swampert MS+HC/Eq,600,0,35
Feraligatr SC+HC/IB,229,30,0
Oranguru Cf+BrS/TBl,321,0,0
Runerigus SC+RT/SB,395,0,0
Steelix (Shadow) TF+PsF/Cr,691,0,67
Cradily (Shadow) Ac+RT/GK,551,20,18
Cresselia (Shadow) PC+GK/M,620,10,42
Ninetales (Shadow) E+WBF/EB,574,10,26
Ampharos (Shadow) VS+BrS/TBl,668,0,59
Clefable FW+MM/M,463,10,0
Milotic (Shadow) W+AT/Wr,225,30,0
Turtonator I+BrS/DC,611,0,39
Ampharos VS+BrS/TBl,705,10,72
Raikou (Shadow) TS+WC/AuS,851,0,123
Togekiss Pk+Psh/AuS,412,10,0
Hippowdon SdA+WBR/EP,542,20,15
Orthworm MSl+RT/Eq,817,0,111
Toucannon Pk+BBl/DrlP,238,0,0
Aromatisse FW+Psh/M,484,10,0
Golisopod FC+XS/AJ,446,0,0
Gyarados DB+AT/Tw,356,0,0
Toucannon (Shadow) Pk+BBl/DrlP,213,40,0
Hydreigon (Shadow) DB+BrS/Fl,203,30,0
Seismitoad MS+EP/IW,421,10,0
Hippowdon (Shadow) SdA+WBR/EP,617,0,41
Melmetal TS+DbI/DyP,717,0,76
Primarina W+DV/HC,297,40,0
Cobalion DK+SSw/SE,880,0,133
Guzzlord DT+BrS/DC,320,0,0
Samurott FC+HC/Mh,542,0,15
Tentacruel Ac+Sc/Pbk,651,0,53
Tentacruel (Shadow) Ac+Sc/Pbk,597,0,34
Blastoise (Shadow) RO+HC/IB,591,0,32
Sylveon FW+M/SB,470,10,0
Dudunsparce RO+BS/DR,508,0,3
Gyarados (Shadow) DB+AT/Tw,514,0,5
Aurorus PS+WBI/MeB,537,0,13
Dragalge DT+AT/O,679,0,63
Sandslash (Alolan) (Shadow) PS+IP/DR,228,30,0
Stunfisk TS+MB/D,642,30,50
Scizor (Shadow) BP+NS/TBl,375,40,0
Weezing (Galarian) FW+BrS/Sl,534,0,12
Goodra DB+AT/PW,605,0,37
Oinkologne (Female) MSl+BS/TBl,265,20,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,665,0,58
