Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,106,21,0
Abomasnow (Shadow) PS+WBI/EB,158,21,0
Absol PC+BrS/Mh,320,12,0
Absol (Shadow) PC+BrS/Mh,133,38,0
Accelgor WSh+EB/BBu,242,30,0
Accelgor (Shadow) WSh+EB/BBu,272,30,0
Aegislash (Shield) PC+SB/FC,457,19,0
Aerodactyl DB+RS/EP,625,4,35
Aerodactyl (Shadow) DB+RS/EP,356,39,0
Aggron DT+RT/T,705,0,57
Aggron (Shadow) DT+RT/T,669,0,47
Alakazam PC+FiP/SB,303,21,0
Alakazam (Shadow) PC+FiP/SB,384,12,0
Alomomola W+HP/Bl,361,37,0
Altaria DB+SA/Ft,176,22,0
Altaria (Shadow) DB+SA/Ft,201,22,0
Ambipom A+AA/Re,368,13,0
Ambipom (Shadow) A+AA/LS,293,21,0
Amoonguss A+FoP/GK,85,32,0
Amoonguss (Shadow) A+FoP/GK,314,27,0
Ampharos VS+BrS/TBl,103,29,0
Ampharos (Shadow) VS+BrS/TBl,112,11,0
Annihilape LK+RF/CC,295,12,0
Annihilape (Shadow) LK+RF/CC,339,12,0
Appletun A+EB/O,132,6,0
Araquanid BBi+WP/BBu,240,14,0
Araquanid (Shadow) BBi+WP/BBu,126,39,0
Arbok Ac+DP/SW,669,0,47
Arbok (Shadow) Ac+DP/SW,571,0,20
Arboliva ML+EP/TBl,43,29,0
Arcanine Sn+Cr/Ft,568,4,19
Arcanine (Hisuian) Sn+RS/Cr,848,3,97
Arcanine (Shadow) FF+WC/PsF,561,0,17
Archeops WA+AP/Cr,419,39,0
Archeops (Shadow) WA+AP/Cr,470,30,0
Arctibax DB+Av/DC,298,18,0
Armaldo FC+RB/Li,314,30,0
Armaldo (Shadow) FC+RB/Li,354,30,0
Armarouge I+Psh/FmC,354,30,0
Aromatisse FW+Psh/M,181,30,0
Articuno PS+IW/Hu,196,13,0
Articuno (Galarian) PC+Fl/BrB,439,21,0
Articuno (Shadow) PS+IW/Hu,225,13,0
Audino ZH+BS/DV,514,3,4
Aurorus PS+WBI/MeB,264,39,0
Aurorus (Shadow) PS+WBI/MeB,331,39,0
Avalugg IF+IW/Cr,283,5,0
Avalugg (Hisuian) PS+RS/IW,227,39,0
Azelf Cf+Sw/FS,93,38,0
Azumarill B+PR/IB,358,13,0
Banette SC+SB/DG,263,30,0
Banette (Shadow) SC+SB/DG,328,12,0
Barbaracle FC+CrC/SE,436,0,0
Basculin WG+AT/AJ,350,18,0
Bastiodon SD+SE/Ft,697,18,55
Bastiodon (Shadow) SD+SE/Ft,708,0,58
Baxcalibur DB+Av/DC,326,9,0
Beartic PS+IP/Li,380,31,0
Beedrill PSt+DR/XS,416,13,0
Beedrill (Shadow) PSt+DR/XS,315,12,0
Beheeyem Cf+RS/DP,218,3,0
Bellibolt SkP+PbC/ZC,302,6,0
Bellossom Ac+LB/DG,110,12,0
Bellossom (Shadow) Ac+LB/DG,162,12,0
Bewear SC+SP/St,314,21,0
Bewear (Shadow) SC+SP/St,253,21,0
Bibarel RO+S/HF,326,0,0
Bibarel (Shadow) RO+S/HF,417,0,0
Bisharp Sn+DP/IH,776,0,77
Blacephalon I+MdB/SB,669,3,47
Blastoise RO+HC/SkB,120,41,0
Blastoise (Shadow) RO+HC/IB,292,27,0
Blaziken E+AuS/BB,438,30,0
Blaziken (Shadow) E+AuS/BB,457,12,0
Blissey ZH+WC/DG,399,8,0
Boldore MSl+RS/Bd,589,9,25
Boldore (Shadow) MSl+RS/Bd,597,0,27
Boltund Sp+Cr/T,274,12,0
Bombirdier SkP+Fl/RT,151,30,0
Bouffalant MS+St/Eq,197,39,0
Braviary AS+Fl/CC,445,31,0
Braviary (Hisuian) AS+BrB/Fl,408,31,0
Breloom FPm+DyP/GK,97,38,0
Brionne WG+AJ/DV,471,10,0
Bronzong Cf+WBW/Pbk,351,0,0
Bruxish Cf+AT/PsF,177,12,0
Buzzwole C+SP/Lu,354,30,0
Cacturne SkP+DyP/TBl,84,38,0
Cacturne (Shadow) SkP+DyP/TBl,71,20,0
Camerupt I+EP/RT,690,4,53
Camerupt (Shadow) I+EP/RT,687,3,52
Carbink RTh+RS/M,618,1,33
Carnivine VW+EB/Cr,168,12,0
Carracosta WG+BS/AP,470,36,0
Carracosta (Shadow) WG+BS/Li,615,18,32
Celebi Cf+SeB/AuS,117,30,0
Celesteela AS+BS/Bd,261,4,0
Centiskorch E+HW/Lu,336,31,0
Ceruledge I+SB/FmC,690,0,53
Cetitan PS+ISp/SP,299,39,0
Chandelure FS+SB/FmC,647,0,41
Chandelure (Shadow) I+SB/FmC,651,3,42
Chansey ZH+DG/P,690,6,53
Charizard DB+BB/AC,258,30,0
Charizard (Shadow) DB+BB/AC,334,12,0
Cherrim (Overcast) BS+DG/SoB,219,31,0
Cherrim (Sunshine) BS+WBF/SoB,216,22,0
Chesnaught LK+FP/SP,121,39,0
Chesnaught (Shadow) LK+FP/SP,183,39,0
Chimecho A+Psh/SB,317,4,0
Cinccino Ch+AT/Tb,237,39,0
Cinderace FS+BB/PB,705,0,57
Clawitzer WG+Crbh/DP,451,19,0
Claydol MSl+IB/RT,429,5,0
Claydol (Shadow) MSl+RT/IB,387,22,0
Clefable FW+MM/M,188,39,0
Clodsire PSt+SE/Eq,367,22,0
Cloyster IS+IW/HP,258,30,0
Cloyster (Shadow) IS+IW/HP,176,15,0
Coalossal FS+RS/FmC,741,4,67
Cobalion DK+SSw/SE,345,0,0
Cofagrigus SC+SB/DP,316,13,0
Cofagrigus (Shadow) SC+SB/DP,345,4,0
Comfey VW+GK/DK,348,4,0
Conkeldurr FPm+DyP/BrS,212,12,0
Conkeldurr (Shadow) FPm+DyP/BrS,110,38,0
Corviknight SdA+AC/Pbk,129,39,0
Crabominable B+IP/BkB,393,40,0
Cradily Ac+RT/GK,202,13,0
Cradily (Shadow) Ac+RT/GK,238,13,0
Crawdaunt W+NS/Crbh,361,0,0
Crawdaunt (Shadow) W+NS/Sc,464,0,0
Cresselia PC+GK/M,144,39,0
Cresselia (Shadow) PC+GK/M,159,39,0
Crobat AS+PF/SB,273,22,0
Crobat (Shadow) AS+PF/SB,357,4,0
Crocalor I+Cr/Ft,733,4,65
Crustle FC+XS/RW,273,30,0
Crustle (Shadow) FC+XS/RW,306,30,0
Cryogonal IS+NS/TAx,318,31,0
Cursola A+NSh/PG,270,12,0
Dachsbun Ch+PsF/BS,218,30,0
Darkrai Sn+SB/DP,429,27,0
Darkrai (Shadow) Sn+SB/DP,676,4,49
Darmanitan (Galarian) IF+Av/SP,468,4,0
Darmanitan (Standard) I+RS/Ov,647,0,41
Darmanitan (Standard) (Shadow) I+RS/Ov,651,12,42
Dartrix Pk+BrB/EB,130,39,0
Decidueye A+FP/SSh,130,30,0
Decidueye (Hisuian) PC+AuS/TBl,121,21,0
Dedenne TS+D/PbC,276,12,0
Delphox FS+Psh/BB,705,0,57
Delphox (Shadow) FS+Psh/BB,669,0,47
Deoxys (Defense) C+PB/RS,234,31,0
Deoxys (Speed) CB+PB/Sw,283,30,0
Dewgong IS+IW/DR,279,12,0
Dhelmise SC+SB/BrS,141,12,0
Dialga DB+IH/T,525,0,7
Dialga (Origin) DB+ROT/IH,525,0,7
Dialga (Shadow) DB+IH/T,290,3,0
Diancie RTh+RS/M,307,30,0
Dipplin DT+SeB/O,49,5,0
Dodrio Pk+DrlP/BrB,351,21,0
Dondozo W+S/O,224,3,0
Donphan MSl+BS/Eq,282,39,0
Donphan (Shadow) MSl+BS/Eq,300,12,0
Doublade SC+SSw/GB,218,21,0
Dragalge DT+AT/O,122,23,0
Dragapult DT+SB/O,373,27,0
Dragonite DB+TP/SP,141,30,0
Dragonite (Shadow) DB+TP/SP,158,30,0
Drampa DB+Sw/DgP,177,12,0
Drapion PSt+Cr/AT,385,27,0
Drapion (Shadow) PSt+AT/Cr,241,3,0
Drifblim H+IW/SB,101,39,0
Drifblim (Shadow) H+SB/IW,125,39,0
Druddigon DT+NS/RT,187,39,0
Dubwool DK+BS/Pbk,200,39,0
Dudunsparce RO+BS/DR,271,4,0
Dunsparce RO+DR/RS,323,31,0
Duraludon DT+DC/FC,597,0,27
Durant BBi+XS/SE,232,3,0
Dusknoir A+DyP/ShP,247,39,0
Dusknoir (Shadow) A+DyP/ShP,239,12,0
Eelektross VS+DC/Tb,98,20,0
Eldegoss BS+EB/GK,126,39,0
Electabuzz TS+TP/Re,261,12,0
Electabuzz (Shadow) TS+TP/Tb,294,12,0
Electivire TS+WC/IP,292,12,0
Electivire (Shadow) TS+WC/IP,366,12,0
Electrode VS+FoP/D,123,29,0
Electrode (Hisuian) TS+WC/EB,250,21,0
Electrode (Shadow) VS+FoP/D,112,20,0
Emboar E+BB/RS,830,0,92
Emboar (Shadow) E+BB/RS,450,21,0
Empoleon MSo+HC/DrlP,496,15,0
Empoleon (Shadow) MSo+HC/DrlP,517,0,5
Enamorus (Incarnate) FW+Fl/DG,230,21,0
Enamorus (Therian) FW+MF/M,160,39,0
Entei FS+ScS/FmC,661,4,45
Entei (Shadow) FS+ScS/FmC,647,0,41
Escavalier BBi+RSh/DR,228,12,0
Escavalier (Shadow) BBi+DR/RSh,85,29,0
Espathra Cf+Psh/DG,195,3,0
Espeon Cf+PsF/SB,103,38,0
Eternatus DT+DyC/SlB,597,9,27
Excadrill MS+DR/RS,383,12,0
Excadrill (Shadow) MS+DR/RS,466,12,0
Exeggutor Cf+SeB/P,159,3,0
Exeggutor (Alolan) DT+SeB/DM,94,5,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,94,5,0
Exeggutor (Shadow) Cf+SeB/P,76,38,0
Exploud A+Cr/DV,310,31,0
Exploud (Shadow) A+Cr/DV,251,39,0
Falinks C+SP/Mh,327,12,0
Fearow Pk+DrlP/DR,197,21,0
Feraligatr SC+HC/IB,301,27,0
Feraligatr (Shadow) SC+HC/IB,176,21,0
Ferrothorn BS+PW/FC,118,32,0
Ferrothorn (Shadow) BS+PW/FC,290,27,0
Flamigo WA+UH/BrB,459,21,0
Flapple DB+Fl/SeB,105,5,0
Flareon E+SP/HW,830,0,92
Floatzel W+AJ/Sw,379,0,0
Florges FW+CW/DV,335,13,0
Flygon DT+Tw/ST,216,30,0
Flygon (Shadow) DT+Tw/ST,234,21,0
Forretress VS+RT/ST,171,3,0
Forretress (Shadow) VS+RT/ST,79,38,0
Fraxure DT+AT/NS,190,12,0
Froslass PS+Av/SB,356,4,0
Froslass (Shadow) PS+Av/SB,257,39,0
Frosmoth PS+IB/BBu,423,31,0
Furfrou SkP+S/GK,317,4,0
Furret SkP+Sw/BkB,213,21,0
Gabite MS+Tw/Dg,415,13,0
Gabite (Shadow) MS+Tw/Dg,311,12,0
Gallade PC+CC/LB,97,38,0
Gallade (Shadow) PC+CC/LB,97,38,0
Galvantula VS+D/CP,70,20,0
Galvantula (Shadow) VS+D/CP,82,2,0
Garbodor Inf+BS/SeB,431,0,0
Garbodor (Shadow) Inf+BS/SeB,261,21,0
Garchomp DT+ST/Tw,225,30,0
Garchomp (Shadow) DT+ST/Tw,287,21,0
Gardevoir Cf+TAx/SB,233,3,0
Gardevoir (Shadow) Cf+TAx/SB,90,29,0
Garganacl MS+RT/RB,403,13,0
Gastrodon MSl+BS/EP,176,39,0
Genesect FC+XS/TBN,271,30,0
Genesect (Burn) FC+XS/TBB,271,30,0
Genesect (Chill) FC+XS/TBC,271,30,0
Genesect (Douse) FC+XS/TBD,271,30,0
Genesect (Shock) FC+XS/TBS,271,30,0
Gengar SC+ShP/SB,334,12,0
Gengar (Shadow) SC+ShP/SB,196,8,0
Gholdengo H+SB/PG,705,0,57
Gigalith LO+SP/MeB,353,39,0
Gigalith (Shadow) LO+MeB/SP,769,0,75
Girafarig Cf+PsF/TBl,238,30,0
Girafarig (Shadow) Cf+PsF/TBl,286,3,0
Giratina (Altered) DB+DC/SS,98,41,0
Giratina (Altered) (Shadow) DB+DC/SS,84,14,0
Giratina (Origin) SC+SB/DgP,161,27,0
Glaceon IS+Av/WP,665,1,46
Glalie PS+Av/SB,308,4,0
Glalie (Shadow) PS+Av/SB,226,39,0
Gligar WA+NS/AA,412,13,0
Gligar (Shadow) WA+NS/AA,268,39,0
Glimmora RTh+MeB/PG,445,12,0
Gliscor WA+Acr/NS,208,30,0
Gliscor (Shadow) WA+Acr/NS,238,30,0
Gogoat VW+LB/RS,128,12,0
Golbat WA+AC/SB,210,21,0
Golbat (Shadow) WA+AC/SB,234,21,0
Golduck Cf+CrC/Li,279,0,0
Golduck (Shadow) Cf+CrC/Li,318,0,0
Golem MSl+Eq/SE,521,4,6
Golem (Alolan) VS+RB/WC,151,29,0
Golem (Alolan) (Shadow) VS+WC/RB,134,37,0
Golem (Shadow) MSl+Eq/SE,476,12,0
Golisopod FC+XS/AJ,131,30,0
Golurk A+ShP/EP,301,30,0
Golurk (Shadow) A+ShP/DyP,114,38,0
Goodra DB+AT/PW,105,5,0
Gorebyss Cf+WP/P,357,18,0
Gothitelle Cf+RS/FS,200,30,0
Gothitelle (Shadow) Cf+RS/FS,200,3,0
Gourgeist (Average) I+SB/SeB,187,13,0
Gourgeist (Large) I+SB/SeB,180,13,0
Gourgeist (Small) I+SB/SeB,205,13,0
Gourgeist (Super) I+SB/SeB,175,13,0
Grafaiai MSl+PF/SlB,561,0,17
Granbull Ch+CC/Cr,334,12,0
Granbull (Shadow) Ch+CC/Cr,261,38,0
Grapploct W+SP/IP,362,22,0
Graveler MSl+RS/Dg,604,21,29
Graveler (Alolan) VS+SE/RB,185,8,0
Graveler (Alolan) (Shadow) VS+SE/RB,192,20,0
Graveler (Shadow) MSl+RS/Dg,622,3,34
Greedent MS+BS/TBl,239,4,0
Greninja WSh+HC/NS,336,0,0
Greninja (Shadow) WSh+HC/NS,433,0,0
Grimmsnarl SkP+FoP/PR,212,12,0
Grotle RL+EB/BS,54,2,0
Grotle (Shadow) RL+EB/BS,51,37,0
Groudon MS+PrB/FiP,324,30,0
Groudon (Shadow) MS+PrB/FiP,372,30,0
Grumpig Psy+DyP/SB,286,4,0
Grumpig (Shadow) Psy+DyP/SB,210,39,0
Gumshoos Bi+RT/Cr,233,39,0
Gurdurr LK+BkB/SE,205,21,0
Gurdurr (Shadow) LK+BkB/SE,269,21,0
Guzzlord DT+BrS/DC,68,5,0
Gyarados DB+AT/Tw,128,21,0
Gyarados (Shadow) DB+AT/Tw,137,12,0
Hariyama FPm+UH/HS,199,12,0
Hariyama (Shadow) FPm+UH/HS,78,38,0
Hatterene PC+Psh/PW,258,12,0
Hawlucha LK+FlP/AA,165,21,0
Haxorus DT+DC/S,416,27,0
Heatmor FS+TP/Ft,676,4,49
Heatran FS+MgS/EP,705,0,57
Heatran (Shadow) FS+MgS/EP,669,30,47
Heliolisk VS+BkS/PbC,116,29,0
Heliolisk (Shadow) VS+BkS/PbC,105,11,0
Heracross FC+UH/RT,185,30,0
Hippowdon SdA+WBR/EP,241,30,0
Hippowdon (Shadow) SdA+WBR/EP,260,12,0
Hitmonchan C+IP/TP,236,12,0
Hitmonchan (Shadow) C+IP/TP,96,29,0
Hitmonlee DK+CC/BkB,279,30,0
Hitmonlee (Shadow) DK+CC/BkB,308,30,0
Hitmontop C+CC/TAx,350,30,0
Hitmontop (Shadow) C+CC/TAx,236,38,0
Ho-Oh I+BrB/SF,618,5,33
Ho-Oh (Shadow) I+BrB/SF,647,4,41
Honchkrow Pk+BrB/DP,362,30,0
Honchkrow (Shadow) Pk+BrB/DP,456,12,0
Hoopa Cf+SB/P,253,3,0
Hoopa (Unbound) Cf+SB/DP,111,38,0
Houndoom Sn+FoP/Ft,510,0,3
Houndoom (Shadow) Sn+FoP/Ft,454,21,0
Houndstone L+SB/PsF,326,13,0
Huntail WG+AT/Cr,348,18,0
Hydrapple DT+SeB/O,47,5,0
Hydreigon DB+BrS/DgP,176,12,0
Hydreigon (Shadow) DB+BrS/Fl,193,12,0
Hypno Cf+TP/SB,269,4,0
Hypno (Shadow) Cf+TP/IP,193,30,0
Illumise Tk+SvW/DG,439,14,0
Incineroar Sn+BrS/BB,553,4,15
Indeedee (Female) Ex+EB/P,348,40,0
Indeedee (Male) Ex+SB/P,539,10,11
Infernape FS+CC/BB,676,4,49
Infernape (Shadow) FS+CC/BB,633,30,37
Inteleon WG+S/SB,546,1,13
Jellicent H+S/SB,91,23,0
