Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,523,5,7
Corviknight SdA+AC/IH,774,9,83
Snorlax (Shadow) Psy+BS/Eq,418,32,0
Corviknight (Shadow) SdA+AC/Pbk,900,0,121
Melmetal TS+DbI/DyP,649,1,45
Virizion DK+LB/SSw,453,1,0
Zygarde (Complete Forme) DT+Cr/Bd,170,23,0
Empoleon MSo+HC/DrlP,642,9,43
Empoleon (Shadow) MSo+HC/DrlP,917,5,126
Mimikyu SC+SS/PR,114,23,0
Snorlax Psy+BS/Eq,348,32,0
Florges FW+CW/DV,592,5,28
Moltres (Galarian) SkP+Fl/BrB,850,0,106
Feraligatr (Shadow) SC+HC/IB,884,0,116
Feraligatr SC+HC/IB,615,9,35
Jellicent H+S/SB,930,0,130
Giratina (Altered) DB+AP/ShF,205,27,0
Cramorant Pk+Dve/Fl,678,9,54
Guzzlord DT+BrS/SlB,642,1,43
Skeledirge I+TSo/SB,413,18,0
Rillaboom Scr+DrB/EP,321,14,0
Lapras Psy+SpA/IB,559,36,18
Lapras (Shadow) Psy+SpA/IB,900,0,121
Dusknoir A+DyP/ShP,407,27,0
Ninetales (Alolan) PS+WBI/CW,586,1,26
Dondozo W+S/O,609,27,33
Dusknoir (Shadow) A+DyP/ShP,483,18,0
Registeel LO+FC/FB,586,10,26
Blastoise Bi+HC/SkB,933,0,131
Ninetales (Alolan) (Shadow) PS+WBI/CW,516,1,5
Forretress VS+RT/ST,622,5,37
Giratina (Altered) (Shadow) DB+AP/SS,242,27,0
Regidrago DB+DrE/VG,262,23,0
Ninetales E+WBF/EB,298,32,0
Cresselia PC+GK/M,302,63,0
Muk (Alolan) PJ+BrS/IP,576,1,23
Clefable FW+MM/DK,658,5,48
Talonflame I+Fl/BrB,854,0,107
Forretress (Shadow) VS+RT/ST,589,1,27
Walrein PS+ISp/Eq,900,0,121
Walrein (Shadow) PS+ISp/Eq,867,0,111
Deoxys (Defense) LK+PB/Tb,341,45,0
Runerigus SC+RT/SB,223,10,0
Steelix TF+PsF/Eq,754,10,77
Seaking Pk+DR/IW,933,0,131
Cresselia (Shadow) PC+GK/M,615,0,35
Steelix (Shadow) TF+PsF/Cr,725,1,68
Swampert MS+HC/Eq,274,23,0
Toucannon Pk+BBl/DrlP,741,0,73
Milotic (Shadow) W+AT/Wr,870,0,112
Primarina W+HC/M,870,0,112
Ampharos VS+BrS/TBl,698,1,60
Cradily (Shadow) Ac+RT/GK,391,32,0
Malamar (Shadow) Psy+FoP/SP,388,41,0
Ampharos (Shadow) VS+BrS/TBl,639,1,42
Talonflame (Shadow) I+Fl/BrB,827,0,99
Bellibolt SkP+PbC/ZC,455,10,0
Seismitoad MS+EP/IW,255,5,0
Annihilape LK+RF/IP,539,5,12
Miltank RO+BS/HH,327,23,0
Togekiss Pk+Psh/AuS,675,9,53
Malamar Psy+SP/FoP,519,1,6
Toucannon (Shadow) Pk+BBl/DrlP,900,0,121
Ninetales (Shadow) E+WBF/EB,361,32,0
Samurott FC+HC/Mh,900,0,121
Kingdra DB+S/Sw,330,41,0
Gyarados (Shadow) DB+AT/Tw,632,0,40
Muk (Alolan) (Shadow) PJ+BrS/IP,509,1,3
Golisopod FC+XS/AJ,615,9,35
Turtonator I+BrS/DC,489,1,0
Milotic W+AT/Wr,890,0,118
Bombirdier SkP+Fl/DR,850,0,106
Kingdra (Shadow) DB+S/Sw,496,18,0
Annihilape (Shadow) LK+RF/IP,599,18,30
Gyarados DB+AT/Tw,701,0,61
Oranguru Cf+BrS/TBl,589,5,27
Oinkologne (Female) TD+BS/TBl,596,1,29
Cradily Ac+RT/GK,566,1,20
Articuno PS+IW/Hu,900,0,121
Orthworm MSl+IH/RT,549,1,15
Piloswine (Shadow) PS+ISp/HH,464,14,0
Aromatisse FW+M/Psh,252,50,0
Tentacruel Ac+Sc/Pbk,900,0,121
Blastoise (Shadow) Bi+HC/SkB,933,0,131
Cofagrigus SC+SB/EB,420,45,0
Politoed (Shadow) MS+WBW/Eq,695,0,59
Tentacruel (Shadow) Ac+Sc/Pbk,884,0,116
Genesect (Shock) FC+MgB/TBS,867,0,111
Swampert (Shadow) MS+HC/Eq,336,23,0
Drapion PSt+Cr/AT,612,1,34
Hippowdon (Shadow) SdA+WBR/EP,266,14,0
Piloswine PS+ISp/HH,380,14,0
Raikou (Shadow) TS+WC/AuS,500,1,0
Cobalion DK+SSw/SE,642,1,43
Doublade SC+SSw/IH,281,50,0
Hippowdon SdA+WBR/EP,225,14,0
Zapdos TS+DrlP/Tb,778,9,84
Gastrodon MSl+BS/EP,259,23,0
Samurott (Shadow) FC+HC/Mh,867,0,111
Lickilicky RO+BS/SB,672,1,52
Sandslash (Alolan) PS+IP/DR,884,5,116
Sylveon FW+DK/SB,579,5,24
Charizard DB+BB/AC,900,0,121
Cofagrigus (Shadow) SC+SB/EB,100,63,0
Crustle FC+XS/RW,286,14,0
Kyurem DB+G/DC,482,23,0
Greninja (Shadow) WSh+HC/BrS,526,0,8
Grumpig Psy+DyP/SB,552,5,16
