Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,185,28,0
Lickilicky RO+BS/SB,254,46,0
Corviknight SdA+AC/Pbk,565,1,19
Tinkaton FW+GH/Bd,727,6,66
Corviknight (Shadow) SdA+AC/Pbk,648,5,43
Florges FW+CW/DV,356,6,0
Empoleon (Shadow) MSo+HC/DrlP,858,5,104
Virizion DK+LB/SSw,305,46,0
Empoleon MSo+HC/DrlP,503,14,1
Moltres (Galarian) SkP+Fl/BrB,167,77,0
Jellicent H+S/SB,377,9,0
Forretress VS+RT/ST,487,23,0
Zygarde (Complete Forme) DT+Cr/Eq,293,6,0
Feraligatr (Shadow) SC+HC/IB,789,5,84
Ninetales (Alolan) PS+WBI/CW,575,1,22
Forretress (Shadow) VS+RT/ST,775,5,80
Kingdra DB+S/Sw,225,10,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,527,6,8
Registeel LO+FC/FB,586,33,25
Dusknoir A+DyP/ShP,319,37,0
Lapras Psy+SpA/IB,359,9,0
Blastoise RO+HC/SkB,364,0,0
Dusknoir (Shadow) A+DyP/ShP,336,28,0
Talonflame I+Fl/BrB,214,23,0
Lapras (Shadow) Psy+SpA/IB,435,14,0
Malamar (Shadow) Psy+FoP/SP,347,28,0
Walrein (Shadow) PS+ISp/Eq,713,14,62
Dondozo W+S/O,337,18,0
Malamar Psy+FoP/SP,305,46,0
Regidrago DB+DrE/VG,224,19,0
Walrein PS+ISp/Eq,277,46,0
Giratina (Altered) DB+DC/SS,220,46,0
Bellibolt SkP+PbC/ZC,686,6,54
Annihilape LK+RF/CC,276,10,0
Talonflame (Shadow) I+Fl/BrB,803,5,88
Annihilape (Shadow) LK+RF/CC,334,10,0
Kingdra (Shadow) DB+S/Sw,258,10,0
Ninetales E+WBF/EB,634,6,39
Cresselia PC+GK/M,449,47,0
Milotic W+AT/Wr,368,0,0
Steelix TF+PsF/Eq,644,6,42
Cradily Ac+RT/GK,219,28,0
Giratina (Altered) (Shadow) DB+DC/SS,235,28,0
Seaking Pk+DR/IW,500,32,0
Swampert MS+HC/Eq,237,1,0
Feraligatr SC+HC/IB,97,50,0
Oranguru Cf+BrS/TBl,491,19,0
Runerigus SC+RT/SB,244,28,0
Steelix (Shadow) TF+PsF/Cr,568,6,20
Cradily (Shadow) Ac+RT/GK,241,28,0
Cresselia (Shadow) PC+GK/M,384,24,0
Ninetales (Shadow) E+WBF/EB,606,6,31
Ampharos (Shadow) VS+BrS/TBl,544,28,13
Clefable FW+MM/M,655,1,45
Milotic (Shadow) W+AT/Wr,459,5,0
Turtonator I+BrS/DC,579,6,23
Ampharos VS+BrS/TBl,541,6,12
Raikou (Shadow) TS+WC/AuS,841,1,99
Togekiss Pk+Psh/AuS,589,5,26
Hippowdon SdA+WBR/EP,266,19,0
Orthworm MSl+RT/Eq,582,6,24
Toucannon Pk+BBl/DrlP,789,5,84
Aromatisse FW+Psh/M,651,1,44
Golisopod FC+XS/AJ,858,5,104
Gyarados DB+AT/Tw,510,5,3
Toucannon (Shadow) Pk+BBl/DrlP,267,1,0
Hydreigon (Shadow) DB+BrS/Fl,336,10,0
Seismitoad MS+EP/IW,199,10,0
Hippowdon (Shadow) SdA+WBR/EP,296,1,0
Melmetal TS+DbI/DyP,631,46,38
Primarina W+DV/HC,586,5,25
Cobalion DK+SSw/SE,404,28,0
Guzzlord DT+BrS/DC,217,46,0
Samurott FC+HC/Mh,482,5,0
Tentacruel Ac+Sc/Pbk,278,28,0
Tentacruel (Shadow) Ac+Sc/Pbk,118,77,0
Blastoise (Shadow) RO+HC/IB,451,5,0
Sylveon FW+M/SB,613,1,33
Dudunsparce RO+BS/DR,294,37,0
Gyarados (Shadow) DB+AT/Tw,171,1,0
Aurorus PS+WBI/MeB,322,19,0
Dragalge DT+AT/O,316,28,0
Sandslash (Alolan) (Shadow) PS+IP/DR,872,1,108
Stunfisk TS+MB/D,589,6,26
Scizor (Shadow) BP+NS/TBl,644,1,42
Weezing (Galarian) FW+BrS/Sl,425,37,0
Goodra DB+AT/PW,245,46,0
Oinkologne (Female) MSl+BS/TBl,251,37,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,472,37,0
Gastrodon MSl+BS/EP,231,28,0
Kommo-o DT+ClS/UH,255,28,0
Ludicolo A+WBW/EB,348,9,0
Sandslash (Alolan) PS+IP/DR,596,10,28
Skeledirge I+TSo/SB,510,6,3
Swampert (Shadow) MS+HC/Eq,268,1,0
Aurorus (Shadow) PS+WBI/MeB,390,19,0
Cofagrigus SC+SB/DP,269,28,0
Crustle FC+XS/RW,303,19,0
Drapion PSt+Cr/AT,392,28,0
Samurott (Shadow) FC+HC/Mh,858,5,104
Drapion (Shadow) PSt+AT/Cr,437,28,0
Grumpig Psy+DyP/SB,292,37,0
Latias DB+MsB/AuS,257,28,0
Miltank RO+BS/IB,265,46,0
Stunfisk (Galarian) MS+RS/Eq,359,28,0
Articuno PS+IW/Hu,862,32,105
Politoed (Shadow) MS+WBW/Eq,101,68,0
Raikou TS+WC/AuS,456,28,0
Abomasnow (Shadow) PS+WBI/EB,686,14,54
Mandibuzz Sn+FoP/SB,327,36,0
Zapdos TS+DrlP/Tb,600,32,29
Kyurem DB+G/DC,295,19,0
