Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,437,20,0
Lickilicky RO+BS/SB,457,15,0
Corviknight SdA+AC/Pbk,520,15,6
Tinkaton FW+GH/Bd,879,0,110
Corviknight (Shadow) SdA+AC/Pbk,541,0,12
Florges FW+CW/DV,555,0,16
Virizion DK+LB/SSw,610,0,32
Empoleon (Shadow) MSo+HC/DrlP,786,0,83
Empoleon MSo+HC/DrlP,837,0,98
Moltres (Galarian) SkP+Fl/BrB,562,15,18
Annihilape LK+RF/IP,281,15,0
Annihilape (Shadow) C+RF/IP,337,15,0
Jellicent H+S/SB,173,35,0
Primeape KC+RF/IP,380,20,0
Forretress VS+ST/RT,824,100,94
Zygarde (Complete Forme) DT+Cr/Eq,268,20,0
Feraligatr (Shadow) SC+HC/IB,270,35,0
Forretress (Shadow) VS+ST/RT,831,80,96
Ninetales (Alolan) PS+WBI/CW,562,0,18
Kingdra DB+S/Sw,143,40,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,827,100,95
Registeel LO+FC/FB,868,20,107
Blastoise RO+HC/SkB,186,35,0
Dusknoir A+DyP/ShP,613,10,33
Lapras Psy+SpA/IB,365,0,0
Malamar Psy+SP/FoP,469,0,0
Cramorant Pk+Dve/Fl,257,60,0
Dusknoir (Shadow) A+DyP/ShP,579,0,23
Malamar (Shadow) Psy+FoP/SP,682,0,53
Lapras (Shadow) Psy+SpA/IB,428,0,0
Regidrago DB+DrE/VG,349,0,0
Talonflame I+Fl/BrB,727,15,66
Walrein PS+ISp/Eq,696,15,57
Walrein (Shadow) PS+ISp/Eq,613,20,33
Dondozo W+S/O,150,75,0
Giratina (Altered) DB+DC/SS,308,20,0
Talonflame (Shadow) I+FmC/Fl,613,15,33
Bellibolt TS+ZC/PbC,482,40,0
Kingdra (Shadow) DB+S/Sw,137,20,0
Milotic W+AT/Wr,181,35,0
Ninetales E+WBF/EB,572,0,21
Steelix TF+PsF/Cr,696,0,57
Cradily Ac+RT/GK,361,20,0
Cresselia PC+GK/M,648,15,43
Feraligatr SC+HC/IB,213,35,0
Giratina (Altered) (Shadow) DB+DC/SS,373,20,0
Oranguru Cf+BrS/TBl,497,10,0
Seaking Pk+DR/IW,316,0,0
Swampert MS+HC/Eq,175,20,0
Runerigus SC+SB/RT,392,20,0
Steelix (Shadow) TF+PsF/Cr,634,0,39
Cradily (Shadow) Ac+RT/GK,425,20,0
Cresselia (Shadow) PC+GK/M,600,0,29
Clefable FW+M/MM,679,15,52
Ninetales (Shadow) E+WBF/EB,672,20,50
Raikou (Shadow) TS+WC/AuS,403,20,0
Ampharos (Shadow) VS+BrS/TBl,360,20,0
Milotic (Shadow) W+AT/Wr,181,15,0
Togekiss Pk+Psh/AuS,348,35,0
Turtonator I+BrS/DC,387,20,0
Ampharos VS+BrS/TBl,593,0,27
Guzzlord DT+BrS/SlB,341,20,0
Hippowdon SdA+WBR/EP,250,20,0
Aromatisse FW+Psh/M,648,10,43
Golisopod FC+XS/AJ,450,0,0
Gyarados DB+AT/Tw,209,15,0
Hydreigon (Shadow) DB+BrS/Fl,256,20,0
Orthworm MSl+RT/Eq,579,0,23
Toucannon Pk+BBl/DrlP,421,40,0
Toucannon (Shadow) Pk+BBl/DrlP,496,40,0
Hippowdon (Shadow) SdA+WBR/EP,304,20,0
Melmetal TS+DbI/DyP,868,100,107
Seismitoad MS+EP/IW,282,0,0
Primarina W+DV/HC,208,60,0
Cobalion DK+SSw/SE,610,0,32
Goodra DB+AT/TP,172,20,0
Samurott FC+HC/Mh,402,0,0
Blastoise (Shadow) RO+HC/SkB,222,35,0
Sylveon FW+Psh/SB,658,15,46
Tentacruel (Shadow) Ac+Sc/Pbk,620,15,35
Dragalge Ac+AT/O,442,0,0
Dudunsparce RO+BS/DR,258,15,0
Tentacruel Ac+Sc/Pbk,682,15,53
Aurorus PS+WBI/MeB,713,20,62
Gyarados (Shadow) DB+AT/Tw,240,15,0
Sandslash (Alolan) (Shadow) PS+IP/DR,872,80,108
Scizor (Shadow) BP+NS/TBl,893,60,114
Stunfisk TS+MB/D,524,40,7
