Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,360,31,0
Abomasnow (Shadow) PS+WBI/EB,393,27,0
Absol PC+BrS/Mh,765,3,164
Absol (Shadow) PC+BrS/Mh,723,3,138
Accelgor WSh+EB/BBu,674,23,108
Accelgor (Shadow) WSh+EB/BBu,815,3,195
Aegislash (Shield) PC+SB/FC,320,42,0
Aerodactyl DB+RS/EP,545,3,28
Aerodactyl (Shadow) DB+RS/EP,572,15,45
Aggron DT+RT/T,375,18,0
Aggron (Shadow) DT+RT/T,459,14,0
Alakazam PC+FiP/SB,669,3,105
Alakazam (Shadow) PC+FiP/SB,610,3,68
Alomomola W+HP/Bl,395,31,0
Altaria DB+SA/Ft,687,23,116
Altaria (Shadow) DB+SA/Ft,852,7,218
Ambipom A+AA/Re,356,40,0
Ambipom (Shadow) A+AA/LS,838,15,209
Amoonguss A+FoP/GK,702,2,125
Amoonguss (Shadow) A+FoP/GK,673,3,107
Ampharos VS+BrS/TBl,660,3,99
Ampharos (Shadow) VS+BrS/TBl,760,31,161
Annihilape LK+RF/CC,395,39,0
Annihilape (Shadow) LK+RF/CC,497,39,0
Appletun A+EB/O,773,19,169
Araquanid BBi+WP/BBu,627,2,79
Araquanid (Shadow) BBi+WP/BBu,563,3,39
Arbok Ac+DP/SW,700,0,124
Arbok (Shadow) Ac+DP/SW,875,7,232
Arboliva ML+EP/TBl,699,0,123
Arcanine Sn+Cr/Ft,771,0,168
Arcanine (Hisuian) Sn+RS/Cr,535,3,22
Arcanine (Shadow) FF+WC/PsF,760,19,161
Archeops WA+AP/Cr,715,3,133
Archeops (Shadow) WA+AP/Cr,658,3,98
Arctibax DB+Av/DC,503,3,2
Armaldo FC+RB/Li,563,3,39
Armaldo (Shadow) FC+RB/Li,708,11,129
Armarouge I+Psh/FmC,514,0,9
Aromatisse FW+Psh/M,202,16,0
Articuno PS+IW/Hu,393,11,0
Articuno (Galarian) PC+Fl/BrB,372,40,0
Articuno (Shadow) PS+IW/Hu,346,35,0
Audino ZH+BS/DV,818,2,197
Aurorus PS+WBI/MeB,320,31,0
Aurorus (Shadow) PS+WBI/MeB,373,19,0
Avalugg IF+IW/Cr,317,43,0
Avalugg (Hisuian) PS+RS/IW,509,2,6
Azelf Cf+Sw/FS,718,3,135
Azumarill B+PR/IB,687,0,116
Banette SC+SB/DG,875,11,232
Banette (Shadow) SC+SB/DG,873,3,231
Barbaracle FC+CrC/SE,616,3,72
Basculin WG+AT/AJ,784,0,176
Bastiodon SD+SE/Ft,429,29,0
Bastiodon (Shadow) SD+SE/Ft,621,2,75
Baxcalibur DB+GlR/Av,152,40,0
Beartic PS+IP/Li,351,40,0
Beedrill PSt+DR/XS,611,35,69
Beedrill (Shadow) PSt+DR/XS,750,3,155
Beheeyem Cf+RS/DP,614,0,71
Bellibolt SkP+PbC/ZC,708,2,129
Bellossom Ac+LB/DG,584,3,52
Bellossom (Shadow) Ac+LB/DG,512,4,8
Bewear SC+SP/St,359,40,0
Bewear (Shadow) SC+SP/St,391,40,0
Bibarel RO+S/HF,734,31,145
Bibarel (Shadow) RO+S/HF,721,11,137
Bisharp Sn+DP/IH,668,2,104
Blacephalon I+MdB/SB,726,3,140
Blastoise RO+HC/SkB,540,26,25
Blastoise (Shadow) RO+HC/IB,576,3,47
Blaziken E+AuS/BB,713,19,132
Blaziken (Shadow) E+AuS/BB,674,3,108
Blissey ZH+WC/DG,642,1,88
Boldore MSl+RS/Bd,661,3,100
Boldore (Shadow) MSl+RS/Bd,862,15,224
Boltund Sp+Cr/T,736,0,146
Bombirdier SkP+Fl/RT,592,0,57
Bouffalant MS+St/Eq,699,3,123
Braviary AS+Fl/CC,613,0,70
Braviary (Hisuian) AS+BrB/Fl,516,0,10
Breloom FPm+DyP/GK,543,19,27
Brionne WG+AJ/DV,682,0,113
Bronzong Cf+WBW/Pbk,421,22,0
Bruxish Cf+AT/PsF,522,0,14
Buzzwole C+SP/Lu,579,0,49
Cacturne SkP+DyP/TBl,830,7,204
Cacturne (Shadow) SkP+DyP/TBl,825,3,201
Camerupt I+EP/RT,626,0,78
Camerupt (Shadow) I+EP/RT,878,11,234
Carbink RTh+RS/M,440,0,0
Carnivine VW+EB/Cr,770,0,167
Carracosta RTh+BS/AP,679,3,111
Carracosta (Shadow) RTh+BS/Li,622,3,76
Celebi Cf+SeB/AuS,650,3,93
Celesteela AS+BS/Bd,555,2,34
Centiskorch E+HW/Lu,627,2,79
Ceruledge I+SB/FmC,600,43,62
Cetitan PS+ISp/SP,368,39,0
Chandelure FS+SB/FmC,894,11,244
Chandelure (Shadow) I+SB/FmC,912,3,255
Chansey ZH+DG/P,802,13,187
Charizard DB+BB/AC,584,0,52
Charizard (Shadow) DB+BB/AC,666,15,103
Cherrim (Overcast) BS+DG/SoB,663,0,101
Cherrim (Sunshine) BS+WBF/SoB,724,0,139
Chesnaught LK+FP/SP,509,3,6
Chesnaught (Shadow) LK+FP/SP,619,0,74
Chimecho A+Psh/SB,665,3,102
Cinccino Ch+AT/Tb,569,0,43
Cinderace FS+BB/PB,679,0,111
Clawitzer WG+Crbh/DP,690,0,118
Claydol MSl+IB/RT,584,2,52
Claydol (Shadow) MSl+RT/IB,537,0,23
Clefable FW+MM/M,164,16,0
Clodsire PSt+SE/Eq,663,30,101
Cloyster IS+IW/HP,506,7,4
Cloyster (Shadow) IS+IW/HP,393,27,0
Coalossal FS+RS/FmC,566,34,41
Cobalion DK+SSw/SE,407,22,0
Cofagrigus SC+SB/DP,605,2,65
Cofagrigus (Shadow) SC+SB/DP,558,3,36
Comfey VW+GK/DK,395,32,0
Conkeldurr FPm+DyP/BrS,529,0,18
Conkeldurr (Shadow) FPm+DyP/BrS,517,19,11
Corviknight SdA+AC/Pbk,362,30,0
Corviknight (Shadow) SdA+AC/Pbk,404,30,0
Crabominable B+IP/BkB,677,35,110
Cradily Ac+RT/GK,535,18,22
Cradily (Shadow) Ac+RT/GK,655,2,96
Crawdaunt W+NS/Crbh,734,31,145
Crawdaunt (Shadow) W+NS/Sc,734,3,145
Cresselia PC+GK/M,389,22,0
Cresselia (Shadow) PC+GK/M,551,14,32
Crobat AS+PF/SB,645,3,90
Crobat (Shadow) AS+PF/SB,677,0,110
Crocalor I+Cr/Ft,752,0,156
Crustle FC+XS/RW,558,3,36
Crustle (Shadow) FC+XS/RW,453,35,0
Cryogonal IS+NS/TAx,542,3,26
Cursola A+NSh/PG,629,19,80
Dachsbun Ch+PsF/BS,368,28,0
Darkrai Sn+SB/DP,700,11,124
Darkrai (Shadow) Sn+SB/DP,639,3,86
Darmanitan (Galarian) IF+Av/SP,702,19,125
Darmanitan (Standard) I+RS/Ov,652,19,94
Darmanitan (Standard) (Shadow) I+RS/Ov,912,3,255
Dartrix Pk+BrB/EB,613,0,70
Decidueye A+FP/SSh,629,3,80
Decidueye (Hisuian) PC+AuS/TBl,435,43,0
Dedenne TS+D/PbC,705,0,127
Delphox FS+Psh/BB,694,0,120
Delphox (Shadow) FS+Psh/BB,647,27,91
Deoxys (Defense) C+PB/RS,687,10,116
Deoxys (Speed) CB+PB/Sw,834,23,207
Dewgong IS+IW/DR,580,10,50
Dewgong (Shadow) IS+IW/DR,538,3,24
Dhelmise SC+SB/BrS,572,39,45
Dialga DB+IH/T,553,35,33
Dialga (Origin) DB+ROT/IH,452,23,0
Dialga (Shadow) DB+IH/T,789,3,179
Diancie RTh+RS/M,276,12,0
Dipplin DT+SeB/O,482,15,0
Dodrio Pk+DrlP/BrB,485,19,0
Dondozo W+S/O,559,34,37
Donphan MSl+BS/Eq,517,3,11
Donphan (Shadow) MSl+BS/Eq,361,40,0
Doublade SC+SSw/GB,467,14,0
Dragalge DT+AT/O,797,11,184
Dragapult DT+SB/O,838,3,209
Dragonite DB+TP/SP,831,3,205
Dragonite (Shadow) DB+TP/SP,789,3,179
Drampa DB+Sw/DgP,831,3,205
Drapion PSt+Cr/AT,576,3,47
Drapion (Shadow) PSt+AT/Cr,618,0,73
Drifblim H+IW/SB,640,2,87
Drifblim (Shadow) H+SB/IW,382,43,0
Druddigon DT+NS/RT,744,3,151
Dubwool DK+BS/Pbk,644,3,89
Dudunsparce RO+BS/DR,642,2,88
Dunsparce RO+DR/RS,812,4,193
Duraludon DT+DC/FC,433,11,0
Durant BBi+XS/SE,509,2,6
Dusknoir A+DyP/ShP,606,2,66
Dusknoir (Shadow) A+DyP/ShP,432,43,0
Eelektross VS+DC/Tb,611,0,69
Eldegoss BS+EB/GK,747,7,153
Electabuzz TS+TP/Re,660,0,99
Electabuzz (Shadow) TS+TP/Tb,943,11,274
Electivire TS+WC/IP,705,31,127
Electivire (Shadow) TS+WC/IP,674,3,108
Electrode VS+FoP/D,635,0,84
Electrode (Hisuian) TS+WC/EB,663,0,101
Electrode (Shadow) VS+FoP/D,716,35,134
Emboar E+BB/RS,585,0,53
Emboar (Shadow) E+BB/RS,731,7,143
Empoleon MSo+HC/DrlP,436,39,0
Empoleon (Shadow) MSo+HC/DrlP,313,43,0
Enamorus (Incarnate) FW+Fl/DG,330,16,0
Enamorus (Therian) FW+MF/M,232,16,0
Entei FS+ScS/FmC,708,3,129
Entei (Shadow) FS+ScS/FmC,671,27,106
Escavalier BBi+RSh/DR,566,10,41
Escavalier (Shadow) BBi+DR/RSh,509,2,6
Espathra Cf+Psh/DG,377,40,0
Espeon Cf+PsF/SB,744,15,151
Eternatus DT+DyC/SlB,509,3,6
Excadrill MS+DR/RS,504,2,3
Excadrill (Shadow) MS+DR/RS,380,31,0
Exeggutor Cf+SeB/P,592,35,57
Exeggutor (Alolan) DT+SeB/DM,754,3,157
Exeggutor (Alolan) (Shadow) DT+SeB/DM,710,3,130
Exeggutor (Shadow) Cf+SeB/P,736,15,146
Exploud A+Cr/DV,610,3,68
Exploud (Shadow) A+Cr/DV,532,0,20
Falinks C+SP/Mh,563,0,39
Fearow Pk+DrlP/DR,392,40,0
Feraligatr SC+HC/IB,571,3,44
Feraligatr (Shadow) SC+HC/IB,511,0,7
Ferrothorn BS+PW/FC,406,30,0
Ferrothorn (Shadow) BS+PW/FC,403,35,0
Flamigo WA+UH/BrB,371,40,0
Flapple DB+Fl/SeB,666,3,103
