Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,492,39,0
Lickilicky RO+BS/SB,350,9,0
Corviknight SdA+AC/Pbk,543,7,12
Tinkaton FW+GH/Bd,446,34,0
Corviknight (Shadow) SdA+AC/Pbk,225,36,0
Florges FW+CW/DV,360,10,0
Empoleon (Shadow) MSo+HC/DrlP,405,7,0
Virizion DK+LB/SSw,287,9,0
Empoleon MSo+HC/DrlP,338,7,0
Moltres (Galarian) SkP+Fl/BrB,335,0,0
Jellicent H+S/SB,776,0,77
Forretress VS+RT/ST,683,7,51
Zygarde (Complete Forme) DT+Cr/Eq,375,34,0
Feraligatr (Shadow) SC+HC/IB,399,7,0
Ninetales (Alolan) PS+WBI/CW,183,12,0
Forretress (Shadow) VS+RT/ST,701,16,56
Kingdra DB+S/Sw,496,8,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,227,42,0
Registeel LO+FC/FB,625,0,35
Dusknoir A+DyP/ShP,561,0,17
Lapras Psy+SpA/IB,199,44,0
Blastoise RO+HC/SkB,424,2,0
Dusknoir (Shadow) A+DyP/ShP,361,42,0
Talonflame I+Fl/BrB,485,8,0
Lapras (Shadow) Psy+SpA/IB,316,1,0
Malamar (Shadow) Psy+FoP/SP,375,15,0
Walrein (Shadow) PS+ISp/Eq,462,0,0
Dondozo W+S/O,386,18,0
Malamar Psy+FoP/SP,483,32,0
Regidrago DB+DrE/VG,528,17,8
Walrein PS+ISp/Eq,192,20,0
Giratina (Altered) DB+DC/SS,769,0,75
Bellibolt SkP+PbC/ZC,367,18,0
Annihilape LK+RF/CC,719,0,61
Talonflame (Shadow) I+Fl/BrB,669,15,47
Annihilape (Shadow) LK+RF/CC,665,7,46
Kingdra (Shadow) DB+S/Sw,359,7,0
Ninetales E+WBF/EB,484,16,0
Cresselia PC+GK/M,654,25,43
Milotic W+AT/Wr,204,36,0
Steelix TF+PsF/Eq,812,7,87
Cradily Ac+RT/GK,546,7,13
Giratina (Altered) (Shadow) DB+DC/SS,769,0,75
Seaking Pk+DR/IW,582,6,23
Swampert MS+HC/Eq,488,24,0
Feraligatr SC+HC/IB,333,7,0
Oranguru Cf+BrS/TBl,282,31,0
Runerigus SC+RT/SB,669,0,47
Steelix (Shadow) TF+PsF/Cr,625,7,35
Cradily (Shadow) Ac+RT/GK,521,25,6
Cresselia (Shadow) PC+GK/M,830,0,92
Ninetales (Shadow) E+WBF/EB,557,8,16
Ampharos (Shadow) VS+BrS/TBl,625,0,35
Clefable FW+MM/M,476,10,0
Milotic (Shadow) W+AT/Wr,473,8,0
Turtonator I+BrS/DC,471,24,0
Ampharos VS+BrS/TBl,672,16,48
Raikou (Shadow) TS+WC/AuS,816,0,88
Togekiss Pk+Psh/AuS,633,8,37
Hippowdon SdA+WBR/EP,497,18,0
Orthworm MSl+RT/Eq,607,0,30
Toucannon Pk+BBl/DrlP,292,23,0
Aromatisse FW+Psh/M,561,17,17
Golisopod FC+XS/AJ,485,16,0
Gyarados DB+AT/Tw,575,0,21
Toucannon (Shadow) Pk+BBl/DrlP,317,23,0
Hydreigon (Shadow) DB+BrS/Fl,193,27,0
Seismitoad MS+EP/IW,424,6,0
Hippowdon (Shadow) SdA+WBR/EP,769,0,75
Melmetal TS+DbI/DyP,690,33,53
Primarina W+DV/HC,561,0,17
Cobalion DK+SSw/SE,773,42,76
Guzzlord DT+BrS/DC,190,9,0
Samurott FC+HC/Mh,597,0,27
Tentacruel Ac+Sc/Pbk,575,21,21
Tentacruel (Shadow) Ac+Sc/Pbk,543,17,12
Blastoise (Shadow) RO+HC/IB,575,24,21
Sylveon FW+M/SB,514,17,4
Dudunsparce RO+BS/DR,453,17,0
Gyarados (Shadow) DB+AT/Tw,535,0,10
Aurorus PS+WBI/MeB,200,12,0
Dragalge DT+AT/O,462,24,0
Sandslash (Alolan) (Shadow) PS+IP/DR,336,7,0
Stunfisk TS+MB/D,672,7,48
Scizor (Shadow) BP+NS/TBl,474,7,0
Weezing (Galarian) FW+BrS/Sl,472,9,0
Goodra DB+AT/PW,231,51,0
Oinkologne (Female) MSl+BS/TBl,260,4,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,654,0,43
Gastrodon MSl+BS/EP,466,9,0
Kommo-o DT+ClS/UH,463,0,0
Ludicolo A+WBW/EB,446,0,0
Sandslash (Alolan) PS+IP/DR,237,35,0
Skeledirge I+TSo/SB,712,15,59
Swampert (Shadow) MS+HC/Eq,514,0,4
Aurorus (Shadow) PS+WBI/MeB,233,42,0
Cofagrigus SC+SB/DP,669,0,47
Crustle FC+XS/RW,546,33,13
Drapion PSt+Cr/AT,245,9,0
Samurott (Shadow) FC+HC/Mh,445,15,0
Drapion (Shadow) PSt+AT/Cr,333,16,0
Grumpig Psy+DyP/SB,769,0,75
Latias DB+MsB/AuS,784,7,79
