Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,696,3,64
Corviknight SdA+AC/IH,671,27,56
Snorlax (Shadow) Psy+BS/Eq,852,3,115
Corviknight (Shadow) SdA+AC/Pbk,754,9,83
Melmetal TS+DbI/DyP,555,3,18
Virizion DK+LB/SSw,283,3,0
Zygarde (Complete Forme) DT+Cr/Bd,102,26,0
Empoleon MSo+HC/DrlP,680,3,59
Empoleon (Shadow) MSo+HC/DrlP,650,67,49
Mimikyu SC+SS/PR,576,4,25
Snorlax Psy+BS/Eq,852,3,115
Florges FW+CW/DV,405,10,0
Moltres (Galarian) SkP+Fl/BrB,671,15,56
Feraligatr (Shadow) SC+HC/IB,561,67,20
Feraligatr SC+HC/IB,631,3,43
Jellicent H+S/SB,662,21,53
Giratina (Altered) DB+AP/ShF,289,27,0
Cramorant Pk+Dve/Fl,794,43,96
Guzzlord DT+BrS/SlB,228,3,0
Skeledirge I+TSo/SB,266,38,0
Rillaboom Scr+DrB/EP,303,21,0
Lapras Psy+SpA/IB,684,27,60
Lapras (Shadow) Psy+SpA/IB,668,9,55
Dusknoir A+DyP/ShP,441,27,0
Ninetales (Alolan) PS+WBI/CW,455,10,0
Dondozo W+S/O,448,15,0
Dusknoir (Shadow) A+DyP/ShP,315,32,0
Registeel LO+FC/FB,567,4,22
Blastoise Bi+HC/SkB,684,15,60
Ninetales (Alolan) (Shadow) PS+WBI/CW,379,15,0
Forretress VS+RT/ST,638,3,45
Giratina (Altered) (Shadow) DB+AP/SS,430,4,0
Regidrago DB+DrE/VG,582,34,27
Ninetales E+WBF/EB,349,3,0
Cresselia PC+GK/M,521,27,7
Muk (Alolan) PJ+BrS/IP,757,3,84
Clefable FW+MM/DK,668,4,55
Talonflame I+Fl/BrB,680,32,59
Forretress (Shadow) VS+RT/ST,573,3,24
Walrein PS+ISp/Eq,582,9,27
Walrein (Shadow) PS+ISp/Eq,773,3,89
Deoxys (Defense) LK+PB/Tb,662,4,53
Runerigus SC+RT/SB,194,26,0
Steelix TF+PsF/Eq,500,4,0
Seaking Pk+DR/IW,739,3,78
Cresselia (Shadow) PC+GK/M,601,4,33
Steelix (Shadow) TF+PsF/Cr,690,4,62
Swampert MS+HC/Eq,248,3,0
Toucannon Pk+BBl/DrlP,837,32,110
Milotic (Shadow) W+AT/Wr,403,26,0
Primarina W+HC/M,489,32,0
Ampharos VS+BrS/TBl,647,3,48
Cradily (Shadow) Ac+RT/GK,601,28,33
Malamar (Shadow) Psy+FoP/SP,430,21,0
Ampharos (Shadow) VS+BrS/TBl,576,3,25
Talonflame (Shadow) I+Fl/BrB,607,20,35
Bellibolt SkP+PbC/ZC,549,4,16
Seismitoad MS+EP/IW,303,27,0
Annihilape LK+RF/IP,527,3,9
Miltank RO+BS/HH,515,28,5
Togekiss Pk+Psh/AuS,714,38,70
Malamar Psy+SP/FoP,754,3,83
Toucannon (Shadow) Pk+BBl/DrlP,855,20,116
Ninetales (Shadow) E+WBF/EB,292,2,0
Samurott FC+HC/Mh,671,38,56
Kingdra DB+S/Sw,444,27,0
Gyarados (Shadow) DB+AT/Tw,883,25,125
Muk (Alolan) (Shadow) PJ+BrS/IP,662,3,53
Golisopod FC+XS/AJ,711,32,69
