Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,429,15,0
Lickilicky RO+BS/SB,598,2,35
Corviknight SdA+AC/Pbk,396,42,0
Tinkaton FW+GH/Bd,615,33,41
Corviknight (Shadow) SdA+AC/Pbk,448,24,0
Florges FW+CW/DV,475,6,0
Empoleon (Shadow) MSo+HC/DrlP,596,6,34
Virizion DK+LB/SSw,256,1,0
Empoleon MSo+HC/DrlP,439,6,0
Moltres (Galarian) SkP+Fl/BrB,408,6,0
Jellicent H+S/SB,323,24,0
Forretress VS+RT/ST,621,42,43
Zygarde (Complete Forme) DT+Cr/Eq,516,2,6
Feraligatr (Shadow) SC+HC/IB,487,6,0
Ninetales (Alolan) PS+WBI/CW,615,6,41
Forretress (Shadow) VS+RT/ST,624,6,44
Kingdra DB+S/Sw,428,6,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,548,6,17
Registeel LO+FC/FB,649,2,53
Dusknoir A+DyP/ShP,536,6,13
Lapras Psy+SpA/IB,320,33,0
Blastoise RO+HC/SkB,490,2,0
Dusknoir (Shadow) A+DyP/ShP,331,28,0
Talonflame I+Fl/BrB,404,28,0
Lapras (Shadow) Psy+SpA/IB,350,15,0
Malamar (Shadow) Psy+FoP/SP,338,46,0
Walrein (Shadow) PS+ISp/Eq,247,37,0
Dondozo W+S/O,316,33,0
Malamar Psy+FoP/SP,494,15,0
Regidrago DB+DrE/VG,401,15,0
Walrein PS+ISp/Eq,352,6,0
Giratina (Altered) DB+DC/SS,406,2,0
Bellibolt SkP+PbC/ZC,470,33,0
Annihilape LK+RF/CC,320,46,0
Talonflame (Shadow) I+Fl/BrB,470,28,0
Annihilape (Shadow) LK+RF/CC,342,1,0
Kingdra (Shadow) DB+S/Sw,290,28,0
Ninetales E+WBF/EB,430,19,0
Cresselia PC+GK/M,305,15,0
Milotic W+AT/Wr,406,42,0
Steelix TF+PsF/Eq,870,6,131
Cradily Ac+RT/GK,211,28,0
Giratina (Altered) (Shadow) DB+DC/SS,356,33,0
Seaking Pk+DR/IW,433,6,0
Swampert MS+HC/Eq,500,6,0
Feraligatr SC+HC/IB,430,6,0
Oranguru Cf+BrS/TBl,252,19,0
Runerigus SC+RT/SB,570,6,25
Steelix (Shadow) TF+PsF/Cr,731,6,82
Cradily (Shadow) Ac+RT/GK,252,28,0
Cresselia (Shadow) PC+GK/M,224,19,0
Ninetales (Shadow) E+WBF/EB,493,1,0
Ampharos (Shadow) VS+BrS/TBl,417,1,0
Clefable FW+MM/M,579,6,28
Milotic (Shadow) W+AT/Wr,263,37,0
Turtonator I+BrS/DC,652,6,54
Ampharos VS+BrS/TBl,378,19,0
Raikou (Shadow) TS+WC/AuS,689,19,67
Togekiss Pk+Psh/AuS,590,6,32
Hippowdon SdA+WBR/EP,621,6,43
Orthworm MSl+RT/Eq,771,6,96
Toucannon Pk+BBl/DrlP,320,19,0
Aromatisse FW+Psh/M,576,6,27
Golisopod FC+XS/AJ,407,15,0
Gyarados DB+AT/Tw,253,46,0
Toucannon (Shadow) Pk+BBl/DrlP,371,19,0
Hydreigon (Shadow) DB+BrS/Fl,376,28,0
Seismitoad MS+EP/IW,635,24,48
Hippowdon (Shadow) SdA+WBR/EP,579,6,28
Melmetal TS+DbI/DyP,734,6,83
Primarina W+DV/HC,505,6,2
Cobalion DK+SSw/SE,542,6,15
Guzzlord DT+BrS/DC,348,6,0
Samurott FC+HC/Mh,445,15,0
Tentacruel Ac+Sc/Pbk,646,2,52
Tentacruel (Shadow) Ac+Sc/Pbk,556,2,20
Blastoise (Shadow) RO+HC/IB,418,6,0
Sylveon FW+M/SB,638,6,49
Dudunsparce RO+BS/DR,474,33,0
Gyarados (Shadow) DB+AT/Tw,287,46,0
Aurorus PS+WBI/MeB,661,6,57
Dragalge DT+AT/O,438,15,0
Sandslash (Alolan) (Shadow) PS+IP/DR,590,6,32
Stunfisk TS+MB/D,782,6,100
Scizor (Shadow) BP+NS/TBl,463,19,0
Weezing (Galarian) FW+BrS/Sl,624,6,44
Goodra DB+AT/PW,248,19,0
Oinkologne (Female) MSl+BS/TBl,253,37,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,542,6,15
Gastrodon MSl+BS/EP,474,24,0
Kommo-o DT+ClS/UH,295,37,0
Ludicolo A+WBW/EB,291,28,0
Sandslash (Alolan) PS+IP/DR,658,6,56
Skeledirge I+TSo/SB,596,46,34
Swampert (Shadow) MS+HC/Eq,387,37,0
Aurorus (Shadow) PS+WBI/MeB,612,37,40
Cofagrigus SC+SB/DP,478,42,0
Crustle FC+XS/RW,593,6,33
Drapion PSt+Cr/AT,711,6,75
Samurott (Shadow) FC+HC/Mh,328,28,0
Drapion (Shadow) PSt+AT/Cr,559,6,21
Grumpig Psy+DyP/SB,497,33,0
Latias DB+MsB/AuS,286,28,0
Miltank RO+BS/IB,539,2,14
Stunfisk (Galarian) MS+RS/Eq,796,6,105
Articuno PS+IW/Hu,300,24,0
Politoed (Shadow) MS+WBW/Eq,420,6,0
Raikou TS+WC/AuS,522,6,8
Abomasnow (Shadow) PS+WBI/EB,311,1,0
Mandibuzz Sn+FoP/SB,423,11,0
Zapdos TS+DrlP/Tb,345,46,0
Kyurem DB+G/DC,397,15,0
Primeape KC+RF/CC,391,28,0
Grimmsnarl SkP+FoP/PR,448,46,0
Mewtwo (Armored) Cf+Pst/DyP,401,33,0
Bombirdier SkP+Fl/RT,259,28,0
Drifblim H+IW/SB,439,42,0
Grumpig (Shadow) Psy+DyP/SB,519,6,7
Nidoqueen MSl+PF/EP,433,37,0
Doublade SC+SSw/GB,635,6,48
Greedent MS+BS/TBl,236,37,0
Jirachi Cf+DD/AuS,556,6,20
Articuno (Shadow) PS+IW/Hu,209,37,0
Blaziken (Shadow) E+AuS/BB,615,1,41
Gourgeist (Super) I+SB/SeB,360,33,0
Politoed MS+WBW/Eq,370,6,0
Rapidash (Shadow) I+WC/DR,870,1,131
Primeape (Shadow) KC+RF/IP,482,28,0
Abomasnow PS+WBI/EB,267,1,0
Coalossal FS+RS/FmC,793,28,104
Crustle (Shadow) FC+XS/RW,502,37,1
Mantine WA+Tw/WP,302,33,0
Rapidash I+WC/DR,895,1,140
Trevenant (Shadow) SC+SB/SeB,273,1,0
Zapdos (Shadow) TS+DrlP/Tb,448,46,0
Drifblim (Shadow) H+SB/IW,409,6,0
Gourgeist (Average) I+SB/SeB,377,33,0
Gourgeist (Large) I+SB/SeB,370,33,0
Spiritomb SkP+SB/RT,488,6,0
Trevenant SC+SB/SeB,214,1,0
Nidoqueen (Shadow) MSl+PF/EP,771,19,96
Zeraora VS+PF/WC,737,86,84
Palossand A+SB/ST,400,37,0
Electrode (Hisuian) TS+WC/EB,352,1,0
Pelipper WA+WBW/Hu,214,46,0
Yveltal SkP+DP/ObW,245,46,0
Bronzong Cf+WBW/Pbk,528,6,10
Regirock LO+SE/FB,652,6,54
Slurpuff FW+EB/Ft,301,1,0
Tapu Fini WG+S/NM,709,6,74
Gliscor WA+Acr/NS,542,6,15
Greninja (Shadow) WSh+HC/NS,386,28,0
Hydreigon DB+BrS/DgP,320,46,0
Amoonguss (Shadow) A+FoP/GK,271,37,0
Pawmot TS+BkB/WC,717,37,77
Giratina (Origin) SC+SB/DgP,346,6,0
Latias (Shadow) DB+MsB/AuS,323,28,0
Lugia DT+A/Fl,326,6,0
Umbreon Sn+FoP/LR,456,11,0
Bellossom (Shadow) Ac+LB/DG,312,1,0
Genesect (Shock) FC+XS/TBS,433,46,0
Gourgeist (Small) I+SB/SeB,406,33,0
Machamp (Shadow) KC+CrC/RS,440,28,0
Magnezone VS+WC/MrS,810,10,110
Conkeldurr (Shadow) FPm+DyP/BrS,427,28,0
Regice LO+T/Bl,596,2,34
Registeel (Shadow) LO+FB/ZC,598,2,35
Oinkologne MSl+BS/TBl,272,28,0
Golurk (Shadow) A+ShP/DyP,759,1,92
Starmie (Shadow) Psy+AJ/PG,340,28,0
Typhlosion I+BB/TP,895,1,140
Dodrio Pk+DrlP/BrB,354,19,0
Genesect (Burn) FC+XS/TBB,433,46,0
Perrserker SC+CC/FoP,658,6,56
Solrock Psy+WBF/RS,644,46,51
Electivire TS+WC/IP,740,37,85
Gogoat VW+LB/RS,261,1,0
Lucario FPm+AuS/SB,486,28,0
Toedscruel MSl+SeB/EP,233,28,0
Typhlosion (Shadow) I+BB/TP,870,1,131
Blaziken E+AuS/BB,689,1,67
Magnezone (Shadow) VS+WC/MrS,841,1,121
Cofagrigus (Shadow) SC+SB/DP,338,28,0
Throh (Shadow) LK+BkB/BS,638,6,49
Camerupt I+EP/RT,887,1,137
Decidueye A+FP/SSh,248,37,0
Gallade (Shadow) PC+CC/LB,93,32,0
Gholdengo H+SB/PG,545,6,16
Lunatone Psy+WBI/RS,644,46,51
Armarouge I+Psh/FmC,895,1,140
Reshiram DB+FuF/DM,610,46,39
Skuntank PJ+Cr/TBl,348,28,0
Victreebel (Shadow) Ac+LB/SlB,110,41,0
Pangoro KC+CC/NS,390,37,0
Skuntank (Shadow) PJ+Cr/TBl,416,28,0
Starmie Psy+AJ/PG,564,6,23
Bellossom Ac+LB/DG,269,1,0
Decidueye (Hisuian) PC+AuS/TBl,307,1,0
Flygon (Shadow) DT+Tw/ST,525,6,9
Garganacl MS+RT/RB,697,33,70
Gliscor (Shadow) WA+Acr/NS,387,46,0
Victreebel Ac+LB/SlB,83,41,0
Cetitan PS+ISp/SP,632,6,47
Mew SC+Psh/WC,627,6,45
Sandslash SdA+NS/RT,635,6,48
Charizard DB+BB/AC,564,6,23
Raichu TS+BkB/WC,737,46,84
Slowbro Cf+DrP/IB,311,33,0
Toxicroak PSt+DyP/SB,632,6,47
Toxicroak (Shadow) PSt+DyP/SB,598,28,35
Amoonguss A+FoP/GK,217,37,0
Electivire (Shadow) TS+WC/IP,720,1,78
Flamigo WA+UH/BrB,327,19,0
Avalugg IF+IW/Cr,396,42,0
Flygon DT+Tw/ST,587,6,31
Golurk A+ShP/DyP,493,37,0
Incineroar Sn+BrS/BB,757,28,91
Torterra MSl+FP/ST,270,37,0
Victini Cf+VC/Psh,548,6,17
Genesect (Chill) FC+XS/TBC,409,28,0
Meganium (Shadow) VW+FP/Eq,295,19,0
Morpeko (Full Belly) TS+AuW/PsF,740,1,85
Palkia (Origin) DB+AT/DM,345,28,0
Venusaur VW+FP/Sl,242,10,0
Venusaur (Shadow) VW+FP/Sl,261,1,0
Xerneas Geo+CC/M,505,6,2
Dhelmise SC+SB/BrS,278,37,0
Heracross FC+UH/RT,562,6,22
Palkia DB+AT/DM,337,28,0
Blacephalon I+MdB/SB,861,1,128
Conkeldurr FPm+DyP/BrS,380,28,0
Latios (Shadow) DB+AuS/LrP,416,28,0
Zygarde (50% Forme) DT+Cr/Eq,471,6,0
Dragonite (Shadow) DB+TP/SP,300,28,0
Genesect (Douse) FC+XS/TBD,409,28,0
Machamp KC+CrC/RS,514,6,5
Ferrothorn BS+PW/FC,178,28,0
Hawlucha LK+FlP/AA,567,6,24
Charizard (Shadow) DB+BB/AC,697,1,70
Dubwool DK+BS/Pbk,496,24,0
Gallade PC+CC/LB,93,32,0
Scizor BP+NS/TBl,375,19,0
Slowbro (Shadow) Cf+DrP/IB,228,37,0
Wailord RO+S/Bl,433,42,0
Raichu (Alolan) TS+TBl/WC,411,1,0
Thievul SkP+NS/PR,596,6,34
Uxie Cf+Sw/FS,366,6,0
Ferrothorn (Shadow) BS+PW/FC,234,28,0
Garchomp (Shadow) DT+ST/Tw,438,37,0
Meganium VW+FP/Eq,257,19,0
Scrafty C+FoP/TP,462,33,0
Greninja WSh+HC/NS,310,28,0
Throh LK+FB/BS,418,6,0
Vikavolt (Shadow) VS+XS/D,581,28,29
Roserade PSt+WBF/LfS,310,1,0
Snorlax L+BS/Eq,564,2,23
Altaria DB+SA/Ft,423,2,0
Baxcalibur DB+GlR/Av,490,6,0
Gengar (Shadow) SC+ShP/SB,793,1,104
Salamence (Shadow) DT+Fl/BrS,301,1,0
Clodsire PSt+SE/Eq,819,6,113
Barbaracle FC+CrC/SE,598,6,35
Lurantis Lf+LB/SP,61,41,0
Drampa DB+Sw/DgP,325,46,0
Poliwrath (Shadow) C+IW/Sc,370,6,0
Thundurus (Incarnate) (Shadow) TS+TP/BkB,675,46,62
Ursaring (Shadow) SC+Sw/CC,454,28,0
Dialga (Origin) DB+ROT/IH,361,46,0
Galvantula VS+D/Lu,646,6,52
Garchomp DT+ST/Tw,581,6,29
Latios DB+AuS/LrP,324,28,0
Lokix SkP+XS/TBl,320,28,0
Overqwil PJ+AT/DP,587,6,31
Shelgon (Shadow) DB+Tw/Ft,382,37,0
Sliggoo DB+BS/DgP,451,24,0
Camerupt (Shadow) I+EP/RT,870,1,131
Centiskorch E+HW/Lu,720,6,78
Regirock (Shadow) LO+SE/FB,596,6,34
Noctowl WA+SB/Re,607,2,38
Toxtricity Ac+WC/PUP,872,10,132
Kingambit MSo+FoP/FB,550,6,18
Torterra (Shadow) MSl+FP/ST,308,37,0
Altaria (Shadow) DB+SA/Ft,350,42,0
Magneton (Shadow) VS+MgB/D,872,1,132
Poliwrath C+IW/Sc,310,6,0
Hariyama FPm+UH/HS,514,6,5
Shelgon DB+Tw/Ft,496,15,0
Suicune IF+IB/Sc,326,42,0
Marshadow SC+CC/TP,390,28,0
