Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,229,21,0
Lickilicky RO+BS/SB,328,42,0
Corviknight SdA+AC/Pbk,272,48,0
Tinkaton FW+GH/Bd,258,3,0
Corviknight (Shadow) SdA+AC/Pbk,349,39,0
Florges FW+CW/DV,381,25,0
Empoleon (Shadow) MSo+HC/DrlP,148,35,0
Virizion DK+LB/SSw,701,7,68
Empoleon MSo+HC/DrlP,101,35,0
Moltres (Galarian) SkP+Fl/BrB,781,7,95
Jellicent H+S/SB,420,39,0
Forretress VS+RT/ST,297,30,0
Zygarde (Complete Forme) DT+Cr/Eq,852,51,119
Feraligatr (Shadow) SC+HC/IB,500,16,0
Ninetales (Alolan) PS+WBI/CW,376,7,0
Forretress (Shadow) VS+RT/ST,273,3,0
Kingdra DB+S/Sw,715,7,73
Ninetales (Alolan) (Shadow) PS+WBI/CW,471,7,0
Registeel LO+FC/FB,400,34,0
Dusknoir A+DyP/ShP,576,3,26
Lapras Psy+SpA/IB,359,52,0
Blastoise RO+HC/SkB,364,25,0
Dusknoir (Shadow) A+DyP/ShP,222,53,0
Talonflame I+Fl/BrB,366,3,0
Lapras (Shadow) Psy+SpA/IB,389,52,0
Malamar (Shadow) Psy+FoP/SP,573,3,25
Walrein (Shadow) PS+ISp/Eq,402,7,0
Dondozo W+S/O,339,43,0
Malamar Psy+FoP/SP,579,12,27
Regidrago DB+DrE/VG,754,7,86
Walrein PS+ISp/Eq,367,7,0
Giratina (Altered) DB+DC/SS,727,25,77
Bellibolt SkP+PbC/ZC,437,16,0
Annihilape LK+RF/CC,698,3,67
Talonflame (Shadow) I+Fl/BrB,407,3,0
Annihilape (Shadow) LK+RF/CC,653,3,52
Kingdra (Shadow) DB+S/Sw,585,3,29
Ninetales E+WBF/EB,320,39,0
Cresselia PC+GK/M,630,7,44
Milotic W+AT/Wr,353,16,0
Steelix TF+PsF/Eq,269,48,0
Cradily Ac+RT/GK,244,12,0
Giratina (Altered) (Shadow) DB+DC/SS,890,3,132
Seaking Pk+DR/IW,389,34,0
