Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,527,4,8
Lickilicky RO+BS/SB,402,14,0
Corviknight SdA+AC/Pbk,347,13,0
Tinkaton FW+GH/Bd,70,48,0
Corviknight (Shadow) SdA+AC/Pbk,445,13,0
Florges FW+CW/DV,454,18,0
Empoleon (Shadow) MSo+HC/DrlP,250,29,0
Virizion DK+LB/SSw,816,22,93
Empoleon MSo+HC/DrlP,370,21,0
Moltres (Galarian) SkP+Fl/BrB,819,13,94
Jellicent H+S/SB,595,4,28
Forretress VS+RT/ST,285,30,0
Zygarde (Complete Forme) DT+Cr/Eq,439,42,0
Feraligatr (Shadow) SC+HC/IB,459,40,0
Ninetales (Alolan) PS+WBI/CW,338,6,0
Forretress (Shadow) VS+RT/ST,322,30,0
Kingdra DB+S/Sw,918,4,123
Ninetales (Alolan) (Shadow) PS+WBI/CW,424,6,0
Registeel LO+FC/FB,317,31,0
Dusknoir A+DyP/ShP,591,12,27
Lapras Psy+SpA/IB,290,15,0
Blastoise RO+HC/SkB,424,14,0
Dusknoir (Shadow) A+DyP/ShP,571,3,21
Talonflame I+Fl/BrB,339,38,0
Lapras (Shadow) Psy+SpA/IB,305,22,0
Malamar (Shadow) Psy+FoP/SP,598,4,29
Walrein (Shadow) PS+ISp/Eq,355,22,0
Dondozo W+S/O,483,0,0
Malamar Psy+FoP/SP,615,4,34
Regidrago DB+DrE/VG,789,4,85
Walrein PS+ISp/Eq,317,22,0
Giratina (Altered) DB+DC/SS,738,5,70
Bellibolt SkP+PbC/ZC,465,7,0
Annihilape LK+RF/CC,656,4,46
Talonflame (Shadow) I+Fl/BrB,386,38,0
Annihilape (Shadow) LK+RF/CC,588,4,26
Kingdra (Shadow) DB+S/Sw,707,4,61
Ninetales E+WBF/EB,415,4,0
Cresselia PC+GK/M,456,40,0
Milotic W+AT/Wr,426,14,0
Steelix TF+PsF/Eq,242,30,0
Cradily Ac+RT/GK,391,7,0
Giratina (Altered) (Shadow) DB+DC/SS,911,13,121
Seaking Pk+DR/IW,412,40,0
Swampert MS+HC/Eq,347,4,0
Feraligatr SC+HC/IB,415,40,0
Oranguru Cf+BrS/TBl,392,3,0
Runerigus SC+RT/SB,571,5,21
Steelix (Shadow) TF+PsF/Cr,358,4,0
Cradily (Shadow) Ac+RT/GK,411,32,0
Cresselia (Shadow) PC+GK/M,602,4,30
Ninetales (Shadow) E+WBF/EB,361,3,0
Ampharos (Shadow) VS+BrS/TBl,534,21,10
Clefable FW+MM/M,358,15,0
Milotic (Shadow) W+AT/Wr,400,40,0
Turtonator I+BrS/DC,527,7,8
Ampharos VS+BrS/TBl,622,5,36
Raikou (Shadow) TS+WC/AuS,846,4,102
Togekiss Pk+Psh/AuS,432,15,0
Hippowdon SdA+WBR/EP,320,4,0
Orthworm MSl+RT/Eq,275,39,0
Toucannon Pk+BBl/DrlP,418,4,0
Aromatisse FW+Psh/M,348,6,0
Golisopod FC+XS/AJ,554,5,16
Gyarados DB+AT/Tw,615,5,34
Toucannon (Shadow) Pk+BBl/DrlP,772,4,80
Hydreigon (Shadow) DB+BrS/Fl,840,29,100
Seismitoad MS+EP/IW,275,13,0
Hippowdon (Shadow) SdA+WBR/EP,358,4,0
Melmetal TS+DbI/DyP,318,3,0
Primarina W+DV/HC,448,6,0
Cobalion DK+SSw/SE,625,0,37
Guzzlord DT+BrS/DC,846,4,102
Samurott FC+HC/Mh,414,40,0
Tentacruel Ac+Sc/Pbk,286,57,0
Tentacruel (Shadow) Ac+Sc/Pbk,310,39,0
Blastoise (Shadow) RO+HC/IB,615,5,34
Sylveon FW+M/SB,408,33,0
Dudunsparce RO+BS/DR,327,31,0
Gyarados (Shadow) DB+AT/Tw,738,22,70
Aurorus PS+WBI/MeB,320,31,0
Dragalge DT+AT/O,663,7,48
Sandslash (Alolan) (Shadow) PS+IP/DR,373,21,0
Stunfisk TS+MB/D,306,40,0
Scizor (Shadow) BP+NS/TBl,295,29,0
Weezing (Galarian) FW+BrS/Sl,333,16,0
Goodra DB+AT/PW,812,4,92
Oinkologne (Female) MSl+BS/TBl,418,14,0
Weezing (Galarian) (Shadow) FW+BrS/Sl,306,31,0
Gastrodon MSl+BS/EP,327,12,0
Kommo-o DT+ClS/UH,857,4,105
Ludicolo A+WBW/EB,595,14,28
Sandslash (Alolan) PS+IP/DR,293,21,0
