Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,314,48,0
Lickilicky RO+BS/SB,409,5,0
Corviknight SdA+AC/Pbk,532,33,11
Tinkaton FW+GH/Bd,137,34,0
Corviknight (Shadow) SdA+AC/Pbk,643,5,48
Florges FW+CW/DV,146,24,0
Empoleon (Shadow) MSo+HC/DrlP,401,48,0
Virizion DK+LB/SSw,175,48,0
Empoleon MSo+HC/DrlP,556,5,19
Moltres (Galarian) SkP+Fl/BrB,310,55,0
Jellicent H+S/SB,688,5,63
Forretress VS+RT/ST,223,34,0
Zygarde (Complete Forme) DT+Cr/Eq,532,37,11
Feraligatr (Shadow) SC+HC/IB,342,34,0
Ninetales (Alolan) PS+WBI/CW,117,13,0
Forretress (Shadow) VS+RT/ST,260,34,0
Kingdra DB+S/Sw,323,48,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,145,13,0
Registeel LO+FC/FB,426,40,0
Dusknoir A+DyP/ShP,601,100,34
Lapras Psy+SpA/IB,541,23,14
Blastoise RO+HC/SkB,271,55,0
Dusknoir (Shadow) A+DyP/ShP,694,84,65
Talonflame I+Fl/BrB,312,41,0
Lapras (Shadow) Psy+SpA/IB,274,48,0
Malamar (Shadow) Psy+FoP/SP,586,5,29
Walrein (Shadow) PS+ISp/Eq,227,20,0
Dondozo W+S/O,473,2,0
Malamar Psy+FoP/SP,757,5,86
Regidrago DB+DrE/VG,296,48,0
Walrein PS+ISp/Eq,202,20,0
Giratina (Altered) DB+DC/SS,535,5,12
Bellibolt SkP+PbC/ZC,442,19,0
Annihilape LK+RF/CC,649,5,50
Talonflame (Shadow) I+Fl/BrB,351,41,0
Annihilape (Shadow) LK+RF/CC,279,20,0
Kingdra (Shadow) DB+S/Sw,290,27,0
Ninetales E+WBF/EB,517,5,6
Cresselia PC+GK/M,598,5,33
Milotic W+AT/Wr,309,55,0
Steelix TF+PsF/Eq,386,12,0
Cradily Ac+RT/GK,225,55,0
Giratina (Altered) (Shadow) DB+DC/SS,485,55,0
Seaking Pk+DR/IW,544,2,15
Swampert MS+HC/Eq,688,5,63
Feraligatr SC+HC/IB,643,5,48
Oranguru Cf+BrS/TBl,775,5,92
Runerigus SC+RT/SB,568,5,23
Steelix (Shadow) TF+PsF/Cr,260,48,0
Cradily (Shadow) Ac+RT/GK,258,41,0
Cresselia (Shadow) PC+GK/M,529,5,10
Ninetales (Shadow) E+WBF/EB,330,41,0
Ampharos (Shadow) VS+BrS/TBl,298,20,0
Clefable FW+MM/M,159,34,0
Milotic (Shadow) W+AT/Wr,283,34,0
Turtonator I+BrS/DC,320,55,0
Ampharos VS+BrS/TBl,286,34,0
Raikou (Shadow) TS+WC/AuS,334,20,0
Togekiss Pk+Psh/AuS,535,2,12
Hippowdon SdA+WBR/EP,269,48,0
Orthworm MSl+RT/Eq,571,47,24
Toucannon Pk+BBl/DrlP,342,34,0
Aromatisse FW+Psh/M,154,34,0
Golisopod FC+XS/AJ,526,5,9
Gyarados DB+AT/Tw,353,48,0
Toucannon (Shadow) Pk+BBl/DrlP,349,10,0
