Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,196,28,0
Lickilicky RO+BS/SB,319,28,0
Corviknight SdA+AC/Pbk,751,4,74
Tinkaton FW+GH/Bd,432,43,0
Corviknight (Shadow) SdA+AC/Pbk,734,4,69
Florges FW+CW/DV,346,46,0
Empoleon (Shadow) MSo+HC/DrlP,287,50,0
Virizion DK+LB/SSw,874,1,110
Empoleon MSo+HC/DrlP,547,4,14
Moltres (Galarian) SkP+Fl/BrB,659,4,47
Jellicent H+S/SB,574,4,22
Forretress VS+RT/ST,334,19,0
Zygarde (Complete Forme) DT+Cr/Eq,365,6,0
Feraligatr (Shadow) SC+HC/IB,782,1,83
Ninetales (Alolan) PS+WBI/CW,332,1,0
Forretress (Shadow) VS+RT/ST,475,4,0
Kingdra DB+S/Sw,398,10,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,145,41,0
Registeel LO+FC/FB,659,6,47
Dusknoir A+DyP/ShP,352,10,0
Lapras Psy+SpA/IB,761,4,77
Blastoise RO+HC/SkB,379,10,0
Dusknoir (Shadow) A+DyP/ShP,436,10,0
Talonflame I+Fl/BrB,683,10,54
Lapras (Shadow) Psy+SpA/IB,761,4,77
Malamar (Shadow) Psy+FoP/SP,430,10,0
Walrein (Shadow) PS+ISp/Eq,227,50,0
Dondozo W+S/O,734,4,69
Malamar Psy+FoP/SP,358,10,0
Regidrago DB+DrE/VG,305,10,0
Walrein PS+ISp/Eq,202,50,0
Giratina (Altered) DB+DC/SS,262,28,0
Bellibolt SkP+PbC/ZC,317,6,0
Annihilape LK+RF/CC,670,1,50
Talonflame (Shadow) I+Fl/BrB,710,1,62
Annihilape (Shadow) LK+RF/CC,829,1,97
Kingdra (Shadow) DB+S/Sw,444,10,0
Ninetales E+WBF/EB,367,28,0
Cresselia PC+GK/M,430,24,0
Milotic W+AT/Wr,517,4,5
Steelix TF+PsF/Eq,279,6,0
Cradily Ac+RT/GK,233,28,0
Giratina (Altered) (Shadow) DB+DC/SS,334,28,0
Seaking Pk+DR/IW,846,4,102
Swampert MS+HC/Eq,551,6,15
Feraligatr SC+HC/IB,223,50,0
Oranguru Cf+BrS/TBl,346,46,0
Runerigus SC+RT/SB,230,28,0
Steelix (Shadow) TF+PsF/Cr,184,19,0
Cradily (Shadow) Ac+RT/GK,280,28,0
Cresselia (Shadow) PC+GK/M,333,13,0
Ninetales (Shadow) E+WBF/EB,530,4,9
Ampharos (Shadow) VS+BrS/TBl,298,1,0
Clefable FW+MM/M,358,19,0
Milotic (Shadow) W+AT/Wr,473,10,0
Turtonator I+BrS/DC,345,28,0
Ampharos VS+BrS/TBl,278,10,0
Raikou (Shadow) TS+WC/AuS,331,1,0
Togekiss Pk+Psh/AuS,598,19,29
Hippowdon SdA+WBR/EP,290,46,0
Orthworm MSl+RT/Eq,379,40,0
Toucannon Pk+BBl/DrlP,843,1,101
Aromatisse FW+Psh/M,358,19,0
Golisopod FC+XS/AJ,802,1,89
Gyarados DB+AT/Tw,812,1,92
Toucannon (Shadow) Pk+BBl/DrlP,812,1,92
Hydreigon (Shadow) DB+BrS/Fl,466,1,0
Seismitoad MS+EP/IW,449,6,0
Hippowdon (Shadow) SdA+WBR/EP,345,19,0
Melmetal TS+DbI/DyP,481,31,0
Primarina W+DV/HC,710,1,62
Cobalion DK+SSw/SE,351,28,0
Guzzlord DT+BrS/DC,285,28,0
Samurott FC+HC/Mh,860,10,106
Tentacruel Ac+Sc/Pbk,772,4,80
Tentacruel (Shadow) Ac+Sc/Pbk,697,4,58
Blastoise (Shadow) RO+HC/IB,475,10,0
Sylveon FW+M/SB,381,19,0
Dudunsparce RO+BS/DR,391,37,0
Gyarados (Shadow) DB+AT/Tw,751,1,74
Aurorus PS+WBI/MeB,107,41,0
Dragalge DT+AT/O,340,28,0
Sandslash (Alolan) (Shadow) PS+IP/DR,157,50,0
Stunfisk TS+MB/D,287,6,0
Scizor (Shadow) BP+NS/TBl,768,1,79
Weezing (Galarian) FW+BrS/Sl,391,28,0
Goodra DB+AT/PW,344,28,0
Oinkologne (Female) MSl+BS/TBl,625,6,37
Weezing (Galarian) (Shadow) FW+BrS/Sl,156,41,0
Gastrodon MSl+BS/EP,547,6,14
Kommo-o DT+ClS/UH,564,19,19
Ludicolo A+WBW/EB,734,10,69
Sandslash (Alolan) PS+IP/DR,126,50,0
Skeledirge I+TSo/SB,397,28,0
Swampert (Shadow) MS+HC/Eq,429,37,0
Aurorus (Shadow) PS+WBI/MeB,128,41,0
Cofagrigus SC+SB/DP,377,28,0
Crustle FC+XS/RW,376,19,0
Drapion PSt+Cr/AT,375,28,0
Samurott (Shadow) FC+HC/Mh,802,1,89
Drapion (Shadow) PSt+AT/Cr,424,10,0
Grumpig Psy+DyP/SB,345,28,0
Latias DB+MsB/AuS,378,28,0
Miltank RO+BS/IB,280,10,0
Stunfisk (Galarian) MS+RS/Eq,287,6,0
Articuno PS+IW/Hu,622,4,36
Politoed (Shadow) MS+WBW/Eq,673,19,51
Raikou TS+WC/AuS,261,1,0
Abomasnow (Shadow) PS+WBI/EB,598,1,29
Mandibuzz Sn+FoP/SB,598,31,29
Zapdos TS+DrlP/Tb,639,4,41
Kyurem DB+G/DC,323,10,0
Primeape KC+RF/CC,663,1,48
Grimmsnarl SkP+FoP/PR,622,4,36
Mewtwo (Armored) Cf+Pst/DyP,334,37,0
Bombirdier SkP+Fl/RT,622,4,36
Drifblim H+IW/SB,510,4,3
Grumpig (Shadow) Psy+DyP/SB,476,4,0
Nidoqueen MSl+PF/EP,287,37,0
Doublade SC+SSw/GB,496,22,0
Greedent MS+BS/TBl,540,6,12
Jirachi Cf+DD/AuS,460,4,0
Articuno (Shadow) PS+IW/Hu,547,4,14
Blaziken (Shadow) E+AuS/BB,782,1,83
Gourgeist (Super) I+SB/SeB,437,28,0
Politoed MS+WBW/Eq,714,4,63
Rapidash (Shadow) I+WC/DR,690,1,56
