Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,285,33,0
Lickilicky RO+BS/SB,685,3,98
Corviknight SdA+AC/Pbk,468,36,0
Tinkaton FW+GH/Bd,193,21,0
Corviknight (Shadow) SdA+AC/Pbk,404,42,0
Florges FW+CW/DV,146,30,0
Empoleon (Shadow) MSo+HC/DrlP,354,27,0
Virizion DK+LB/SSw,515,3,8
Empoleon MSo+HC/DrlP,414,21,0
Moltres (Galarian) SkP+Fl/BrB,449,36,0
Jellicent H+S/SB,566,6,35
Forretress VS+RT/ST,647,12,78
Zygarde (Complete Forme) DT+Cr/Eq,566,36,35
Feraligatr (Shadow) SC+HC/IB,204,51,0
Ninetales (Alolan) PS+WBI/CW,69,39,0
Forretress (Shadow) VS+RT/ST,594,0,50
Kingdra DB+S/Sw,619,3,63
Ninetales (Alolan) (Shadow) PS+WBI/CW,60,27,0
Registeel LO+FC/FB,385,9,0
Dusknoir A+DyP/ShP,626,9,67
Lapras Psy+SpA/IB,344,39,0
Blastoise RO+HC/SkB,560,3,32
Dusknoir (Shadow) A+DyP/ShP,558,39,31
Talonflame I+Fl/BrB,570,9,37
Lapras (Shadow) Psy+SpA/IB,242,6,0
Malamar (Shadow) Psy+FoP/SP,494,27,0
Walrein (Shadow) PS+ISp/Eq,142,24,0
Dondozo W+S/O,554,3,29
Malamar Psy+FoP/SP,666,6,88
Regidrago DB+DrE/VG,509,3,5
Walrein PS+ISp/Eq,125,24,0
Giratina (Altered) DB+DC/SS,568,27,36
Bellibolt SkP+PbC/ZC,732,3,123
Annihilape LK+RF/CC,477,9,0
Talonflame (Shadow) I+Fl/BrB,577,15,41
Annihilape (Shadow) LK+RF/CC,568,15,36
Kingdra (Shadow) DB+S/Sw,594,3,50
Ninetales E+WBF/EB,617,6,62
Cresselia PC+GK/M,403,45,0
Milotic W+AT/Wr,509,6,5
Steelix TF+PsF/Eq,679,0,95
Cradily Ac+RT/GK,613,18,60
Giratina (Altered) (Shadow) DB+DC/SS,522,3,12
Seaking Pk+DR/IW,363,27,0
Swampert MS+HC/Eq,463,39,0
Feraligatr SC+HC/IB,437,27,0
Oranguru Cf+BrS/TBl,702,9,107
Runerigus SC+RT/SB,674,9,92
