Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+IW/EB,807,3,72
Abomasnow (Shadow) Lf+IW/EB,807,3,72
Accelgor WSh+BBu/SiB,606,3,25
Accelgor (Shadow) WSh+BBu/SiB,585,2,20
Aerodactyl DB+RS/EP,308,7,0
Aerodactyl (Shadow) DB+RS/EP,315,18,0
Alakazam PC+FiP/SB,235,37,0
Alakazam (Shadow) PC+FiP/SB,235,37,0
Alomomola W+P/Bl,87,18,0
Altaria DB+SA/DgP,378,15,0
Altaria (Shadow) DB+SA/DgP,271,53,0
Ambipom A+AA/Re,547,3,11
Ambipom (Shadow) A+AA/HB,334,2,0
Amoonguss A+FoP/GK,606,3,25
Amoonguss (Shadow) A+FoP/GK,547,3,11
Ampharos VS+BrS/TBl,118,17,0
Ampharos (Shadow) VS+BrS/TBl,118,17,0
Annihilape LK+RF/CC,151,37,0
Annihilape (Shadow) LK+RF/CC,151,37,0
Appletun A+SeB/O,469,7,0
Araquanid BBi+WP/BBu,722,0,52
Arbok Ac+DP/SW,619,3,28
Arbok (Shadow) Ac+DP/SW,415,22,0
Arboliva ML+EP/TBl,811,3,73
Arcanine Sn+Cr/Ft,319,10,0
Arcanine (Hisuian) Sn+RS/Cr,279,14,0
Arcanine (Shadow) Sn+WC/PsF,168,37,0
Archeops WA+AP/Cr,572,3,17
Archeops (Shadow) WA+AP/Cr,427,6,0
Arctibax DB+Av/DC,424,18,0
Armaldo FC+RB/Li,341,10,0
Armaldo (Shadow) FC+RB/Li,368,10,0
Armarouge I+Psh/HW,324,6,0
Articuno PS+IW/Hu,443,7,0
Articuno (Galarian) PC+Fl/BrB,338,10,0
Articuno (Shadow) PS+IW/Hu,525,3,6
Audino ZH+BS/DV,636,1,32
Aurorus PS+WBI/MeB,135,26,0
Aurorus (Shadow) PS+WBI/MeB,135,26,0
Avalugg IF+IW/Cr,429,3,0
Avalugg (Hisuian) PS+RS/IW,208,11,0
Azelf Cf+Sw/FS,197,37,0
Banette SC+SB/DG,398,22,0
Banette (Shadow) SC+SB/DG,250,37,0
Barbaracle FC+SE/CrC,228,7,0
Basculin WG+AT/AJ,136,6,0
Baxcalibur DB+Av/DC,478,18,0
Beartic PS+IP/Li,318,10,0
Beedrill PSt+XS/DR,453,10,0
Beedrill (Shadow) PSt+XS/DR,551,2,12
Beheeyem Cf+RS/DP,182,37,0
Bellossom Ac+LB/DG,512,3,3
Bellossom (Shadow) Ac+LB/DG,377,6,0
Bewear SC+SP/Pbk,551,19,12
Bibarel RO+S/HF,152,33,0
Bibarel (Shadow) RO+S/HF,202,33,0
Blacephalon I+MdB/SB,568,10,16
Blastoise RO+HC/SkB,210,6,0
Blastoise (Shadow) RO+HC/SkB,165,37,0
Blaziken E+AuS/BB,178,37,0
Blaziken (Shadow) E+AuS/BB,237,37,0
Blissey ZH+WC/DG,408,41,0
Boldore MSl+RS/SE,458,4,0
Boldore (Shadow) MSl+RS/SE,611,19,26
Boltund Sp+Cr/T,167,33,0
Bouffalant MS+St/Mh,504,12,1
Braviary AS+Fl/CC,576,3,18
Braviary (Hisuian) AS+BrB/Fl,497,15,0
Breloom FPm+DyP/GK,636,2,32
Brionne WG+AJ/DV,172,29,0
Bruxish Cf+AT/PsF,322,2,0
Buzzwole C+SP/Lu,658,6,37
Camerupt I+RT/ScS,375,11,0
Camerupt (Shadow) I+RT/ScS,378,30,0
Carnivine VW+Cr/PW,854,3,83
Carracosta RTh+BS/AP,58,36,0
Carracosta (Shadow) RTh+BS/AP,78,32,0
Celebi Cf+SeB/AuS,525,3,6
Centiskorch E+HW/Lu,517,7,4
Ceruledge I+SB/HW,471,11,0
Cetitan PS+Av/ISp,261,10,0
