Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+IW/EB,106,42,0
Abomasnow (Shadow) Lf+IW/EB,131,42,0
Accelgor WSh+BBu/SiB,152,42,0
Accelgor (Shadow) WSh+BBu/SiB,188,42,0
Aerodactyl DB+RS/EP,133,42,0
Aerodactyl (Shadow) DB+RS/EP,162,42,0
Alakazam PC+FiP/SB,115,42,0
Alakazam (Shadow) PC+FiP/SB,94,28,0
Alomomola W+P/Bl,241,6,0
Altaria DB+SA/DgP,179,7,0
Altaria (Shadow) DB+SA/DgP,213,7,0
Ambipom A+AA/Re,253,7,0
Ambipom (Shadow) A+AA/HB,168,42,0
Amoonguss A+FoP/GK,287,7,0
Amoonguss (Shadow) A+FoP/GK,346,7,0
Ampharos VS+BrS/TBl,124,42,0
Ampharos (Shadow) VS+BrS/TBl,150,42,0
Annihilape LK+RF/CC,121,28,0
Annihilape (Shadow) LK+RF/CC,149,28,0
Appletun A+SeB/O,106,42,0
Araquanid BBi+WP/BBu,214,21,0
Arbok Ac+DP/SW,408,7,0
Arbok (Shadow) Ac+DP/SW,496,7,0
Arboliva ML+EP/TBl,233,7,0
Arcanine Sn+Cr/Ft,128,42,0
Arcanine (Hisuian) Sn+RS/Cr,138,42,0
Arcanine (Shadow) Sn+WC/PsF,156,42,0
Archeops WA+AP/Cr,197,42,0
Archeops (Shadow) WA+AP/Cr,229,42,0
Arctibax DB+Av/DC,129,42,0
Armaldo FC+RB/Li,94,28,0
Armaldo (Shadow) FC+RB/Li,108,28,0
Armarouge I+Psh/HW,59,28,0
Articuno PS+IW/Hu,171,7,0
Articuno (Galarian) PC+Fl/BrB,60,28,0
Articuno (Shadow) PS+IW/Hu,218,7,0
Audino ZH+BS/DV,520,7,4
Aurorus PS+WBI/MeB,65,28,0
Aurorus (Shadow) PS+WBI/MeB,79,28,0
Avalugg IF+IW/Cr,295,6,0
Avalugg (Hisuian) PS+RS/IW,104,42,0
Azelf Cf+Sw/FS,118,42,0
Banette SC+SB/DG,297,7,0
Banette (Shadow) SC+SB/DG,205,42,0
Barbaracle FC+SE/CrC,201,7,0
Basculin WG+AT/AJ,152,42,0
Baxcalibur DB+Av/DC,137,42,0
Beartic PS+IP/Li,95,28,0
Beedrill PSt+XS/DR,167,28,0
Beedrill (Shadow) PSt+XS/DR,201,28,0
Beheeyem Cf+RS/DP,162,7,0
Bellossom Ac+LB/DG,73,28,0
Bellossom (Shadow) Ac+LB/DG,85,28,0
Bewear SC+SP/Pbk,135,28,0
Bibarel RO+S/HF,150,42,0
Bibarel (Shadow) RO+S/HF,176,42,0
Blacephalon I+MdB/SB,155,28,0
Blastoise RO+HC/SkB,177,7,0
Blastoise (Shadow) RO+HC/SkB,210,7,0
Blaziken E+AuS/BB,168,28,0
Blaziken (Shadow) E+AuS/BB,201,28,0
Blissey ZH+WC/DG,180,0,0
Boldore MSl+RS/SE,245,7,0
Boldore (Shadow) MSl+RS/SE,296,7,0
Boltund Sp+Cr/T,277,7,0
Bouffalant MS+St/Mh,197,7,0
Braviary AS+Fl/CC,250,7,0
Braviary (Hisuian) AS+BrB/Fl,149,7,0
Breloom FPm+DyP/GK,492,7,0
Brionne WG+AJ/DV,271,7,0
Bruxish Cf+AT/PsF,88,42,0
Buzzwole C+SP/Lu,363,7,0
Camerupt I+RT/ScS,261,7,0
Camerupt (Shadow) I+RT/ScS,312,7,0
Carnivine VW+Cr/PW,138,42,0
Carracosta RTh+BS/AP,199,7,0
Carracosta (Shadow) RTh+BS/AP,245,7,0
Celebi Cf+SeB/AuS,72,42,0
Centiskorch E+HW/Lu,84,28,0
Ceruledge I+SB/HW,255,7,0
Cetitan PS+Av/ISp,72,28,0
Chandelure I+SB/FmC,316,7,0
Chandelure (Shadow) I+SB/FmC,383,7,0
Chansey ZH+DG/P,654,14,30
Charizard DB+BB/AC,92,28,0
Charizard (Shadow) DB+BB/AC,105,28,0
Cherrim (Overcast) BS+DG/SoB,238,7,0
Cherrim (Sunshine) BS+WBF/SoB,398,6,0
Chesnaught VW+FP/SP,177,42,0
Chesnaught (Shadow) VW+FP/SP,204,42,0
Chimecho A+Psh/SB,73,42,0
Cinccino Ch+AT/Tb,265,7,0
Cinderace FS+Ft/FmC,271,7,0
Clawitzer WG+Crbh/DP,306,21,0
Claydol MSl+IB/RT,116,7,0
Claydol (Shadow) Cf+RT/SB,419,6,0
Clodsire PSt+SE/Eq,242,7,0
Cloyster IS+IW/HP,200,7,0
Cloyster (Shadow) IS+IW/HP,241,7,0
Coalossal FS+RS/FmC,137,7,0
Cofagrigus SC+SB/DP,179,7,0
Cofagrigus (Shadow) SC+SB/DP,215,7,0
Conkeldurr PJ+DyP/BrS,145,28,0
Conkeldurr (Shadow) PJ+DyP/BrS,174,28,0
Crabominable B+IP/BkB,225,42,0
Crobat AS+PF/SB,327,7,0
Crobat (Shadow) AS+PF/SB,389,7,0
Crocalor I+Cr/DV,236,7,0
Crustle FC+XS/RW,73,28,0
Crustle (Shadow) FC+XS/RW,86,28,0
Cryogonal IS+NS/TAx,105,42,0
Cursola A+NSh/PG,159,42,0
Darmanitan (Galarian) IF+Av/IP,310,7,0
Darmanitan (Standard) I+RS/Ov,310,7,0
Darmanitan (Standard) (Shadow) I+RS/Ov,372,7,0
Dartrix Pk+BrB/SeB,241,7,0
Decidueye A+FP/SSh,127,42,0
Decidueye (Hisuian) ML+AuS/AA,192,42,0
Delphox FS+Psh/BB,85,42,0
Delphox (Shadow) FS+Psh/BB,106,42,0
Deoxys (Defense) C+PB/RS,293,6,0
Deoxys (Speed) CB+PB/Sw,530,6,6
Dewgong IS+IW/DR,174,7,0
Dhelmise SC+SB/BrS,94,28,0
Dipplin DT+SeB/O,187,7,0
Dodrio Pk+DrlP/TBl,106,28,0
Dondozo W+S/O,148,7,0
Donphan MSl+BS/TBl,119,42,0
Donphan (Shadow) MSl+BS/TBl,147,42,0
Dragalge DT+AT/O,299,7,0
Dragapult DT+SB/BkS,280,7,0
Dragonite DB+TP/SP,96,28,0
Dragonite (Shadow) DB+TP/SP,110,28,0
Drampa DB+Sw/Fl,93,28,0
Drifblim A+SB/IW,193,7,0
Drifblim (Shadow) A+SB/IW,126,42,0
Druddigon DT+NS/RT,90,28,0
Dubwool DK+BS/Pbk,184,7,0
Dudunsparce RO+BS/RS,103,42,0
Dunsparce RO+RS/DR,256,21,0
Eelektross VS+DC/Tb,250,7,0
Eldegoss BS+GK/EB,193,7,0
Electabuzz TS+TP/Re,87,28,0
Electabuzz (Shadow) TS+TP/Tb,109,28,0
Electivire TS+WC/IP,105,28,0
Electivire (Shadow) TS+WC/IP,126,28,0
Electrode VS+FoP/D,126,42,0
Electrode (Hisuian) TS+WC/Sw,84,28,0
Electrode (Shadow) VS+FoP/D,158,42,0
Emboar E+BB/RS,152,28,0
Emboar (Shadow) E+BB/RS,178,28,0
Entei FS+ScS/FmC,227,7,0
Entei (Shadow) FS+ScS/FmC,287,7,0
Espeon Cf+PsF/SB,194,7,0
Eternatus DT+DyC/SlB,225,42,0
Exeggutor Cf+SeB/P,88,42,0
Exeggutor (Alolan) DT+SeB/DM,142,42,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,168,42,0
Exeggutor (Shadow) Cf+SeB/P,106,42,0
Exploud A+Cr/DV,204,7,0
Exploud (Shadow) A+Cr/DV,243,7,0
Falinks C+SP/Mh,364,7,0
Fearow Pk+DrlP/Tw,100,28,0
Feraligatr SC+HC/IB,75,28,0
Feraligatr (Shadow) SC+HC/IB,94,28,0
Flamigo WA+BrB/UH,427,7,0
Flapple DB+Fl/SeB,98,28,0
Flareon E+SP/HW,107,28,0
Floatzel W+AJ/Sw,155,42,0
Flygon MS+Tw/ScS,86,28,0
Flygon (Shadow) MS+Tw/ScS,98,28,0
Fraxure DT+NS/AT,106,28,0
Froslass PS+Av/SB,133,42,0
Froslass (Shadow) PS+Av/SB,152,42,0
Frosmoth PS+IW/BBu,156,42,0
Furfrou SkP+S/GK,213,7,0
Furret SkP+Sw/TBl,89,28,0
Gabite MS+Tw/Dg,103,28,0
Gabite (Shadow) MS+Tw/Dg,123,28,0
Gallade PC+LB/CC,263,7,0
Gallade (Shadow) PC+LB/CC,112,28,0
Galvantula VS+D/Lu,152,42,0
Galvantula (Shadow) VS+D/Lu,181,42,0
Garbodor Inf+BS/SeB,339,7,0
Garbodor (Shadow) Inf+BS/SeB,148,28,0
Garchomp MS+EP/Tw,86,28,0
Garchomp (Shadow) MS+EP/Tw,104,28,0
Garganacl MS+RT/RS,117,56,0
Gastrodon MSl+BS/WP,106,42,0
Gengar SC+ShP/SlB,196,28,0
Gengar (Shadow) SC+ShP/SlB,228,28,0
Gigalith MSl+SP/MeB,120,42,0
Gigalith (Shadow) MSl+MeB/RS,270,7,0
Girafarig Cf+PsF/TBl,171,7,0
Girafarig (Shadow) Cf+PsF/TBl,203,7,0
Giratina (Origin) SC+SB/DgP,197,7,0
Glaceon IS+Av/WP,255,7,0
Glalie PS+Av/SB,113,42,0
Glalie (Shadow) PS+Av/SB,130,42,0
Gligar WA+NS/AA,161,56,0
Gligar (Shadow) WA+NS/AA,93,28,0
Glimmora RTh+RS/DG,500,21,0
Gliscor WA+ST/Acr,182,7,0
Gliscor (Shadow) WA+ST/Acr,218,7,0
Gogoat VW+LB/BkB,70,28,0
Golbat WA+AC/SB,365,7,0
Golbat (Shadow) WA+AC/SB,432,7,0
Golduck Cf+CrC/Li,214,7,0
Golduck (Shadow) Cf+CrC/Li,258,7,0
Golem MSl+SE/RB,118,42,0
Golem (Alolan) RO+RB/WC,118,42,0
Golem (Alolan) (Shadow) RO+WC/RB,138,42,0
Golem (Shadow) MSl+SE/RB,138,42,0
Golisopod FC+XS/AJ,78,28,0
Golurk A+ShP/DyP,135,42,0
Golurk (Shadow) A+ShP/DyP,162,42,0
Goodra DB+AT/TP,72,28,0
Gorebyss Cf+WP/P,253,7,0
Gothitelle Cf+RS/FS,122,7,0
Gothitelle (Shadow) Cf+RS/FS,141,7,0
Gourgeist (Average) H+SB/FoP,102,42,0
Gourgeist (Large) I+SB/FoP,69,28,0
Gourgeist (Small) H+SB/FoP,111,42,0
Gourgeist (Super) H+SB/FoP,181,7,0
Grafaiai MSl+PF/SlB,226,42,0
Grapploct W+IP/S,206,42,0
Graveler MSl+RS/RB,144,42,0
Graveler (Alolan) VS+SE/RB,144,42,0
Graveler (Alolan) (Shadow) VS+SE/RB,166,42,0
Graveler (Shadow) MSl+RS/RB,166,42,0
Greedent MS+TBl/BS,193,21,0
Grotle RL+BS/EB,289,21,0
Grotle (Shadow) RL+BS/EB,475,6,0
Groudon DT+PrB/FiP,142,42,0
Groudon (Shadow) DT+PrB/FiP,175,42,0
Grumpig Psy+DyP/SB,114,7,0
Grumpig (Shadow) Psy+DyP/SB,140,7,0
Gumshoos Bi+RT/Cr,263,7,0
Gurdurr LK+BkB/SE,370,7,0
Gurdurr (Shadow) LK+BkB/SE,443,7,0
Gyarados DB+AT/Tw,87,28,0
Gyarados (Shadow) DB+AT/Tw,106,28,0
Hariyama FPm+UH/HS,350,7,0
Hariyama (Shadow) FPm+UH/HS,230,42,0
Hawlucha LK+FlP/AA,198,42,0
Haxorus DT+NS/DC,113,28,0
Heatmor FS+TP/Ft,136,42,0
Heliolisk VS+BkS/PbC,262,7,0
Heracross FC+UH/RT,148,28,0
Hippowdon SdA+WBR/ScS,190,7,0
Hippowdon (Shadow) SdA+WBR/ScS,81,28,0
Hitmonchan BP+CC/IP,216,42,0
Hitmonchan (Shadow) BP+CC/IP,252,42,0
Hitmonlee DK+CC/SE,237,42,0
Hitmonlee (Shadow) DK+CC/SE,287,42,0
Hitmontop C+CC/TAx,346,7,0
Hitmontop (Shadow) C+CC/TAx,425,7,0
Ho-Oh I+BrB/SF,217,7,0
