Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+IW/EB,344,16,0
Abomasnow (Shadow) Lf+IW/EB,382,16,0
Accelgor WSh+BBu/SiB,320,20,0
Accelgor (Shadow) WSh+BBu/SiB,353,4,0
Aerodactyl DB+RS/EP,337,8,0
Aerodactyl (Shadow) DB+RS/EP,388,8,0
Alakazam PC+FiP/SB,611,0,24
Alakazam (Shadow) PC+FiP/SB,532,0,7
Alomomola W+P/Bl,307,24,0
Altaria DB+SA/DgP,112,12,0
Altaria (Shadow) DB+SA/DgP,164,12,0
Ambipom A+AA/Re,303,20,0
Ambipom (Shadow) A+AA/HB,337,20,0
Amoonguss A+FoP/GK,212,20,0
Amoonguss (Shadow) A+FoP/GK,235,20,0
Ampharos VS+BrS/TBl,245,4,0
Ampharos (Shadow) VS+BrS/TBl,272,4,0
Annihilape LK+RF/CC,190,36,0
Annihilape (Shadow) LK+RF/CC,270,36,0
Appletun A+SeB/O,353,32,0
Araquanid BBi+WP/BBu,233,40,0
Arbok Ac+DP/SW,281,24,0
Arbok (Shadow) Ac+DP/SW,302,16,0
Arboliva ML+EP/TBl,426,20,0
Arcanine Sn+Cr/Ft,346,20,0
Arcanine (Hisuian) Sn+RS/Cr,475,4,0
Arcanine (Shadow) Sn+WC/PsF,371,4,0
Archeops WA+AP/Cr,456,4,0
Archeops (Shadow) WA+AP/Cr,722,0,48
Arctibax DB+Av/DC,247,12,0
Armaldo FC+RB/Li,101,40,0
Armaldo (Shadow) FC+RB/Li,101,40,0
Armarouge I+Psh/HW,99,40,0
Articuno PS+IW/Hu,171,32,0
Articuno (Galarian) PC+Fl/BrB,100,40,0
Articuno (Shadow) PS+IW/Hu,256,32,0
Audino ZH+BS/DV,560,16,13
Aurorus PS+WBI/MeB,299,24,0
Aurorus (Shadow) PS+WBI/MeB,336,24,0
Avalugg IF+IW/Cr,365,12,0
Avalugg (Hisuian) PS+RS/IW,268,4,0
Azelf Cf+Sw/FS,736,4,51
Banette SC+SB/DG,290,16,0
Banette (Shadow) SC+SB/DG,335,16,0
Barbaracle FC+SE/CrC,228,16,0
Basculin WG+AT/AJ,643,0,31
Baxcalibur DB+Av/DC,274,12,0
Beartic PS+IP/Li,345,40,0
Beedrill PSt+XS/DR,315,36,0
Beedrill (Shadow) PSt+XS/DR,332,24,0
Beheeyem Cf+RS/DP,456,24,0
Bellossom Ac+LB/DG,352,32,0
Bellossom (Shadow) Ac+LB/DG,371,8,0
Bewear SC+SP/Pbk,233,24,0
Bibarel RO+S/HF,297,20,0
Bibarel (Shadow) RO+S/HF,329,4,0
Blacephalon I+MdB/SB,45,40,0
Blastoise RO+HC/SkB,213,32,0
Blastoise (Shadow) RO+HC/SkB,234,32,0
Blaziken E+AuS/BB,334,4,0
Blaziken (Shadow) E+AuS/BB,431,4,0
Blissey ZH+WC/DG,205,12,0
Boldore MSl+RS/SE,404,20,0
Boldore (Shadow) MSl+RS/SE,455,20,0
Boltund Sp+Cr/T,316,16,0
Bouffalant MS+St/Mh,237,36,0
Braviary AS+Fl/CC,250,20,0
Braviary (Hisuian) AS+BrB/Fl,266,20,0
Breloom FPm+DyP/GK,358,20,0
Brionne WG+AJ/DV,625,0,27
Bruxish Cf+AT/PsF,463,24,0
Buzzwole C+SP/Lu,275,40,0
Camerupt I+RT/ScS,805,0,66
Camerupt (Shadow) I+RT/ScS,768,0,58
Carnivine VW+Cr/PW,417,16,0
