Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow Lf+IW/EB,207,22,0
Abomasnow (Shadow) Lf+IW/EB,215,51,0
Accelgor WSh+BBu/SiB,572,9,20
Accelgor (Shadow) WSh+BBu/SiB,815,1,87
Aerodactyl DB+RS/EP,168,46,0
Aerodactyl (Shadow) DB+RS/EP,168,46,0
Alakazam PC+FiP/SB,264,30,0
Alakazam (Shadow) PC+FiP/SB,329,30,0
Alomomola W+P/Bl,347,20,0
Altaria DB+SA/DgP,387,17,0
Altaria (Shadow) DB+SA/DgP,484,17,0
Ambipom A+AA/Re,371,1,0
Ambipom (Shadow) A+AA/HB,240,30,0
Amoonguss A+FoP/GK,368,1,0
Amoonguss (Shadow) A+FoP/GK,472,1,0
Ampharos VS+BrS/TBl,91,35,0
Ampharos (Shadow) VS+BrS/TBl,91,35,0
Annihilape LK+RF/CC,334,22,0
Annihilape (Shadow) LK+RF/CC,276,22,0
Appletun A+SeB/O,466,1,0
Araquanid BBi+WP/BBu,318,25,0
Arbok Ac+DP/SW,619,1,33
Arbok (Shadow) Ac+DP/SW,518,1,5
Arboliva ML+EP/TBl,243,51,0
Arcanine Sn+Cr/Ft,214,46,0
Arcanine (Hisuian) Sn+RS/Cr,561,1,17
Arcanine (Shadow) Sn+WC/PsF,220,22,0
Archeops WA+AP/Cr,193,46,0
Archeops (Shadow) WA+AP/Cr,240,38,0
Arctibax DB+Av/DC,188,46,0
Armaldo FC+RB/Li,209,30,0
Armaldo (Shadow) FC+RB/Li,260,30,0
Armarouge I+Psh/HW,205,30,0
Articuno PS+IW/Hu,221,17,0
Articuno (Galarian) PC+Fl/BrB,416,46,0
Articuno (Shadow) PS+IW/Hu,278,17,0
Audino ZH+BS/DV,590,7,25
Aurorus PS+WBI/MeB,123,46,0
Aurorus (Shadow) PS+WBI/MeB,123,46,0
Avalugg IF+IW/Cr,256,41,0
Avalugg (Hisuian) PS+RS/IW,113,46,0
Azelf Cf+Sw/FS,223,6,0
Banette SC+SB/DG,293,46,0
Banette (Shadow) SC+SB/DG,263,30,0
Barbaracle FC+SE/CrC,100,22,0
Basculin WG+AT/AJ,391,1,0
Baxcalibur DB+Av/DC,384,9,0
Beartic PS+IP/Li,375,9,0
Beedrill PSt+XS/DR,586,1,24
Beedrill (Shadow) PSt+XS/DR,436,38,0
Beheeyem Cf+RS/DP,218,38,0
Bellossom Ac+LB/DG,220,22,0
Bellossom (Shadow) Ac+LB/DG,263,22,0
Bewear SC+SP/Pbk,688,1,52
Bibarel RO+S/HF,255,46,0
Bibarel (Shadow) RO+S/HF,305,46,0
Blacephalon I+MdB/SB,539,1,11
Blastoise RO+HC/SkB,265,1,0
Blastoise (Shadow) RO+HC/SkB,186,30,0
Blaziken E+AuS/BB,543,1,12
Blaziken (Shadow) E+AuS/BB,370,22,0
Blissey ZH+WC/DG,367,39,0
Boldore MSl+RS/SE,414,1,0
Boldore (Shadow) MSl+RS/SE,149,30,0
Boltund Sp+Cr/T,119,51,0
Bouffalant MS+St/Mh,353,25,0
Braviary AS+Fl/CC,431,33,0
Braviary (Hisuian) AS+BrB/Fl,454,41,0
Breloom FPm+DyP/GK,414,43,0
Brionne WG+AJ/DV,457,25,0
Bruxish Cf+AT/PsF,164,6,0
Buzzwole C+SP/Lu,398,38,0
Camerupt I+RT/ScS,401,25,0
Camerupt (Shadow) I+RT/ScS,480,25,0
Carnivine VW+Cr/PW,282,30,0
Carracosta RTh+BS/AP,98,22,0
Carracosta (Shadow) RTh+BS/AP,120,51,0
Celebi Cf+SeB/AuS,412,1,0
Centiskorch E+HW/Lu,355,25,0
Ceruledge I+SB/HW,644,1,40
Cetitan PS+Av/ISp,156,38,0
Chandelure I+SB/FmC,565,1,18
Chandelure (Shadow) I+SB/FmC,362,46,0
Chansey ZH+DG/P,644,0,40
Charizard DB+BB/AC,205,30,0
Charizard (Shadow) DB+BB/AC,238,22,0
Cherrim (Overcast) BS+DG/SoB,677,1,49
Cherrim (Sunshine) BS+WBF/SoB,590,1,25
Chesnaught VW+FP/SP,428,46,0
Chesnaught (Shadow) VW+FP/SP,341,6,0
Chimecho A+Psh/SB,341,1,0
Cinccino Ch+AT/Tb,213,46,0
Cinderace FS+Ft/FmC,608,9,30
Clawitzer WG+Crbh/DP,451,33,0
Claydol MSl+IB/RT,281,41,0
Claydol (Shadow) Cf+RT/SB,299,17,0
Clodsire PSt+SE/Eq,300,9,0
Cloyster IS+IW/HP,299,33,0
Cloyster (Shadow) IS+IW/HP,340,33,0
Coalossal FS+RS/FmC,313,33,0
Cofagrigus SC+SB/DP,284,9,0
Cofagrigus (Shadow) SC+SB/DP,323,1,0
Conkeldurr PJ+DyP/BrS,311,30,0
Conkeldurr (Shadow) PJ+DyP/BrS,354,30,0
Crabominable B+IP/BkB,528,1,8
Crobat AS+PF/SB,372,9,0
Crobat (Shadow) AS+PF/SB,196,38,0
Crocalor I+Cr/DV,439,1,0
Crustle FC+XS/RW,156,30,0
Crustle (Shadow) FC+XS/RW,206,30,0
Cryogonal IS+NS/TAx,283,1,0
Cursola A+NSh/PG,204,6,0
Darmanitan (Galarian) IF+Av/IP,583,9,23
Darmanitan (Standard) I+RS/Ov,608,1,30
Darmanitan (Standard) (Shadow) I+RS/Ov,539,1,11
Dartrix Pk+BrB/SeB,309,46,0
Decidueye A+FP/SSh,300,30,0
Decidueye (Hisuian) ML+AuS/AA,304,43,0
Delphox FS+Psh/BB,489,1,0
Delphox (Shadow) FS+Psh/BB,612,1,31
Deoxys (Defense) C+PB/RS,234,25,0
Deoxys (Speed) CB+PB/Sw,207,30,0
Dewgong IS+IW/DR,231,33,0
Dhelmise SC+SB/BrS,311,22,0
Dipplin DT+SeB/O,225,30,0
Dodrio Pk+DrlP/TBl,248,46,0
Dondozo W+S/O,269,33,0
Donphan MSl+BS/TBl,202,38,0
Donphan (Shadow) MSl+BS/TBl,153,6,0
Dragalge DT+AT/O,180,46,0
Dragapult DT+SB/BkS,383,9,0
Dragonite DB+TP/SP,213,30,0
Dragonite (Shadow) DB+TP/SP,265,30,0
Drampa DB+Sw/Fl,194,22,0
Drifblim A+SB/IW,242,1,0
Drifblim (Shadow) A+SB/IW,148,22,0
Druddigon DT+NS/RT,200,30,0
Dubwool DK+BS/Pbk,278,1,0
Dudunsparce RO+BS/RS,161,46,0
Dunsparce RO+RS/DR,345,33,0
Eelektross VS+DC/Tb,86,27,0
Eldegoss BS+GK/EB,450,1,0
Electabuzz TS+TP/Re,147,22,0
Electabuzz (Shadow) TS+TP/Tb,150,22,0
Electivire TS+WC/IP,429,22,0
Electivire (Shadow) TS+WC/IP,133,6,0
Electrode VS+FoP/D,80,43,0
Electrode (Hisuian) TS+WC/Sw,309,14,0
Electrode (Shadow) VS+FoP/D,98,27,0
Emboar E+BB/RS,608,1,30
Emboar (Shadow) E+BB/RS,525,1,7
Entei FS+ScS/FmC,430,9,0
Entei (Shadow) FS+ScS/FmC,608,1,30
Espeon Cf+PsF/SB,230,22,0
Eternatus DT+DyC/SlB,460,1,0
Exeggutor Cf+SeB/P,295,22,0
Exeggutor (Alolan) DT+SeB/DM,316,30,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,360,30,0
Exeggutor (Shadow) Cf+SeB/P,289,6,0
Exploud A+Cr/DV,330,25,0
Exploud (Shadow) A+Cr/DV,214,46,0
Falinks C+SP/Mh,361,30,0
Fearow Pk+DrlP/Tw,208,30,0
Feraligatr SC+HC/IB,194,30,0
Feraligatr (Shadow) SC+HC/IB,194,30,0
Flamigo WA+BrB/UH,336,30,0
Flapple DB+Fl/SeB,302,30,0
Flareon E+SP/HW,789,1,80
Floatzel W+AJ/Sw,250,46,0
Flygon MS+Tw/ScS,496,9,0
Flygon (Shadow) MS+Tw/ScS,237,30,0
Fraxure DT+NS/AT,240,22,0
Froslass PS+Av/SB,222,46,0
Froslass (Shadow) PS+Av/SB,277,46,0
Frosmoth PS+IW/BBu,399,9,0
Furfrou SkP+S/GK,365,17,0
Furret SkP+Sw/TBl,244,46,0
Gabite MS+Tw/Dg,608,1,30
Gabite (Shadow) MS+Tw/Dg,532,1,9
Gallade PC+LB/CC,278,6,0
Gallade (Shadow) PC+LB/CC,323,6,0
Galvantula VS+D/Lu,130,35,0
Galvantula (Shadow) VS+D/Lu,149,35,0
Garbodor Inf+BS/SeB,184,30,0
Garbodor (Shadow) Inf+BS/SeB,184,30,0
Garchomp MS+EP/Tw,594,1,26
Garchomp (Shadow) MS+EP/Tw,237,30,0
Garganacl MS+RT/RS,267,25,0
Gastrodon MSl+BS/WP,165,46,0
Gengar SC+ShP/SlB,228,22,0
Gengar (Shadow) SC+ShP/SlB,244,6,0
Gigalith MSl+SP/MeB,120,46,0
Gigalith (Shadow) MSl+MeB/RS,146,22,0
Girafarig Cf+PsF/TBl,210,38,0
Girafarig (Shadow) Cf+PsF/TBl,229,22,0
Giratina (Origin) SC+SB/DgP,335,9,0
Glaceon IS+Av/WP,492,33,0
Glalie PS+Av/SB,328,1,0
Glalie (Shadow) PS+Av/SB,203,46,0
Gligar WA+NS/AA,442,17,0
Gligar (Shadow) WA+NS/AA,583,1,23
Glimmora RTh+RS/DG,129,6,0
Gliscor WA+ST/Acr,175,46,0
Gliscor (Shadow) WA+ST/Acr,205,30,0
Gogoat VW+LB/BkB,233,22,0
Golbat WA+AC/SB,189,30,0
Golbat (Shadow) WA+AC/SB,234,30,0
Golduck Cf+CrC/Li,196,38,0
Golduck (Shadow) Cf+CrC/Li,172,22,0
Golem MSl+SE/RB,118,46,0
Golem (Alolan) RO+RB/WC,440,30,0
Golem (Alolan) (Shadow) RO+WC/RB,105,30,0
Golem (Shadow) MSl+SE/RB,134,14,0
Golisopod FC+XS/AJ,273,30,0
Golurk A+ShP/DyP,186,30,0
Golurk (Shadow) A+ShP/DyP,186,6,0
Goodra DB+AT/TP,145,22,0
Gorebyss Cf+WP/P,238,30,0
Gothitelle Cf+RS/FS,287,1,0
Gothitelle (Shadow) Cf+RS/FS,187,22,0
Gourgeist (Average) H+SB/FoP,261,30,0
Gourgeist (Large) I+SB/FoP,458,25,0
Gourgeist (Small) H+SB/FoP,231,30,0
Gourgeist (Super) H+SB/FoP,229,30,0
Grafaiai MSl+PF/SlB,496,1,0
Grapploct W+SP/BkB,487,9,0
Graveler MSl+RS/RB,385,1,0
Graveler (Alolan) VS+SE/RB,96,6,0
Graveler (Alolan) (Shadow) VS+SE/RB,85,43,0
Graveler (Shadow) MSl+RS/RB,174,30,0
Greedent MS+TBl/BS,250,1,0
Grotle RL+BS/EB,167,27,0
Grotle (Shadow) RL+BS/EB,152,11,0
Groudon DT+PrB/FiP,441,1,0
Groudon (Shadow) DT+PrB/FiP,226,30,0
Grumpig Psy+DyP/SB,154,46,0
Grumpig (Shadow) Psy+DyP/SB,350,9,0
Gumshoos Bi+RT/Cr,214,38,0
Gurdurr LK+BkB/SE,300,30,0
Gurdurr (Shadow) LK+BkB/SE,342,30,0
Gyarados DB+AT/Tw,181,22,0
Gyarados (Shadow) DB+AT/Tw,225,22,0
Hariyama FPm+UH/HS,219,14,0
Hariyama (Shadow) FPm+UH/HS,230,43,0
Hawlucha LK+FlP/AA,277,30,0
Haxorus DT+NS/DC,234,30,0
Heatmor FS+TP/Ft,443,1,0
Heliolisk VS+BkS/PbC,102,35,0
Heracross FC+UH/RT,462,30,0
Hippowdon SdA+WBR/ScS,190,46,0
Hippowdon (Shadow) SdA+WBR/ScS,168,30,0
Hitmonchan BP+CC/IP,496,1,0
Hitmonchan (Shadow) BP+CC/IP,681,1,50
Hitmonlee DK+CC/SE,612,1,31
Hitmonlee (Shadow) DK+CC/SE,433,46,0
Hitmontop C+CC/TAx,283,22,0
Hitmontop (Shadow) C+CC/TAx,244,6,0
Ho-Oh I+BrB/SF,448,12,0
Ho-Oh (Shadow) I+BrB/SF,528,4,8
Hoopa Cf+SB/P,195,6,0
Houndstone L+SB/PsF,297,1,0
Huntail WG+AT/Cr,352,1,0
Hydrapple DT+SeB/O,258,30,0
Hypno Cf+FiP/SB,252,1,0
Hypno (Shadow) Cf+FiP/IP,185,38,0
Illumise Tk+SvW/DG,648,25,41
Indeedee (Female) Ex+P/EB,461,12,0
Indeedee (Male) Ex+SB/P,482,41,0
Infernape FS+CC/BB,681,1,50
Infernape (Shadow) FS+CC/BB,605,1,29
Inteleon WG+SB/S,644,1,40
Jolteon VS+D/LR,105,27,0
Jumpluff FW+Acr/EB,811,9,86
Jumpluff (Shadow) FW+Acr/EB,786,1,79
Jynx Cf+Psh/Av,176,6,0
Kabutops FC+SE/AP,129,38,0
Kabutops (Shadow) FC+SE/AP,202,46,0
Kangaskhan LK+Cr/O,304,33,0
Kecleon SkP+FoP/IB,316,1,0
Keldeo (Ordinary) LK+AT/SSw,296,22,0
Keldeo (Resolute) LK+SeS/AJ,296,22,0
Kilowattrel TS+Acr/Tb,174,46,0
Kingdra DB+Sw/O,153,30,0
Kingdra (Shadow) DB+Sw/O,189,22,0
Kingler MS+Crbh/XS,483,9,0
Klawf MSl+RT/RS,256,9,0
Kleavor FC+XS/SE,233,30,0
Komala RO+Pbk/PR,464,33,0
Kommo-o DT+ClS/UH,281,30,0
Kyogre W+Av/S,470,33,0
Kyogre (Shadow) W+Av/S,445,1,0
Kyurem DB+G/DC,176,38,0
Kyurem (Black) DT+FSh/FuB,467,1,0
Kyurem (White) DB+IBu/FuF,253,30,0
Landorus (Incarnate) MS+RS/EP,238,46,0
Landorus (Therian) MS+SSt/SE,233,46,0
Lanturn Sp+S/Tb,105,38,0
Latias DB+MsB/AuS,172,30,0
Latias (Shadow) DB+MsB/AuS,238,38,0
Latios DB+AuS/LrP,231,30,0
Latios (Shadow) DB+AuS/LrP,236,30,0
Leafeon BS+LB/LR,272,22,0
Leavanny SC+LB/XS,410,22,0
Lilligant Ch+PlB/HB,348,46,0
Lilligant (Hisuian) Lf+LB/CC,360,51,0
Lopunny DK+TAx/FiP,312,33,0
Ludicolo A+WBW/LfS,351,1,0
Lugia DT+A/Fl,307,33,0
Lugia (Shadow) DT+Fl/FS,300,1,0
Lumineon W+WBW/AT,409,33,0
Lunala SC+SB/M,357,9,0
Lunatone Psy+WBI/RS,121,22,0
Lurantis Lf+LB/SP,201,6,0
Luxray Sn+WC/PsF,398,22,0
Luxray (Shadow) Sn+WC/PsF,143,22,0
Lycanroc (Dusk) SkP+SE/TBl,144,22,0
Lycanroc (Midday) SkP+SE/DR,144,22,0
Lycanroc (Midnight) RTh+PsF/Cr,115,6,0
Machamp KC+CrC/RS,304,38,0
Machamp (Shadow) KC+CrC/RS,304,6,0
Machoke KC+CrC/DyP,270,14,0
